2021
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisadquiridabr.def
Acquired Syphilis
"Município de residência";"Em Branco/ign";"Total"
"110001 ALTA FLORESTA D'OESTE";57;57
"110002 ARIQUEMES";325;325
"110003 CABIXI";2;2
"110004 CACOAL";470;470
"110005 CEREJEIRAS";28;28
"110006 COLORADO DO OESTE";31;31
"110007 CORUMBIARA";10;10
"110008 COSTA MARQUES";25;25
"110009 ESPIGAO D'OESTE";81;81
"110010 GUAJARA-MIRIM";150;150
"110011 JARU";154;154
"110012 JI-PARANA";479;479
"110013 MACHADINHO D'OESTE";77;77
"110014 NOVA BRASILANDIA D'OESTE";41;41
"110015 OURO PRETO DO OESTE";43;43
"110018 PIMENTA BUENO";25;25
"110020 PORTO VELHO";2038;2038
"110025 PRESIDENTE MEDICI";39;39
"110026 RIO CRESPO";26;26
"110028 ROLIM DE MOURA";149;149
"110029 SANTA LUZIA D'OESTE";6;6
"110030 VILHENA";445;445
"110032 SAO MIGUEL DO GUAPORE";21;21
"110033 NOVA MAMORE";103;103
"110034 ALVORADA D'OESTE";15;15
"110037 ALTO ALEGRE DOS PARECIS";10;10
"110040 ALTO PARAISO";7;7
"110045 BURITIS";238;238
"110050 NOVO HORIZONTE DO OESTE";4;4
"110060 CACAULANDIA";6;6
"110070 CAMPO NOVO DE RONDONIA";14;14
"110080 CANDEIAS DO JAMARI";52;52
"110090 CASTANHEIRAS";2;2
"110092 CHUPINGUAIA";13;13
"110094 CUJUBIM";47;47
"110100 GOVERNADOR JORGE TEIXEIRA";11;11
"110110 ITAPUA DO OESTE";11;11
"110120 MINISTRO ANDREAZZA";7;7
"110130 MIRANTE DA SERRA";2;2
"110140 MONTE NEGRO";29;29
"110145 PARECIS";5;5
"110146 PIMENTEIRAS DO OESTE";2;2
"110147 PRIMAVERA DE RONDONIA";3;3
"110148 SAO FELIPE D'OESTE";1;1
"110149 SAO FRANCISCO DO GUAPORE";99;99
"110150 SERINGUEIRAS";18;18
"110155 TEIXEIROPOLIS";10;10
"110160 THEOBROMA";8;8
"110170 URUPA";10;10
"110175 VALE DO ANARI";6;6
"110180 VALE DO PARAISO";8;8
"120001 ACRELANDIA";44;44
"120005 ASSIS BRASIL";25;25
"120010 BRASILEIA";164;164
"120013 BUJARI";73;73
"120017 CAPIXABA";11;11
"120020 CRUZEIRO DO SUL";185;185
"120025 EPITACIOLANDIA";65;65
"120030 FEIJO";13;13
"120032 JORDAO";13;13
"120033 MANCIO LIMA";70;70
"120034 MANOEL URBANO";22;22
"120035 MARECHAL THAUMATURGO";12;12
"120038 PLACIDO DE CASTRO";39;39
"120039 PORTO WALTER";27;27
"120040 RIO BRANCO";2076;2076
"120042 RODRIGUES ALVES";18;18
"120043 SANTA ROSA DO PURUS";76;76
"120045 SENADOR GUIOMARD";63;63
"120050 SENA MADUREIRA";118;118
"120060 TARAUACA";273;273
"120070 XAPURI";83;83
"120080 PORTO ACRE";56;56
"130002 ALVARAES";9;9
"130006 AMATURA";25;25
"130008 ANAMA";6;6
"130010 ANORI";21;21
"130014 APUI";18;18
"130020 ATALAIA DO NORTE";27;27
"130030 AUTAZES";42;42
"130040 BARCELOS";6;6
"130050 BARREIRINHA";27;27
"130060 BENJAMIN CONSTANT";69;69
"130063 BERURI";19;19
"130068 BOA VISTA DO RAMOS";13;13
"130070 BOCA DO ACRE";30;30
"130080 BORBA";46;46
"130083 CAAPIRANGA";13;13
"130090 CANUTAMA";16;16
"130100 CARAUARI";187;187
"130110 CAREIRO";52;52
"130115 CAREIRO DA VARZEA";10;10
"130120 COARI";225;225
"130130 CODAJAS";12;12
"130140 EIRUNEPE";109;109
"130150 ENVIRA";159;159
"130160 FONTE BOA";7;7
"130165 GUAJARA";14;14
"130170 HUMAITA";101;101
"130180 IPIXUNA";18;18
"130185 IRANDUBA";171;171
"130190 ITACOATIARA";178;178
"130195 ITAMARATI";30;30
"130200 ITAPIRANGA";34;34
"130210 JAPURA";19;19
"130220 JURUA";19;19
"130230 JUTAI";33;33
"130240 LABREA";76;76
"130250 MANACAPURU";183;183
"130255 MANAQUIRI";22;22
"130260 MANAUS";8648;8648
"130270 MANICORE";129;129
"130280 MARAA";34;34
"130290 MAUES";40;40
"130300 NHAMUNDA";14;14
"130310 NOVA OLINDA DO NORTE";107;107
"130320 NOVO AIRAO";44;44
"130330 NOVO ARIPUANA";9;9
"130340 PARINTINS";291;291
"130350 PAUINI";71;71
"130353 PRESIDENTE FIGUEIREDO";64;64
"130356 RIO PRETO DA EVA";59;59
"130360 SANTA ISABEL DO RIO NEGRO";16;16
"130370 SANTO ANTONIO DO ICA";11;11
"130380 SAO GABRIEL DA CACHOEIRA";60;60
