2007
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/ltabr.def
American Tegumentary Leishmaniasis
"Município de residência";"Casos confirmados"
"110001 Alta Floresta D'Oeste";349
"110037 Alto Alegre dos Parecis";263
"110040 Alto Paraíso";144
"110034 Alvorada D'Oeste";127
"110002 Ariquemes";717
"110045 Buritis";438
"110003 Cabixi";84
"110060 Cacaulândia";98
"110004 Cacoal";724
"110070 Campo Novo de Rondônia";259
"110080 Candeias do Jamari";139
"110090 Castanheiras";81
"110005 Cerejeiras";125
"110092 Chupinguaia";373
"110006 Colorado do Oeste";196
"110007 Corumbiara";160
"110008 Costa Marques";432
"110094 Cujubim";518
"110009 Espigão D'Oeste";810
"110100 Governador Jorge Teixeira";148
"110010 Guajará-Mirim";330
"110110 Itapuã do Oeste";41
"110011 Jaru";309
"110012 Ji-Paraná";625
"110013 Machadinho D'Oeste";621
"110120 Ministro Andreazza";79
"110130 Mirante da Serra";140
"110140 Monte Negro";261
"110014 Nova Brasilândia D'Oeste";162
"110033 Nova Mamoré";408
"110143 Nova União";41
"110050 Novo Horizonte do Oeste";118
"110015 Ouro Preto do Oeste";119
"110145 Parecis";212
"110018 Pimenta Bueno";666
"110146 Pimenteiras do Oeste";27
"110020 Porto Velho";1893
"110025 Presidente Médici";104
"110147 Primavera de Rondônia";55
"110026 Rio Crespo";88
"110028 Rolim de Moura";565
"110029 Santa Luzia D'Oeste";97
"110148 São Felipe D'Oeste";67
"110149 São Francisco do Guaporé";387
"110032 São Miguel do Guaporé";255
"110150 Seringueiras";128
"110155 Teixeirópolis";11
"110160 Theobroma";88
"110170 Urupá";53
"110175 Vale do Anari";114
"110180 Vale do Paraíso";75
"110030 Vilhena";1679
"110000 Município ignorado - RO";4
"120001 Acrelândia";301
"120005 Assis Brasil";1025
"120010 Brasiléia";1208
"120013 Bujari";396
"120017 Capixaba";531
"120020 Cruzeiro do Sul";711
"120025 Epitaciolândia";752
"120030 Feijó";869
"120032 Jordão";203
"120033 Mâncio Lima";513
"120034 Manoel Urbano";420
"120035 Marechal Thaumaturgo";614
"120038 Plácido de Castro";567
"120080 Porto Acre";308
"120039 Porto Walter";180
"120040 Rio Branco";3438
"120042 Rodrigues Alves";151
"120043 Santa Rosa do Purus";258
"120050 Sena Madureira";1809
