2017
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/meninbr.def
Meningitis
"Município de residência";"Casos confirmados"
"110001 ALTA FLORESTA D'OESTE";6
"110002 ARIQUEMES";12
"110004 CACOAL";30
"110005 CEREJEIRAS";5
"110006 COLORADO DO OESTE";1
"110007 CORUMBIARA";1
"110008 COSTA MARQUES";2
"110009 ESPIGAO D'OESTE";8
"110010 GUAJARA-MIRIM";10
"110011 JARU";4
"110012 JI-PARANA";13
"110013 MACHADINHO D'OESTE";7
"110014 NOVA BRASILANDIA D'OESTE";2
"110015 OURO PRETO DO OESTE";7
"110018 PIMENTA BUENO";4
"110020 PORTO VELHO";112
"110025 PRESIDENTE MEDICI";2
"110026 RIO CRESPO";2
"110028 ROLIM DE MOURA";16
"110029 SANTA LUZIA D'OESTE";1
"110030 VILHENA";17
"110032 SAO MIGUEL DO GUAPORE";2
"110033 NOVA MAMORE";11
"110034 ALVORADA D'OESTE";2
"110037 ALTO ALEGRE DOS PARECIS";1
"110045 BURITIS";2
"110050 NOVO HORIZONTE DO OESTE";1
"110080 CANDEIAS DO JAMARI";4
"110092 CHUPINGUAIA";1
"110094 CUJUBIM";2
"110100 GOVERNADOR JORGE TEIXEIRA";1
"110110 ITAPUA DO OESTE";3
"110120 MINISTRO ANDREAZZA";1
"110130 MIRANTE DA SERRA";4
"110143 NOVA UNIAO";1
"110145 PARECIS";1
"110147 PRIMAVERA DE RONDONIA";2
"110148 SAO FELIPE D'OESTE";1
"110149 SAO FRANCISCO DO GUAPORE";1
"110150 SERINGUEIRAS";2
"110160 THEOBROMA";1
"110170 URUPA";1
"110180 VALE DO PARAISO";3
"120001 ACRELANDIA";2
"120005 ASSIS BRASIL";1
"120010 BRASILEIA";1
"120013 BUJARI";2
"120017 CAPIXABA";2
"120020 CRUZEIRO DO SUL";11
"120025 EPITACIOLANDIA";3
"120030 FEIJO";11
"120032 JORDAO";1
"120033 MANCIO LIMA";2
"120034 MANOEL URBANO";1
"120035 MARECHAL THAUMATURGO";2
"120038 PLACIDO DE CASTRO";1
"120039 PORTO WALTER";2
"120040 RIO BRANCO";64
"120042 RODRIGUES ALVES";2
"120043 SANTA ROSA DO PURUS";3
"120045 SENADOR GUIOMARD";8
"120050 SENA MADUREIRA";4
"120060 TARAUACA";10
"120070 XAPURI";1
"120080 PORTO ACRE";1
"130002 ALVARAES";3
"130006 AMATURA";1
"130008 ANAMA";1
"130010 ANORI";3
"130030 AUTAZES";6
"130040 BARCELOS";2
"130050 BARREIRINHA";5
"130060 BENJAMIN CONSTANT";2
"130063 BERURI";1
"130068 BOA VISTA DO RAMOS";2
"130070 BOCA DO ACRE";3
"130080 BORBA";6
"130110 CAREIRO";7
"130115 CAREIRO DA VARZEA";5
"130120 COARI";4
"130130 CODAJAS";4
"130140 EIRUNEPE";2
"130150 ENVIRA";2
"130160 FONTE BOA";1
"130165 GUAJARA";6
"130170 HUMAITA";9
"130180 IPIXUNA";4
"130185 IRANDUBA";6
"130190 ITACOATIARA";13
"130240 LABREA";8
"130250 MANACAPURU";14
"130260 MANAUS";707
"130270 MANICORE";4
"130280 MARAA";1
"130290 MAUES";10
"130300 NHAMUNDA";2
"130310 NOVA OLINDA DO NORTE";2
"130320 NOVO AIRAO";4
"130330 NOVO ARIPUANA";2
"130340 PARINTINS";15
"130350 PAUINI";5
"130353 PRESIDENTE FIGUEIREDO";3
"130356 RIO PRETO DA EVA";6
"130360 SANTA ISABEL DO RIO NEGRO";2
"130370 SANTO ANTONIO DO ICA";1
"130380 SAO GABRIEL DA CACHOEIRA";11
"130406 TABATINGA";10
"130410 TAPAUA";1
"130420 TEFE";2
"130423 TONANTINS";1
"130426 UARINI";2
"130430 URUCARA";1
"130440 URUCURITUBA";2
"140002 AMAJARI";3
"140005 ALTO ALEGRE";3
"140010 BOA VISTA";102
"140015 BONFIM";4
"140017 CANTA";2
"140020 CARACARAI";2
"140023 CAROEBE";1
"140028 IRACEMA";1
"140030 MUCAJAI";4
"140040 NORMANDIA";6
"140045 PACARAIMA";4
"140047 RORAINOPOLIS";7
"140050 SAO JOAO DA BALIZA";1
"140070 UIRAMUTA";5
"150010 ABAETETUBA";40
"150013 ABEL FIGUEIREDO";1
"150020 ACARA";36
"150030 AFUA";4
"150034 AGUA AZUL DO NORTE";1
"150040 ALENQUER";2
"150050 ALMEIRIM";1
"150060 ALTAMIRA";39
"150070 ANAJAS";2
"150080 ANANINDEUA";183
"150085 ANAPU";6
"150090 AUGUSTO CORREA";9
"150095 AURORA DO PARA";14
"150110 BAGRE";1
"150120 BAIAO";7
"150130 BARCARENA";38
"150140 BELEM";879
"150150 BENEVIDES";33
"150157 BOM JESUS DO TOCANTINS";2
"150160 BONITO";4
"150170 BRAGANCA";27
"150172 BRASIL NOVO";2
"150178 BREU BRANCO";4
"150180 BREVES";16
"150190 BUJARU";4
"150195 CACHOEIRA DO PIRIA";11
"150200 CACHOEIRA DO ARARI";2
"150210 CAMETA";12
"150215 CANAA DOS CARAJAS";2
"150220 CAPANEMA";37
"150230 CAPITAO POCO";9
"150240 CASTANHAL";107
"150260 COLARES";4
"150270 CONCEICAO DO ARAGUAIA";6
"150275 CONCORDIA DO PARA";4
"150276 CUMARU DO NORTE";3
"150280 CURRALINHO";2
"150285 CURUA";1
"150290 CURUCA";21
"150293 DOM ELISEU";1
"150295 ELDORADO DOS CARAJAS";1
"150304 FLORESTA DO ARAGUAIA";3
"150307 GARRAFAO DO NORTE";9
"150309 GOIANESIA DO PARA";5
"150310 GURUPA";6
"150320 IGARAPE-ACU";10
"150330 IGARAPE-MIRI";14
"150340 INHANGAPI";8
"150345 IPIXUNA DO PARA";7
"150350 IRITUIA";10
"150360 ITAITUBA";3
"150370 ITUPIRANGA";8
"150375 JACAREACANGA";2
"150380 JACUNDA";2
"150390 JURUTI";1
"150400 LIMOEIRO DO AJURU";9
"150405 MAE DO RIO";12
"150410 MAGALHAES BARATA";4
"150420 MARABA";44
"150430 MARACANA";10
"150440 MARAPANIM";8
"150442 MARITUBA";70
"150445 MEDICILANDIA";4
"150450 MELGACO";4
"150460 MOCAJUBA";6
"150470 MOJU";16
"150475 MOJUI DOS CAMPOS";1
"150480 MONTE ALEGRE";6
"150490 MUANA";6
"150495 NOVA ESPERANCA DO PIRIA";5
