2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/toxocongenitabr.def
Congenital Toxoplasmosis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Total"
"171820 PORTO NACIONAL";1;-;-;-;-;2;-;3
"171865 RIO DA CONCEICAO";1;-;-;-;1;-;-;2
"171875 RIO SONO";1;2;2;-;-;-;-;5
"171880 SAMPAIO";-;-;-;-;-;1;-;1
"171886 SANTA FE DO ARAGUAIA";-;1;-;-;1;-;-;2
"172015 SAO FELIX DO TOCANTINS";-;-;1;-;-;-;1;2
"172030 SAO SEBASTIAO DO TOCANTINS";1;-;-;-;-;-;-;1
"172100 PALMAS";7;3;2;4;4;2;3;25
"172120 TOCANTINOPOLIS";-;-;-;-;-;1;1;2
"172210 XAMBIOA";1;-;1;1;-;-;-;3
"210005 ACAILANDIA";-;1;-;-;-;-;-;1
"210210 BREJO";1;-;-;-;-;-;-;1
"210350 COLINAS";-;-;-;1;-;-;-;1
"210410 FORTALEZA DOS NOGUEIRAS";1;-;-;-;-;-;-;1
"210770 PARAIBANO";-;-;1;-;-;-;-;1
"210780 PARNARAMA";-;-;-;-;1;1;-;2
"210790 PASSAGEM FRANCA";-;-;-;1;-;-;-;1
"210860 PINHEIRO";1;1;-;-;-;-;1;3
"210910 PRESIDENTE DUTRA";-;-;-;1;-;1;-;2
"211030 SANTO ANTONIO DOS LOPES";-;-;-;-;1;-;-;1
"211110 SAO JOAO DOS PATOS";1;-;2;-;2;-;-;5
"211130 SAO LUIS";2;1;-;2;3;1;4;13
"211190 SUCUPIRA DO NORTE";-;1;-;-;1;-;-;2
"211220 TIMON";-;1;-;3;1;1;-;6
"220040 ALTOS";-;-;-;1;-;-;-;1
"220050 AMARANTE";-;-;1;-;-;-;-;1
"220120 BARRAS";2;-;-;1;-;-;-;3
"220150 BATALHA";-;-;1;-;-;-;-;1
"220155 BELA VISTA DO PIAUI";1;-;-;-;-;1;-;2
"220160 BENEDITINOS";1;-;-;-;-;-;-;1
"220173 BETANIA DO PIAUI";-;-;-;-;1;-;-;1
"220177 BOA HORA";-;-;1;-;-;-;-;1
"220205 CABECEIRAS DO PIAUI";-;-;-;-;1;-;-;1
"220209 CALDEIRAO GRANDE DO PIAUI";-;-;-;-;1;-;-;1
"220220 CAMPO MAIOR";-;-;3;-;1;-;-;4
"220260 CASTELO DO PIAUI";-;-;-;-;1;-;-;1
"220271 COCAL DE TELHA";-;1;-;1;-;-;-;2
"220277 COLONIA DO PIAUI";-;-;-;-;1;-;-;1
"220310 CRISTINO CASTRO";-;-;1;-;-;-;-;1
"220320 CURIMATA";-;-;-;-;1;-;-;1
"220330 DEMERVAL LOBAO";-;-;-;-;1;-;-;1
"220342 DOMINGOS MOURAO";-;-;2;-;-;-;-;2
"220370 ESPERANTINA";-;-;-;1;-;-;-;1
"220390 FLORIANO";-;1;-;-;-;-;-;1
"220420 FRANCISCO SANTOS";-;1;-;-;1;-;-;2
"220435 GEMINIANO";-;-;1;-;-;-;-;1
"220550 JOSE DE FREITAS";-;3;-;-;1;-;-;4
"220610 MATIAS OLIMPIO";-;-;2;-;-;-;-;2
"220640 MONSENHOR GIL";1;-;-;2;1;-;-;4
"220650 MONSENHOR HIPOLITO";-;-;1;-;-;-;-;1
"220700 OEIRAS";-;-;1;1;1;-;-;3
"220750 PALMEIRAIS";-;1;-;-;2;-;-;3
"220770 PARNAIBA";-;-;-;1;-;-;-;1
"220790 PEDRO II";1;-;1;1;-;-;-;3
"220800 PICOS";1;-;-;-;1;-;-;2
"220840 PIRIPIRI";2;-;-;-;-;-;-;2
"220930 SANTA LUZ";1;-;-;-;-;-;-;1
"221065 SIGEFREDO PACHECO";-;-;1;-;-;-;-;1
"221080 SIMPLICIO MENDES";-;-;-;1;-;-;-;1
"221100 TERESINA";18;8;8;8;5;-;-;47
"221110 UNIAO";1;1;2;-;-;-;-;4
"221120 URUCUI";-;-;-;-;2;-;-;2
"230020 ACARAU";-;-;-;1;-;-;-;1
"230075 AMONTADA";-;1;-;-;-;-;-;1
"230090 APUIARES";-;1;-;-;-;-;-;1
"230100 AQUIRAZ";1;-;-;-;1;-;-;2
"230120 ARACOIABA";1;-;-;-;-;-;-;1
"230130 ARARIPE";-;-;1;-;-;-;-;1
"230150 ARNEIROZ";-;-;1;-;-;-;-;1
"230185 BANABUIU";1;-;-;-;-;-;-;1
"230190 BARBALHA";-;-;1;-;1;-;-;2
"230220 BEBERIBE";-;-;1;-;1;-;-;2
"230240 BOA VIAGEM";-;1;-;-;-;-;-;1
"230260 CAMOCIM";-;-;-;1;1;-;-;2
"230300 CARIDADE";-;-;-;-;1;-;-;1
"230310 CARIRE";-;-;1;-;-;-;-;1
"230350 CASCAVEL";-;-;-;1;2;-;-;3
"230370 CAUCAIA";3;-;1;1;1;-;-;6
"230380 CEDRO";-;-;-;-;1;-;-;1
"230410 CRATEUS";-;-;1;-;-;-;-;1
"230420 CRATO";1;-;-;-;2;-;-;3
"230423 CROATA";-;-;-;-;1;-;-;1
"230440 FORTALEZA";2;5;4;6;15;2;-;34
"230450 FRECHEIRINHA";1;1;-;-;-;-;-;2
"230470 GRANJA";-;-;-;-;2;-;-;2
"230480 GRANJEIRO";-;1;-;-;-;-;-;1
"230495 GUAIUBA";-;-;-;-;1;-;-;1
"230523 HORIZONTE";-;1;-;-;-;-;-;1
"230580 IPU";-;-;-;-;1;-;-;1
"230610 IRAUCUBA";-;-;-;1;1;1;-;3
"230630 ITAPAGE";-;1;-;-;-;-;-;1
"230640 ITAPIPOCA";-;1;2;-;1;-;-;4
"230670 JAGUARETAMA";-;-;-;-;1;-;-;1
"230710 JARDIM";-;-;1;-;-;-;-;1
"230725 JIJOCA DE JERICOACOARA";-;-;-;1;-;-;-;1
"230730 JUAZEIRO DO NORTE";-;-;-;-;-;1;-;1
"230750 LAVRAS DA MANGABEIRA";-;-;1;-;-;-;-;1
"230760 LIMOEIRO DO NORTE";-;-;-;-;-;1;-;1
"230765 MARACANAU";1;-;-;-;-;1;-;2
"230780 MARCO";-;1;-;1;-;-;-;2
"230837 MIRAIMA";-;-;1;-;-;-;-;1
"230890 MORRINHOS";-;-;-;-;-;1;-;1
"230920 NOVA OLINDA";1;1;1;-;-;-;-;3
"230940 NOVO ORIENTE";-;-;1;-;-;-;-;1
"231040 PARAMOTI";-;-;-;-;1;-;-;1
"231050 PEDRA BRANCA";-;1;-;-;1;1;-;3
"231120 POTENGI";-;-;-;-;1;-;-;1
"231130 QUIXADA";1;-;-;-;1;-;-;2
"231140 QUIXERAMOBIM";-;-;-;1;2;-;-;3
"231170 RERIUTABA";-;-;-;-;1;-;-;1
"231180 RUSSAS";-;1;-;-;-;-;-;1
"231220 SANTA QUITERIA";-;2;-;-;-;-;-;2
"231240 SAO GONCALO DO AMARANTE";-;2;1;1;1;-;-;5
"231290 SOBRAL";-;2;3;-;1;-;-;6
"231330 TAUA";1;-;-;3;1;1;-;6
"231335 TEJUCUOCA";-;-;-;1;-;-;-;1
"231350 TRAIRI";1;1;-;-;-;-;-;2
"231355 TURURU";-;-;-;-;1;1;-;2
"231375 UMIRIM";-;-;1;1;-;-;-;2
"231380 URUBURETAMA";-;-;-;-;1;-;-;1
"231390 URUOCA";-;1;-;-;-;-;-;1
"240200 CAICO";-;-;-;-;1;-;-;1
"240210 CAMPO REDONDO";-;-;1;-;-;-;-;1
"240240 CARNAUBA DOS DANTAS";-;-;-;1;-;-;-;1
"240260 CEARA-MIRIM";-;1;-;-;-;-;-;1
"240270 CERRO CORA";-;-;1;-;-;-;-;1
"240325 PARNAMIRIM";1;1;-;-;-;-;-;2
"240380 FLORANIA";-;-;-;1;-;-;-;1
"240530 JANUARIO CICCO";-;-;-;-;-;-;1;1
"240540 JAPI";-;-;-;-;-;1;-;1
"240580 JOAO CAMARA";-;-;1;-;-;2;-;3
"240640 LAGOA DE VELHOS";-;-;-;-;-;1;-;1
"240650 LAGOA NOVA";-;-;-;-;2;-;-;2
"240800 MOSSORO";-;-;-;-;-;1;-;1
"240810 NATAL";8;4;3;2;5;7;1;30
"240820 NISIA FLORESTA";-;-;-;-;2;-;-;2
"240880 PARAZINHO";-;-;1;-;-;-;-;1
"240895 RIO DO FOGO";-;-;-;1;-;1;-;2
"240910 PASSA E FICA";1;-;-;-;-;-;-;1
"241010 POCO BRANCO";1;-;-;-;-;-;1;2
"241030 SERRA CAIADA";-;-;1;-;-;-;1;2
"241120 SANTA CRUZ";1;-;1;-;-;1;-;3
"241170 SAO BENTO DO TRAIRI";-;-;-;1;-;-;-;1
"241200 SAO GONCALO DO AMARANTE";-;2;-;-;-;1;-;3
"241290 SAO TOME";1;-;-;-;-;-;-;1
"241310 SENADOR ELOI DE SOUZA";-;-;-;-;-;-;1;1
"241415 TENENTE LAURENTINO CRUZ";1;-;1;-;1;-;-;3
"241440 TOUROS";1;-;1;-;3;-;-;5
"250180 BAYEUX";1;-;-;1;1;1;-;4
"250320 CABEDELO";-;2;-;-;-;-;-;2
"250370 CAJAZEIRAS";-;1;-;-;-;-;-;1
"250400 CAMPINA GRANDE";-;-;1;-;-;-;-;1
"250430 CATOLE DO ROCHA";1;-;-;-;-;-;-;1
"250460 CONDE";-;-;-;1;1;-;-;2
"250510 CUITE";-;-;-;-;1;-;-;1
"250630 GUARABIRA";-;1;-;1;-;-;-;2
"250640 GURINHEM";-;-;2;-;-;-;-;2
"250750 JOAO PESSOA";-;2;3;2;-;2;-;9
"250910 MARI";-;-;-;1;-;-;-;1
"251060 OURO VELHO";-;-;-;-;1;-;-;1
"251080 PATOS";-;1;-;-;-;-;-;1
"251120 PEDRAS DE FOGO";-;-;-;1;-;-;-;1
"251250 QUEIMADAS";-;-;2;-;-;-;-;2
"251365 JOCA CLAUDINO";-;1;-;-;-;-;-;1
"251370 SANTA RITA";-;2;3;1;-;-;-;6
"251620 SOUSA";-;-;-;-;1;-;-;1
"251690 UIRAUNA";-;-;1;-;-;-;-;1
"260010 AFOGADOS DA INGAZEIRA";-;-;-;-;1;-;-;1
"260030 AGRESTINA";-;-;-;1;-;1;-;2
"260050 AGUAS BELAS";-;-;-;2;-;-;-;2
"260070 ALIANCA";-;1;1;1;-;-;-;3
"260105 ARACOIABA";-;-;-;-;1;-;-;1
"260130 BARRA DE GUABIRABA";1;-;-;-;-;-;-;1
"260140 BARREIROS";-;-;1;-;-;-;-;1
"260190 BEZERROS";-;-;-;-;1;-;-;1
"260200 BODOCO";-;-;1;-;-;-;-;1
"260230 BONITO";-;-;-;-;-;-;1;1
"260280 BUIQUE";-;1;-;-;-;-;-;1
"260290 CABO DE SANTO AGOSTINHO";-;-;-;5;1;1;-;7
"260300 CABROBO";-;-;-;2;-;-;-;2
"260320 CAETES";-;-;-;1;-;-;-;1
"260330 CALCADO";-;-;-;1;-;-;-;1
"260345 CAMARAGIBE";-;-;1;-;1;-;-;2
"260360 CAMUTANGA";-;-;-;1;1;-;-;2
"260400 CARPINA";-;-;-;1;1;-;-;2
"260410 CARUARU";-;1;-;-;2;1;-;4
"260415 CASINHAS";-;-;-;-;1;-;-;1
"260430 CEDRO";-;1;-;-;-;-;-;1
"260450 CHA GRANDE";-;-;-;1;1;-;-;2
"260460 CONDADO";-;-;-;-;1;-;-;1
"260490 CUMARU";-;1;1;-;1;-;-;3
"260500 CUPIRA";-;-;-;-;2;-;-;2
"260520 ESCADA";-;-;-;-;1;-;-;1
"260540 FEIRA NOVA";2;-;-;-;-;-;-;2
"260580 FREI MIGUELINHO";-;-;-;1;-;-;-;1
"260640 GRAVATA";-;-;-;1;-;-;-;1
"260660 IBIMIRIM";-;-;-;-;1;1;-;2
"260720 IPOJUCA";1;-;1;1;1;-;-;4
"260750 ITAIBA";1;-;-;-;-;-;-;1
"260780 ITAQUITINGA";-;-;-;-;1;-;-;1
"260790 JABOATAO DOS GUARARAPES";3;1;2;8;9;2;-;25
"260805 JATOBA";-;-;1;-;-;-;-;1
"260830 JUPI";-;1;-;-;-;-;-;1
"260840 JUREMA";-;-;-;1;-;-;-;1
"260870 LAGOA DOS GATOS";-;-;1;-;-;-;-;1
"260880 LAJEDO";-;-;-;-;1;-;-;1
"260890 LIMOEIRO";-;-;3;2;1;-;-;6
"260900 MACAPARANA";-;-;-;-;-;1;-;1
"260920 MARAIAL";1;-;-;-;-;-;-;1
"260960 OLINDA";-;-;-;-;1;-;-;1
"260970 OROBO";-;-;1;1;-;-;-;2
"260990 OURICURI";-;2;-;-;-;-;-;2
"261000 PALMARES";-;1;-;1;-;-;-;2
"261030 PARANATAMA";-;-;-;1;-;1;-;2
"261050 PASSIRA";-;1;1;1;-;-;-;3
"261060 PAUDALHO";-;-;-;7;1;-;-;8
"261070 PAULISTA";1;-;4;2;1;-;-;8
"261090 PESQUEIRA";-;-;1;-;-;-;-;1
"261110 PETROLINA";1;3;1;1;2;-;-;8
"261120 POCAO";-;-;-;1;-;-;-;1
"261130 POMBOS";-;-;-;1;-;-;-;1
"261160 RECIFE";4;4;5;17;11;1;-;42
"261220 SALGUEIRO";-;1;-;-;-;-;-;1
"261230 SALOA";-;-;-;-;-;1;-;1
"261240 SANHARO";-;-;-;-;-;-;1;1
"261260 SANTA MARIA DA BOA VISTA";-;-;-;-;-;1;-;1
"261360 SAO JOSE DO EGITO";1;-;-;-;-;-;-;1
"261370 SAO LOURENCO DA MATA";-;-;-;-;-;1;-;1
"261390 SERRA TALHADA";-;-;1;-;-;-;-;1
"261410 SERTANIA";-;-;1;1;-;-;-;2
"261450 SURUBIM";-;-;1;-;-;-;-;1
"261460 TABIRA";-;-;1;-;1;-;-;2
"261530 TIMBAUBA";-;1;-;-;2;-;-;3
"261540 TORITAMA";-;-;-;1;-;-;-;1
"270030 ARAPIRACA";1;-;-;-;-;1;1;3
"270050 BARRA DE SANTO ANTONIO";-;-;1;-;1;-;-;2
"270070 BATALHA";1;-;-;-;-;1;-;2
"270135 CAMPESTRE";-;-;-;-;-;1;-;1
"270230 CORURIPE";-;-;-;4;2;2;1;9
"270235 CRAIBAS";-;-;-;-;-;1;-;1
"270240 DELMIRO GOUVEIA";-;-;-;1;-;-;-;1
"270270 FELIZ DESERTO";-;1;-;-;-;-;-;1
"270290 GIRAU DO PONCIANO";-;-;-;-;1;-;-;1
"270310 IGACI";-;-;-;-;-;1;-;1
"270340 JACARE DOS HOMENS";-;-;-;-;1;-;-;1
"270410 LAGOA DA CANOA";-;-;-;-;-;1;-;1
"270430 MACEIO";1;1;-;2;3;2;2;11
"270440 MAJOR ISIDORO";1;-;-;-;-;-;1;2
"270470 MARECHAL DEODORO";-;-;-;-;1;-;-;1
"270510 MATRIZ DE CAMARAGIBE";1;-;-;-;-;-;-;1
"270642 PARICONHA";-;-;-;1;-;1;-;2
"270670 PENEDO";1;-;-;2;-;-;-;3
"270690 PILAR";-;-;-;1;-;1;-;2
"270700 PINDOBA";1;-;-;-;-;-;-;1
"270740 PORTO DE PEDRAS";-;-;-;1;-;-;-;1
"270770 RIO LARGO";-;-;-;-;1;2;-;3
"270810 SANTANA DO MUNDAU";-;-;-;-;1;1;-;2
"270830 SAO JOSE DA LAJE";-;-;-;-;1;-;-;1
"270860 SAO MIGUEL DOS CAMPOS";-;-;1;-;-;-;-;1
"270870 SAO MIGUEL DOS MILAGRES";-;-;-;-;1;-;-;1
"270930 UNIAO DOS PALMARES";-;1;-;-;-;-;-;1
"280030 ARACAJU";1;1;-;1;-;1;-;4
"280130 CAPELA";1;-;-;-;-;-;-;1
"280140 CARIRA";-;2;2;-;-;-;-;4
"280280 INDIAROBA";-;-;-;-;1;-;-;1
"280290 ITABAIANA";-;-;-;1;1;-;-;2
"280300 ITABAIANINHA";-;1;-;-;1;-;-;2
"280350 LAGARTO";1;-;-;-;2;2;1;6
"280360 LARANJEIRAS";-;-;-;1;-;-;-;1
"280380 MALHADA DOS BOIS";-;-;-;-;-;1;-;1
"280390 MALHADOR";-;-;-;-;-;1;1;2
"280410 MOITA BONITA";-;-;-;-;1;-;-;1
"280420 MONTE ALEGRE DE SERGIPE";1;-;-;-;-;-;-;1
"280430 MURIBECA";-;-;-;-;-;1;-;1
"280450 NOSSA SENHORA DA GLORIA";-;1;-;-;-;-;-;1
"280480 NOSSA SENHORA DO SOCORRO";2;2;2;-;2;2;1;11
"280490 PACATUBA";-;-;1;-;-;-;-;1
"280500 PEDRA MOLE";-;-;-;-;-;1;-;1
"280520 PINHAO";-;-;-;-;-;1;-;1
"280530 PIRAMBU";1;-;-;-;-;-;-;1
"280570 PROPRIA";-;-;-;-;2;-;-;2
"280580 RIACHAO DO DANTAS";-;-;1;-;-;-;-;1
"280610 ROSARIO DO CATETE";1;-;-;-;1;-;-;2
"280620 SALGADO";-;-;1;-;1;-;-;2
"280640 SANTANA DO SAO FRANCISCO";1;-;-;-;-;-;-;1
"280670 SAO CRISTOVAO";-;-;-;-;-;1;-;1
"280680 SAO DOMINGOS";-;-;1;-;-;-;-;1
"280710 SIMAO DIAS";1;1;1;-;-;-;-;3
"280750 TOMAR DO GERU";-;-;-;-;-;1;-;1
"280760 UMBAUBA";-;-;1;-;-;-;-;1
"290030 ACAJUTIBA";1;-;-;-;-;-;-;1
"290035 ADUSTINA";-;1;-;-;-;-;-;1
"290120 ANAGE";-;-;-;-;1;-;-;1
"290140 ANGICAL";-;-;1;-;-;-;-;1
"290190 APORA";-;-;-;-;1;-;-;1
"290200 ARACATU";1;-;-;-;-;-;-;1
"290210 ARACI";-;-;1;3;1;-;-;5
"290240 AURELINO LEAL";-;-;1;-;-;-;-;1
"290290 BARRA DO CHOCA";-;-;2;-;-;-;-;2
"290320 BARREIRAS";1;2;-;-;-;-;-;3
"290340 BELMONTE";1;-;-;-;-;-;-;1
"290350 BELO CAMPO";-;-;-;-;2;1;-;3
"290370 BOA NOVA";-;-;-;-;-;1;-;1
"290405 BONITO";-;-;-;-;1;-;-;1
"290490 CACHOEIRA";-;-;-;-;1;-;-;1
"290570 CAMACARI";-;-;1;-;-;-;-;1
"290650 CANDEIAS";-;-;1;-;-;-;-;1
"290670 CANDIDO SALES";-;-;1;-;-;1;-;2
"290682 CANUDOS";-;1;-;-;-;-;-;1
"290730 CASTRO ALVES";-;-;-;-;1;-;-;1
"290750 CATU";-;-;-;-;1;-;-;1
"290840 CONCEICAO DO COITE";-;-;1;-;-;-;-;1
"290960 CRISOPOLIS";-;-;-;-;1;-;-;1
"290970 CRISTOPOLIS";-;-;-;-;-;1;-;1
"291050 ENTRE RIOS";2;-;-;-;1;-;-;3
"291070 EUCLIDES DA CUNHA";1;1;-;-;-;-;-;2
"291080 FEIRA DE SANTANA";-;1;-;-;-;-;-;1
"291090 FIRMINO ALVES";-;-;-;1;-;-;-;1
"291110 FORMOSA DO RIO PRETO";1;-;1;-;-;-;-;2
"291120 GANDU";-;-;-;-;1;-;-;1
"291165 GUAJERU";-;-;1;-;-;-;-;1
"291170 GUANAMBI";-;-;1;2;-;-;-;3
"291230 IBICUI";-;-;-;1;-;-;-;1
"291360 ILHEUS";-;-;1;-;-;-;-;1
"291390 IPIAU";-;-;1;-;-;-;-;1
"291400 IPIRA";-;2;1;-;-;-;-;3
"291465 ITABELA";-;-;-;-;-;1;-;1
"291470 ITABERABA";-;1;-;-;-;-;-;1
"291490 ITACARE";-;-;-;1;-;-;-;1
"291500 ITAETE";-;-;-;-;1;-;-;1
"291550 ITAJUIPE";-;-;1;-;-;-;-;1
"291600 ITANHEM";-;-;1;-;-;-;-;1
"291720 ITUACU";-;-;1;-;-;-;-;1
"291840 JUAZEIRO";-;-;-;1;-;-;-;1
"291910 LAMARAO";1;-;-;-;-;-;-;1
"292000 MAIQUINIQUE";-;-;-;1;-;-;-;1
"292070 MARAU";-;1;-;-;1;1;-;3
"292150 MONTE SANTO";-;2;-;-;-;-;-;2
"292160 MORPARA";1;-;-;1;-;-;-;2
"292273 NOVA FATIMA";-;-;1;-;-;-;-;1
"292300 NOVA VICOSA";1;-;-;-;-;-;-;1
"292320 OLIVEIRA DOS BREJINHOS";-;-;-;-;-;1;-;1
"292350 PALMEIRAS";-;-;-;1;-;-;-;1
"292370 PARATINGA";-;-;-;-;-;1;-;1
"292380 PARIPIRANGA";-;-;-;1;-;-;-;1
"292440 PILAO ARCADO";-;-;1;-;-;-;-;1
"292500 PLANALTO";1;-;-;1;-;-;-;2
"292510 POCOES";-;-;-;1;-;-;-;1
"292530 PORTO SEGURO";-;2;-;-;2;-;-;4
"292620 RIACHAO DAS NEVES";1;1;-;1;-;-;-;3
"292665 RIBEIRAO DO LARGO";-;-;-;-;1;-;-;1
"292670 RIO DE CONTAS";-;-;1;-;-;-;-;1
"292700 RIO REAL";-;-;-;-;1;-;-;1
"292740 SALVADOR";4;1;1;3;1;-;-;10
"292770 SANTA CRUZ CABRALIA";-;1;1;-;-;-;-;2
"292790 SANTA INES";-;-;1;-;-;-;-;1
"292800 SANTALUZ";-;-;-;-;-;1;-;1
"292805 SANTA LUZIA";-;-;-;-;1;-;-;1
"292870 SANTO ANTONIO DE JESUS";1;-;-;-;-;-;-;1
"292890 SAO DESIDERIO";-;2;1;-;-;1;-;4
"293010 SENHOR DO BONFIM";-;-;1;-;1;-;-;2
"293100 TANHACU";-;1;-;-;-;-;-;1
"293135 TEIXEIRA DE FREITAS";2;1;5;-;3;-;-;11
"293150 TEOFILANDIA";-;-;-;-;-;-;1;1
