2021
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/meninbr.def
Meningitis
"Município de residência";"Casos confirmados"
"110001 ALTA FLORESTA D'OESTE";2
"110002 ARIQUEMES";3
"110004 CACOAL";5
"110005 CEREJEIRAS";2
"110007 CORUMBIARA";1
"110008 COSTA MARQUES";1
"110009 ESPIGAO D'OESTE";1
"110010 GUAJARA-MIRIM";3
"110011 JARU";2
"110012 JI-PARANA";6
"110013 MACHADINHO D'OESTE";4
"110014 NOVA BRASILANDIA D'OESTE";1
"110015 OURO PRETO DO OESTE";3
"110018 PIMENTA BUENO";1
"110020 PORTO VELHO";41
"110025 PRESIDENTE MEDICI";1
"110026 RIO CRESPO";1
"110028 ROLIM DE MOURA";9
"110030 VILHENA";8
"110033 NOVA MAMORE";1
"110037 ALTO ALEGRE DOS PARECIS";1
"110045 BURITIS";1
"110080 CANDEIAS DO JAMARI";2
"110092 CHUPINGUAIA";1
"110094 CUJUBIM";1
"110130 MIRANTE DA SERRA";1
"110160 THEOBROMA";1
"110180 VALE DO PARAISO";2
"120005 ASSIS BRASIL";1
"120013 BUJARI";1
"120017 CAPIXABA";1
"120020 CRUZEIRO DO SUL";4
"120025 EPITACIOLANDIA";1
"120030 FEIJO";2
"120033 MANCIO LIMA";1
"120034 MANOEL URBANO";1
"120035 MARECHAL THAUMATURGO";1
"120038 PLACIDO DE CASTRO";1
"120039 PORTO WALTER";1
"120040 RIO BRANCO";24
"120045 SENADOR GUIOMARD";1
"120050 SENA MADUREIRA";1
"120060 TARAUACA";2
"120080 PORTO ACRE";1
"130002 ALVARAES";2
"130010 ANORI";1
"130030 AUTAZES";1
"130040 BARCELOS";1
"130050 BARREIRINHA";1
"130060 BENJAMIN CONSTANT";1
"130068 BOA VISTA DO RAMOS";1
"130070 BOCA DO ACRE";1
"130080 BORBA";3
"130110 CAREIRO";3
"130115 CAREIRO DA VARZEA";2
"130120 COARI";1
"130130 CODAJAS";1
"130140 EIRUNEPE";1
"130150 ENVIRA";2
"130165 GUAJARA";1
"130170 HUMAITA";2
"130185 IRANDUBA";4
"130190 ITACOATIARA";3
"130240 LABREA";1
"130250 MANACAPURU";4
"130260 MANAUS";221
"130280 MARAA";1
"130290 MAUES";1
"130300 NHAMUNDA";1
"130330 NOVO ARIPUANA";1
"130340 PARINTINS";5
"130350 PAUINI";2
"130353 PRESIDENTE FIGUEIREDO";1
"130356 RIO PRETO DA EVA";4
"130360 SANTA ISABEL DO RIO NEGRO";1
"130380 SAO GABRIEL DA CACHOEIRA";2
"130406 TABATINGA";2
"130426 UARINI";2
"140005 ALTO ALEGRE";1
"140010 BOA VISTA";51
"140015 BONFIM";1
"140017 CANTA";2
"140020 CARACARAI";1
"140023 CAROEBE";1
"140030 MUCAJAI";1
"140040 NORMANDIA";3
"140045 PACARAIMA";3
"140047 RORAINOPOLIS";4
"140050 SAO JOAO DA BALIZA";1
"140070 UIRAMUTA";3
"150010 ABAETETUBA";13
"150020 ACARA";10
"150030 AFUA";1
"150040 ALENQUER";2
"150060 ALTAMIRA";6
"150080 ANANINDEUA";41
"150085 ANAPU";1
"150090 AUGUSTO CORREA";4
"150095 AURORA DO PARA";6
"150120 BAIAO";2
"150130 BARCARENA";13
"150140 BELEM";255
"150150 BENEVIDES";8
"150157 BOM JESUS DO TOCANTINS";2
"150160 BONITO";1
"150170 BRAGANCA";13
"150178 BREU BRANCO";2
"150190 BUJARU";1
"150200 CACHOEIRA DO ARARI";1
"150210 CAMETA";2
"150220 CAPANEMA";7
"150230 CAPITAO POCO";2
"150240 CASTANHAL";24
"150260 COLARES";2
"150270 CONCEICAO DO ARAGUAIA";2
"150276 CUMARU DO NORTE";1
"150290 CURUCA";5
"150293 DOM ELISEU";1
"150307 GARRAFAO DO NORTE";3
"150309 GOIANESIA DO PARA";1
"150310 GURUPA";2
"150320 IGARAPE-ACU";1
"150330 IGARAPE-MIRI";4
"150340 INHANGAPI";3
"150345 IPIXUNA DO PARA";1
"150350 IRITUIA";2
"150360 ITAITUBA";2
"150370 ITUPIRANGA";3
"150375 JACAREACANGA";2
"150380 JACUNDA";1
"150400 LIMOEIRO DO AJURU";1
"150405 MAE DO RIO";5
"150410 MAGALHAES BARATA";2
"150420 MARABA";11
"150430 MARACANA";2
"150442 MARITUBA";18
"150445 MEDICILANDIA";1
"150450 MELGACO";2
"150460 MOCAJUBA";1
"150470 MOJU";1
"150480 MONTE ALEGRE";2
"150490 MUANA";1
"150495 NOVA ESPERANCA DO PIRIA";1
"150497 NOVA IPIXUNA";1
"150506 NOVO REPARTIMENTO";2
"150510 OBIDOS";1
"150520 OEIRAS DO PARA";1
"150530 ORIXIMINA";6
"150543 OURILANDIA DO NORTE";2
"150548 PACAJA";1
"150550 PARAGOMINAS";8
"150553 PARAUAPEBAS";5
"150555 PAU D'ARCO";1
"150560 PEIXE-BOI";1
"150563 PICARRA";1
"150570 PONTA DE PEDRAS";2
"150613 REDENCAO";5
"150620 SALINOPOLIS";5
"150630 SALVATERRA";1
"150635 SANTA BARBARA DO PARA";2
"150640 SANTA CRUZ DO ARARI";2
"150650 SANTA IZABEL DO PARA";4
"150655 SANTA LUZIA DO PARA";1
"150658 SANTA MARIA DAS BARREIRAS";1
"150670 SANTANA DO ARAGUAIA";1
"150680 SANTAREM";3
"150690 SANTAREM NOVO";1
"150700 SANTO ANTONIO DO TAUA";1
"150720 SAO DOMINGOS DO CAPIM";2
"150730 SAO FELIX DO XINGU";3
"150745 SAO GERALDO DO ARAGUAIA";1
"150760 SAO MIGUEL DO GUAMA";7
"150770 SAO SEBASTIAO DA BOA VISTA";2
"150795 TAILANDIA";3
"150797 TERRA SANTA";1
"150800 TOME-ACU";8
"150803 TRACUATEUA";2
"150808 TUCUMA";2
"150810 TUCURUI";2
"150812 ULIANOPOLIS";1
"150815 URUARA";3
"150820 VIGIA";2
"150830 VISEU";4
