2022
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisadquiridabr.def
Acquired Syphilis
"Município de residência";"Em Branco/ign";"Total"
"110001 ALTA FLORESTA D'OESTE";36;36
"110002 ARIQUEMES";233;233
"110004 CACOAL";298;298
"110005 CEREJEIRAS";14;14
"110006 COLORADO DO OESTE";27;27
"110007 CORUMBIARA";4;4
"110008 COSTA MARQUES";20;20
"110009 ESPIGAO D'OESTE";51;51
"110010 GUAJARA-MIRIM";83;83
"110011 JARU";128;128
"110012 JI-PARANA";292;292
"110013 MACHADINHO D'OESTE";52;52
"110014 NOVA BRASILANDIA D'OESTE";26;26
"110015 OURO PRETO DO OESTE";35;35
"110018 PIMENTA BUENO";12;12
"110020 PORTO VELHO";1459;1459
"110025 PRESIDENTE MEDICI";29;29
"110026 RIO CRESPO";13;13
"110028 ROLIM DE MOURA";99;99
"110029 SANTA LUZIA D'OESTE";5;5
"110030 VILHENA";293;293
"110032 SAO MIGUEL DO GUAPORE";11;11
"110033 NOVA MAMORE";70;70
"110034 ALVORADA D'OESTE";9;9
"110037 ALTO ALEGRE DOS PARECIS";7;7
"110040 ALTO PARAISO";6;6
"110045 BURITIS";158;158
"110050 NOVO HORIZONTE DO OESTE";2;2
"110060 CACAULANDIA";2;2
"110070 CAMPO NOVO DE RONDONIA";14;14
"110080 CANDEIAS DO JAMARI";29;29
"110090 CASTANHEIRAS";1;1
"110092 CHUPINGUAIA";6;6
"110094 CUJUBIM";34;34
"110100 GOVERNADOR JORGE TEIXEIRA";11;11
"110110 ITAPUA DO OESTE";7;7
"110120 MINISTRO ANDREAZZA";7;7
"110140 MONTE NEGRO";19;19
"110145 PARECIS";5;5
"110146 PIMENTEIRAS DO OESTE";2;2
"110147 PRIMAVERA DE RONDONIA";3;3
"110148 SAO FELIPE D'OESTE";1;1
"110149 SAO FRANCISCO DO GUAPORE";67;67
"110150 SERINGUEIRAS";7;7
"110155 TEIXEIROPOLIS";6;6
"110160 THEOBROMA";3;3
"110170 URUPA";6;6
"110175 VALE DO ANARI";5;5
"110180 VALE DO PARAISO";4;4
"120001 ACRELANDIA";20;20
"120005 ASSIS BRASIL";16;16
"120010 BRASILEIA";148;148
"120013 BUJARI";48;48
"120017 CAPIXABA";4;4
"120020 CRUZEIRO DO SUL";147;147
"120025 EPITACIOLANDIA";48;48
"120030 FEIJO";5;5
"120032 JORDAO";10;10
"120033 MANCIO LIMA";55;55
"120034 MANOEL URBANO";11;11
"120035 MARECHAL THAUMATURGO";11;11
"120038 PLACIDO DE CASTRO";25;25
"120039 PORTO WALTER";20;20
"120040 RIO BRANCO";1193;1193
"120042 RODRIGUES ALVES";15;15
"120043 SANTA ROSA DO PURUS";48;48
"120045 SENADOR GUIOMARD";37;37
"120050 SENA MADUREIRA";68;68
"120060 TARAUACA";150;150
"120070 XAPURI";56;56
"120080 PORTO ACRE";39;39
"130002 ALVARAES";5;5
"130006 AMATURA";11;11
"130008 ANAMA";4;4
"130010 ANORI";17;17
"130014 APUI";13;13
"130020 ATALAIA DO NORTE";12;12
"130030 AUTAZES";28;28
"130040 BARCELOS";5;5
"130050 BARREIRINHA";17;17
"130060 BENJAMIN CONSTANT";43;43
"130063 BERURI";16;16
"130068 BOA VISTA DO RAMOS";3;3
"130070 BOCA DO ACRE";16;16
"130080 BORBA";35;35
"130083 CAAPIRANGA";5;5
"130090 CANUTAMA";13;13
"130100 CARAUARI";125;125
"130110 CAREIRO";33;33
"130115 CAREIRO DA VARZEA";8;8
"130120 COARI";145;145
"130130 CODAJAS";5;5
"130140 EIRUNEPE";62;62
"130150 ENVIRA";96;96
"130160 FONTE BOA";3;3
"130165 GUAJARA";12;12
"130170 HUMAITA";53;53
"130180 IPIXUNA";12;12
"130185 IRANDUBA";78;78
"130190 ITACOATIARA";100;100
"130195 ITAMARATI";24;24
"130200 ITAPIRANGA";19;19
"130210 JAPURA";19;19
"130220 JURUA";19;19
"130230 JUTAI";24;24
"130240 LABREA";55;55
"130250 MANACAPURU";123;123
"130255 MANAQUIRI";16;16
"130260 MANAUS";5452;5452
"130270 MANICORE";85;85
"130280 MARAA";25;25
"130290 MAUES";15;15
"130300 NHAMUNDA";11;11
