2020
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisadquiridabr.def
Acquired Syphilis
"Município de residência";"Em Branco/ign";"Total"
"110001 ALTA FLORESTA D'OESTE";59;59
"110002 ARIQUEMES";400;400
"110003 CABIXI";4;4
"110004 CACOAL";589;589
"110005 CEREJEIRAS";32;32
"110006 COLORADO DO OESTE";40;40
"110007 CORUMBIARA";16;16
"110008 COSTA MARQUES";29;29
"110009 ESPIGAO D'OESTE";95;95
"110010 GUAJARA-MIRIM";194;194
"110011 JARU";181;181
"110012 JI-PARANA";579;579
"110013 MACHADINHO D'OESTE";100;100
"110014 NOVA BRASILANDIA D'OESTE";42;42
"110015 OURO PRETO DO OESTE";63;63
"110018 PIMENTA BUENO";51;51
"110020 PORTO VELHO";2307;2307
"110025 PRESIDENTE MEDICI";42;42
"110026 RIO CRESPO";26;26
"110028 ROLIM DE MOURA";197;197
"110029 SANTA LUZIA D'OESTE";7;7
"110030 VILHENA";533;533
"110032 SAO MIGUEL DO GUAPORE";26;26
"110033 NOVA MAMORE";114;114
"110034 ALVORADA D'OESTE";23;23
"110037 ALTO ALEGRE DOS PARECIS";10;10
"110040 ALTO PARAISO";7;7
"110045 BURITIS";292;292
"110050 NOVO HORIZONTE DO OESTE";5;5
"110060 CACAULANDIA";7;7
"110070 CAMPO NOVO DE RONDONIA";19;19
"110080 CANDEIAS DO JAMARI";72;72
"110090 CASTANHEIRAS";3;3
"110092 CHUPINGUAIA";14;14
"110094 CUJUBIM";53;53
"110100 GOVERNADOR JORGE TEIXEIRA";13;13
"110110 ITAPUA DO OESTE";13;13
"110120 MINISTRO ANDREAZZA";11;11
"110130 MIRANTE DA SERRA";4;4
"110140 MONTE NEGRO";41;41
"110143 NOVA UNIAO";1;1
"110145 PARECIS";5;5
"110146 PIMENTEIRAS DO OESTE";3;3
"110147 PRIMAVERA DE RONDONIA";4;4
"110148 SAO FELIPE D'OESTE";2;2
"110149 SAO FRANCISCO DO GUAPORE";122;122
"110150 SERINGUEIRAS";21;21
"110155 TEIXEIROPOLIS";11;11
"110160 THEOBROMA";8;8
"110170 URUPA";13;13
"110175 VALE DO ANARI";6;6
"110180 VALE DO PARAISO";8;8
"120001 ACRELANDIA";54;54
"120005 ASSIS BRASIL";32;32
"120010 BRASILEIA";180;180
"120013 BUJARI";81;81
"120017 CAPIXABA";13;13
"120020 CRUZEIRO DO SUL";214;214
"120025 EPITACIOLANDIA";71;71
"120030 FEIJO";14;14
"120032 JORDAO";13;13
"120033 MANCIO LIMA";73;73
"120034 MANOEL URBANO";22;22
"120035 MARECHAL THAUMATURGO";12;12
"120038 PLACIDO DE CASTRO";44;44
"120039 PORTO WALTER";30;30
"120040 RIO BRANCO";2098;2098
"120042 RODRIGUES ALVES";22;22
"120043 SANTA ROSA DO PURUS";76;76
"120045 SENADOR GUIOMARD";68;68
"120050 SENA MADUREIRA";158;158
"120060 TARAUACA";302;302
"120070 XAPURI";95;95
"120080 PORTO ACRE";76;76
" MUNICIPIO IGNORADO - AM";1;1
"130002 ALVARAES";14;14
"130006 AMATURA";28;28
"130008 ANAMA";7;7
"130010 ANORI";25;25
"130014 APUI";20;20
"130020 ATALAIA DO NORTE";32;32
"130030 AUTAZES";50;50
"130040 BARCELOS";12;12
"130050 BARREIRINHA";29;29
"130060 BENJAMIN CONSTANT";84;84
"130063 BERURI";24;24
"130068 BOA VISTA DO RAMOS";15;15
"130070 BOCA DO ACRE";31;31
"130080 BORBA";55;55
"130083 CAAPIRANGA";15;15
"130090 CANUTAMA";18;18
"130100 CARAUARI";218;218
"130110 CAREIRO";54;54
"130115 CAREIRO DA VARZEA";12;12
"130120 COARI";287;287
"130130 CODAJAS";30;30
"130140 EIRUNEPE";123;123
"130150 ENVIRA";213;213
"130160 FONTE BOA";13;13
"130165 GUAJARA";19;19
"130170 HUMAITA";112;112
"130180 IPIXUNA";25;25
"130185 IRANDUBA";194;194
"130190 ITACOATIARA";218;218
"130195 ITAMARATI";33;33
"130200 ITAPIRANGA";35;35
"130210 JAPURA";19;19
"130220 JURUA";20;20
"130230 JUTAI";46;46
"130240 LABREA";98;98
"130250 MANACAPURU";219;219
"130255 MANAQUIRI";30;30
"130260 MANAUS";11095;11095
"130270 MANICORE";152;152
"130280 MARAA";46;46
"130290 MAUES";55;55
"130300 NHAMUNDA";17;17
"130310 NOVA OLINDA DO NORTE";131;131
"130320 NOVO AIRAO";48;48
"130330 NOVO ARIPUANA";11;11
"130340 PARINTINS";360;360
"130350 PAUINI";106;106
"130353 PRESIDENTE FIGUEIREDO";83;83
"130356 RIO PRETO DA EVA";72;72
"130360 SANTA ISABEL DO RIO NEGRO";36;36
"130370 SANTO ANTONIO DO ICA";14;14
"130380 SAO GABRIEL DA CACHOEIRA";76;76
"130390 SAO PAULO DE OLIVENCA";25;25
"130395 SAO SEBASTIAO DO UATUMA";30;30
"130400 SILVES";28;28
"130406 TABATINGA";220;220
"130410 TAPAUA";21;21
"130420 TEFE";110;110
"130423 TONANTINS";18;18
"130426 UARINI";23;23
"130430 URUCARA";22;22
"130440 URUCURITUBA";44;44
"140002 AMAJARI";9;9
"140005 ALTO ALEGRE";20;20
"140010 BOA VISTA";1605;1605
"140015 BONFIM";35;35
"140017 CANTA";28;28
"140020 CARACARAI";54;54
"140023 CAROEBE";15;15
"140028 IRACEMA";25;25
"140030 MUCAJAI";98;98
"140040 NORMANDIA";16;16
"140045 PACARAIMA";106;106
"140047 RORAINOPOLIS";84;84
"140050 SAO JOAO DA BALIZA";45;45
"140060 SAO LUIZ";28;28
"140070 UIRAMUTA";15;15
" MUNICIPIO IGNORADO - PA";1;1
"150010 ABAETETUBA";283;283
"150013 ABEL FIGUEIREDO";3;3
"150020 ACARA";22;22
"150030 AFUA";31;31
"150034 AGUA AZUL DO NORTE";8;8
"150040 ALENQUER";53;53
"150050 ALMEIRIM";5;5
"150060 ALTAMIRA";150;150
"150070 ANAJAS";83;83
"150080 ANANINDEUA";1219;1219
"150085 ANAPU";16;16
"150090 AUGUSTO CORREA";10;10
"150095 AURORA DO PARA";33;33
"150100 AVEIRO";9;9
"150110 BAGRE";35;35
"150120 BAIAO";56;56
"150125 BANNACH";10;10
"150130 BARCARENA";143;143
"150140 BELEM";1981;1981
"150145 BELTERRA";13;13
"150150 BENEVIDES";168;168
"150157 BOM JESUS DO TOCANTINS";4;4
"150160 BONITO";5;5
"150170 BRAGANCA";261;261
"150172 BRASIL NOVO";21;21
"150178 BREU BRANCO";34;34
"150180 BREVES";70;70
"150190 BUJARU";34;34
"150195 CACHOEIRA DO PIRIA";20;20
"150200 CACHOEIRA DO ARARI";12;12
"150210 CAMETA";200;200
"150215 CANAA DOS CARAJAS";84;84
"150220 CAPANEMA";188;188
"150230 CAPITAO POCO";95;95
"150240 CASTANHAL";112;112
"150250 CHAVES";14;14
"150260 COLARES";6;6
"150270 CONCEICAO DO ARAGUAIA";32;32
"150275 CONCORDIA DO PARA";9;9
"150276 CUMARU DO NORTE";4;4
"150277 CURIONOPOLIS";28;28
"150280 CURRALINHO";14;14
"150285 CURUA";16;16
"150290 CURUCA";77;77
"150293 DOM ELISEU";24;24
"150295 ELDORADO DOS CARAJAS";59;59
"150300 FARO";18;18
"150304 FLORESTA DO ARAGUAIA";32;32
"150307 GARRAFAO DO NORTE";24;24
"150309 GOIANESIA DO PARA";34;34
"150310 GURUPA";5;5
"150320 IGARAPE-ACU";20;20
"150330 IGARAPE-MIRI";107;107
"150340 INHANGAPI";4;4
"150345 IPIXUNA DO PARA";104;104
"150350 IRITUIA";20;20
"150360 ITAITUBA";141;141
"150370 ITUPIRANGA";40;40
"150375 JACAREACANGA";40;40
"150380 JACUNDA";97;97
"150390 JURUTI";88;88
"150400 LIMOEIRO DO AJURU";56;56
"150405 MAE DO RIO";23;23
"150410 MAGALHAES BARATA";16;16
"150420 MARABA";735;735
"150430 MARACANA";19;19
"150440 MARAPANIM";42;42
"150442 MARITUBA";60;60
"150445 MEDICILANDIA";69;69
"150450 MELGACO";9;9
"150460 MOCAJUBA";54;54
"150470 MOJU";42;42
"150475 MOJUI DOS CAMPOS";6;6
"150480 MONTE ALEGRE";33;33
"150490 MUANA";2;2
"150495 NOVA ESPERANCA DO PIRIA";4;4
"150497 NOVA IPIXUNA";5;5
