2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisadquiridabr.def
Acquired Syphilis
"Município de residência";"Em Branco/ign";"Total"
"150304 FLORESTA DO ARAGUAIA";1;1
"150307 GARRAFAO DO NORTE";8;8
"150309 GOIANESIA DO PARA";3;3
"150320 IGARAPE-ACU";1;1
"150330 IGARAPE-MIRI";15;15
"150345 IPIXUNA DO PARA";25;25
"150350 IRITUIA";6;6
"150360 ITAITUBA";57;57
"150370 ITUPIRANGA";10;10
"150375 JACAREACANGA";8;8
"150380 JACUNDA";22;22
"150390 JURUTI";31;31
"150400 LIMOEIRO DO AJURU";25;25
"150410 MAGALHAES BARATA";5;5
"150420 MARABA";237;237
"150430 MARACANA";2;2
"150440 MARAPANIM";3;3
"150442 MARITUBA";20;20
"150445 MEDICILANDIA";11;11
"150450 MELGACO";1;1
"150460 MOCAJUBA";5;5
"150470 MOJU";16;16
"150475 MOJUI DOS CAMPOS";2;2
"150480 MONTE ALEGRE";3;3
"150495 NOVA ESPERANCA DO PIRIA";2;2
"150497 NOVA IPIXUNA";1;1
"150500 NOVA TIMBOTEUA";1;1
"150503 NOVO PROGRESSO";5;5
"150506 NOVO REPARTIMENTO";33;33
"150510 OBIDOS";2;2
"150520 OEIRAS DO PARA";8;8
"150530 ORIXIMINA";1;1
"150540 OUREM";5;5
"150543 OURILANDIA DO NORTE";8;8
"150548 PACAJA";11;11
"150549 PALESTINA DO PARA";3;3
"150550 PARAGOMINAS";39;39
"150553 PARAUAPEBAS";140;140
"150560 PEIXE-BOI";1;1
"150570 PONTA DE PEDRAS";8;8
"150580 PORTEL";1;1
"150590 PORTO DE MOZ";4;4
"150600 PRAINHA";9;9
"150610 PRIMAVERA";3;3
"150611 QUATIPURU";7;7
"150613 REDENCAO";14;14
"150616 RIO MARIA";3;3
"150618 RONDON DO PARA";1;1
"150619 RUROPOLIS";14;14
"150620 SALINOPOLIS";41;41
"150630 SALVATERRA";8;8
"150635 SANTA BARBARA DO PARA";5;5
"150640 SANTA CRUZ DO ARARI";1;1
"150655 SANTA LUZIA DO PARA";7;7
"150660 SANTA MARIA DO PARA";1;1
"150670 SANTANA DO ARAGUAIA";53;53
"150680 SANTAREM";158;158
"150690 SANTAREM NOVO";1;1
"150715 SAO DOMINGOS DO ARAGUAIA";5;5
"150720 SAO DOMINGOS DO CAPIM";4;4
"150730 SAO FELIX DO XINGU";61;61
"150740 SAO FRANCISCO DO PARA";1;1
"150745 SAO GERALDO DO ARAGUAIA";8;8
"150746 SAO JOAO DA PONTA";1;1
"150747 SAO JOAO DE PIRABAS";16;16
"150750 SAO JOAO DO ARAGUAIA";4;4
"150760 SAO MIGUEL DO GUAMA";14;14
"150770 SAO SEBASTIAO DA BOA VISTA";11;11
"150790 SOURE";1;1
"150795 TAILANDIA";30;30
"150797 TERRA SANTA";18;18
"150800 TOME-ACU";15;15
"150803 TRACUATEUA";8;8
"150805 TRAIRAO";5;5
"150808 TUCUMA";14;14
"150810 TUCURUI";32;32
"150812 ULIANOPOLIS";2;2
"150815 URUARA";2;2
"150820 VIGIA";21;21
"150830 VISEU";5;5
"150835 VITORIA DO XINGU";8;8
"150840 XINGUARA";24;24
"160010 AMAPA";2;2
"160015 PEDRA BRANCA DO AMAPARI";5;5
"160020 CALCOENE";2;2
"160021 CUTIAS";2;2
"160023 FERREIRA GOMES";1;1
"160027 LARANJAL DO JARI";22;22
"160030 MACAPA";419;419
"160040 MAZAGAO";1;1
"160050 OIAPOQUE";10;10
"160053 PORTO GRANDE";3;3
"160060 SANTANA";40;40
"160070 TARTARUGALZINHO";16;16
"170030 AGUIARNOPOLIS";3;3
"170035 ALIANCA DO TOCANTINS";1;1
"170070 ALVORADA";1;1
"170100 ANANAS";7;7
"170105 ANGICO";2;2
"170130 ARAGOMINAS";3;3
"170200 ARAGUACU";1;1
"170210 ARAGUAINA";150;150
"170220 ARAGUATINS";11;11
"170230 ARAPOEMA";5;5
"170240 ARRAIAS";1;1
"170255 AUGUSTINOPOLIS";42;42
"170300 BABACULANDIA";3;3
"170310 BARROLANDIA";3;3
"170330 BOM JESUS DO TOCANTINS";4;4
"170380 BURITI DO TOCANTINS";3;3
"170386 CARIRI DO TOCANTINS";1;1
"170389 CARRASCO BONITO";8;8
"170390 CASEARA";1;1
"170410 CENTENARIO";1;1
"170510 CHAPADA DA NATIVIDADE";3;3
"170550 COLINAS DO TOCANTINS";26;26
"170555 COMBINADO";1;1
"170560 CONCEICAO DO TOCANTINS";8;8
"170600 COUTO MAGALHAES";1;1
"170610 CRISTALANDIA";1;1
"170650 DARCINOPOLIS";1;1
"170700 DIANOPOLIS";2;2
"170720 DOIS IRMAOS DO TOCANTINS";3;3
"170730 DUERE";3;3
"170740 ESPERANTINA";2;2
"170755 FATIMA";2;2
"170765 FIGUEIROPOLIS";1;1
"170770 FILADELFIA";1;1
"170820 FORMOSO DO ARAGUAIA";2;2
"170825 FORTALEZA DO TABOCAO";1;1
"170830 GOIANORTE";1;1
"170900 GOIATINS";2;2
"170930 GUARAI";13;13
"170950 GURUPI";12;12
"171050 ITACAJA";5;5
"171070 ITAGUATINS";1;1
"171090 ITAPIRATINS";4;4
"171110 ITAPORA DO TOCANTINS";1;1
"171190 LAGOA DA CONFUSAO";5;5
"171200 LAJEADO";1;1
"171215 LAVANDEIRA";8;8
"171245 LUZINOPOLIS";3;3
"171320 MIRACEMA DO TOCANTINS";7;7
"171330 MIRANORTE";9;9
"171360 MONTE DO CARMO";3;3
"171370 MONTE SANTO DO TOCANTINS";2;2
"171420 NATIVIDADE";2;2
"171488 NOVA OLINDA";12;12
"171500 NOVA ROSALANDIA";4;4
"171550 OLIVEIRA DE FATIMA";2;2
"171570 PALMEIRANTE";2;2
"171610 PARAISO DO TOCANTINS";9;9
"171620 PARANA";4;4
"171650 PEDRO AFONSO";10;10
"171660 PEIXE";4;4
"171670 COLMEIA";3;3
"171700 PINDORAMA DO TOCANTINS";1;1
"171720 PIRAQUE";1;1
"171750 PIUM";8;8
"171790 PONTE ALTA DO TOCANTINS";1;1
"171820 PORTO NACIONAL";69;69
"171845 PUGMIL";2;2
"171850 RECURSOLANDIA";3;3
"171855 RIACHINHO";2;2
"171870 RIO DOS BOIS";3;3
"171880 SAMPAIO";3;3
"171886 SANTA FE DO ARAGUAIA";1;1
"171888 SANTA MARIA DO TOCANTINS";1;1
"171900 SANTA TEREZA DO TOCANTINS";1;1
"172000 SANTA TEREZINHA DO TOCANTINS";1;1
"172010 SAO BENTO DO TOCANTINS";3;3
"172015 SAO FELIX DO TOCANTINS";1;1
"172020 SAO MIGUEL DO TOCANTINS";2;2
"172030 SAO SEBASTIAO DO TOCANTINS";1;1
"172049 SAO VALERIO";1;1
"172065 SILVANOPOLIS";2;2
"172080 SITIO NOVO DO TOCANTINS";4;4
"172090 TAGUATINGA";7;7
"172093 TAIPAS DO TOCANTINS";5;5
"172100 PALMAS";465;465
"172110 TOCANTINIA";1;1
"172120 TOCANTINOPOLIS";6;6
"172125 TUPIRAMA";1;1
"172208 WANDERLANDIA";2;2
"172210 XAMBIOA";2;2
"210020 ALCANTARA";13;13
"210030 ALDEIAS ALTAS";8;8
"210043 ALTO ALEGRE DO MARANHAO";8;8
"210047 ALTO ALEGRE DO PINDARE";5;5
"210050 ALTO PARNAIBA";3;3
"210060 AMARANTE DO MARANHAO";6;6
"210083 APICUM-ACU";20;20
"210087 ARAGUANA";1;1
"210090 ARAIOSES";2;2
"210095 ARAME";13;13
"210100 ARARI";2;2
"210110 AXIXA";1;1
"210120 BACABAL";1;1
"210125 BACABEIRA";1;1
"210135 BACURITUBA";4;4
"210140 BALSAS";27;27
"210150 BARAO DE GRAJAU";1;1
"210160 BARRA DO CORDA";13;13
"210170 BARREIRINHAS";14;14
"210177 BELA VISTA DO MARANHAO";3;3
"210190 BEQUIMAO";1;1
"210193 BERNARDO DO MEARIM";2;2
"210200 BOM JARDIM";4;4
"210203 BOM JESUS DAS SELVAS";4;4
"210220 BURITI";2;2
"210232 BURITICUPU";7;7
"210240 CAJAPIO";2;2
"210250 CAJARI";1;1
"210255 CAMPESTRE DO MARANHAO";2;2
"210260 CANDIDO MENDES";8;8
"210270 CANTANHEDE";7;7
"210280 CAROLINA";4;4
"210290 CARUTAPERA";1;1
"210300 CAXIAS";35;35
"210317 CENTRO NOVO DO MARANHAO";1;1
"210320 CHAPADINHA";23;23
"210330 CODO";69;69
"210340 COELHO NETO";15;15
"210350 COLINAS";7;7
"210360 COROATA";21;21
"210370 CURURUPU";4;4
"210375 DAVINOPOLIS";2;2
"210380 DOM PEDRO";1;1
"210390 DUQUE BACELAR";5;5
"210405 ESTREITO";3;3
"210410 FORTALEZA DOS NOGUEIRAS";2;2
"210420 FORTUNA";1;1
"210430 GODOFREDO VIANA";1;1
"210467 GOVERNADOR NUNES FREIRE";3;3
"210480 GRAJAU";28;28
"210500 HUMBERTO DE CAMPOS";1;1
"210515 IGARAPE DO MEIO";1;1
"210530 IMPERATRIZ";3;3
"210540 ITAPECURU MIRIM";33;33
"210542 ITINGA DO MARANHAO";1;1
"210545 JATOBA";2;2
"210547 JENIPAPO DOS VIEIRAS";1;1
"210560 JOSELANDIA";2;2
"210570 LAGO DA PEDRA";1;1
"210590 LAGO VERDE";3;3
"210594 LAGO DOS RODRIGUES";1;1
"210598 LAJEADO NOVO";1;1
"210600 LIMA CAMPOS";1;1
"210630 MAGALHAES DE ALMEIDA";4;4
"210632 MARACACUME";3;3
"210640 MATA ROMA";2;2
"210650 MATINHA";1;1
"210660 MATOES";8;8
"210663 MATOES DO NORTE";1;1
"210670 MIRADOR";1;1
"210675 MIRANDA DO NORTE";9;9
"210700 MONTES ALTOS";1;1
"210710 MORROS";1;1
"210745 OLINDA NOVA DO MARANHAO";2;2
"210750 PACO DO LUMIAR";49;49
"210770 PARAIBANO";1;1
"210780 PARNARAMA";1;1
"210790 PASSAGEM FRANCA";3;3
"210805 PAULINO NEVES";1;1
"210810 PAULO RAMOS";1;1
"210820 PEDREIRAS";8;8
"210830 PENALVA";5;5
"210840 PERI MIRIM";3;3
"210845 PERITORO";2;2
"210850 PINDARE-MIRIM";1;1
"210860 PINHEIRO";9;9
"210880 PIRAPEMAS";1;1
"210900 PORTO FRANCO";2;2
"210910 PRESIDENTE DUTRA";4;4
"210920 PRESIDENTE JUSCELINO";2;2
"210927 PRESIDENTE SARNEY";8;8
"210930 PRESIDENTE VARGAS";1;1
"210945 RAPOSA";9;9
"210960 ROSARIO";5;5
"210980 SANTA HELENA";7;7
"210990 SANTA INES";15;15
"211000 SANTA LUZIA";13;13
"211010 SANTA QUITERIA DO MARANHAO";3;3
"211020 SANTA RITA";1;1
"211030 SANTO ANTONIO DOS LOPES";1;1
"211040 SAO BENEDITO DO RIO PRETO";1;1
"211050 SAO BENTO";3;3
"211060 SAO BERNARDO";6;6
"211070 SAO DOMINGOS DO MARANHAO";1;1
"211080 SAO FELIX DE BALSAS";1;1
"211085 SAO FRANCISCO DO BREJAO";3;3
"211105 SAO JOAO DO PARAISO";3;3
"211110 SAO JOAO DOS PATOS";1;1
"211120 SAO JOSE DE RIBAMAR";235;235
"211130 SAO LUIS";671;671
"211140 SAO LUIS GONZAGA DO MARANHAO";1;1
"211150 SAO MATEUS DO MARANHAO";1;1
"211157 SAO PEDRO DOS CRENTES";2;2
"211160 SAO RAIMUNDO DAS MANGABEIRAS";10;10
"211172 SATUBINHA";1;1
"211176 SENADOR LA ROCQUE";1;1
"211178 SERRANO DO MARANHAO";1;1
"211180 SITIO NOVO";1;1
"211210 TIMBIRAS";2;2
"211220 TIMON";41;41
"211223 TRIZIDELA DO VALE";5;5
"211240 TURIACU";6;6
"211245 TURILANDIA";19;19
"211250 TUTOIA";9;9
"211260 URBANO SANTOS";2;2
"211270 VARGEM GRANDE";1;1
"211280 VIANA";10;10
"211285 VILA NOVA DOS MARTIRIOS";1;1
"211290 VITORIA DO MEARIM";7;7
"211400 ZE DOCA";1;1
"220020 AGUA BRANCA";1;1
"220040 ALTOS";4;4
"220045 ALVORADA DO GURGUEIA";1;1
"220080 ANTONIO ALMEIDA";1;1
"220120 BARRAS";3;3
"220150 BATALHA";1;1
"220180 BOCAINA";1;1
"220200 BURITI DOS LOPES";2;2
"220220 CAMPO MAIOR";2;2
"220260 CASTELO DO PIAUI";1;1
"220270 COCAL";2;2
"220272 COCAL DOS ALVES";1;1
"220273 COIVARAS";2;2
"220290 CORRENTE";2;2
"220310 CRISTINO CASTRO";2;2
"220335 DIRCEU ARCOVERDE";1;1
"220350 ELESBAO VELOSO";1;1
"220370 ESPERANTINA";7;7
"220390 FLORIANO";11;11
"220435 GEMINIANO";1;1
"220440 GILBUES";1;1
"220465 ILHA GRANDE";2;2
"220480 IPIRANGA DO PIAUI";1;1
"220530 JERUMENHA";2;2
"220550 JOSE DE FREITAS";6;6
"220570 LUIS CORREIA";8;8
"220585 MADEIRO";1;1
"220595 MARCOLANDIA";1;1
"220605 MASSAPE DO PIAUI";1;1
"220610 MATIAS OLIMPIO";5;5
"220620 MIGUEL ALVES";2;2
"220660 MONTE ALEGRE DO PIAUI";2;2
"220672 NAZARIA";1;1
"220700 OEIRAS";30;30
"220730 PAES LANDIM";2;2
"220770 PARNAIBA";56;56
"220777 PATOS DO PIAUI";1;1
"220790 PEDRO II";3;3
"220800 PICOS";45;45
"220820 PIO IX";1;1
"220830 PIRACURUCA";2;2
"220840 PIRIPIRI";34;34
"220850 PORTO";1;1
"220887 RIBEIRA DO PIAUI";1;1
"220930 SANTA LUZ";1;1
"221050 SAO PEDRO DO PIAUI";1;1
"221060 SAO RAIMUNDO NONATO";2;2
"221070 SIMOES";2;2
"221100 TERESINA";268;268
"221110 UNIAO";1;1
"221130 VALENCA DO PIAUI";2;2
"221150 VERA MENDES";3;3
"230010 ABAIARA";2;2
"230015 ACARAPE";6;6
"230020 ACARAU";11;11
"230030 ACOPIARA";4;4
"230040 AIUABA";4;4
"230050 ALCANTARAS";1;1
"230070 ALTO SANTO";4;4
"230075 AMONTADA";4;4
"230080 ANTONINA DO NORTE";1;1
"230100 AQUIRAZ";40;40
"230110 ARACATI";28;28
"230120 ARACOIABA";3;3
"230125 ARARENDA";1;1
"230140 ARATUBA";5;5
"230150 ARNEIROZ";1;1
"230170 AURORA";3;3
"230185 BANABUIU";3;3
"230190 BARBALHA";6;6
"230210 BATURITE";10;10
"230220 BEBERIBE";10;10
"230230 BELA CRUZ";4;4
"230250 BREJO SANTO";5;5
"230260 CAMOCIM";30;30
"230270 CAMPOS SALES";3;3
"230280 CANINDE";13;13
"230290 CAPISTRANO";5;5
"230310 CARIRE";3;3
"230320 CARIRIACU";2;2
"230340 CARNAUBAL";3;3
"230350 CASCAVEL";11;11
"230365 CATUNDA";3;3
"230370 CAUCAIA";199;199
"230380 CEDRO";3;3
"230390 CHAVAL";3;3
"230393 CHORO";1;1
"230400 COREAU";2;2
"230410 CRATEUS";8;8
"230420 CRATO";15;15
"230425 CRUZ";10;10
"230426 DEPUTADO IRAPUAN PINHEIRO";1;1
"230427 ERERE";1;1
"230428 EUSEBIO";16;16
"230430 FARIAS BRITO";1;1
"230435 FORQUILHA";5;5
"230440 FORTALEZA";810;810
"230450 FRECHEIRINHA";3;3
"230465 GRACA";1;1
"230470 GRANJA";10;10
"230480 GRANJEIRO";1;1
"230490 GROAIRAS";1;1
"230495 GUAIUBA";5;5
"230520 HIDROLANDIA";3;3
"230523 HORIZONTE";11;11
"230530 IBIAPINA";3;3
"230535 ICAPUI";3;3
"230540 ICO";9;9
"230550 IGUATU";22;22
"230565 IPAPORANGA";1;1
"230580 IPU";1;1
"230590 IPUEIRAS";3;3
"230610 IRAUCUBA";7;7
"230625 ITAITINGA";87;87
"230630 ITAPAGE";5;5
"230640 ITAPIPOCA";41;41
"230650 ITAPIUNA";5;5
"230655 ITAREMA";8;8
"230660 ITATIRA";6;6
"230670 JAGUARETAMA";1;1
"230690 JAGUARIBE";8;8
"230700 JAGUARUANA";4;4
"230710 JARDIM";1;1
"230720 JATI";3;3
"230725 JIJOCA DE JERICOACOARA";11;11
"230730 JUAZEIRO DO NORTE";40;40
"230740 JUCAS";2;2
"230750 LAVRAS DA MANGABEIRA";1;1
"230760 LIMOEIRO DO NORTE";15;15
"230765 MARACANAU";190;190
"230770 MARANGUAPE";53;53
"230780 MARCO";24;24
"230790 MARTINOPOLE";9;9
"230800 MASSAPE";12;12
"230810 MAURITI";6;6
"230820 MERUOCA";3;3
"230830 MILAGRES";8;8
"230835 MILHA";3;3
"230837 MIRAIMA";3;3
"230840 MISSAO VELHA";3;3
"230850 MOMBACA";3;3
"230860 MONSENHOR TABOSA";2;2
"230870 MORADA NOVA";7;7
"230900 MUCAMBO";2;2
"230930 NOVA RUSSAS";3;3
"230945 OCARA";6;6
"230960 PACAJUS";12;12
"230970 PACATUBA";38;38
"230980 PACOTI";1;1
"230990 PACUJA";2;2
"231020 PARACURU";1;1
"231025 PARAIPABA";2;2
"231030 PARAMBU";1;1
"231040 PARAMOTI";1;1
"231050 PEDRA BRANCA";4;4
"231060 PENAFORTE";3;3
"231070 PENTECOSTE";1;1
"231085 PINDORETAMA";2;2
"231095 PIRES FERREIRA";1;1
"231120 POTENGI";2;2
"231123 POTIRETAMA";1;1
"231126 QUITERIANOPOLIS";1;1
"231130 QUIXADA";15;15
"231140 QUIXERAMOBIM";9;9
"231150 QUIXERE";4;4
"231160 REDENCAO";5;5
"231170 RERIUTABA";7;7
"231180 RUSSAS";13;13
"231190 SABOEIRO";3;3
"231200 SANTANA DO ACARAU";6;6
"231210 SANTANA DO CARIRI";1;1
"231220 SANTA QUITERIA";6;6
"231230 SAO BENEDITO";6;6
"231240 SAO GONCALO DO AMARANTE";20;20
"231290 SOBRAL";125;125
"231310 TABULEIRO DO NORTE";1;1
"231320 TAMBORIL";2;2
"231330 TAUA";28;28
"231340 TIANGUA";7;7
"231350 TRAIRI";9;9
"231355 TURURU";2;2
"231360 UBAJARA";4;4
"231375 UMIRIM";2;2
"231380 URUBURETAMA";2;2
"231390 URUOCA";4;4
"231395 VARJOTA";15;15
"231400 VARZEA ALEGRE";3;3
"231410 VICOSA DO CEARA";4;4
"240010 ACARI";1;1
"240020 ACU";3;3
"240030 AFONSO BEZERRA";6;6
"240050 ALEXANDRIA";3;3
"240070 ALTO DO RODRIGUES";2;2
"240100 APODI";1;1
"240110 AREIA BRANCA";3;3
"240120 ARES";3;3
"240140 BAIA FORMOSA";9;9
"240145 BARAUNA";4;4
"240150 BARCELONA";1;1
"240170 BOM JESUS";1;1
"240180 BREJINHO";7;7
"240185 CAICARA DO NORTE";1;1
"240200 CAICO";16;16
"240220 CANGUARETAMA";10;10
"240230 CARAUBAS";13;13
"240260 CEARA-MIRIM";91;91
"240270 CERRO CORA";2;2
"240280 CORONEL EZEQUIEL";1;1
"240310 CURRAIS NOVOS";8;8
"240325 PARNAMIRIM";60;60
"240340 EQUADOR";1;1
"240360 EXTREMOZ";52;52
"240370 FELIPE GUERRA";2;2
"240380 FLORANIA";5;5
"240420 GOIANINHA";3;3
"240430 GOVERNADOR DIX-SEPT ROSADO";1;1
"240450 GUAMARE";2;2
"240460 IELMO MARINHO";3;3
"240470 IPANGUACU";1;1
"240480 IPUEIRA";1;1
"240485 ITAJA";1;1
"240500 JACANA";2;2
"240510 JANDAIRA";3;3
"240540 JAPI";1;1
"240550 JARDIM DE ANGICOS";1;1
"240560 JARDIM DE PIRANHAS";4;4
"240570 JARDIM DO SERIDO";3;3
"240580 JOAO CAMARA";21;21
"240610 JUCURUTU";1;1
"240620 LAGOA D'ANTA";2;2
"240630 LAGOA DE PEDRAS";2;2
"240650 LAGOA NOVA";6;6
"240660 LAGOA SALGADA";5;5
"240670 LAJES";8;8
"240680 LAJES PINTADAS";4;4
"240700 LUIS GOMES";1;1
"240710 MACAIBA";37;37
"240720 MACAU";15;15
"240725 MAJOR SALES";2;2
"240750 MAXARANGUAPE";1;1
"240760 MESSIAS TARGINO";1;1
"240770 MONTANHAS";3;3
"240780 MONTE ALEGRE";3;3
"240800 MOSSORO";99;99
"240810 NATAL";725;725
"240820 NISIA FLORESTA";219;219
"240830 NOVA CRUZ";8;8
"240880 PARAZINHO";2;2
"240890 PARELHAS";1;1
"240910 PASSA E FICA";2;2
"240920 PASSAGEM";1;1
"240933 SANTA MARIA";2;2
"240940 PAU DOS FERROS";7;7
"240970 PEDRO AVELINO";4;4
"240980 PEDRO VELHO";2;2
"240990 PENDENCIAS";2;2
"241000 PILOES";2;2
"241010 POCO BRANCO";3;3
"241025 PORTO DO MANGUE";1;1
"241030 SERRA CAIADA";1;1
"241040 PUREZA";1;1
"241090 RIACHUELO";8;8
"241105 TIBAU";1;1
"241120 SANTA CRUZ";11;11
"241140 SANTANA DO MATOS";1;1
"241142 SANTANA DO SERIDO";2;2
"241150 SANTO ANTONIO";4;4
"241180 SAO FERNANDO";5;5
"241190 SAO FRANCISCO DO OESTE";2;2
"241200 SAO GONCALO DO AMARANTE";25;25
"241220 SAO JOSE DE MIPIBU";12;12
"241250 SAO MIGUEL";1;1
"241255 SAO MIGUEL DO GOSTOSO";7;7
"241260 SAO PAULO DO POTENGI";2;2
"241270 SAO PEDRO";1;1
"241280 SAO RAFAEL";1;1
"241290 SAO TOME";1;1
"241310 SENADOR ELOI DE SOUZA";3;3
