2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisbr.def
Congenital Syphilis
"Município de residência";"Casos confirmados"
"110002 ARIQUEMES";7
"110004 CACOAL";1
"110008 COSTA MARQUES";1
"110009 ESPIGAO D'OESTE";2
"110013 MACHADINHO D'OESTE";2
"110018 PIMENTA BUENO";1
"110020 PORTO VELHO";12
"110025 PRESIDENTE MEDICI";1
"110032 SAO MIGUEL DO GUAPORE";2
"110033 NOVA MAMORE";1
"110150 SERINGUEIRAS";1
"110160 THEOBROMA";1
"120005 ASSIS BRASIL";2
"120010 BRASILEIA";1
"120017 CAPIXABA";1
"120030 FEIJO";2
"120033 MANCIO LIMA";1
"120038 PLACIDO DE CASTRO";2
"120040 RIO BRANCO";18
"120043 SANTA ROSA DO PURUS";1
"120045 SENADOR GUIOMARD";3
"120050 SENA MADUREIRA";1
"120080 PORTO ACRE";3
"130002 ALVARAES";1
"130030 AUTAZES";6
"130060 BENJAMIN CONSTANT";1
"130063 BERURI";1
"130070 BOCA DO ACRE";2
"130100 CARAUARI";1
"130150 ENVIRA";1
"130160 FONTE BOA";1
"130165 GUAJARA";1
"130170 HUMAITA";1
"130185 IRANDUBA";3
"130190 ITACOATIARA";3
"130195 ITAMARATI";1
"130200 ITAPIRANGA";1
"130230 JUTAI";1
"130240 LABREA";1
"130250 MANACAPURU";6
"130255 MANAQUIRI";1
"130260 MANAUS";143
"130310 NOVA OLINDA DO NORTE";1
"130340 PARINTINS";2
"130356 RIO PRETO DA EVA";1
"130406 TABATINGA";1
"140002 AMAJARI";2
"140010 BOA VISTA";84
"140015 BONFIM";2
"140017 CANTA";2
"140020 CARACARAI";6
"140030 MUCAJAI";3
"140045 PACARAIMA";15
"140047 RORAINOPOLIS";9
"140060 SAO LUIZ";1
"150010 ABAETETUBA";5
"150020 ACARA";1
"150030 AFUA";1
"150034 AGUA AZUL DO NORTE";1
"150040 ALENQUER";2
"150060 ALTAMIRA";6
"150080 ANANINDEUA";39
"150085 ANAPU";5
"150090 AUGUSTO CORREA";2
"150130 BARCARENA";16
"150140 BELEM";173
"150150 BENEVIDES";7
"150157 BOM JESUS DO TOCANTINS";2
"150170 BRAGANCA";14
"150172 BRASIL NOVO";1
"150178 BREU BRANCO";1
"150180 BREVES";8
"150190 BUJARU";3
"150210 CAMETA";1
"150215 CANAA DOS CARAJAS";3
"150230 CAPITAO POCO";2
"150240 CASTANHAL";6
"150270 CONCEICAO DO ARAGUAIA";2
"150275 CONCORDIA DO PARA";1
"150276 CUMARU DO NORTE";3
"150285 CURUA";2
"150290 CURUCA";5
"150293 DOM ELISEU";1
"150295 ELDORADO DOS CARAJAS";2
"150304 FLORESTA DO ARAGUAIA";1
"150309 GOIANESIA DO PARA";2
"150310 GURUPA";1
"150345 IPIXUNA DO PARA";2
"150350 IRITUIA";1
"150360 ITAITUBA";6
"150380 JACUNDA";1
"150390 JURUTI";1
"150400 LIMOEIRO DO AJURU";1
"150410 MAGALHAES BARATA";2
"150420 MARABA";21
"150440 MARAPANIM";3
"150442 MARITUBA";10
"150445 MEDICILANDIA";1
"150450 MELGACO";2
"150470 MOJU";5
"150480 MONTE ALEGRE";1
"150490 MUANA";6
"150506 NOVO REPARTIMENTO";10
"150510 OBIDOS";1
"150520 OEIRAS DO PARA";2
"150530 ORIXIMINA";2
"150540 OUREM";2
"150543 OURILANDIA DO NORTE";1
"150548 PACAJA";1
"150550 PARAGOMINAS";5
"150553 PARAUAPEBAS";22
"150580 PORTEL";1
"150600 PRAINHA";1
"150613 REDENCAO";10
"150619 RUROPOLIS";1
"150630 SALVATERRA";1
"150635 SANTA BARBARA DO PARA";5
"150650 SANTA IZABEL DO PARA";8
"150658 SANTA MARIA DAS BARREIRAS";1
"150670 SANTANA DO ARAGUAIA";4
"150680 SANTAREM";14
"150700 SANTO ANTONIO DO TAUA";2
"150710 SAO CAETANO DE ODIVELAS";3
"150720 SAO DOMINGOS DO CAPIM";1
"150730 SAO FELIX DO XINGU";6
"150745 SAO GERALDO DO ARAGUAIA";2
"150747 SAO JOAO DE PIRABAS";2
"150750 SAO JOAO DO ARAGUAIA";1
"150760 SAO MIGUEL DO GUAMA";4
"150775 SAPUCAIA";1
"150780 SENADOR JOSE PORFIRIO";1
"150795 TAILANDIA";2
"150797 TERRA SANTA";2
"150800 TOME-ACU";1
"150803 TRACUATEUA";3
"150805 TRAIRAO";2
