2018
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisbr.def
Congenital Syphilis
"Município de residência";"Casos confirmados"
" MUNICIPIO IGNORADO - RO";1
"110001 ALTA FLORESTA D'OESTE";1
"110002 ARIQUEMES";16
"110004 CACOAL";5
"110006 COLORADO DO OESTE";2
"110007 CORUMBIARA";1
"110008 COSTA MARQUES";2
"110009 ESPIGAO D'OESTE";7
"110010 GUAJARA-MIRIM";6
"110011 JARU";6
"110012 JI-PARANA";8
"110013 MACHADINHO D'OESTE";7
"110014 NOVA BRASILANDIA D'OESTE";1
"110015 OURO PRETO DO OESTE";5
"110018 PIMENTA BUENO";6
"110020 PORTO VELHO";234
"110025 PRESIDENTE MEDICI";4
"110028 ROLIM DE MOURA";2
"110030 VILHENA";4
"110032 SAO MIGUEL DO GUAPORE";4
"110033 NOVA MAMORE";5
"110034 ALVORADA D'OESTE";1
"110037 ALTO ALEGRE DOS PARECIS";1
"110040 ALTO PARAISO";1
"110045 BURITIS";5
"110060 CACAULANDIA";1
"110080 CANDEIAS DO JAMARI";12
"110092 CHUPINGUAIA";1
"110094 CUJUBIM";2
"110110 ITAPUA DO OESTE";3
"110140 MONTE NEGRO";1
"110149 SAO FRANCISCO DO GUAPORE";2
"110150 SERINGUEIRAS";4
"110160 THEOBROMA";1
"110175 VALE DO ANARI";1
"110180 VALE DO PARAISO";1
"120001 ACRELANDIA";6
"120005 ASSIS BRASIL";8
"120010 BRASILEIA";23
"120013 BUJARI";14
"120017 CAPIXABA";18
"120020 CRUZEIRO DO SUL";45
"120025 EPITACIOLANDIA";16
"120030 FEIJO";8
"120032 JORDAO";1
"120033 MANCIO LIMA";8
"120034 MANOEL URBANO";4
"120035 MARECHAL THAUMATURGO";4
"120038 PLACIDO DE CASTRO";16
"120039 PORTO WALTER";4
"120040 RIO BRANCO";216
"120042 RODRIGUES ALVES";4
"120043 SANTA ROSA DO PURUS";6
"120045 SENADOR GUIOMARD";27
"120050 SENA MADUREIRA";24
"120060 TARAUACA";44
"120070 XAPURI";11
"120080 PORTO ACRE";28
"130002 ALVARAES";5
"130006 AMATURA";1
"130008 ANAMA";6
"130010 ANORI";6
"130014 APUI";1
"130020 ATALAIA DO NORTE";4
"130030 AUTAZES";18
"130040 BARCELOS";2
"130050 BARREIRINHA";10
"130060 BENJAMIN CONSTANT";7
"130063 BERURI";1
"130068 BOA VISTA DO RAMOS";1
"130070 BOCA DO ACRE";14
"130080 BORBA";12
"130083 CAAPIRANGA";2
"130090 CANUTAMA";3
"130100 CARAUARI";14
"130110 CAREIRO";13
"130115 CAREIRO DA VARZEA";7
"130120 COARI";2
"130130 CODAJAS";3
"130140 EIRUNEPE";21
"130150 ENVIRA";10
"130160 FONTE BOA";3
"130165 GUAJARA";11
"130170 HUMAITA";15
"130185 IRANDUBA";40
"130190 ITACOATIARA";16
"130195 ITAMARATI";1
"130200 ITAPIRANGA";3
"130210 JAPURA";4
"130220 JURUA";1
"130230 JUTAI";5
"130240 LABREA";15
"130250 MANACAPURU";44
"130255 MANAQUIRI";3
"130260 MANAUS";2369
"130270 MANICORE";17
"130280 MARAA";2
"130290 MAUES";7
"130300 NHAMUNDA";2
"130310 NOVA OLINDA DO NORTE";33
"130320 NOVO AIRAO";7
"130330 NOVO ARIPUANA";3
"130340 PARINTINS";59
"130350 PAUINI";2
"130353 PRESIDENTE FIGUEIREDO";8
"130356 RIO PRETO DA EVA";8
"130360 SANTA ISABEL DO RIO NEGRO";7
"130380 SAO GABRIEL DA CACHOEIRA";5
"130390 SAO PAULO DE OLIVENCA";2
"130395 SAO SEBASTIAO DO UATUMA";1
"130400 SILVES";1
"130406 TABATINGA";13
"130410 TAPAUA";2
"130420 TEFE";15
"130423 TONANTINS";1
"130426 UARINI";1
"130430 URUCARA";5
"130440 URUCURITUBA";2
"140002 AMAJARI";5
"140005 ALTO ALEGRE";6
"140010 BOA VISTA";402
