2018
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/ltabr.def
American Tegumentary Leishmaniasis
"Município de residência";"Casos confirmados"
"110001 Alta Floresta D'Oeste";92
"110037 Alto Alegre dos Parecis";48
"110040 Alto Paraíso";43
"110034 Alvorada D'Oeste";17
"110002 Ariquemes";145
"110045 Buritis";68
"110003 Cabixi";31
"110060 Cacaulândia";26
"110004 Cacoal";202
"110070 Campo Novo de Rondônia";56
"110080 Candeias do Jamari";33
"110090 Castanheiras";19
"110005 Cerejeiras";37
"110092 Chupinguaia";133
"110006 Colorado do Oeste";45
"110007 Corumbiara";37
"110008 Costa Marques";74
"110094 Cujubim";100
"110009 Espigão D'Oeste";257
"110100 Governador Jorge Teixeira";34
"110010 Guajará-Mirim";62
"110110 Itapuã do Oeste";7
"110011 Jaru";81
"110012 Ji-Paraná";209
"110013 Machadinho D'Oeste";184
"110120 Ministro Andreazza";19
"110130 Mirante da Serra";31
"110140 Monte Negro";33
"110014 Nova Brasilândia D'Oeste";52
"110033 Nova Mamoré";120
"110143 Nova União";7
"110050 Novo Horizonte do Oeste";19
"110015 Ouro Preto do Oeste";34
"110145 Parecis";71
"110018 Pimenta Bueno";140
"110146 Pimenteiras do Oeste";5
"110020 Porto Velho";579
"110025 Presidente Médici";25
"110147 Primavera de Rondônia";15
"110026 Rio Crespo";18
"110028 Rolim de Moura";100
"110029 Santa Luzia D'Oeste";32
"110148 São Felipe D'Oeste";18
"110149 São Francisco do Guaporé";161
"110032 São Miguel do Guaporé";81
"110150 Seringueiras";41
"110155 Teixeirópolis";4
"110160 Theobroma";34
"110170 Urupá";16
"110175 Vale do Anari";45
"110180 Vale do Paraíso";14
"110030 Vilhena";513
"120001 Acrelândia";65
"120005 Assis Brasil";308
"120010 Brasiléia";368
"120013 Bujari";111
"120017 Capixaba";163
"120020 Cruzeiro do Sul";172
"120025 Epitaciolândia";276
"120030 Feijó";281
"120032 Jordão";60
"120033 Mâncio Lima";180
"120034 Manoel Urbano";135
"120035 Marechal Thaumaturgo";287
"120038 Plácido de Castro";134
"120080 Porto Acre";95
"120039 Porto Walter";89
"120040 Rio Branco";924
"120042 Rodrigues Alves";45
"120043 Santa Rosa do Purus";119
"120050 Sena Madureira";479
"120045 Senador Guiomard";57
"120060 Tarauacá";89
"120070 Xapuri";523
"130002 Alvarães";4
"130006 Amaturá";5
"130008 Anamã";10
"130010 Anori";1
"130014 Apuí";117
"130020 Atalaia do Norte";68
"130030 Autazes";55
"130040 Barcelos";78
"130050 Barreirinha";85
"130060 Benjamin Constant";19
"130063 Beruri";3
"130068 Boa Vista do Ramos";14
"130070 Boca do Acre";329
"130080 Borba";61
"130083 Caapiranga";18
"130090 Canutama";41
"130100 Carauari";22
"130110 Careiro";19
"130115 Careiro da Várzea";5
"130120 Coari";8
"130130 Codajás";6
"130140 Eirunepé";148
"130150 Envira";166
"130160 Fonte Boa";15
"130165 Guajará";44
"130170 Humaitá";265
"130180 Ipixuna";63
"130185 Iranduba";19
"130190 Itacoatiara";427
"130195 Itamarati";25
"130200 Itapiranga";36
"130210 Japurá";29
"130220 Juruá";7
"130230 Jutaí";1
"130240 Lábrea";153
"130250 Manacapuru";95
"130255 Manaquiri";3
"130260 Manaus";1857
"130270 Manicoré";128
"130280 Maraã";3
"130290 Maués";110
"130300 Nhamundá";71
"130310 Nova Olinda do Norte";42
"130320 Novo Airão";63
"130330 Novo Aripuanã";89
"130340 Parintins";71
"130350 Pauini";122
"130353 Presidente Figueiredo";774
"130356 Rio Preto da Eva";727
"130360 Santa Isabel do Rio Negro";46
"130370 Santo Antônio do Içá";5
"130380 São Gabriel da Cachoeira";187
"130390 São Paulo de Olivença";9
"130395 São Sebastião do Uatumã";17
"130400 Silves";65
"130406 Tabatinga";19
"130410 Tapauá";62
"130420 Tefé";23
"130423 Tonantins";13
"130426 Uarini";17
"130430 Urucará";5
"130440 Urucurituba";3
"140005 Alto Alegre";103
"140002 Amajari";71
"140010 Boa Vista";779
"140015 Bonfim";6
"140017 Cantá";53
"140020 Caracaraí";69
"140023 Caroebe";168
"140028 Iracema";28
"140030 Mucajaí";60
"140040 Normandia";4
"140045 Pacaraima";176
"140047 Rorainópolis";137
"140050 São João da Baliza";54
"140060 São Luiz";20
"140070 Uiramutã";37
"140000 Município ignorado - RR";1
"150010 Abaetetuba";17
"150013 Abel Figueiredo";47
"150020 Acará";39
"150030 Afuá";19
"150034 Água Azul do Norte";45
"150040 Alenquer";297
"150050 Almeirim";317
"150060 Altamira";472
"150070 Anajás";14
"150080 Ananindeua";11
"150085 Anapu";288
"150090 Augusto Corrêa";31
"150095 Aurora do Pará";21
"150100 Aveiro";56
"150110 Bagre";146
"150120 Baião";94
"150125 Bannach";29
"150130 Barcarena";19
"150140 Belém";36
"150145 Belterra";109
"150150 Benevides";10
"150157 Bom Jesus do Tocantins";41
"150160 Bonito";13
"150170 Bragança";77
"150172 Brasil Novo";226
"150175 Brejo Grande do Araguaia";10
"150178 Breu Branco";150
"150180 Breves";20
"150190 Bujaru";9
"150200 Cachoeira do Arari";2
"150195 Cachoeira do Piriá";158
"150210 Cametá";19
"150215 Canaã dos Carajás";77
"150220 Capanema";17
"150230 Capitão Poço";28
"150240 Castanhal";48
"150250 Chaves";2
"150260 Colares";3
"150270 Conceição do Araguaia";41
"150275 Concórdia do Pará";23
"150276 Cumaru do Norte";85
"150277 Curionópolis";68
"150280 Curralinho";36
"150285 Curuá";29
"150290 Curuçá";7
"150293 Dom Eliseu";116
"150295 Eldorado do Carajás";51
"150300 Faro";28
"150304 Floresta do Araguaia";28
"150307 Garrafão do Norte";81
"150309 Goianésia do Pará";298
"150310 Gurupá";20
"150320 Igarapé-Açu";21
"150330 Igarapé-Miri";93
"150340 Inhangapi";10
"150345 Ipixuna do Pará";138
"150350 Irituia";49
"150360 Itaituba";523
"150370 Itupiranga";96
"150375 Jacareacanga";106
"150380 Jacundá";116
"150390 Juruti";227
"150400 Limoeiro do Ajuru";10
"150405 Mãe do Rio";40
"150410 Magalhães Barata";2
"150420 Marabá";241
"150430 Maracanã";4
"150440 Marapanim";2
"150442 Marituba";12
"150445 Medicilândia";554
"150450 Melgaço";11
"150460 Mocajuba";25
"150470 Moju";100
"150475 Mojuí dos Campos";240
"150480 Monte Alegre";595
"150490 Muaná";6
"150495 Nova Esperança do Piriá";169
"150497 Nova Ipixuna";23
"150500 Nova Timboteua";10
"150503 Novo Progresso";234
"150506 Novo Repartimento";247
"150510 Óbidos";191
"150520 Oeiras do Pará";185
"150530 Oriximiná";205
"150540 Ourém";9
"150543 Ourilândia do Norte";151
"150548 Pacajá";193
"150549 Palestina do Pará";3
"150550 Paragominas";379
"150553 Parauapebas";393
"150555 Pau D'Arco";22
"150560 Peixe-Boi";2
"150563 Piçarra";15
"150565 Placas";201
"150580 Portel";621
"150590 Porto de Moz";91
"150600 Prainha";355
"150610 Primavera";7
"150611 Quatipuru";1
"150613 Redenção";127
"150616 Rio Maria";59
"150618 Rondon do Pará";186
"150619 Rurópolis";248
"150620 Salinópolis";9
"150630 Salvaterra";5
"150635 Santa Bárbara do Pará";1
"150650 Santa Izabel do Pará";7
"150655 Santa Luzia do Pará";30
"150658 Santa Maria das Barreiras";19
"150660 Santa Maria do Pará";13
"150670 Santana do Araguaia";38
"150680 Santarém";621
"150690 Santarém Novo";4
"150700 Santo Antônio do Tauá";4
"150710 São Caetano de Odivelas";6
"150715 São Domingos do Araguaia";45
"150720 São Domingos do Capim";19
"150730 São Félix do Xingu";304
"150740 São Francisco do Pará";16
"150745 São Geraldo do Araguaia";61
"150746 São João da Ponta";4
"150747 São João de Pirabas";4
"150750 São João do Araguaia";42
"150760 São Miguel do Guamá";17
"150770 São Sebastião da Boa Vista";12
"150775 Sapucaia";7
"150780 Senador José Porfírio";198
"150790 Soure";4
"150795 Tailândia";330
"150796 Terra Alta";6
"150797 Terra Santa";36
"150800 Tomé-Açu";302
"150803 Tracuateua";37
"150805 Trairão";136
"150808 Tucumã";164
"150810 Tucuruí";125
"150812 Ulianópolis";262
"150815 Uruará";590
"150820 Vigia";11
"150830 Viseu";166
"150835 Vitória do Xingu";117
"150840 Xinguara";44
"160010 Amapá";21
"160020 Calçoene";360
"160021 Cutias";9
"160023 Ferreira Gomes";10
"160025 Itaubal";3
"160027 Laranjal do Jari";609
"160030 Macapá";274
"160040 Mazagão";94
"160050 Oiapoque";541
"160015 Pedra Branca do Amapari";244
"160053 Porto Grande";292
"160055 Pracuúba";9
"160060 Santana";97
"160005 Serra do Navio";214
"160070 Tartarugalzinho";108
"160080 Vitória do Jari";74
"170025 Abreulândia";16
"170030 Aguiarnópolis";3
"170035 Aliança do Tocantins";3
"170040 Almas";15
"170070 Alvorada";3
"170100 Ananás";32
"170105 Angico";7
"170110 Aparecida do Rio Negro";13
"170130 Aragominas";5
"170190 Araguacema";22
"170200 Araguaçu";10
"170210 Araguaína";94
"170215 Araguanã";12
"170220 Araguatins";22
"170230 Arapoema";4
"170240 Arraias";3
"170255 Augustinópolis";11
"170270 Aurora do Tocantins";15
"170290 Axixá do Tocantins";13
"170300 Babaçulândia";7
"170305 Bandeirantes do Tocantins";3
"170307 Barra do Ouro";3
"170310 Barrolândia";1
"170320 Bernardo Sayão";7
"170330 Bom Jesus do Tocantins";5
"170360 Brasilândia do Tocantins";3
"170370 Brejinho de Nazaré";27
"170380 Buriti do Tocantins";10
"170382 Cachoeirinha";10
"170384 Campos Lindos";3
"170386 Cariri do Tocantins";1
"170388 Carmolândia";5
"170389 Carrasco Bonito";5
"170390 Caseara";2
"170410 Centenário";14
"170510 Chapada da Natividade";4
"170460 Chapada de Areia";1
"170550 Colinas do Tocantins";32
"171670 Colméia";13
"170555 Combinado";12
"170560 Conceição do Tocantins";1
"170600 Couto Magalhães";21
"170610 Cristalândia";15
"170625 Crixás do Tocantins";1
"170650 Darcinópolis";4
"170700 Dianópolis";37
"170710 Divinópolis do Tocantins";13
"170720 Dois Irmãos do Tocantins";27
"170730 Dueré";4
"170740 Esperantina";22
"170755 Fátima";11
"170765 Figueirópolis";3
"170770 Filadélfia";7
"170820 Formoso do Araguaia";7
"170825 Fortaleza do Tabocão";9
"170830 Goianorte";19
"170900 Goiatins";22
"170930 Guaraí";26
"170950 Gurupi";15
"170980 Ipueiras";5
"171050 Itacajá";17
"171070 Itaguatins";2
"171090 Itapiratins";4
"171110 Itaporã do Tocantins";8
"171150 Jaú do Tocantins";7
"171180 Juarina";2
"171190 Lagoa da Confusão";6
"171195 Lagoa do Tocantins";3
"171200 Lajeado";14
"171215 Lavandeira";10
"171240 Lizarda";1
"171245 Luzinópolis";8
"171250 Marianópolis do Tocantins";31
"171270 Mateiros";7
"171280 Maurilândia do Tocantins";9
"171320 Miracema do Tocantins";20
"171330 Miranorte";21
"171360 Monte do Carmo";52
"171370 Monte Santo do Tocantins";6
"171395 Muricilândia";4
"171420 Natividade";7
"171430 Nazaré";3
"171488 Nova Olinda";14
"171500 Nova Rosalândia";5
"171510 Novo Acordo";5
"171515 Novo Alegre";3
"171525 Novo Jardim";13
"171550 Oliveira de Fátima";5
"172100 Palmas";195
"171570 Palmeirante";3
"171380 Palmeiras do Tocantins";4
"171575 Palmeirópolis";13
"171610 Paraíso do Tocantins";43
"171620 Paranã";4
"171630 Pau D'Arco";9
"171650 Pedro Afonso";17
"171660 Peixe";1
"171665 Pequizeiro";2
"171700 Pindorama do Tocantins";17
"171720 Piraquê";7
"171750 Pium";41
"171780 Ponte Alta do Bom Jesus";2
"171790 Ponte Alta do Tocantins";72
"171820 Porto Nacional";94
"171830 Praia Norte";5
"171840 Presidente Kennedy";5
"171845 Pugmil";2
"171850 Recursolândia";20
"171855 Riachinho";16
"171865 Rio da Conceição";10
"171870 Rio dos Bois";9
"171875 Rio Sono";14
"171880 Sampaio";1
"171884 Sandolândia";12
"171886 Santa Fé do Araguaia";18
"171888 Santa Maria do Tocantins";7
"171889 Santa Rita do Tocantins";8
"171890 Santa Rosa do Tocantins";7
"171900 Santa Tereza do Tocantins";16
"172000 Santa Terezinha do Tocantins";6
"172010 São Bento do Tocantins";27
"172020 São Miguel do Tocantins";3
