2011
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/meninbr.def
Meningitis
"Município de residência";"Casos confirmados"
"110001 ALTA FLORESTA D'OESTE";16
"110002 ARIQUEMES";29
"110003 CABIXI";2
"110004 CACOAL";85
"110005 CEREJEIRAS";6
"110006 COLORADO DO OESTE";2
"110007 CORUMBIARA";1
"110008 COSTA MARQUES";3
"110009 ESPIGAO D'OESTE";35
"110010 GUAJARA-MIRIM";14
"110011 JARU";13
"110012 JI-PARANA";40
"110013 MACHADINHO D'OESTE";11
"110014 NOVA BRASILANDIA D'OESTE";7
"110015 OURO PRETO DO OESTE";21
"110018 PIMENTA BUENO";20
"110020 PORTO VELHO";266
"110025 PRESIDENTE MEDICI";4
"110026 RIO CRESPO";2
"110028 ROLIM DE MOURA";31
"110029 SANTA LUZIA D'OESTE";8
"110030 VILHENA";25
"110032 SAO MIGUEL DO GUAPORE";7
"110033 NOVA MAMORE";14
"110034 ALVORADA D'OESTE";3
"110037 ALTO ALEGRE DOS PARECIS";2
"110040 ALTO PARAISO";4
"110045 BURITIS";9
"110050 NOVO HORIZONTE DO OESTE";6
"110060 CACAULANDIA";1
"110070 CAMPO NOVO DE RONDONIA";1
"110080 CANDEIAS DO JAMARI";11
"110090 CASTANHEIRAS";1
"110092 CHUPINGUAIA";6
"110094 CUJUBIM";8
"110100 GOVERNADOR JORGE TEIXEIRA";5
"110110 ITAPUA DO OESTE";3
"110120 MINISTRO ANDREAZZA";6
"110130 MIRANTE DA SERRA";5
"110140 MONTE NEGRO";3
"110143 NOVA UNIAO";2
"110145 PARECIS";4
"110147 PRIMAVERA DE RONDONIA";2
"110148 SAO FELIPE D'OESTE";3
"110149 SAO FRANCISCO DO GUAPORE";3
"110150 SERINGUEIRAS";4
"110155 TEIXEIROPOLIS";2
"110160 THEOBROMA";1
"110170 URUPA";4
"110180 VALE DO PARAISO";4
"120001 ACRELANDIA";2
"120005 ASSIS BRASIL";1
"120010 BRASILEIA";4
"120013 BUJARI";4
"120017 CAPIXABA";2
"120020 CRUZEIRO DO SUL";22
"120025 EPITACIOLANDIA";6
"120030 FEIJO";15
"120032 JORDAO";1
"120033 MANCIO LIMA";5
"120034 MANOEL URBANO";1
"120035 MARECHAL THAUMATURGO";2
"120038 PLACIDO DE CASTRO";2
"120039 PORTO WALTER";3
"120040 RIO BRANCO";111
"120042 RODRIGUES ALVES";6
"120043 SANTA ROSA DO PURUS";3
"120045 SENADOR GUIOMARD";11
"120050 SENA MADUREIRA";6
"120060 TARAUACA";12
"120070 XAPURI";1
"120080 PORTO ACRE";4
"130002 ALVARAES";5
"130006 AMATURA";1
"130008 ANAMA";2
"130010 ANORI";5
"130014 APUI";2
"130030 AUTAZES";12
"130040 BARCELOS";5
"130050 BARREIRINHA";9
"130060 BENJAMIN CONSTANT";6
"130063 BERURI";2
"130068 BOA VISTA DO RAMOS";5
"130070 BOCA DO ACRE";10
"130080 BORBA";12
"130083 CAAPIRANGA";1
"130090 CANUTAMA";3
"130100 CARAUARI";2
"130110 CAREIRO";13
"130115 CAREIRO DA VARZEA";10
"130120 COARI";11
"130130 CODAJAS";5
"130140 EIRUNEPE";3
"130150 ENVIRA";2
"130160 FONTE BOA";2
"130165 GUAJARA";8
"130170 HUMAITA";22
"130180 IPIXUNA";5
"130185 IRANDUBA";26
"130190 ITACOATIARA";29
"130195 ITAMARATI";1
"130210 JAPURA";1
"130220 JURUA";1
"130230 JUTAI";2
"130240 LABREA";13
"130250 MANACAPURU";39
"130255 MANAQUIRI";3
"130260 MANAUS";1528
"130270 MANICORE";5
"130280 MARAA";2
"130290 MAUES";19
"130300 NHAMUNDA";2
"130310 NOVA OLINDA DO NORTE";2
"130320 NOVO AIRAO";7
"130330 NOVO ARIPUANA";3
"130340 PARINTINS";21
"130350 PAUINI";5
"130353 PRESIDENTE FIGUEIREDO";7
"130356 RIO PRETO DA EVA";10
"130360 SANTA ISABEL DO RIO NEGRO";4
"130370 SANTO ANTONIO DO ICA";3
"130380 SAO GABRIEL DA CACHOEIRA";24
"130390 SAO PAULO DE OLIVENCA";1
"130395 SAO SEBASTIAO DO UATUMA";1
"130406 TABATINGA";17
"130410 TAPAUA";10
"130420 TEFE";8
"130423 TONANTINS";2
"130426 UARINI";2
"130430 URUCARA";1
"130440 URUCURITUBA";3
"140002 AMAJARI";4
"140005 ALTO ALEGRE";7
"140010 BOA VISTA";180
"140015 BONFIM";6
"140017 CANTA";4
"140020 CARACARAI";5
"140023 CAROEBE";2
"140028 IRACEMA";2
"140030 MUCAJAI";9
"140040 NORMANDIA";6
"140045 PACARAIMA";6
"140047 RORAINOPOLIS";8
"140050 SAO JOAO DA BALIZA";1
"140060 SAO LUIZ";2
"140070 UIRAMUTA";9
"150010 ABAETETUBA";106
"150013 ABEL FIGUEIREDO";1
"150020 ACARA";66
"150030 AFUA";11
"150034 AGUA AZUL DO NORTE";1
"150040 ALENQUER";5
"150050 ALMEIRIM";3
"150060 ALTAMIRA";64
"150070 ANAJAS";10
"150080 ANANINDEUA";420
"150085 ANAPU";11
"150090 AUGUSTO CORREA";18
"150095 AURORA DO PARA";24
"150100 AVEIRO";2
"150110 BAGRE";8
"150120 BAIAO";14
"150130 BARCARENA";94
"150140 BELEM";1688
"150150 BENEVIDES";77
"150157 BOM JESUS DO TOCANTINS";3
"150160 BONITO";7
"150170 BRAGANCA";56
"150172 BRASIL NOVO";8
"150178 BREU BRANCO";7
"150180 BREVES";27
"150190 BUJARU";12
"150195 CACHOEIRA DO PIRIA";13
"150200 CACHOEIRA DO ARARI";6
"150210 CAMETA";52
"150215 CANAA DOS CARAJAS";7
"150220 CAPANEMA";59
"150230 CAPITAO POCO";19
"150240 CASTANHAL";211
"150250 CHAVES";2
"150260 COLARES";10
"150270 CONCEICAO DO ARAGUAIA";12
"150275 CONCORDIA DO PARA";18
"150276 CUMARU DO NORTE";6
"150277 CURIONOPOLIS";1
"150280 CURRALINHO";11
"150285 CURUA";3
"150290 CURUCA";35
"150293 DOM ELISEU";2
"150295 ELDORADO DOS CARAJAS";2
"150304 FLORESTA DO ARAGUAIA";4
"150307 GARRAFAO DO NORTE";16
"150309 GOIANESIA DO PARA";9
"150310 GURUPA";11
"150320 IGARAPE-ACU";23
"150330 IGARAPE-MIRI";45
"150340 INHANGAPI";14
"150345 IPIXUNA DO PARA";15
"150350 IRITUIA";16
"150360 ITAITUBA";13
"150370 ITUPIRANGA";11
"150375 JACAREACANGA";3
"150380 JACUNDA";6
"150390 JURUTI";4
"150400 LIMOEIRO DO AJURU";14
"150405 MAE DO RIO";17
"150410 MAGALHAES BARATA";6
"150420 MARABA";69
"150430 MARACANA";17
"150440 MARAPANIM";14
"150442 MARITUBA";171
"150445 MEDICILANDIA";8
