2021
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisgestantebr.def
Syphilis In Pregnant Women
"Município de residência";"Casos confirmados"
" MUNICIPIO IGNORADO - RO";2
"110001 ALTA FLORESTA D'OESTE";18
"110002 ARIQUEMES";151
"110003 CABIXI";1
"110004 CACOAL";100
"110005 CEREJEIRAS";14
"110006 COLORADO DO OESTE";13
"110007 CORUMBIARA";4
"110008 COSTA MARQUES";19
"110009 ESPIGAO D'OESTE";32
"110010 GUAJARA-MIRIM";53
"110011 JARU";52
"110012 JI-PARANA";150
"110013 MACHADINHO D'OESTE";41
"110014 NOVA BRASILANDIA D'OESTE";11
"110015 OURO PRETO DO OESTE";31
"110018 PIMENTA BUENO";6
"110020 PORTO VELHO";590
"110025 PRESIDENTE MEDICI";16
"110026 RIO CRESPO";3
"110028 ROLIM DE MOURA";70
"110030 VILHENA";157
"110032 SAO MIGUEL DO GUAPORE";19
"110033 NOVA MAMORE";37
"110034 ALVORADA D'OESTE";2
"110037 ALTO ALEGRE DOS PARECIS";2
"110040 ALTO PARAISO";8
"110045 BURITIS";44
"110060 CACAULANDIA";1
"110070 CAMPO NOVO DE RONDONIA";5
"110080 CANDEIAS DO JAMARI";32
"110090 CASTANHEIRAS";1
"110092 CHUPINGUAIA";21
"110094 CUJUBIM";26
"110100 GOVERNADOR JORGE TEIXEIRA";4
"110110 ITAPUA DO OESTE";4
"110120 MINISTRO ANDREAZZA";2
"110130 MIRANTE DA SERRA";4
"110140 MONTE NEGRO";13
"110146 PIMENTEIRAS DO OESTE";2
"110147 PRIMAVERA DE RONDONIA";1
"110149 SAO FRANCISCO DO GUAPORE";28
"110150 SERINGUEIRAS";14
"110155 TEIXEIROPOLIS";1
"110160 THEOBROMA";6
"110170 URUPA";5
"110175 VALE DO ANARI";6
"110180 VALE DO PARAISO";3
"120001 ACRELANDIA";22
"120005 ASSIS BRASIL";14
"120010 BRASILEIA";67
"120013 BUJARI";32
"120017 CAPIXABA";28
"120020 CRUZEIRO DO SUL";137
"120025 EPITACIOLANDIA";25
"120030 FEIJO";58
"120032 JORDAO";6
"120033 MANCIO LIMA";12
"120034 MANOEL URBANO";15
"120035 MARECHAL THAUMATURGO";7
"120038 PLACIDO DE CASTRO";24
"120039 PORTO WALTER";13
"120040 RIO BRANCO";815
"120042 RODRIGUES ALVES";8
"120043 SANTA ROSA DO PURUS";22
"120045 SENADOR GUIOMARD";33
"120050 SENA MADUREIRA";57
"120060 TARAUACA";135
"120070 XAPURI";38
"120080 PORTO ACRE";57
"130002 ALVARAES";11
"130006 AMATURA";2
"130008 ANAMA";2
"130010 ANORI";8
"130014 APUI";7
"130020 ATALAIA DO NORTE";1
"130030 AUTAZES";30
"130040 BARCELOS";3
"130050 BARREIRINHA";13
"130060 BENJAMIN CONSTANT";19
"130063 BERURI";6
"130068 BOA VISTA DO RAMOS";10
"130070 BOCA DO ACRE";34
"130080 BORBA";33
"130083 CAAPIRANGA";7
"130090 CANUTAMA";13
"130100 CARAUARI";31
"130110 CAREIRO";19
"130115 CAREIRO DA VARZEA";4
"130120 COARI";45
"130130 CODAJAS";9
"130140 EIRUNEPE";39
"130150 ENVIRA";44
"130165 GUAJARA";11
"130170 HUMAITA";55
"130180 IPIXUNA";6
"130185 IRANDUBA";40
"130190 ITACOATIARA";72
"130195 ITAMARATI";7
"130200 ITAPIRANGA";8
"130210 JAPURA";12
"130220 JURUA";2
"130230 JUTAI";11
"130240 LABREA";49
"130250 MANACAPURU";97
"130255 MANAQUIRI";9
"130260 MANAUS";3927
"130270 MANICORE";73
"130280 MARAA";6
"130290 MAUES";15
"130300 NHAMUNDA";9
"130310 NOVA OLINDA DO NORTE";39
"130320 NOVO AIRAO";8
"130330 NOVO ARIPUANA";9
"130340 PARINTINS";131
"130350 PAUINI";26
"130353 PRESIDENTE FIGUEIREDO";21
"130356 RIO PRETO DA EVA";27
"130360 SANTA ISABEL DO RIO NEGRO";9
"130370 SANTO ANTONIO DO ICA";10
"130380 SAO GABRIEL DA CACHOEIRA";12
"130390 SAO PAULO DE OLIVENCA";15
"130395 SAO SEBASTIAO DO UATUMA";10
"130400 SILVES";6
"130406 TABATINGA";37
"130410 TAPAUA";4
"130420 TEFE";64
"130423 TONANTINS";1
"130426 UARINI";7
"130430 URUCARA";8
"130440 URUCURITUBA";9
"140002 AMAJARI";7
"140005 ALTO ALEGRE";12
"140010 BOA VISTA";790
"140015 BONFIM";14
"140017 CANTA";28
"140020 CARACARAI";42
"140023 CAROEBE";8
"140028 IRACEMA";7
"140030 MUCAJAI";31
"140040 NORMANDIA";9
"140045 PACARAIMA";81
"140047 RORAINOPOLIS";52
"140050 SAO JOAO DA BALIZA";7
"140060 SAO LUIZ";9
"140070 UIRAMUTA";3
"150010 ABAETETUBA";66
"150013 ABEL FIGUEIREDO";3
"150020 ACARA";46
"150030 AFUA";49
"150034 AGUA AZUL DO NORTE";10
"150040 ALENQUER";22
"150050 ALMEIRIM";9
"150060 ALTAMIRA";95
"150070 ANAJAS";76
"150080 ANANINDEUA";463
"150085 ANAPU";54
"150090 AUGUSTO CORREA";35
"150095 AURORA DO PARA";16
"150100 AVEIRO";7
"150110 BAGRE";26
"150120 BAIAO";23
"150125 BANNACH";3
"150130 BARCARENA";150
"150140 BELEM";1396
"150145 BELTERRA";8
"150150 BENEVIDES";93
"150157 BOM JESUS DO TOCANTINS";5
"150160 BONITO";3
"150170 BRAGANCA";77
"150172 BRASIL NOVO";24
"150175 BREJO GRANDE DO ARAGUAIA";13
"150178 BREU BRANCO";39
"150180 BREVES";173
"150190 BUJARU";35
"150195 CACHOEIRA DO PIRIA";15
"150200 CACHOEIRA DO ARARI";6
"150210 CAMETA";89
"150215 CANAA DOS CARAJAS";119
"150220 CAPANEMA";34
"150230 CAPITAO POCO";26
"150240 CASTANHAL";170
"150250 CHAVES";13
"150260 COLARES";5
"150270 CONCEICAO DO ARAGUAIA";30
"150275 CONCORDIA DO PARA";18
"150276 CUMARU DO NORTE";3
"150277 CURIONOPOLIS";23
"150280 CURRALINHO";26
"150285 CURUA";5
"150290 CURUCA";26
"150293 DOM ELISEU";32
"150295 ELDORADO DOS CARAJAS";41
"150300 FARO";10
"150304 FLORESTA DO ARAGUAIA";31
"150307 GARRAFAO DO NORTE";10
"150309 GOIANESIA DO PARA";27
"150310 GURUPA";28
"150320 IGARAPE-ACU";18
"150330 IGARAPE-MIRI";23
"150340 INHANGAPI";6
"150345 IPIXUNA DO PARA";32
"150350 IRITUIA";22
"150360 ITAITUBA";290
"150370 ITUPIRANGA";35
"150375 JACAREACANGA";20
"150380 JACUNDA";45
"150390 JURUTI";50
"150400 LIMOEIRO DO AJURU";27
"150405 MAE DO RIO";11
"150410 MAGALHAES BARATA";10
"150420 MARABA";538
"150430 MARACANA";28
"150440 MARAPANIM";10
"150442 MARITUBA";232
"150445 MEDICILANDIA";42
"150450 MELGACO";18
"150460 MOCAJUBA";20
"150470 MOJU";91
"150475 MOJUI DOS CAMPOS";6
"150480 MONTE ALEGRE";38
"150490 MUANA";45
"150495 NOVA ESPERANCA DO PIRIA";13
"150497 NOVA IPIXUNA";3
"150500 NOVA TIMBOTEUA";2
"150503 NOVO PROGRESSO";78
"150506 NOVO REPARTIMENTO";57
"150510 OBIDOS";33
"150520 OEIRAS DO PARA";37
"150530 ORIXIMINA";32
"150540 OUREM";6
"150543 OURILANDIA DO NORTE";24
"150548 PACAJA";38
"150549 PALESTINA DO PARA";2
"150550 PARAGOMINAS";122
"150553 PARAUAPEBAS";390
"150555 PAU D'ARCO";8
"150560 PEIXE-BOI";1
"150563 PICARRA";7
"150565 PLACAS";9
"150570 PONTA DE PEDRAS";32
"150580 PORTEL";97
"150590 PORTO DE MOZ";12
"150600 PRAINHA";25
"150610 PRIMAVERA";6
