2018
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisadquiridabr.def
Acquired Syphilis
"Município de residência";"Em Branco/ign";"Total"
"110001 ALTA FLORESTA D'OESTE";75;75
"110002 ARIQUEMES";552;552
"110003 CABIXI";7;7
"110004 CACOAL";717;717
"110005 CEREJEIRAS";49;49
"110006 COLORADO DO OESTE";82;82
"110007 CORUMBIARA";21;21
"110008 COSTA MARQUES";30;30
"110009 ESPIGAO D'OESTE";134;134
"110010 GUAJARA-MIRIM";296;296
"110011 JARU";268;268
"110012 JI-PARANA";791;791
"110013 MACHADINHO D'OESTE";182;182
"110014 NOVA BRASILANDIA D'OESTE";51;51
"110015 OURO PRETO DO OESTE";79;79
"110018 PIMENTA BUENO";85;85
"110020 PORTO VELHO";3024;3024
"110025 PRESIDENTE MEDICI";50;50
"110026 RIO CRESPO";37;37
"110028 ROLIM DE MOURA";214;214
"110029 SANTA LUZIA D'OESTE";9;9
"110030 VILHENA";684;684
"110032 SAO MIGUEL DO GUAPORE";41;41
"110033 NOVA MAMORE";122;122
"110034 ALVORADA D'OESTE";31;31
"110037 ALTO ALEGRE DOS PARECIS";20;20
"110040 ALTO PARAISO";17;17
"110045 BURITIS";379;379
"110050 NOVO HORIZONTE DO OESTE";6;6
"110060 CACAULANDIA";8;8
"110070 CAMPO NOVO DE RONDONIA";38;38
"110080 CANDEIAS DO JAMARI";91;91
"110090 CASTANHEIRAS";3;3
"110092 CHUPINGUAIA";41;41
"110094 CUJUBIM";90;90
"110100 GOVERNADOR JORGE TEIXEIRA";15;15
"110110 ITAPUA DO OESTE";19;19
"110120 MINISTRO ANDREAZZA";14;14
"110130 MIRANTE DA SERRA";8;8
"110140 MONTE NEGRO";78;78
"110143 NOVA UNIAO";1;1
"110145 PARECIS";11;11
"110146 PIMENTEIRAS DO OESTE";5;5
"110147 PRIMAVERA DE RONDONIA";10;10
"110148 SAO FELIPE D'OESTE";2;2
"110149 SAO FRANCISCO DO GUAPORE";154;154
"110150 SERINGUEIRAS";24;24
"110155 TEIXEIROPOLIS";12;12
"110160 THEOBROMA";10;10
"110170 URUPA";32;32
"110175 VALE DO ANARI";7;7
"110180 VALE DO PARAISO";8;8
"120001 ACRELANDIA";65;65
"120005 ASSIS BRASIL";66;66
"120010 BRASILEIA";299;299
"120013 BUJARI";95;95
"120017 CAPIXABA";18;18
"120020 CRUZEIRO DO SUL";338;338
"120025 EPITACIOLANDIA";113;113
"120030 FEIJO";15;15
"120032 JORDAO";15;15
"120033 MANCIO LIMA";84;84
"120034 MANOEL URBANO";48;48
"120035 MARECHAL THAUMATURGO";12;12
"120038 PLACIDO DE CASTRO";62;62
"120039 PORTO WALTER";38;38
"120040 RIO BRANCO";2115;2115
"120042 RODRIGUES ALVES";38;38
"120043 SANTA ROSA DO PURUS";86;86
"120045 SENADOR GUIOMARD";153;153
"120050 SENA MADUREIRA";266;266
"120060 TARAUACA";390;390
"120070 XAPURI";111;111
"120080 PORTO ACRE";115;115
" MUNICIPIO IGNORADO - AM";1;1
"130002 ALVARAES";26;26
"130006 AMATURA";51;51
"130008 ANAMA";31;31
"130010 ANORI";52;52
"130014 APUI";53;53
"130020 ATALAIA DO NORTE";80;80
"130030 AUTAZES";64;64
"130040 BARCELOS";22;22
"130050 BARREIRINHA";35;35
"130060 BENJAMIN CONSTANT";175;175
"130063 BERURI";39;39
"130068 BOA VISTA DO RAMOS";28;28
"130070 BOCA DO ACRE";35;35
"130080 BORBA";89;89
"130083 CAAPIRANGA";18;18
"130090 CANUTAMA";28;28
"130100 CARAUARI";316;316
"130110 CAREIRO";104;104
"130115 CAREIRO DA VARZEA";25;25
"130120 COARI";481;481
"130130 CODAJAS";54;54
"130140 EIRUNEPE";199;199
"130150 ENVIRA";297;297
"130160 FONTE BOA";21;21
"130165 GUAJARA";29;29
"130170 HUMAITA";159;159
"130180 IPIXUNA";36;36
"130185 IRANDUBA";255;255
"130190 ITACOATIARA";322;322
"130195 ITAMARATI";53;53
"130200 ITAPIRANGA";39;39
"130210 JAPURA";21;21
"130220 JURUA";32;32
"130230 JUTAI";80;80
"130240 LABREA";162;162
"130250 MANACAPURU";338;338
"130255 MANAQUIRI";48;48
"130260 MANAUS";16300;16300
"130270 MANICORE";190;190
"130280 MARAA";83;83
"130290 MAUES";84;84
"130300 NHAMUNDA";23;23
"130310 NOVA OLINDA DO NORTE";183;183
"130320 NOVO AIRAO";72;72
"130330 NOVO ARIPUANA";31;31
"130340 PARINTINS";583;583
"130350 PAUINI";189;189
"130353 PRESIDENTE FIGUEIREDO";138;138
"130356 RIO PRETO DA EVA";94;94
"130360 SANTA ISABEL DO RIO NEGRO";85;85
"130370 SANTO ANTONIO DO ICA";21;21
"130380 SAO GABRIEL DA CACHOEIRA";122;122
"130390 SAO PAULO DE OLIVENCA";55;55
"130395 SAO SEBASTIAO DO UATUMA";30;30
"130400 SILVES";32;32
"130406 TABATINGA";448;448
"130410 TAPAUA";26;26
"130420 TEFE";185;185
"130423 TONANTINS";60;60
"130426 UARINI";32;32
"130430 URUCARA";42;42
"130440 URUCURITUBA";74;74
"140002 AMAJARI";17;17
"140005 ALTO ALEGRE";26;26
"140010 BOA VISTA";2700;2700
"140015 BONFIM";44;44
"140017 CANTA";45;45
"140020 CARACARAI";92;92
"140023 CAROEBE";18;18
"140028 IRACEMA";42;42
"140030 MUCAJAI";107;107
"140040 NORMANDIA";22;22
"140045 PACARAIMA";127;127
"140047 RORAINOPOLIS";121;121
"140050 SAO JOAO DA BALIZA";56;56
"140060 SAO LUIZ";42;42
"140070 UIRAMUTA";29;29
" MUNICIPIO IGNORADO - PA";2;2
"150010 ABAETETUBA";530;530
"150013 ABEL FIGUEIREDO";3;3
"150020 ACARA";28;28
"150030 AFUA";43;43
"150034 AGUA AZUL DO NORTE";14;14
"150040 ALENQUER";90;90
"150050 ALMEIRIM";9;9
"150060 ALTAMIRA";197;197
"150070 ANAJAS";84;84
"150080 ANANINDEUA";1351;1351
"150085 ANAPU";45;45
"150090 AUGUSTO CORREA";15;15
"150095 AURORA DO PARA";61;61
"150100 AVEIRO";10;10
"150110 BAGRE";46;46
"150120 BAIAO";70;70
"150125 BANNACH";24;24
"150130 BARCARENA";198;198
"150140 BELEM";3245;3245
"150145 BELTERRA";15;15
"150150 BENEVIDES";260;260
"150157 BOM JESUS DO TOCANTINS";5;5
"150160 BONITO";5;5
"150170 BRAGANCA";366;366
"150172 BRASIL NOVO";28;28
"150175 BREJO GRANDE DO ARAGUAIA";1;1
"150178 BREU BRANCO";38;38
"150180 BREVES";85;85
"150190 BUJARU";36;36
"150195 CACHOEIRA DO PIRIA";20;20
"150200 CACHOEIRA DO ARARI";16;16
"150210 CAMETA";202;202
"150215 CANAA DOS CARAJAS";98;98
"150220 CAPANEMA";226;226
"150230 CAPITAO POCO";134;134
"150240 CASTANHAL";141;141
"150250 CHAVES";27;27
"150260 COLARES";10;10
"150270 CONCEICAO DO ARAGUAIA";111;111
"150275 CONCORDIA DO PARA";11;11
"150276 CUMARU DO NORTE";6;6
"150277 CURIONOPOLIS";29;29
"150280 CURRALINHO";16;16
"150285 CURUA";17;17
"150290 CURUCA";195;195
"150293 DOM ELISEU";31;31
"150295 ELDORADO DOS CARAJAS";67;67
"150300 FARO";18;18
"150304 FLORESTA DO ARAGUAIA";35;35
"150307 GARRAFAO DO NORTE";31;31
"150309 GOIANESIA DO PARA";55;55
"150310 GURUPA";13;13
"150320 IGARAPE-ACU";33;33
"150330 IGARAPE-MIRI";111;111
"150340 INHANGAPI";6;6
"150345 IPIXUNA DO PARA";132;132
"150350 IRITUIA";42;42
"150360 ITAITUBA";149;149
"150370 ITUPIRANGA";83;83
"150375 JACAREACANGA";61;61
"150380 JACUNDA";216;216
"150390 JURUTI";113;113
"150400 LIMOEIRO DO AJURU";68;68
"150405 MAE DO RIO";29;29
"150410 MAGALHAES BARATA";59;59
"150420 MARABA";756;756
"150430 MARACANA";23;23
"150440 MARAPANIM";81;81
"150442 MARITUBA";124;124
"150445 MEDICILANDIA";75;75
"150450 MELGACO";10;10
"150460 MOCAJUBA";68;68
"150470 MOJU";58;58
"150475 MOJUI DOS CAMPOS";13;13
"150480 MONTE ALEGRE";47;47
"150490 MUANA";9;9
"150495 NOVA ESPERANCA DO PIRIA";7;7
"150497 NOVA IPIXUNA";16;16
"150500 NOVA TIMBOTEUA";18;18
"150503 NOVO PROGRESSO";79;79
"150506 NOVO REPARTIMENTO";103;103
"150510 OBIDOS";46;46
"150520 OEIRAS DO PARA";75;75
"150530 ORIXIMINA";6;6
"150540 OUREM";21;21
"150543 OURILANDIA DO NORTE";62;62
"150548 PACAJA";55;55
"150549 PALESTINA DO PARA";4;4
"150550 PARAGOMINAS";405;405
"150553 PARAUAPEBAS";825;825
"150555 PAU D'ARCO";11;11
"150560 PEIXE-BOI";10;10
"150563 PICARRA";9;9
"150565 PLACAS";13;13
"150570 PONTA DE PEDRAS";74;74
"150580 PORTEL";3;3
"150590 PORTO DE MOZ";21;21
"150600 PRAINHA";50;50
"150610 PRIMAVERA";19;19
"150611 QUATIPURU";79;79
"150613 REDENCAO";123;123
"150616 RIO MARIA";75;75
"150618 RONDON DO PARA";15;15
"150619 RUROPOLIS";30;30
"150620 SALINOPOLIS";424;424
"150630 SALVATERRA";29;29
"150635 SANTA BARBARA DO PARA";36;36
"150640 SANTA CRUZ DO ARARI";21;21
"150650 SANTA IZABEL DO PARA";14;14
"150655 SANTA LUZIA DO PARA";45;45
"150658 SANTA MARIA DAS BARREIRAS";1;1
"150660 SANTA MARIA DO PARA";35;35
"150670 SANTANA DO ARAGUAIA";95;95
"150680 SANTAREM";1855;1855
"150690 SANTAREM NOVO";13;13
"150700 SANTO ANTONIO DO TAUA";7;7
"150710 SAO CAETANO DE ODIVELAS";5;5
"150715 SAO DOMINGOS DO ARAGUAIA";17;17
"150720 SAO DOMINGOS DO CAPIM";20;20
"150730 SAO FELIX DO XINGU";311;311
"150740 SAO FRANCISCO DO PARA";22;22
"150745 SAO GERALDO DO ARAGUAIA";38;38
"150746 SAO JOAO DA PONTA";9;9
"150747 SAO JOAO DE PIRABAS";165;165
"150750 SAO JOAO DO ARAGUAIA";14;14
"150760 SAO MIGUEL DO GUAMA";93;93
"150770 SAO SEBASTIAO DA BOA VISTA";58;58
"150775 SAPUCAIA";23;23
"150780 SENADOR JOSE PORFIRIO";12;12
"150790 SOURE";15;15
"150795 TAILANDIA";149;149
"150796 TERRA ALTA";4;4
"150797 TERRA SANTA";85;85
"150800 TOME-ACU";78;78
"150803 TRACUATEUA";169;169
"150805 TRAIRAO";57;57
"150808 TUCUMA";50;50
"150810 TUCURUI";135;135
"150812 ULIANOPOLIS";2;2
"150815 URUARA";4;4
"150820 VIGIA";88;88
"150830 VISEU";41;41
"150835 VITORIA DO XINGU";56;56
"150840 XINGUARA";554;554
"160005 SERRA DO NAVIO";4;4
"160010 AMAPA";27;27
"160015 PEDRA BRANCA DO AMAPARI";50;50
"160020 CALCOENE";15;15
"160021 CUTIAS";20;20
"160023 FERREIRA GOMES";18;18
"160025 ITAUBAL";7;7
"160027 LARANJAL DO JARI";311;311
"160030 MACAPA";2379;2379
"160040 MAZAGAO";42;42
"160050 OIAPOQUE";107;107
"160053 PORTO GRANDE";39;39
"160055 PRACUUBA";7;7
"160060 SANTANA";284;284
"160070 TARTARUGALZINHO";73;73
"160080 VITORIA DO JARI";32;32
"170025 ABREULANDIA";7;7
"170030 AGUIARNOPOLIS";23;23
"170035 ALIANCA DO TOCANTINS";11;11
"170040 ALMAS";11;11
"170070 ALVORADA";20;20
"170100 ANANAS";109;109
"170105 ANGICO";4;4
"170110 APARECIDA DO RIO NEGRO";16;16
"170130 ARAGOMINAS";17;17
"170190 ARAGUACEMA";9;9
"170200 ARAGUACU";31;31
"170210 ARAGUAINA";909;909
"170215 ARAGUANA";11;11
"170220 ARAGUATINS";92;92
"170230 ARAPOEMA";17;17
"170240 ARRAIAS";6;6
"170255 AUGUSTINOPOLIS";247;247
"170270 AURORA DO TOCANTINS";3;3
"170290 AXIXA DO TOCANTINS";18;18
"170300 BABACULANDIA";20;20
