2013
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/coquebr.def
Whooping Cough
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"110002 ARIQUEMES";-;-;-;-;1;-;1;1;-;1;-;-;-;4
"110004 CACOAL";-;-;1;5;4;-;2;2;2;-;-;2;1;19
"110005 CEREJEIRAS";-;-;1;-;1;1;-;-;-;-;1;1;1;6
"110006 COLORADO DO OESTE";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"110007 CORUMBIARA";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"110008 COSTA MARQUES";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"110009 ESPIGAO D'OESTE";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"110011 JARU";-;1;-;-;1;-;-;-;-;-;-;-;-;2
"110012 JI-PARANA";-;2;2;-;-;1;1;-;-;-;-;-;2;8
"110014 NOVA BRASILANDIA D'OESTE";-;3;-;1;-;-;-;-;-;-;1;-;-;5
"110015 OURO PRETO DO OESTE";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"110018 PIMENTA BUENO";-;2;-;-;3;-;1;1;-;-;-;1;2;10
"110020 PORTO VELHO";-;19;7;3;1;5;6;1;5;2;1;7;6;63
"110028 ROLIM DE MOURA";-;1;-;-;1;-;-;-;-;-;-;3;-;5
"110029 SANTA LUZIA D'OESTE";-;1;-;-;-;-;-;-;-;1;-;1;2;5
"110030 VILHENA";-;-;1;-;-;-;-;1;1;1;2;-;-;6
"110033 NOVA MAMORE";-;-;1;-;2;-;-;-;-;-;-;-;-;3
"110034 ALVORADA D'OESTE";-;-;-;2;-;-;-;-;-;-;-;-;-;2
"110037 ALTO ALEGRE DOS PARECIS";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"110040 ALTO PARAISO";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"110045 BURITIS";-;-;-;-;-;-;-;-;-;-;-;2;-;2
