2018
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisgestantebr.def
Syphilis In Pregnant Women
"Município de residência";"Casos confirmados"
" MUNICIPIO IGNORADO - RO";3
"110001 ALTA FLORESTA D'OESTE";21
"110002 ARIQUEMES";264
"110003 CABIXI";5
"110004 CACOAL";154
"110005 CEREJEIRAS";20
"110006 COLORADO DO OESTE";22
"110007 CORUMBIARA";6
"110008 COSTA MARQUES";29
"110009 ESPIGAO D'OESTE";48
"110010 GUAJARA-MIRIM";93
"110011 JARU";69
"110012 JI-PARANA";207
"110013 MACHADINHO D'OESTE";76
"110014 NOVA BRASILANDIA D'OESTE";15
"110015 OURO PRETO DO OESTE";42
"110018 PIMENTA BUENO";33
"110020 PORTO VELHO";1071
"110025 PRESIDENTE MEDICI";22
"110026 RIO CRESPO";7
"110028 ROLIM DE MOURA";114
"110029 SANTA LUZIA D'OESTE";3
"110030 VILHENA";267
"110032 SAO MIGUEL DO GUAPORE";26
"110033 NOVA MAMORE";44
"110034 ALVORADA D'OESTE";7
"110037 ALTO ALEGRE DOS PARECIS";4
"110040 ALTO PARAISO";18
"110045 BURITIS";65
"110050 NOVO HORIZONTE DO OESTE";2
"110060 CACAULANDIA";6
"110070 CAMPO NOVO DE RONDONIA";11
"110080 CANDEIAS DO JAMARI";63
"110090 CASTANHEIRAS";3
"110092 CHUPINGUAIA";32
"110094 CUJUBIM";34
"110100 GOVERNADOR JORGE TEIXEIRA";4
"110110 ITAPUA DO OESTE";6
"110120 MINISTRO ANDREAZZA";3
"110130 MIRANTE DA SERRA";7
"110140 MONTE NEGRO";19
"110145 PARECIS";2
"110146 PIMENTEIRAS DO OESTE";2
"110147 PRIMAVERA DE RONDONIA";1
"110149 SAO FRANCISCO DO GUAPORE";45
"110150 SERINGUEIRAS";23
"110155 TEIXEIROPOLIS";1
"110160 THEOBROMA";6
"110170 URUPA";8
"110175 VALE DO ANARI";8
"110180 VALE DO PARAISO";4
"120001 ACRELANDIA";36
"120005 ASSIS BRASIL";41
"120010 BRASILEIA";129
"120013 BUJARI";62
"120017 CAPIXABA";57
"120020 CRUZEIRO DO SUL";231
"120025 EPITACIOLANDIA";56
"120030 FEIJO";120
"120032 JORDAO";13
"120033 MANCIO LIMA";24
"120034 MANOEL URBANO";21
"120035 MARECHAL THAUMATURGO";12
"120038 PLACIDO DE CASTRO";45
"120039 PORTO WALTER";16
"120040 RIO BRANCO";1747
"120042 RODRIGUES ALVES";15
"120043 SANTA ROSA DO PURUS";38
"120045 SENADOR GUIOMARD";102
"120050 SENA MADUREIRA";101
"120060 TARAUACA";273
"120070 XAPURI";88
"120080 PORTO ACRE";107
"130002 ALVARAES";20
"130006 AMATURA";5
"130008 ANAMA";13
"130010 ANORI";26
"130014 APUI";13
"130020 ATALAIA DO NORTE";4
"130030 AUTAZES";54
"130040 BARCELOS";5
"130050 BARREIRINHA";25
"130060 BENJAMIN CONSTANT";47
"130063 BERURI";19
"130068 BOA VISTA DO RAMOS";17
"130070 BOCA DO ACRE";44
"130080 BORBA";58
"130083 CAAPIRANGA";8
"130090 CANUTAMA";19
"130100 CARAUARI";58
"130110 CAREIRO";40
"130115 CAREIRO DA VARZEA";12
"130120 COARI";130
"130130 CODAJAS";27
"130140 EIRUNEPE";70
"130150 ENVIRA";78
"130165 GUAJARA";22
"130170 HUMAITA";105
"130180 IPIXUNA";9
"130185 IRANDUBA";85
"130190 ITACOATIARA";125
"130195 ITAMARATI";8
"130200 ITAPIRANGA";11
"130210 JAPURA";16
"130220 JURUA";4
"130230 JUTAI";32
"130240 LABREA";88
"130250 MANACAPURU";163
"130255 MANAQUIRI";19
"130260 MANAUS";7683
"130270 MANICORE";110
"130280 MARAA";25
"130290 MAUES";43
"130300 NHAMUNDA";12
"130310 NOVA OLINDA DO NORTE";70
"130320 NOVO AIRAO";18
"130330 NOVO ARIPUANA";30
"130340 PARINTINS";221
"130350 PAUINI";59
"130353 PRESIDENTE FIGUEIREDO";52
"130356 RIO PRETO DA EVA";53
"130360 SANTA ISABEL DO RIO NEGRO";21
"130370 SANTO ANTONIO DO ICA";16
"130380 SAO GABRIEL DA CACHOEIRA";30
"130390 SAO PAULO DE OLIVENCA";30
"130395 SAO SEBASTIAO DO UATUMA";13
"130400 SILVES";7
"130406 TABATINGA";122
"130410 TAPAUA";10
"130420 TEFE";110
"130423 TONANTINS";5
"130426 UARINI";11
"130430 URUCARA";11
"130440 URUCURITUBA";26
"140002 AMAJARI";16
"140005 ALTO ALEGRE";28
"140010 BOA VISTA";1347
"140015 BONFIM";22
"140017 CANTA";46
"140020 CARACARAI";85
"140023 CAROEBE";16
"140028 IRACEMA";13
"140030 MUCAJAI";55
"140040 NORMANDIA";18
"140045 PACARAIMA";107
"140047 RORAINOPOLIS";90
"140050 SAO JOAO DA BALIZA";11
"140060 SAO LUIZ";19
"140070 UIRAMUTA";11
"150010 ABAETETUBA";115
"150013 ABEL FIGUEIREDO";6
"150020 ACARA";93
"150030 AFUA";101
"150034 AGUA AZUL DO NORTE";15
"150040 ALENQUER";66
"150050 ALMEIRIM";13
"150060 ALTAMIRA";228
"150070 ANAJAS";83
