2014
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/coquebr.def
Whooping Cough
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"110002 ARIQUEMES";-;-;-;-;1;-;1;-;-;-;-;-;-;2
"110004 CACOAL";-;-;1;3;3;-;2;2;1;-;-;2;1;15
"110005 CEREJEIRAS";-;-;-;-;1;1;-;-;-;-;1;1;1;5
"110006 COLORADO DO OESTE";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"110007 CORUMBIARA";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"110008 COSTA MARQUES";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"110009 ESPIGAO D'OESTE";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"110011 JARU";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"110012 JI-PARANA";-;1;2;-;-;-;1;-;-;-;-;-;2;6
"110014 NOVA BRASILANDIA D'OESTE";-;3;-;-;-;-;-;-;-;-;1;-;-;4
"110018 PIMENTA BUENO";-;2;-;-;1;-;1;1;-;-;-;1;2;8
"110020 PORTO VELHO";-;17;6;1;1;3;2;-;2;2;1;2;5;42
"110028 ROLIM DE MOURA";-;-;-;-;1;-;-;-;-;-;-;3;-;4
"110029 SANTA LUZIA D'OESTE";-;1;-;-;-;-;-;-;-;-;-;-;2;3
"110030 VILHENA";-;-;-;-;-;-;-;1;1;1;2;-;-;5
"110034 ALVORADA D'OESTE";-;-;-;2;-;-;-;-;-;-;-;-;-;2
"110037 ALTO ALEGRE DOS PARECIS";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"110040 ALTO PARAISO";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"110045 BURITIS";-;-;-;-;-;-;-;-;-;-;-;2;-;2
"110070 CAMPO NOVO DE RONDONIA";-;-;-;-;-;-;-;-;-;-;2;2;2;6
"110092 CHUPINGUAIA";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"110120 MINISTRO ANDREAZZA";-;1;3;-;2;-;1;-;-;-;-;1;-;8
"110140 MONTE NEGRO";-;-;-;-;-;-;-;-;-;-;1;-;3;4
