2014
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/meninbr.def
Meningitis
"Município de residência";"Casos confirmados"
"110001 ALTA FLORESTA D'OESTE";8
"110002 ARIQUEMES";19
"110003 CABIXI";1
"110004 CACOAL";48
"110005 CEREJEIRAS";6
"110006 COLORADO DO OESTE";1
"110007 CORUMBIARA";1
"110008 COSTA MARQUES";3
"110009 ESPIGAO D'OESTE";16
"110010 GUAJARA-MIRIM";13
"110011 JARU";7
"110012 JI-PARANA";29
"110013 MACHADINHO D'OESTE";7
"110014 NOVA BRASILANDIA D'OESTE";5
"110015 OURO PRETO DO OESTE";11
"110018 PIMENTA BUENO";12
"110020 PORTO VELHO";183
"110025 PRESIDENTE MEDICI";4
"110026 RIO CRESPO";2
"110028 ROLIM DE MOURA";22
"110029 SANTA LUZIA D'OESTE";3
"110030 VILHENA";20
"110032 SAO MIGUEL DO GUAPORE";3
"110033 NOVA MAMORE";13
"110034 ALVORADA D'OESTE";2
"110037 ALTO ALEGRE DOS PARECIS";2
"110040 ALTO PARAISO";3
"110045 BURITIS";4
"110050 NOVO HORIZONTE DO OESTE";5
"110080 CANDEIAS DO JAMARI";9
"110092 CHUPINGUAIA";1
"110094 CUJUBIM";4
"110100 GOVERNADOR JORGE TEIXEIRA";4
"110110 ITAPUA DO OESTE";3
"110120 MINISTRO ANDREAZZA";2
"110130 MIRANTE DA SERRA";5
"110140 MONTE NEGRO";2
"110143 NOVA UNIAO";2
"110145 PARECIS";3
"110147 PRIMAVERA DE RONDONIA";2
"110148 SAO FELIPE D'OESTE";3
"110149 SAO FRANCISCO DO GUAPORE";2
"110150 SERINGUEIRAS";4
"110155 TEIXEIROPOLIS";2
"110160 THEOBROMA";1
"110170 URUPA";2
"110180 VALE DO PARAISO";3
"120001 ACRELANDIA";2
"120005 ASSIS BRASIL";1
"120010 BRASILEIA";3
"120013 BUJARI";3
"120017 CAPIXABA";2
"120020 CRUZEIRO DO SUL";16
"120025 EPITACIOLANDIA";3
"120030 FEIJO";13
"120032 JORDAO";1
"120033 MANCIO LIMA";3
"120034 MANOEL URBANO";1
"120035 MARECHAL THAUMATURGO";2
"120038 PLACIDO DE CASTRO";1
"120039 PORTO WALTER";3
"120040 RIO BRANCO";86
"120042 RODRIGUES ALVES";4
"120043 SANTA ROSA DO PURUS";3
"120045 SENADOR GUIOMARD";9
"120050 SENA MADUREIRA";6
"120060 TARAUACA";10
"120070 XAPURI";1
"120080 PORTO ACRE";4
"130002 ALVARAES";4
"130006 AMATURA";1
"130008 ANAMA";2
"130010 ANORI";3
"130014 APUI";1
"130030 AUTAZES";10
"130040 BARCELOS";3
"130050 BARREIRINHA";8
"130060 BENJAMIN CONSTANT";5
"130063 BERURI";1
"130068 BOA VISTA DO RAMOS";4
"130070 BOCA DO ACRE";8
"130080 BORBA";8
"130083 CAAPIRANGA";1
"130100 CARAUARI";2
"130110 CAREIRO";13
"130115 CAREIRO DA VARZEA";8
"130120 COARI";7
"130130 CODAJAS";4
"130140 EIRUNEPE";2
"130150 ENVIRA";2
"130160 FONTE BOA";2
"130165 GUAJARA";8
"130170 HUMAITA";17
"130180 IPIXUNA";4
"130185 IRANDUBA";19
"130190 ITACOATIARA";21
"130230 JUTAI";2
"130240 LABREA";10
"130250 MANACAPURU";25
"130255 MANAQUIRI";1
"130260 MANAUS";1133
"130270 MANICORE";4
"130280 MARAA";2
"130290 MAUES";16
"130300 NHAMUNDA";2
"130310 NOVA OLINDA DO NORTE";2
"130320 NOVO AIRAO";6
"130330 NOVO ARIPUANA";2
"130340 PARINTINS";18
"130350 PAUINI";5
"130353 PRESIDENTE FIGUEIREDO";6
"130356 RIO PRETO DA EVA";10
"130360 SANTA ISABEL DO RIO NEGRO";2
"130370 SANTO ANTONIO DO ICA";3
"130380 SAO GABRIEL DA CACHOEIRA";14
"130390 SAO PAULO DE OLIVENCA";1
"130406 TABATINGA";16
"130410 TAPAUA";3
"130420 TEFE";4
"130423 TONANTINS";1
"130426 UARINI";2
"130430 URUCARA";1
"130440 URUCURITUBA";3
"140002 AMAJARI";3
"140005 ALTO ALEGRE";5
"140010 BOA VISTA";151
"140015 BONFIM";5
"140017 CANTA";3
"140020 CARACARAI";3
"140023 CAROEBE";1
"140028 IRACEMA";1
"140030 MUCAJAI";7
"140040 NORMANDIA";6
"140045 PACARAIMA";5
"140047 RORAINOPOLIS";8
"140050 SAO JOAO DA BALIZA";1
"140070 UIRAMUTA";8
"150010 ABAETETUBA";73
