2009
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/meninbr.def
Meningitis
"Município de residência";"Casos confirmados"
"110001 ALTA FLORESTA D'OESTE";29
"110002 ARIQUEMES";36
"110003 CABIXI";2
"110004 CACOAL";107
"110005 CEREJEIRAS";7
"110006 COLORADO DO OESTE";3
"110007 CORUMBIARA";1
"110008 COSTA MARQUES";3
"110009 ESPIGAO D'OESTE";38
"110010 GUAJARA-MIRIM";15
"110011 JARU";16
"110012 JI-PARANA";44
"110013 MACHADINHO D'OESTE";11
"110014 NOVA BRASILANDIA D'OESTE";8
"110015 OURO PRETO DO OESTE";28
"110018 PIMENTA BUENO";27
"110020 PORTO VELHO";311
"110025 PRESIDENTE MEDICI";5
"110026 RIO CRESPO";2
"110028 ROLIM DE MOURA";35
"110029 SANTA LUZIA D'OESTE";8
"110030 VILHENA";27
"110032 SAO MIGUEL DO GUAPORE";8
"110033 NOVA MAMORE";14
"110034 ALVORADA D'OESTE";4
"110037 ALTO ALEGRE DOS PARECIS";2
"110040 ALTO PARAISO";4
"110045 BURITIS";11
"110050 NOVO HORIZONTE DO OESTE";6
"110060 CACAULANDIA";1
"110070 CAMPO NOVO DE RONDONIA";1
"110080 CANDEIAS DO JAMARI";14
"110090 CASTANHEIRAS";1
"110092 CHUPINGUAIA";7
"110094 CUJUBIM";9
"110100 GOVERNADOR JORGE TEIXEIRA";5
"110110 ITAPUA DO OESTE";3
"110120 MINISTRO ANDREAZZA";7
"110130 MIRANTE DA SERRA";6
"110140 MONTE NEGRO";3
"110143 NOVA UNIAO";2
"110145 PARECIS";6
"110147 PRIMAVERA DE RONDONIA";2
"110148 SAO FELIPE D'OESTE";3
"110149 SAO FRANCISCO DO GUAPORE";4
"110150 SERINGUEIRAS";4
"110155 TEIXEIROPOLIS";2
"110160 THEOBROMA";3
"110170 URUPA";6
"110180 VALE DO PARAISO";4
"120001 ACRELANDIA";4
"120005 ASSIS BRASIL";3
"120010 BRASILEIA";4
"120013 BUJARI";5
"120017 CAPIXABA";2
"120020 CRUZEIRO DO SUL";26
"120025 EPITACIOLANDIA";7
"120030 FEIJO";20
"120032 JORDAO";2
"120033 MANCIO LIMA";5
"120034 MANOEL URBANO";1
"120035 MARECHAL THAUMATURGO";2
"120038 PLACIDO DE CASTRO";3
"120039 PORTO WALTER";4
"120040 RIO BRANCO";144
"120042 RODRIGUES ALVES";6
"120043 SANTA ROSA DO PURUS";5
"120045 SENADOR GUIOMARD";13
"120050 SENA MADUREIRA";7
"120060 TARAUACA";17
"120070 XAPURI";2
"120080 PORTO ACRE";4
"130002 ALVARAES";5
"130006 AMATURA";1
"130008 ANAMA";3
"130010 ANORI";5
"130014 APUI";2
"130030 AUTAZES";13
"130040 BARCELOS";9
"130050 BARREIRINHA";9
"130060 BENJAMIN CONSTANT";12
"130063 BERURI";2
"130068 BOA VISTA DO RAMOS";6
"130070 BOCA DO ACRE";13
"130080 BORBA";13
"130083 CAAPIRANGA";1
"130090 CANUTAMA";3
"130100 CARAUARI";2
"130110 CAREIRO";15
"130115 CAREIRO DA VARZEA";10
"130120 COARI";14
"130130 CODAJAS";9
"130140 EIRUNEPE";11
"130150 ENVIRA";5
"130160 FONTE BOA";4
"130165 GUAJARA";8
"130170 HUMAITA";24
"130180 IPIXUNA";5
"130185 IRANDUBA";30
"130190 ITACOATIARA";31
"130195 ITAMARATI";1
"130210 JAPURA";2
"130220 JURUA";2
"130230 JUTAI";2
"130240 LABREA";14
"130250 MANACAPURU";46
"130255 MANAQUIRI";5
"130260 MANAUS";1758
"130270 MANICORE";5
"130280 MARAA";3
"130290 MAUES";21
"130300 NHAMUNDA";2
"130310 NOVA OLINDA DO NORTE";2
"130320 NOVO AIRAO";11
"130330 NOVO ARIPUANA";3
"130340 PARINTINS";28
"130350 PAUINI";5
"130353 PRESIDENTE FIGUEIREDO";7
"130356 RIO PRETO DA EVA";12
"130360 SANTA ISABEL DO RIO NEGRO";5
"130370 SANTO ANTONIO DO ICA";3
"130380 SAO GABRIEL DA CACHOEIRA";25
"130390 SAO PAULO DE OLIVENCA";2
"130395 SAO SEBASTIAO DO UATUMA";2
"130406 TABATINGA";17
"130410 TAPAUA";12
"130420 TEFE";12
"130423 TONANTINS";3
"130426 UARINI";2
"130430 URUCARA";1
"130440 URUCURITUBA";3
"140002 AMAJARI";5
"140005 ALTO ALEGRE";10
"140010 BOA VISTA";205
"140015 BONFIM";6
"140017 CANTA";4
"140020 CARACARAI";6
"140023 CAROEBE";3
"140028 IRACEMA";3
"140030 MUCAJAI";10
"140040 NORMANDIA";10
"140045 PACARAIMA";7
"140047 RORAINOPOLIS";9
"140050 SAO JOAO DA BALIZA";1
"140060 SAO LUIZ";2
"140070 UIRAMUTA";10
"150010 ABAETETUBA";121
"150013 ABEL FIGUEIREDO";1
"150020 ACARA";86
"150030 AFUA";12
"150034 AGUA AZUL DO NORTE";1
"150040 ALENQUER";8
"150050 ALMEIRIM";4
"150060 ALTAMIRA";72
"150070 ANAJAS";15
"150080 ANANINDEUA";507
"150085 ANAPU";12
"150090 AUGUSTO CORREA";22
"150095 AURORA DO PARA";25
