2017
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/chikunbr.def
Chikungunya Fever
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - RO";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"110001 ALTA FLORESTA D'OESTE";-;11;6;1;2;5;4;-;4;1;1;2;6;43
"110002 ARIQUEMES";-;154;35;73;49;49;17;12;30;17;3;18;24;481
"110003 CABIXI";-;-;1;1;-;-;-;-;1;1;-;1;1;6
"110004 CACOAL";-;60;181;131;68;35;23;23;9;8;20;17;13;588
"110005 CEREJEIRAS";-;76;79;52;16;23;7;3;5;2;2;9;17;291
"110006 COLORADO DO OESTE";-;2;2;2;1;2;9;2;2;1;-;-;4;27
"110007 CORUMBIARA";-;2;5;1;-;1;-;1;-;-;-;3;-;13
"110008 COSTA MARQUES";-;1;2;-;-;-;-;-;-;-;-;-;-;3
"110009 ESPIGAO D'OESTE";-;1;4;4;4;-;2;-;3;1;2;2;3;26
"110010 GUAJARA-MIRIM";-;3;4;2;6;1;-;2;3;1;1;-;3;26
"110011 JARU";-;9;12;6;2;1;1;-;1;-;1;1;1;35
"110012 JI-PARANA";-;92;58;36;47;45;22;21;31;21;19;12;27;431
"110013 MACHADINHO D'OESTE";-;2;4;1;1;1;-;-;-;2;-;1;-;12
"110014 NOVA BRASILANDIA D'OESTE";-;3;6;3;3;-;2;1;5;2;4;3;3;35
"110015 OURO PRETO DO OESTE";-;17;12;21;5;12;9;9;5;-;3;4;5;102
"110018 PIMENTA BUENO";-;2;1;3;2;3;2;1;1;-;1;-;-;16
"110020 PORTO VELHO";-;336;413;210;203;152;92;129;87;82;76;56;112;1948
"110025 PRESIDENTE MEDICI";-;30;36;98;50;26;17;24;16;14;8;17;32;368
"110026 RIO CRESPO";-;-;1;2;2;-;-;-;-;-;-;-;-;5
"110028 ROLIM DE MOURA";-;8;5;5;10;1;2;-;1;-;1;5;-;38
"110029 SANTA LUZIA D'OESTE";-;2;2;4;-;4;-;-;1;-;1;-;-;14
"110030 VILHENA";-;42;61;124;69;34;21;15;24;11;17;11;23;452
"110032 SAO MIGUEL DO GUAPORE";-;1;2;3;-;1;2;-;-;-;-;1;-;10
"110033 NOVA MAMORE";-;4;2;1;1;-;-;1;1;1;-;-;-;11
"110034 ALVORADA D'OESTE";-;3;2;-;-;1;-;-;-;-;-;1;3;10
"110037 ALTO ALEGRE DOS PARECIS";-;36;27;8;10;4;-;-;1;1;-;9;14;110
