2016
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/ltabr.def
American Tegumentary Leishmaniasis
"Município de residência";"Casos confirmados"
"110001 Alta Floresta D'Oeste";137
"110037 Alto Alegre dos Parecis";101
"110040 Alto Paraíso";66
"110034 Alvorada D'Oeste";36
"110002 Ariquemes";255
"110045 Buritis";115
"110003 Cabixi";39
"110060 Cacaulândia";38
"110004 Cacoal";287
"110070 Campo Novo de Rondônia";90
"110080 Candeias do Jamari";64
"110090 Castanheiras";34
"110005 Cerejeiras";54
"110092 Chupinguaia";178
"110006 Colorado do Oeste";65
"110007 Corumbiara";59
"110008 Costa Marques";112
"110094 Cujubim";170
"110009 Espigão D'Oeste";351
"110100 Governador Jorge Teixeira";52
"110010 Guajará-Mirim";91
"110110 Itapuã do Oeste";13
"110011 Jaru";115
"110012 Ji-Paraná";287
"110013 Machadinho D'Oeste";296
"110120 Ministro Andreazza";28
"110130 Mirante da Serra";48
"110140 Monte Negro";58
"110014 Nova Brasilândia D'Oeste";75
"110033 Nova Mamoré";168
"110143 Nova União";12
"110050 Novo Horizonte do Oeste";35
"110015 Ouro Preto do Oeste";52
"110145 Parecis";89
"110018 Pimenta Bueno";255
"110146 Pimenteiras do Oeste";8
"110020 Porto Velho";887
"110025 Presidente Médici";45
"110147 Primavera de Rondônia";21
"110026 Rio Crespo";27
"110028 Rolim de Moura";197
"110029 Santa Luzia D'Oeste";43
"110148 São Felipe D'Oeste";25
"110149 São Francisco do Guaporé";203
"110032 São Miguel do Guaporé";117
"110150 Seringueiras";53
"110155 Teixeirópolis";7
"110160 Theobroma";45
"110170 Urupá";19
"110175 Vale do Anari";54
"110180 Vale do Paraíso";32
"110030 Vilhena";656
"120001 Acrelândia";94
"120005 Assis Brasil";504
"120010 Brasiléia";528
"120013 Bujari";139
"120017 Capixaba";271
"120020 Cruzeiro do Sul";288
"120025 Epitaciolândia";378
"120030 Feijó";400
"120032 Jordão";85
"120033 Mâncio Lima";245
"120034 Manoel Urbano";189
"120035 Marechal Thaumaturgo";354
"120038 Plácido de Castro";211
"120080 Porto Acre";126
"120039 Porto Walter";110
"120040 Rio Branco";1303
"120042 Rodrigues Alves";67
"120043 Santa Rosa do Purus";162
"120050 Sena Madureira";664
"120045 Senador Guiomard";83
"120060 Tarauacá";118
"120070 Xapuri";695
"130002 Alvarães";7
"130006 Amaturá";8
"130008 Anamã";13
"130010 Anori";6
"130014 Apuí";154
"130020 Atalaia do Norte";101
"130030 Autazes";86
"130040 Barcelos";116
"130050 Barreirinha";95
"130060 Benjamin Constant";24
"130063 Beruri";3
"130068 Boa Vista do Ramos";18
"130070 Boca do Acre";427
"130080 Borba";81
"130083 Caapiranga";32
"130090 Canutama";54
"130100 Carauari";52
"130110 Careiro";24
"130115 Careiro da Várzea";6
"130120 Coari";19
"130130 Codajás";6
"130140 Eirunepé";202
"130150 Envira";222
"130160 Fonte Boa";16
"130165 Guajará";70
"130170 Humaitá";323
"130180 Ipixuna";96
"130185 Iranduba";25
"130190 Itacoatiara";622
"130195 Itamarati";26
"130200 Itapiranga";43
"130210 Japurá";34
"130220 Juruá";8
"130230 Jutaí";4
"130240 Lábrea";228
"130250 Manacapuru";137
"130255 Manaquiri";4
"130260 Manaus";2579
"130270 Manicoré";174
"130280 Maraã";6
"130290 Maués";160
"130300 Nhamundá";101
"130310 Nova Olinda do Norte";57
"130320 Novo Airão";83
"130330 Novo Aripuanã";116
"130340 Parintins";89
"130350 Pauini";171
"130353 Presidente Figueiredo";1119
"130356 Rio Preto da Eva";1166
"130360 Santa Isabel do Rio Negro";73
"130370 Santo Antônio do Içá";8
"130380 São Gabriel da Cachoeira";212
"130390 São Paulo de Olivença";18
"130395 São Sebastião do Uatumã";22
"130400 Silves";90
"130406 Tabatinga";32
"130410 Tapauá";71
"130420 Tefé";28
"130423 Tonantins";19
"130426 Uarini";24
"130430 Urucará";17
"130440 Urucurituba";5
"140005 Alto Alegre";129
"140002 Amajari";93
"140010 Boa Vista";893
"140015 Bonfim";8
"140017 Cantá";69
"140020 Caracaraí";78
"140023 Caroebe";206
"140028 Iracema";39
"140030 Mucajaí";68
"140040 Normandia";4
"140045 Pacaraima";218
"140047 Rorainópolis";153
"140050 São João da Baliza";67
"140060 São Luiz";21
"140070 Uiramutã";76
"140000 Município ignorado - RR";1
"150010 Abaetetuba";26
"150013 Abel Figueiredo";66
"150020 Acará";52
"150030 Afuá";34
"150034 Água Azul do Norte";61
"150040 Alenquer";393
"150050 Almeirim";392
"150060 Altamira";651
"150070 Anajás";18
"150080 Ananindeua";16
"150085 Anapu";403
"150090 Augusto Corrêa";42
"150095 Aurora do Pará";24
"150100 Aveiro";65
"150110 Bagre";179
"150120 Baião";129
"150125 Bannach";37
"150130 Barcarena";24
"150140 Belém";48
"150145 Belterra";137
"150150 Benevides";12
"150157 Bom Jesus do Tocantins";57
"150160 Bonito";17
"150170 Bragança";121
"150172 Brasil Novo";330
"150175 Brejo Grande do Araguaia";15
"150178 Breu Branco";194
"150180 Breves";28
"150190 Bujaru";9
"150200 Cachoeira do Arari";4
"150195 Cachoeira do Piriá";188
"150210 Cametá";29
"150215 Canaã dos Carajás";100
"150220 Capanema";22
"150230 Capitão Poço";38
"150240 Castanhal";67
"150250 Chaves";3
"150260 Colares";5
"150270 Conceição do Araguaia";52
"150275 Concórdia do Pará";29
"150276 Cumaru do Norte";97
"150277 Curionópolis";81
"150280 Curralinho";45
"150285 Curuá";33
"150290 Curuçá";9
"150293 Dom Eliseu";145
"150295 Eldorado do Carajás";67
"150300 Faro";30
"150304 Floresta do Araguaia";30
"150307 Garrafão do Norte";106
"150309 Goianésia do Pará";382
"150310 Gurupá";29
"150320 Igarapé-Açu";27
"150330 Igarapé-Miri";125
"150340 Inhangapi";19
"150345 Ipixuna do Pará";158
"150350 Irituia";61
"150360 Itaituba";768
"150370 Itupiranga";137
"150375 Jacareacanga";152
"150380 Jacundá";157
"150390 Juruti";260
"150400 Limoeiro do Ajuru";11
"150405 Mãe do Rio";46
