2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/chikunbr.def
Chikungunya Fever
"Município de residência";"Jan";"Fev";"Mar";"Dez";"Total"
"150650 SANTA IZABEL DO PARA";11;18;9;-;38
"150660 SANTA MARIA DO PARA";-;1;3;-;4
"150670 SANTANA DO ARAGUAIA";3;5;-;-;8
"150680 SANTAREM";20;96;5;1;122
"150700 SANTO ANTONIO DO TAUA";-;1;-;-;1
"150710 SAO CAETANO DE ODIVELAS";-;10;8;-;18
"150720 SAO DOMINGOS DO CAPIM";67;160;98;-;325
"150740 SAO FRANCISCO DO PARA";1;5;-;-;6
"150746 SAO JOAO DA PONTA";-;1;2;-;3
"150760 SAO MIGUEL DO GUAMA";2;10;36;-;48
"150780 SENADOR JOSE PORFIRIO";-;1;-;-;1
"150796 TERRA ALTA";1;11;1;-;13
"150797 TERRA SANTA";-;2;-;-;2
"150805 TRAIRAO";-;-;1;-;1
"150810 TUCURUI";1;-;-;-;1
"150820 VIGIA";2;7;4;-;13
"160020 CALCOENE";1;-;-;-;1
"160023 FERREIRA GOMES";-;1;-;-;1
"160027 LARANJAL DO JARI";85;4;-;-;89
"160030 MACAPA";14;6;-;-;20
"160050 OIAPOQUE";1;-;-;-;1
"160053 PORTO GRANDE";1;2;-;-;3
"160060 SANTANA";9;2;1;-;12
"160070 TARTARUGALZINHO";1;3;-;-;4
"170030 AGUIARNOPOLIS";8;12;4;-;24
"170110 APARECIDA DO RIO NEGRO";-;-;1;-;1
"170130 ARAGOMINAS";1;-;-;-;1
"170190 ARAGUACEMA";1;-;-;-;1
"170200 ARAGUACU";-;1;-;-;1
"170210 ARAGUAINA";20;25;13;-;58
"170230 ARAPOEMA";1;-;1;-;2
"170240 ARRAIAS";-;1;1;-;2
"170270 AURORA DO TOCANTINS";-;1;1;-;2
"170300 BABACULANDIA";-;-;2;-;2
"170305 BANDEIRANTES DO TOCANTINS";1;-;-;-;1
"170370 BREJINHO DE NAZARE";1;1;1;-;3
"170388 CARMOLANDIA";3;6;-;-;9
"170410 CENTENARIO";1;3;-;-;4
"170510 CHAPADA DA NATIVIDADE";-;-;1;-;1
"170550 COLINAS DO TOCANTINS";26;127;169;-;322
"170555 COMBINADO";1;-;-;-;1
"170610 CRISTALANDIA";1;-;-;-;1
"170700 DIANOPOLIS";1;-;-;-;1
"170710 DIVINOPOLIS DO TOCANTINS";1;5;1;-;7
"170720 DOIS IRMAOS DO TOCANTINS";-;1;-;-;1
"170740 ESPERANTINA";1;-;-;-;1
"170820 FORMOSO DO ARAGUAIA";-;2;-;-;2
"170930 GUARAI";3;-;3;-;6
"170950 GURUPI";5;17;4;-;26
"171050 ITACAJA";1;-;-;-;1
"171110 ITAPORA DO TOCANTINS";-;4;-;-;4
"171180 JUARINA";-;1;-;-;1
"171190 LAGOA DA CONFUSAO";-;1;-;-;1
"171320 MIRACEMA DO TOCANTINS";-;-;1;-;1
"171395 MURICILANDIA";1;-;-;-;1
"171420 NATIVIDADE";1;1;-;-;2
"171488 NOVA OLINDA";2;3;1;-;6
"171500 NOVA ROSALANDIA";-;1;-;-;1
"171510 NOVO ACORDO";-;-;1;-;1
"171610 PARAISO DO TOCANTINS";22;66;21;-;109
"171620 PARANA";-;1;-;-;1
"171660 PEIXE";-;33;7;-;40
"171700 PINDORAMA DO TOCANTINS";-;2;-;-;2
"171750 PIUM";-;-;1;-;1
"171790 PONTE ALTA DO TOCANTINS";1;-;1;-;2
"171820 PORTO NACIONAL";28;45;15;-;88
"171840 PRESIDENTE KENNEDY";-;1;1;-;2
"171845 PUGMIL";2;3;-;-;5
"171855 RIACHINHO";-;1;-;-;1
"171865 RIO DA CONCEICAO";-;1;-;-;1
"171870 RIO DOS BOIS";2;2;-;-;4
"171880 SAMPAIO";1;4;4;-;9
"171889 SANTA RITA DO TOCANTINS";-;-;2;-;2
"172025 SAO SALVADOR DO TOCANTINS";4;-;-;-;4
"172090 TAGUATINGA";1;1;-;-;2
"172100 PALMAS";125;205;174;4;508
"172110 TOCANTINIA";-;1;-;-;1
"172120 TOCANTINOPOLIS";1;1;-;-;2
"172208 WANDERLANDIA";1;3;1;-;5
"210005 ACAILANDIA";1;2;1;-;4
"210030 ALDEIAS ALTAS";-;1;-;-;1
"210047 ALTO ALEGRE DO PINDARE";1;-;-;-;1
"210055 AMAPA DO MARANHAO";-;1;-;-;1
"210100 ARARI";2;9;1;-;12
"210110 AXIXA";2;12;4;-;18
"210125 BACABEIRA";1;-;-;-;1
"210140 BALSAS";1;5;4;-;10
"210160 BARRA DO CORDA";-;1;1;-;2
"210170 BARREIRINHAS";1;1;-;-;2
"210177 BELA VISTA DO MARANHAO";1;-;1;-;2
"210203 BOM JESUS DAS SELVAS";-;-;1;-;1
"210215 BREJO DE AREIA";-;2;-;-;2
"210230 BURITI BRAVO";1;-;-;-;1
"210235 BURITIRANA";-;3;-;-;3
"210237 CACHOEIRA GRANDE";-;-;1;-;1
"210255 CAMPESTRE DO MARANHAO";1;-;-;-;1
"210270 CANTANHEDE";-;1;-;-;1
"210300 CAXIAS";2;16;18;-;36
"210320 CHAPADINHA";4;17;5;-;26
"210340 COELHO NETO";-;1;1;-;2
"210350 COLINAS";-;-;4;-;4
"210360 COROATA";1;-;-;-;1
"210370 CURURUPU";4;2;8;-;14
"210420 FORTUNA";-;1;-;-;1
"210465 GOVERNADOR NEWTON BELLO";-;1;-;-;1
"210500 HUMBERTO DE CAMPOS";-;-;1;-;1
"210530 IMPERATRIZ";4;11;2;-;17
"210540 ITAPECURU MIRIM";-;1;-;-;1
"210542 ITINGA DO MARANHAO";-;-;1;-;1
"210570 LAGO DA PEDRA";-;1;-;-;1
"210580 LAGO DO JUNCO";-;1;1;-;2
"210598 LAJEADO NOVO";-;-;1;-;1
"210610 LORETO";1;1;-;-;2
"210632 MARACACUME";-;1;-;-;1
"210710 MORROS";-;-;1;-;1
"210750 PACO DO LUMIAR";1;9;1;-;11
"210800 PASTOS BONS";-;-;1;-;1
"210810 PAULO RAMOS";-;-;2;-;2
"210820 PEDREIRAS";-;1;3;-;4
"210850 PINDARE-MIRIM";-;1;-;-;1
"210860 PINHEIRO";-;1;1;-;2
"210945 RAPOSA";-;1;-;-;1
"210975 SANTA FILOMENA DO MARANHAO";-;1;3;-;4
"210990 SANTA INES";15;74;28;-;117
"211020 SANTA RITA";-;1;1;-;2
"211050 SAO BENTO";-;2;1;-;3
"211060 SAO BERNARDO";-;-;1;-;1
"211107 SAO JOAO DO SOTER";-;-;1;-;1
"211120 SAO JOSE DE RIBAMAR";11;27;9;-;47
"211130 SAO LUIS";26;76;26;-;128
"211150 SAO MATEUS DO MARANHAO";1;-;1;-;2
"211157 SAO PEDRO DOS CRENTES";-;2;-;-;2
"211160 SAO RAIMUNDO DAS MANGABEIRAS";-;1;-;-;1
"211178 SERRANO DO MARANHAO";-;1;-;-;1
"211180 SITIO NOVO";-;1;1;-;2
"211200 TASSO FRAGOSO";1;1;-;-;2
"211220 TIMON";3;29;4;-;36
"211223 TRIZIDELA DO VALE";-;1;-;-;1
"211230 TUNTUM";-;-;1;-;1
"211240 TURIACU";-;1;-;-;1
"211250 TUTOIA";-;1;1;-;2
"211270 VARGEM GRANDE";-;-;1;-;1
"211280 VIANA";1;1;-;-;2
"211400 ZE DOCA";-;6;-;-;6
"220045 ALVORADA DO GURGUEIA";1;5;5;-;11
"220050 AMARANTE";1;7;51;-;59
"220115 BAIXA GRANDE DO RIBEIRO";-;1;2;-;3
"220120 BARRAS";-;2;-;-;2
"220190 BOM JESUS";-;1;-;-;1
"220208 CAJUEIRO DA PRAIA";-;-;1;-;1
"220210 CAMPINAS DO PIAUI";-;-;1;-;1
"220230 CANTO DO BURITI";-;1;-;-;1
"220240 CAPITAO DE CAMPOS";-;1;1;-;2
"220260 CASTELO DO PIAUI";-;1;-;-;1
"220370 ESPERANTINA";1;1;-;-;2
"220375 FARTURA DO PIAUI";1;-;-;-;1
"220390 FLORIANO";2;1;-;-;3
"220465 ILHA GRANDE";1;-;1;1;3
"220490 ISAIAS COELHO";-;1;2;-;3
"220520 JAICOS";-;1;3;-;4
"220550 JOSE DE FREITAS";2;6;10;-;18
"220553 JUREMA";-;-;1;-;1
"220590 MANOEL EMIDIO";-;1;-;-;1
"220595 MARCOLANDIA";1;-;-;-;1
"220600 MARCOS PARENTE";-;-;1;-;1
"220640 MONSENHOR GIL";2;4;2;-;8
"220675 NOSSA SENHORA DE NAZARE";1;-;-;-;1
"220760 PARNAGUA";-;1;-;-;1
"220770 PARNAIBA";4;4;2;-;10
"220780 PAULISTANA";-;1;1;-;2
"220790 PEDRO II";-;-;1;-;1
"220840 PIRIPIRI";1;2;-;-;3
"220930 SANTA LUZ";-;1;-;-;1
"221050 SAO PEDRO DO PIAUI";-;1;-;-;1
"221060 SAO RAIMUNDO NONATO";-;1;-;-;1
"221080 SIMPLICIO MENDES";-;3;6;-;9
"221100 TERESINA";29;113;68;-;210
"221120 URUCUI";-;-;1;-;1
"221130 VALENCA DO PIAUI";-;-;1;-;1
"230010 ABAIARA";-;1;-;-;1
"230015 ACARAPE";1;-;-;-;1
"230020 ACARAU";-;16;44;-;60
"230030 ACOPIARA";-;7;4;-;11
"230050 ALCANTARAS";2;7;9;1;19
"230070 ALTO SANTO";1;-;-;-;1
"230075 AMONTADA";1;1;4;-;6
"230080 ANTONINA DO NORTE";-;3;2;-;5
"230090 APUIARES";-;1;2;-;3
"230100 AQUIRAZ";2;1;1;-;4
"230110 ARACATI";2;5;5;1;13
"230120 ARACOIABA";4;2;1;-;7
"230130 ARARIPE";1;1;1;-;3
"230140 ARATUBA";1;6;17;-;24
"230160 ASSARE";-;25;1;-;26
"230185 BANABUIU";4;10;5;-;19
"230190 BARBALHA";9;7;-;-;16
"230200 BARRO";-;1;-;-;1
"230205 BARROQUINHA";1;3;23;-;27
"230210 BATURITE";2;89;109;-;200
"230220 BEBERIBE";-;2;1;-;3
"230230 BELA CRUZ";1;-;-;-;1
"230240 BOA VIAGEM";-;1;2;-;3
"230250 BREJO SANTO";55;75;14;1;145
"230260 CAMOCIM";1;2;1;-;4
"230270 CAMPOS SALES";4;8;15;-;27
"230280 CANINDE";2;14;8;-;24
"230290 CAPISTRANO";-;1;-;-;1
"230300 CARIDADE";-;2;-;-;2
"230310 CARIRE";1;7;8;-;16
"230330 CARIUS";2;2;-;-;4
"230340 CARNAUBAL";-;15;11;-;26
"230350 CASCAVEL";7;16;14;-;37
"230360 CATARINA";-;-;7;-;7
"230365 CATUNDA";-;1;2;-;3
"230370 CAUCAIA";5;40;16;-;61
"230380 CEDRO";1;5;11;-;17
"230393 CHORO";-;-;2;-;2
"230400 COREAU";3;11;26;-;40
"230420 CRATO";3;8;2;-;13
"230423 CROATA";1;-;-;-;1
"230425 CRUZ";-;2;3;-;5
"230440 FORTALEZA";92;135;79;1;307
"230450 FRECHEIRINHA";-;2;-;-;2
"230460 GENERAL SAMPAIO";-;1;-;-;1
"230465 GRACA";-;-;1;-;1
"230470 GRANJA";-;1;2;-;3
"230490 GROAIRAS";-;1;-;-;1
"230495 GUAIUBA";-;2;-;-;2
"230500 GUARACIABA DO NORTE";2;6;13;-;21
"230520 HIDROLANDIA";-;-;2;-;2
"230523 HORIZONTE";1;-;-;-;1
"230526 IBARETAMA";3;-;-;-;3
"230530 IBIAPINA";-;1;-;-;1
"230535 ICAPUI";-;4;1;-;5
"230540 ICO";1;16;14;-;31
"230550 IGUATU";1;2;1;-;4
"230560 INDEPENDENCIA";-;1;-;-;1
"230580 IPU";-;21;6;-;27
"230600 IRACEMA";5;15;9;-;29
"230610 IRAUCUBA";1;19;37;-;57
"230620 ITAICABA";-;1;1;-;2
"230625 ITAITINGA";-;2;-;-;2
"230630 ITAPAGE";-;3;-;-;3
"230640 ITAPIPOCA";3;10;11;-;24
"230655 ITAREMA";1;-;-;-;1
"230660 ITATIRA";2;-;2;-;4
"230670 JAGUARETAMA";1;-;-;-;1
"230680 JAGUARIBARA";-;5;12;-;17
"230690 JAGUARIBE";1;2;-;-;3
"230700 JAGUARUANA";1;1;-;-;2
"230710 JARDIM";1;7;5;-;13
"230720 JATI";-;14;23;-;37
"230730 JUAZEIRO DO NORTE";10;26;35;-;71
"230740 JUCAS";1;4;3;-;8
"230750 LAVRAS DA MANGABEIRA";-;-;4;-;4
"230760 LIMOEIRO DO NORTE";2;4;5;-;11
"230763 MADALENA";-;1;-;-;1
"230765 MARACANAU";4;42;38;-;84
"230770 MARANGUAPE";3;23;25;-;51
"230780 MARCO";-;7;7;-;14
"230800 MASSAPE";1;21;22;-;44
"230810 MAURITI";-;6;1;-;7
"230820 MERUOCA";2;19;30;-;51
"230830 MILAGRES";3;21;35;-;59
"230835 MILHA";-;-;1;-;1
"230837 MIRAIMA";1;2;3;-;6
"230850 MOMBACA";1;-;-;-;1
"230870 MORADA NOVA";-;6;9;-;15
"230890 MORRINHOS";-;3;1;-;4
"230900 MUCAMBO";1;8;7;-;16
"230920 NOVA OLINDA";-;2;-;-;2
"230930 NOVA RUSSAS";1;12;29;-;42
"230945 OCARA";3;10;47;-;60
"230950 OROS";1;1;-;-;2
"230970 PACATUBA";3;8;2;-;13
"230980 PACOTI";2;1;1;-;4
"230990 PACUJA";-;9;2;-;11
"231000 PALHANO";1;1;4;-;6
"231010 PALMACIA";-;9;4;1;14
"231020 PARACURU";-;4;-;1;5
"231025 PARAIPABA";-;-;1;-;1
"231040 PARAMOTI";-;1;2;-;3
"231050 PEDRA BRANCA";-;1;-;-;1
"231060 PENAFORTE";2;11;15;-;28
"231070 PENTECOSTE";-;3;8;-;11
"231080 PEREIRO";-;6;5;-;11
"231085 PINDORETAMA";2;5;6;-;13
"231090 PIQUET CARNEIRO";-;1;11;-;12
"231095 PIRES FERREIRA";-;1;-;-;1
"231110 PORTEIRAS";8;45;93;-;146
"231130 QUIXADA";1;-;-;-;1
"231135 QUIXELO";-;-;1;-;1
"231140 QUIXERAMOBIM";1;2;2;-;5
"231150 QUIXERE";1;2;12;-;15
"231160 REDENCAO";2;1;-;-;3
"231170 RERIUTABA";1;17;66;-;84
"231180 RUSSAS";3;3;2;-;8
"231195 SALITRE";4;4;3;-;11
"231200 SANTANA DO ACARAU";4;8;28;-;40
"231210 SANTANA DO CARIRI";-;-;2;-;2
"231230 SAO BENEDITO";1;2;3;-;6
"231240 SAO GONCALO DO AMARANTE";1;2;5;-;8
"231250 SAO JOAO DO JAGUARIBE";1;-;-;-;1
"231270 SENADOR POMPEU";-;-;3;-;3
"231280 SENADOR SA";4;7;8;-;19
"231290 SOBRAL";11;35;31;-;77
"231310 TABULEIRO DO NORTE";1;-;1;-;2
"231320 TAMBORIL";-;1;1;-;2
"231330 TAUA";9;9;6;-;24
"231335 TEJUCUOCA";1;-;1;-;2
"231340 TIANGUA";-;-;1;-;1
"231350 TRAIRI";1;-;1;-;2
"231360 UBAJARA";-;2;-;-;2
"231370 UMARI";-;1;-;-;1
"231375 UMIRIM";-;-;1;-;1
"231380 URUBURETAMA";1;-;2;-;3
"231390 URUOCA";-;3;-;-;3
"231395 VARJOTA";1;30;34;-;65
"231400 VARZEA ALEGRE";-;6;2;-;8
"231410 VICOSA DO CEARA";-;6;4;-;10
"240010 ACARI";1;-;1;-;2
"240020 ACU";5;2;3;-;10
"240030 AFONSO BEZERRA";-;-;7;-;7
"240040 AGUA NOVA";1;-;10;-;11
"240070 ALTO DO RODRIGUES";-;-;1;-;1
"240080 ANGICOS";-;-;5;-;5
"240100 APODI";2;2;-;-;4
"240110 AREIA BRANCA";3;-;3;-;6
"240120 ARES";1;30;48;-;79
"240140 BAIA FORMOSA";27;30;34;-;91
"240150 BARCELONA";-;1;-;-;1
"240170 BOM JESUS";-;-;2;-;2
"240180 BREJINHO";4;5;8;-;17
"240185 CAICARA DO NORTE";-;1;5;-;6
"240190 CAICARA DO RIO DO VENTO";1;-;6;-;7
"240200 CAICO";4;30;64;-;98
"240220 CANGUARETAMA";-;1;1;-;2
"240230 CARAUBAS";-;-;1;-;1
"240240 CARNAUBA DOS DANTAS";3;7;9;-;19
"240260 CEARA-MIRIM";10;123;93;-;226
"240270 CERRO CORA";-;1;2;-;3
"240300 CRUZETA";-;1;-;-;1
"240310 CURRAIS NOVOS";-;3;3;-;6
"240320 DOUTOR SEVERIANO";1;3;6;-;10
"240325 PARNAMIRIM";11;18;44;-;73
"240340 EQUADOR";-;-;17;-;17
"240360 EXTREMOZ";3;2;41;-;46
"240370 FELIPE GUERRA";-;3;3;-;6
"240380 FLORANIA";-;-;2;-;2
"240400 FRUTUOSO GOMES";-;1;5;-;6
"240410 GALINHOS";-;1;1;-;2
"240420 GOIANINHA";1;4;8;-;13
"240430 GOVERNADOR DIX-SEPT ROSADO";-;1;-;-;1
"240440 GROSSOS";-;-;1;-;1
"240450 GUAMARE";3;9;12;-;24
"240460 IELMO MARINHO";1;8;15;-;24
"240470 IPANGUACU";1;1;1;-;3
"240480 IPUEIRA";-;2;4;-;6
"240490 ITAU";1;4;7;-;12
"240500 JACANA";-;1;-;-;1
"240510 JANDAIRA";32;22;16;-;70
"240520 JANDUIS";-;-;1;-;1
"240530 JANUARIO CICCO";1;4;2;-;7
"240560 JARDIM DE PIRANHAS";-;-;3;-;3
"240570 JARDIM DO SERIDO";2;4;5;-;11
"240580 JOAO CAMARA";10;15;46;-;71
"240600 JOSE DA PENHA";-;-;2;-;2
"240610 JUCURUTU";-;3;44;-;47
"240640 LAGOA DE VELHOS";-;1;2;-;3
"240650 LAGOA NOVA";2;9;9;1;21
"240660 LAGOA SALGADA";1;1;-;-;2
"240670 LAJES";1;2;19;-;22
"240680 LAJES PINTADAS";2;-;-;-;2
"240690 LUCRECIA";-;1;1;-;2
"240700 LUIS GOMES";1;8;10;-;19
"240710 MACAIBA";3;82;66;-;151
"240720 MACAU";9;10;16;-;35
"240725 MAJOR SALES";-;-;4;-;4
"240730 MARCELINO VIEIRA";1;1;-;-;2
"240740 MARTINS";-;1;-;-;1
"240760 MESSIAS TARGINO";1;2;7;-;10
"240770 MONTANHAS";-;-;1;-;1
"240780 MONTE ALEGRE";2;-;-;-;2
"240800 MOSSORO";11;40;42;-;93
"240810 NATAL";31;72;134;-;237
"240820 NISIA FLORESTA";2;-;1;-;3
"240830 NOVA CRUZ";5;25;32;-;62
"240850 OURO BRANCO";-;2;2;-;4
"240860 PARANA";1;-;1;-;2
"240880 PARAZINHO";4;4;25;-;33
"240890 PARELHAS";7;11;24;-;42
"240895 RIO DO FOGO";-;2;11;-;13
"240920 PASSAGEM";-;2;1;-;3
"240930 PATU";-;1;-;-;1
"240933 SANTA MARIA";-;1;1;-;2
"240940 PAU DOS FERROS";-;1;-;-;1
"240950 PEDRA GRANDE";2;4;41;-;47
"240960 PEDRA PRETA";-;1;25;-;26
"240970 PEDRO AVELINO";1;9;28;-;38
"240980 PEDRO VELHO";3;4;8;-;15
"240990 PENDENCIAS";-;-;1;-;1
"241000 PILOES";-;-;1;-;1
"241010 POCO BRANCO";3;3;10;-;16
"241020 PORTALEGRE";-;1;-;-;1
"241025 PORTO DO MANGUE";-;-;1;-;1
"241030 SERRA CAIADA";-;2;1;-;3
"241050 RAFAEL FERNANDES";1;-;1;-;2
"241090 RIACHUELO";-;2;34;-;36
"241105 TIBAU";-;-;3;-;3
"241120 SANTA CRUZ";-;6;15;-;21
"241140 SANTANA DO MATOS";1;4;-;-;5
"241142 SANTANA DO SERIDO";-;2;-;-;2
"241150 SANTO ANTONIO";1;7;13;-;21
"241160 SAO BENTO DO NORTE";-;-;1;-;1
"241170 SAO BENTO DO TRAIRI";-;1;-;-;1
"241180 SAO FERNANDO";-;1;-;-;1
"241200 SAO GONCALO DO AMARANTE";2;2;6;-;10
"241210 SAO JOAO DO SABUGI";-;8;6;-;14
"241220 SAO JOSE DE MIPIBU";1;9;18;-;28
"241230 SAO JOSE DO CAMPESTRE";3;6;11;-;20
"241240 SAO JOSE DO SERIDO";-;2;3;-;5
"241250 SAO MIGUEL";-;1;13;-;14
"241255 SAO MIGUEL DO GOSTOSO";-;5;1;-;6
"241260 SAO PAULO DO POTENGI";-;4;56;-;60
"241270 SAO PEDRO";-;-;2;-;2
"241280 SAO RAFAEL";1;5;4;-;10
"241290 SAO TOME";3;5;34;-;42
"241300 SAO VICENTE";2;2;6;-;10
"241320 SENADOR GEORGINO AVELINO";-;2;3;-;5
"241335 SERRA DO MEL";-;-;2;-;2
"241340 SERRA NEGRA DO NORTE";1;1;1;-;3
"241350 SERRINHA";-;2;3;-;5
"241355 SERRINHA DOS PINTOS";1;1;4;-;6
"241370 SITIO NOVO";1;3;15;-;19
"241390 TAIPU";3;19;30;-;52
"241400 TANGARA";-;4;-;-;4
"241420 TIBAU DO SUL";-;17;56;-;73
"241430 TIMBAUBA DOS BATISTAS";-;1;3;-;4
"241440 TOUROS";2;8;18;-;28
"241445 TRIUNFO POTIGUAR";-;1;8;-;9
"241450 UMARIZAL";1;-;-;-;1
"241470 VARZEA";1;-;-;-;1
"241480 VERA CRUZ";3;3;-;-;6
"241500 VILA FLOR";-;-;1;-;1
"250030 ALAGOA GRANDE";1;27;122;-;150
"250040 ALAGOA NOVA";8;12;11;-;31
"250050 ALAGOINHA";1;7;30;-;38
"250053 ALCANTIL";-;-;1;-;1
"250057 ALGODAO DE JANDAIRA";-;-;5;-;5
"250060 ALHANDRA";-;1;1;-;2
