2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/toxogestacionalbr.def
Gestational Toxoplasmosis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Total"
"150400 LIMOEIRO DO AJURU";-;-;-;-;1;1;-;2
"150405 MAE DO RIO";-;1;-;-;1;-;-;2
"150420 MARABA";1;-;-;-;-;-;-;1
"150430 MARACANA";1;-;-;-;-;-;-;1
"150450 MELGACO";-;-;-;-;-;1;-;1
"150460 MOCAJUBA";-;-;-;-;3;-;-;3
"150490 MUANA";-;-;-;-;10;-;-;10
"150500 NOVA TIMBOTEUA";-;2;-;-;-;-;-;2
"150503 NOVO PROGRESSO";-;-;-;-;-;-;1;1
"150506 NOVO REPARTIMENTO";1;-;-;-;-;1;-;2
"150510 OBIDOS";-;-;-;1;-;1;-;2
"150520 OEIRAS DO PARA";-;-;-;-;1;-;-;1
"150530 ORIXIMINA";-;-;-;-;1;-;-;1
"150543 OURILANDIA DO NORTE";-;-;1;-;-;1;-;2
"150548 PACAJA";-;1;1;-;-;-;-;2
"150549 PALESTINA DO PARA";-;-;1;-;-;-;-;1
"150550 PARAGOMINAS";-;1;-;1;1;-;-;3
"150553 PARAUAPEBAS";-;1;2;2;2;-;-;7
"150563 PICARRA";-;-;1;-;-;-;-;1
"150570 PONTA DE PEDRAS";-;-;-;-;-;1;-;1
"150580 PORTEL";-;-;-;-;1;-;-;1
"150590 PORTO DE MOZ";-;1;-;-;-;-;-;1
"150600 PRAINHA";-;-;3;2;-;-;-;5
"150613 REDENCAO";1;-;-;-;1;1;-;3
"150618 RONDON DO PARA";-;1;-;-;-;1;-;2
"150620 SALINOPOLIS";-;-;-;-;1;-;-;1
"150655 SANTA LUZIA DO PARA";-;-;-;1;-;-;-;1
"150670 SANTANA DO ARAGUAIA";-;-;-;1;-;2;-;3
"150680 SANTAREM";1;3;1;3;5;2;-;15
"150710 SAO CAETANO DE ODIVELAS";-;-;-;-;1;-;-;1
"150730 SAO FELIX DO XINGU";-;-;-;-;-;1;1;2
"150745 SAO GERALDO DO ARAGUAIA";-;-;1;-;-;-;-;1
"150746 SAO JOAO DA PONTA";-;1;1;-;-;-;-;2
"150760 SAO MIGUEL DO GUAMA";-;-;-;-;1;2;-;3
"150780 SENADOR JOSE PORFIRIO";-;-;-;-;-;1;-;1
"150790 SOURE";-;-;1;-;-;-;-;1
"150795 TAILANDIA";-;-;-;-;-;-;1;1
"150803 TRACUATEUA";-;-;-;-;-;-;1;1
"150805 TRAIRAO";-;-;-;1;1;-;-;2
"150810 TUCURUI";5;1;-;1;-;2;-;9
"150815 URUARA";-;-;-;1;-;-;-;1
"150835 VITORIA DO XINGU";-;-;-;1;-;-;-;1
"150840 XINGUARA";-;-;1;-;1;-;-;2
"160030 MACAPA";2;1;4;-;-;1;-;8
"160050 OIAPOQUE";-;-;-;-;1;-;-;1
"160053 PORTO GRANDE";-;-;1;-;-;-;-;1
"160060 SANTANA";-;-;1;-;-;-;-;1
"160070 TARTARUGALZINHO";-;-;-;-;1;-;-;1
"170030 AGUIARNOPOLIS";1;-;-;-;-;-;-;1
"170070 ALVORADA";-;-;1;-;-;-;-;1
"170100 ANANAS";-;-;1;-;-;-;-;1
"170110 APARECIDA DO RIO NEGRO";-;3;-;1;-;-;-;4
"170210 ARAGUAINA";3;2;7;4;-;4;-;20
"170220 ARAGUATINS";-;-;-;1;-;-;-;1
"170240 ARRAIAS";-;2;-;-;-;-;-;2
"170255 AUGUSTINOPOLIS";-;-;-;3;-;-;-;3
"170270 AURORA DO TOCANTINS";-;1;-;-;-;-;-;1
"170290 AXIXA DO TOCANTINS";-;-;-;1;-;-;-;1
"170300 BABACULANDIA";-;-;-;-;1;-;-;1
"170307 BARRA DO OURO";-;1;-;-;-;-;-;1
"170320 BERNARDO SAYAO";-;-;-;-;2;-;-;2
"170370 BREJINHO DE NAZARE";1;-;-;-;-;-;-;1
"170380 BURITI DO TOCANTINS";-;-;1;-;-;-;-;1
"170390 CASEARA";1;2;-;-;-;-;-;3
"170550 COLINAS DO TOCANTINS";-;-;1;1;-;-;-;2
"170600 COUTO MAGALHAES";-;-;-;-;1;-;1;2
"170700 DIANOPOLIS";-;-;-;1;-;1;-;2
"170765 FIGUEIROPOLIS";2;-;-;-;-;-;-;2
"170770 FILADELFIA";1;-;-;-;-;1;1;3
"170820 FORMOSO DO ARAGUAIA";-;1;-;-;-;2;-;3
"170830 GOIANORTE";-;-;-;-;-;-;1;1
"170950 GURUPI";1;-;1;3;1;1;1;8
"170980 IPUEIRAS";-;-;-;-;1;-;-;1
"171090 ITAPIRATINS";-;-;-;-;1;-;-;1
"171110 ITAPORA DO TOCANTINS";-;-;1;-;-;-;-;1
"171150 JAU DO TOCANTINS";-;-;-;-;-;-;1;1
"171190 LAGOA DA CONFUSAO";2;-;-;-;-;-;-;2
"171200 LAJEADO";-;-;-;-;1;1;-;2
"171240 LIZARDA";-;-;-;-;-;2;-;2
"171250 MARIANOPOLIS DO TOCANTINS";-;-;-;1;-;-;-;1
"171280 MAURILANDIA DO TOCANTINS";1;-;-;-;-;-;-;1
"171320 MIRACEMA DO TOCANTINS";1;-;-;-;-;-;-;1
"171330 MIRANORTE";-;1;-;-;-;-;-;1
"171380 PALMEIRAS DO TOCANTINS";-;-;-;-;-;1;-;1
"171430 NAZARE";1;-;-;-;-;-;-;1
"171510 NOVO ACORDO";-;2;1;-;-;-;-;3
"171610 PARAISO DO TOCANTINS";2;-;1;2;1;-;-;6
"171650 PEDRO AFONSO";-;1;1;-;-;-;-;2
"171665 PEQUIZEIRO";1;-;-;-;-;1;-;2
"171670 COLMEIA";-;-;1;-;-;1;-;2
"171780 PONTE ALTA DO BOM JESUS";-;-;-;1;-;-;-;1
"171820 PORTO NACIONAL";-;1;1;-;2;2;-;6
"171850 RECURSOLANDIA";-;-;2;-;-;-;-;2
"171865 RIO DA CONCEICAO";-;-;-;-;1;-;-;1
"171875 RIO SONO";-;-;-;-;1;-;-;1
"171880 SAMPAIO";-;-;1;-;-;-;-;1
"171886 SANTA FE DO ARAGUAIA";-;-;-;-;-;-;1;1
"171890 SANTA ROSA DO TOCANTINS";1;-;-;-;-;-;-;1
"172010 SAO BENTO DO TOCANTINS";-;-;1;-;-;1;-;2
"172015 SAO FELIX DO TOCANTINS";1;1;-;-;1;-;-;3
"172020 SAO MIGUEL DO TOCANTINS";1;-;-;-;-;-;-;1
"172030 SAO SEBASTIAO DO TOCANTINS";-;-;1;-;-;-;-;1
"172090 TAGUATINGA";1;-;-;1;-;1;-;3
"172100 PALMAS";2;3;3;6;7;8;2;31
"172110 TOCANTINIA";-;-;-;-;-;1;-;1
"172125 TUPIRAMA";-;-;-;-;-;1;-;1
"172208 WANDERLANDIA";1;-;1;1;-;-;-;3
"210005 ACAILANDIA";-;-;-;-;1;1;-;2
"210010 AFONSO CUNHA";1;-;-;-;-;-;-;1
"210015 AGUA DOCE DO MARANHAO";-;1;-;-;1;-;-;2
"210020 ALCANTARA";-;-;1;-;-;-;-;1
"210060 AMARANTE DO MARANHAO";1;-;2;-;1;-;-;4
"210070 ANAJATUBA";-;-;-;-;-;-;1;1
"210120 BACABAL";-;-;-;-;-;1;-;1
"210135 BACURITUBA";-;1;-;-;-;-;-;1
"210160 BARRA DO CORDA";-;-;1;-;-;-;-;1
"210170 BARREIRINHAS";-;-;1;1;-;3;-;5
"210203 BOM JESUS DAS SELVAS";-;-;-;-;-;-;1;1
"210232 BURITICUPU";-;1;2;-;1;1;-;5
"210300 CAXIAS";-;-;1;2;-;2;-;5
"210320 CHAPADINHA";1;-;1;-;-;-;-;2
"210330 CODO";3;-;2;4;1;1;-;11
"210350 COLINAS";-;1;-;-;-;-;-;1
"210360 COROATA";2;-;-;-;-;-;-;2
"210370 CURURUPU";-;-;-;-;-;1;-;1
"210375 DAVINOPOLIS";-;1;-;1;-;-;-;2
"210405 ESTREITO";1;-;1;-;-;-;-;2
"210409 FORMOSA DA SERRA NEGRA";1;-;1;-;-;1;-;3
"210410 FORTALEZA DOS NOGUEIRAS";-;-;-;-;-;-;1;1
"210420 FORTUNA";-;-;-;-;1;-;1;2
"210460 GOVERNADOR EUGENIO BARROS";2;-;-;-;-;-;-;2
"210467 GOVERNADOR NUNES FREIRE";1;-;-;-;2;1;-;4
"210480 GRAJAU";-;-;-;1;2;3;-;6
"210490 GUIMARAES";-;-;-;-;-;1;-;1
"210530 IMPERATRIZ";2;-;2;2;3;4;2;15
"210542 ITINGA DO MARANHAO";-;-;-;-;-;1;-;1
"210570 LAGO DA PEDRA";1;1;-;-;-;-;-;2
"210580 LAGO DO JUNCO";-;-;1;-;1;-;-;2
"210590 LAGO VERDE";-;1;-;1;-;-;-;2
"210594 LAGO DOS RODRIGUES";-;-;-;-;-;1;-;1
"210596 LAGOA GRANDE DO MARANHAO";-;1;-;-;1;-;-;2
"210610 LORETO";-;1;-;-;-;1;-;2
"210660 MATOES";-;-;-;-;-;1;-;1
"210680 MIRINZAL";-;1;-;-;-;-;-;1
"210710 MORROS";-;-;-;-;1;-;-;1
"210750 PACO DO LUMIAR";-;-;-;1;1;2;-;4
"210780 PARNARAMA";-;-;1;-;-;-;-;1
"210790 PASSAGEM FRANCA";-;-;1;-;-;-;-;1
"210805 PAULINO NEVES";1;1;-;-;-;-;-;2
"210820 PEDREIRAS";1;1;1;-;-;-;-;3
"210890 POCAO DE PEDRAS";-;-;-;1;-;-;-;1
"210910 PRESIDENTE DUTRA";-;-;-;1;-;1;-;2
"210920 PRESIDENTE JUSCELINO";-;-;1;-;-;-;-;1
"210945 RAPOSA";-;-;-;-;-;1;-;1
"210960 ROSARIO";-;-;-;1;-;-;1;2
"210980 SANTA HELENA";-;1;1;-;1;1;-;4
"210990 SANTA INES";-;-;-;-;1;-;-;1
"211000 SANTA LUZIA";-;-;-;-;2;-;-;2
"211020 SANTA RITA";-;1;-;-;-;-;-;1
"211060 SAO BERNARDO";-;-;-;-;-;1;-;1
"211107 SAO JOAO DO SOTER";-;1;-;-;-;-;-;1
"211120 SAO JOSE DE RIBAMAR";3;1;2;1;2;-;1;10
"211130 SAO LUIS";4;4;7;3;5;9;4;36
"211163 SAO RAIMUNDO DO DOCA BEZERRA";-;-;-;-;1;-;-;1
"211170 SAO VICENTE FERRER";-;-;-;1;-;-;-;1
"211176 SENADOR LA ROCQUE";-;-;-;-;-;2;-;2
"211195 SUCUPIRA DO RIACHAO";-;-;-;1;-;-;-;1
"211220 TIMON";1;1;-;1;1;1;-;5
"211230 TUNTUM";-;1;-;2;-;-;-;3
"211250 TUTOIA";1;-;-;-;-;-;-;1
"211280 VIANA";1;-;-;-;-;-;-;1
"211285 VILA NOVA DOS MARTIRIOS";-;-;-;-;2;-;-;2
"211290 VITORIA DO MEARIM";-;-;-;-;-;2;-;2
"211400 ZE DOCA";-;-;1;1;-;-;-;2
"220020 AGUA BRANCA";1;1;-;1;-;-;-;3
"220030 ALTO LONGA";3;-;1;-;-;-;-;4
"220040 ALTOS";-;2;1;-;2;-;-;5
"220050 AMARANTE";-;-;-;1;-;-;-;1
"220120 BARRAS";2;-;1;1;-;-;-;4
"220130 BARREIRAS DO PIAUI";-;-;-;-;1;-;-;1
"220150 BATALHA";-;-;1;1;-;-;-;2
"220155 BELA VISTA DO PIAUI";-;-;-;-;-;1;-;1
"220160 BENEDITINOS";-;-;-;-;2;-;-;2
"220173 BETANIA DO PIAUI";-;-;-;-;1;-;-;1
"220190 BOM JESUS";-;-;1;-;-;-;-;1
"220196 BRASILEIRA";-;-;-;-;1;-;-;1
"220209 CALDEIRAO GRANDE DO PIAUI";-;-;-;-;1;-;-;1
"220210 CAMPINAS DO PIAUI";1;-;-;1;-;-;-;2
"220211 CAMPO ALEGRE DO FIDALGO";-;-;1;-;-;-;-;1
"220220 CAMPO MAIOR";-;1;3;-;-;-;-;4
"220260 CASTELO DO PIAUI";-;1;-;-;1;-;-;2
"220271 COCAL DE TELHA";-;1;-;1;-;-;-;2
"220273 COIVARAS";-;-;-;1;-;-;-;1
"220277 COLONIA DO PIAUI";-;-;-;-;1;-;-;1
"220310 CRISTINO CASTRO";-;-;1;-;-;-;-;1
"220320 CURIMATA";-;-;-;-;1;-;-;1
"220325 CURRALINHOS";1;-;-;-;1;-;-;2
"220330 DEMERVAL LOBAO";-;-;-;1;2;-;-;3
"220342 DOMINGOS MOURAO";-;-;1;-;-;-;-;1
"220350 ELESBAO VELOSO";-;-;-;1;-;-;-;1
"220370 ESPERANTINA";1;-;-;1;-;-;-;2
"220390 FLORIANO";1;-;-;1;-;-;-;2
"220415 FRANCISCO MACEDO";-;-;-;1;-;-;-;1
"220435 GEMINIANO";1;-;1;-;-;-;-;2
"220440 GILBUES";-;-;1;-;-;-;-;1
"220450 GUADALUPE";1;-;-;-;-;-;-;1
"220480 IPIRANGA DO PIAUI";-;-;1;-;-;-;-;1
"220510 ITAUEIRA";-;-;-;-;-;1;-;1
"220520 JAICOS";-;-;-;-;1;-;-;1
"220550 JOSE DE FREITAS";-;2;1;-;2;-;-;5
"220554 LAGOINHA DO PIAUI";1;-;-;-;-;-;-;1
"220555 LAGOA ALEGRE";1;-;-;-;1;-;-;2
"220610 MATIAS OLIMPIO";-;-;1;-;-;-;-;1
"220620 MIGUEL ALVES";1;2;-;-;2;-;-;5
"220640 MONSENHOR GIL";-;1;-;-;3;-;-;4
"220650 MONSENHOR HIPOLITO";-;-;1;-;-;-;-;1
"220672 NAZARIA";-;-;-;1;-;-;-;1
"220700 OEIRAS";-;1;1;2;1;-;1;6
"220750 PALMEIRAIS";-;-;1;1;1;-;-;3
"220760 PARNAGUA";-;-;-;-;-;1;-;1
"220779 PAU D'ARCO DO PIAUI";-;1;1;-;-;-;-;2
"220780 PAULISTANA";1;1;-;1;-;-;-;3
"220785 PAVUSSU";-;-;1;-;-;-;-;1
"220790 PEDRO II";-;-;1;-;-;-;-;1
"220800 PICOS";2;1;-;-;2;-;-;5
"220810 PIMENTEIRAS";-;-;-;1;1;-;-;2
"220830 PIRACURUCA";-;-;-;-;1;-;-;1
"220840 PIRIPIRI";2;2;1;-;1;-;-;6
"220880 REGENERACAO";-;1;-;-;1;-;-;2
"220930 SANTA LUZ";1;-;-;-;1;-;-;2
"220965 SAO FRANCISCO DE ASSIS DO PIAUI";-;-;-;-;1;-;-;1
"220987 SAO JOAO DA FRONTEIRA";-;-;-;1;-;-;-;1
"220997 SAO JOAO DO ARRAIAL";-;-;-;1;-;-;-;1
"221040 SAO MIGUEL DO TAPUIO";-;1;-;-;2;-;-;3
"221050 SAO PEDRO DO PIAUI";1;-;-;-;-;-;-;1
"221065 SIGEFREDO PACHECO";1;-;-;-;-;-;-;1
"221080 SIMPLICIO MENDES";2;-;-;2;-;-;-;4
"221093 SUSSUAPARA";1;-;-;-;-;-;-;1
"221100 TERESINA";12;6;22;13;18;1;-;72
"221110 UNIAO";-;-;1;2;-;-;-;3
"221120 URUCUI";1;-;1;-;1;-;-;3
"221130 VALENCA DO PIAUI";-;-;2;-;-;-;-;2
"230015 ACARAPE";-;-;-;-;2;-;-;2
"230020 ACARAU";2;-;2;1;3;2;-;10
"230030 ACOPIARA";-;-;-;-;-;2;-;2
"230070 ALTO SANTO";-;-;1;3;-;-;-;4
"230075 AMONTADA";-;1;-;1;-;1;-;3
"230090 APUIARES";-;-;-;-;-;1;-;1
"230100 AQUIRAZ";2;1;-;-;-;1;-;4
"230110 ARACATI";-;-;1;2;-;-;-;3
"230120 ARACOIABA";1;1;2;1;1;1;-;7
"230150 ARNEIROZ";1;1;-;-;-;-;-;2
"230185 BANABUIU";1;-;1;1;2;1;-;6
"230190 BARBALHA";-;1;1;-;2;-;-;4
"230195 BARREIRA";-;-;-;-;1;-;-;1
"230200 BARRO";-;-;-;1;-;-;-;1
"230205 BARROQUINHA";-;-;1;-;-;-;-;1
"230220 BEBERIBE";1;-;1;-;2;-;-;4
"230240 BOA VIAGEM";2;-;-;1;-;1;-;4
"230250 BREJO SANTO";-;-;1;1;-;-;-;2
"230300 CARIDADE";-;-;-;-;1;-;-;1
"230310 CARIRE";-;1;-;-;3;-;-;4
"230350 CASCAVEL";2;1;-;1;1;-;-;5
"230365 CATUNDA";-;-;1;-;-;-;-;1
"230370 CAUCAIA";2;2;6;3;4;3;-;20
"230380 CEDRO";-;-;-;-;2;-;-;2
"230395 CHOROZINHO";1;-;-;-;-;-;-;1
"230400 COREAU";-;-;1;-;-;-;-;1
"230410 CRATEUS";-;-;1;-;-;-;-;1
"230420 CRATO";1;-;1;-;-;-;-;2
"230425 CRUZ";1;1;-;1;1;1;-;5
"230428 EUSEBIO";1;-;-;-;-;-;-;1
"230430 FARIAS BRITO";-;-;-;-;1;-;-;1
"230440 FORTALEZA";13;14;8;11;12;12;-;70
"230445 FORTIM";-;1;-;-;-;-;-;1
"230450 FRECHEIRINHA";-;-;1;-;-;-;-;1
"230470 GRANJA";-;-;1;-;-;1;-;2
"230480 GRANJEIRO";-;-;1;-;-;-;-;1
"230495 GUAIUBA";-;-;-;-;1;-;-;1
"230500 GUARACIABA DO NORTE";1;-;-;-;-;-;-;1
"230523 HORIZONTE";1;1;1;2;-;-;-;5
"230530 IBIAPINA";1;1;-;-;-;-;-;2
"230540 ICO";-;-;-;1;-;-;-;1
"230550 IGUATU";-;-;-;-;1;-;-;1
"230560 INDEPENDENCIA";-;-;-;1;-;-;-;1
"230580 IPU";1;1;-;3;-;2;-;7
"230590 IPUEIRAS";-;-;-;-;1;-;-;1
"230610 IRAUCUBA";1;-;-;-;1;-;-;2
"230625 ITAITINGA";-;1;-;-;1;-;-;2
"230630 ITAPAGE";-;-;1;-;-;-;-;1
"230640 ITAPIPOCA";2;5;1;-;2;1;-;11
"230655 ITAREMA";1;1;1;-;-;2;-;5
"230660 ITATIRA";1;-;-;-;-;-;-;1
"230670 JAGUARETAMA";-;-;-;-;2;-;-;2
"230700 JAGUARUANA";-;-;-;1;-;-;-;1
"230710 JARDIM";-;-;3;-;-;-;-;3
"230725 JIJOCA DE JERICOACOARA";-;1;-;-;-;-;-;1
"230730 JUAZEIRO DO NORTE";-;-;2;-;1;1;-;4
"230750 LAVRAS DA MANGABEIRA";-;1;2;-;-;2;-;5
"230760 LIMOEIRO DO NORTE";-;2;-;-;-;-;-;2
"230763 MADALENA";-;-;1;-;-;-;-;1
"230765 MARACANAU";2;2;3;1;5;-;-;13
"230770 MARANGUAPE";1;3;-;-;-;-;-;4
"230780 MARCO";1;2;1;-;-;1;-;5
"230790 MARTINOPOLE";-;2;-;-;2;-;-;4
"230800 MASSAPE";-;-;-;-;-;2;-;2
"230830 MILAGRES";-;-;1;-;-;-;-;1
"230837 MIRAIMA";-;-;-;-;-;1;-;1
"230850 MOMBACA";-;-;-;1;1;-;-;2
"230870 MORADA NOVA";-;-;1;1;1;1;-;4
"230890 MORRINHOS";-;-;-;-;1;-;-;1
"230900 MUCAMBO";-;-;-;-;-;1;-;1
"230930 NOVA RUSSAS";1;-;-;-;-;-;-;1
"230940 NOVO ORIENTE";-;-;1;-;1;-;-;2
"230950 OROS";-;1;-;-;-;-;-;1
"230960 PACAJUS";-;1;1;1;-;-;-;3
"230970 PACATUBA";1;-;-;1;-;-;-;2
"231030 PARAMBU";-;-;-;-;-;1;-;1
"231050 PEDRA BRANCA";-;2;-;-;1;1;-;4
"231070 PENTECOSTE";-;-;-;-;1;-;-;1
"231080 PEREIRO";-;1;-;-;-;-;-;1
"231085 PINDORETAMA";-;-;-;-;1;-;-;1
"231090 PIQUET CARNEIRO";-;1;-;-;-;-;-;1
"231100 PORANGA";1;-;-;-;-;-;-;1
"231130 QUIXADA";1;-;-;1;1;2;-;5
"231135 QUIXELO";-;-;-;1;-;-;-;1
"231140 QUIXERAMOBIM";-;-;1;1;3;-;-;5
"231150 QUIXERE";-;-;1;-;-;-;-;1
"231170 RERIUTABA";-;-;-;-;-;1;-;1
"231180 RUSSAS";1;1;2;1;-;-;-;5
"231210 SANTANA DO CARIRI";-;-;-;1;-;-;-;1
"231220 SANTA QUITERIA";-;1;1;-;1;-;-;3
"231240 SAO GONCALO DO AMARANTE";-;1;3;4;1;-;-;9
"231280 SENADOR SA";-;-;-;1;-;-;-;1
"231290 SOBRAL";2;3;4;2;3;2;-;16
"231300 SOLONOPOLE";-;1;-;-;-;-;-;1
"231330 TAUA";-;3;2;1;1;-;-;7
"231335 TEJUCUOCA";-;-;1;1;-;-;-;2
"231340 TIANGUA";-;-;1;1;-;1;-;3
"231350 TRAIRI";-;1;1;2;1;-;-;5
"231355 TURURU";1;1;-;-;-;-;-;2
"231360 UBAJARA";-;1;1;-;-;2;-;4
"231375 UMIRIM";1;-;-;1;-;-;-;2
"231380 URUBURETAMA";-;-;-;-;1;-;-;1
"231410 VICOSA DO CEARA";1;-;-;-;-;-;-;1
"240020 ACU";-;1;-;-;-;-;-;1
"240070 ALTO DO RODRIGUES";-;1;-;-;1;-;1;3
"240080 ANGICOS";-;-;-;-;-;-;2;2
"240090 ANTONIO MARTINS";-;-;-;-;1;-;-;1
"240110 AREIA BRANCA";-;1;1;-;1;-;-;3
"240140 BAIA FORMOSA";-;-;-;-;-;-;1;1
"240145 BARAUNA";-;-;-;1;1;1;-;3
"240180 BREJINHO";-;1;-;-;-;-;-;1
"240200 CAICO";-;-;-;-;1;1;-;2
