2022
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisgestantebr.def
Syphilis In Pregnant Women
"Município de residência";"Casos confirmados"
" MUNICIPIO IGNORADO - RO";1
"110001 ALTA FLORESTA D'OESTE";12
"110002 ARIQUEMES";107
"110004 CACOAL";62
"110005 CEREJEIRAS";9
"110006 COLORADO DO OESTE";9
"110007 CORUMBIARA";3
"110008 COSTA MARQUES";9
"110009 ESPIGAO D'OESTE";25
"110010 GUAJARA-MIRIM";29
"110011 JARU";41
"110012 JI-PARANA";77
"110013 MACHADINHO D'OESTE";27
"110014 NOVA BRASILANDIA D'OESTE";8
"110015 OURO PRETO DO OESTE";24
"110018 PIMENTA BUENO";2
"110020 PORTO VELHO";376
"110025 PRESIDENTE MEDICI";10
"110026 RIO CRESPO";3
"110028 ROLIM DE MOURA";44
"110030 VILHENA";93
"110032 SAO MIGUEL DO GUAPORE";18
"110033 NOVA MAMORE";22
"110034 ALVORADA D'OESTE";2
"110040 ALTO PARAISO";4
"110045 BURITIS";36
"110060 CACAULANDIA";1
"110070 CAMPO NOVO DE RONDONIA";2
"110080 CANDEIAS DO JAMARI";23
"110090 CASTANHEIRAS";1
"110092 CHUPINGUAIA";12
"110094 CUJUBIM";17
"110100 GOVERNADOR JORGE TEIXEIRA";2
"110110 ITAPUA DO OESTE";2
"110120 MINISTRO ANDREAZZA";2
"110130 MIRANTE DA SERRA";4
"110140 MONTE NEGRO";9
"110146 PIMENTEIRAS DO OESTE";2
"110149 SAO FRANCISCO DO GUAPORE";12
"110150 SERINGUEIRAS";6
"110155 TEIXEIROPOLIS";1
"110160 THEOBROMA";3
"110170 URUPA";3
"110175 VALE DO ANARI";3
"120001 ACRELANDIA";11
"120005 ASSIS BRASIL";10
"120010 BRASILEIA";37
"120013 BUJARI";25
"120017 CAPIXABA";12
"120020 CRUZEIRO DO SUL";102
"120025 EPITACIOLANDIA";10
"120030 FEIJO";36
"120032 JORDAO";5
"120033 MANCIO LIMA";9
"120034 MANOEL URBANO";8
"120035 MARECHAL THAUMATURGO";2
"120038 PLACIDO DE CASTRO";18
"120039 PORTO WALTER";6
"120040 RIO BRANCO";452
"120042 RODRIGUES ALVES";7
"120043 SANTA ROSA DO PURUS";5
"120045 SENADOR GUIOMARD";18
"120050 SENA MADUREIRA";27
"120060 TARAUACA";72
"120070 XAPURI";22
