2019
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisadquiridabr.def
Acquired Syphilis
"Município de residência";"Em Branco/ign";"Total"
"110001 ALTA FLORESTA D'OESTE";62;62
"110002 ARIQUEMES";471;471
"110003 CABIXI";6;6
"110004 CACOAL";647;647
"110005 CEREJEIRAS";44;44
"110006 COLORADO DO OESTE";66;66
"110007 CORUMBIARA";20;20
"110008 COSTA MARQUES";30;30
"110009 ESPIGAO D'OESTE";113;113
"110010 GUAJARA-MIRIM";248;248
"110011 JARU";214;214
"110012 JI-PARANA";658;658
"110013 MACHADINHO D'OESTE";137;137
"110014 NOVA BRASILANDIA D'OESTE";49;49
"110015 OURO PRETO DO OESTE";74;74
"110018 PIMENTA BUENO";63;63
"110020 PORTO VELHO";2626;2626
"110025 PRESIDENTE MEDICI";49;49
"110026 RIO CRESPO";33;33
"110028 ROLIM DE MOURA";211;211
"110029 SANTA LUZIA D'OESTE";8;8
"110030 VILHENA";615;615
"110032 SAO MIGUEL DO GUAPORE";33;33
"110033 NOVA MAMORE";115;115
"110034 ALVORADA D'OESTE";25;25
"110037 ALTO ALEGRE DOS PARECIS";13;13
"110040 ALTO PARAISO";10;10
"110045 BURITIS";340;340
"110050 NOVO HORIZONTE DO OESTE";5;5
"110060 CACAULANDIA";8;8
"110070 CAMPO NOVO DE RONDONIA";26;26
"110080 CANDEIAS DO JAMARI";81;81
"110090 CASTANHEIRAS";3;3
"110092 CHUPINGUAIA";24;24
"110094 CUJUBIM";70;70
"110100 GOVERNADOR JORGE TEIXEIRA";14;14
"110110 ITAPUA DO OESTE";16;16
"110120 MINISTRO ANDREAZZA";13;13
"110130 MIRANTE DA SERRA";4;4
"110140 MONTE NEGRO";52;52
"110143 NOVA UNIAO";1;1
"110145 PARECIS";9;9
"110146 PIMENTEIRAS DO OESTE";5;5
"110147 PRIMAVERA DE RONDONIA";6;6
"110148 SAO FELIPE D'OESTE";2;2
"110149 SAO FRANCISCO DO GUAPORE";139;139
"110150 SERINGUEIRAS";23;23
"110155 TEIXEIROPOLIS";12;12
"110160 THEOBROMA";9;9
"110170 URUPA";16;16
"110175 VALE DO ANARI";7;7
"110180 VALE DO PARAISO";8;8
"120001 ACRELANDIA";60;60
"120005 ASSIS BRASIL";52;52
"120010 BRASILEIA";220;220
"120013 BUJARI";84;84
"120017 CAPIXABA";15;15
"120020 CRUZEIRO DO SUL";272;272
"120025 EPITACIOLANDIA";85;85
"120030 FEIJO";15;15
"120032 JORDAO";13;13
"120033 MANCIO LIMA";80;80
"120034 MANOEL URBANO";27;27
"120035 MARECHAL THAUMATURGO";12;12
"120038 PLACIDO DE CASTRO";55;55
"120039 PORTO WALTER";34;34
"120040 RIO BRANCO";2108;2108
"120042 RODRIGUES ALVES";28;28
"120043 SANTA ROSA DO PURUS";82;82
"120045 SENADOR GUIOMARD";91;91
"120050 SENA MADUREIRA";190;190
"120060 TARAUACA";336;336
"120070 XAPURI";107;107
"120080 PORTO ACRE";89;89
" MUNICIPIO IGNORADO - AM";1;1
"130002 ALVARAES";21;21
"130006 AMATURA";38;38
"130008 ANAMA";18;18
"130010 ANORI";43;43
"130014 APUI";32;32
"130020 ATALAIA DO NORTE";51;51
"130030 AUTAZES";55;55
"130040 BARCELOS";19;19
"130050 BARREIRINHA";34;34
"130060 BENJAMIN CONSTANT";116;116
"130063 BERURI";28;28
"130068 BOA VISTA DO RAMOS";24;24
"130070 BOCA DO ACRE";33;33
"130080 BORBA";80;80
"130083 CAAPIRANGA";18;18
"130090 CANUTAMA";20;20
"130100 CARAUARI";268;268
"130110 CAREIRO";76;76
"130115 CAREIRO DA VARZEA";18;18
"130120 COARI";381;381
"130130 CODAJAS";40;40
"130140 EIRUNEPE";154;154
"130150 ENVIRA";265;265
"130160 FONTE BOA";16;16
"130165 GUAJARA";22;22
"130170 HUMAITA";139;139
"130180 IPIXUNA";31;31
"130185 IRANDUBA";221;221
"130190 ITACOATIARA";272;272
"130195 ITAMARATI";35;35
"130200 ITAPIRANGA";36;36
"130210 JAPURA";19;19
"130220 JURUA";25;25
"130230 JUTAI";54;54
"130240 LABREA";135;135
"130250 MANACAPURU";298;298
"130255 MANAQUIRI";38;38
"130260 MANAUS";14434;14434
"130270 MANICORE";169;169
"130280 MARAA";53;53
"130290 MAUES";72;72
"130300 NHAMUNDA";20;20
"130310 NOVA OLINDA DO NORTE";167;167
"130320 NOVO AIRAO";54;54
"130330 NOVO ARIPUANA";15;15
"130340 PARINTINS";422;422
"130350 PAUINI";156;156
"130353 PRESIDENTE FIGUEIREDO";101;101
"130356 RIO PRETO DA EVA";87;87
"130360 SANTA ISABEL DO RIO NEGRO";54;54
"130370 SANTO ANTONIO DO ICA";18;18
"130380 SAO GABRIEL DA CACHOEIRA";92;92
"130390 SAO PAULO DE OLIVENCA";36;36
"130395 SAO SEBASTIAO DO UATUMA";30;30
"130400 SILVES";30;30
"130406 TABATINGA";312;312
"130410 TAPAUA";25;25
"130420 TEFE";138;138
"130423 TONANTINS";32;32
"130426 UARINI";24;24
"130430 URUCARA";33;33
"130440 URUCURITUBA";67;67
"140002 AMAJARI";11;11
"140005 ALTO ALEGRE";25;25
"140010 BOA VISTA";2150;2150
"140015 BONFIM";36;36
"140017 CANTA";36;36
"140020 CARACARAI";70;70
"140023 CAROEBE";15;15
"140028 IRACEMA";32;32
"140030 MUCAJAI";106;106
"140040 NORMANDIA";21;21
"140045 PACARAIMA";116;116
"140047 RORAINOPOLIS";107;107
"140050 SAO JOAO DA BALIZA";55;55
"140060 SAO LUIZ";36;36
"140070 UIRAMUTA";21;21
" MUNICIPIO IGNORADO - PA";2;2
"150010 ABAETETUBA";368;368
"150013 ABEL FIGUEIREDO";3;3
"150020 ACARA";25;25
"150030 AFUA";39;39
"150034 AGUA AZUL DO NORTE";14;14
"150040 ALENQUER";71;71
"150050 ALMEIRIM";7;7
"150060 ALTAMIRA";178;178
"150070 ANAJAS";83;83
"150080 ANANINDEUA";1303;1303
"150085 ANAPU";23;23
"150090 AUGUSTO CORREA";11;11
"150095 AURORA DO PARA";41;41
"150100 AVEIRO";10;10
"150110 BAGRE";42;42
"150120 BAIAO";63;63
"150125 BANNACH";18;18
"150130 BARCARENA";171;171
"150140 BELEM";2636;2636
"150145 BELTERRA";13;13
"150150 BENEVIDES";206;206
"150157 BOM JESUS DO TOCANTINS";5;5
"150160 BONITO";5;5
"150170 BRAGANCA";314;314
"150172 BRASIL NOVO";26;26
"150178 BREU BRANCO";38;38
"150180 BREVES";78;78
"150190 BUJARU";35;35
"150195 CACHOEIRA DO PIRIA";20;20
"150200 CACHOEIRA DO ARARI";16;16
"150210 CAMETA";201;201
"150215 CANAA DOS CARAJAS";89;89
"150220 CAPANEMA";217;217
"150230 CAPITAO POCO";122;122
"150240 CASTANHAL";112;112
"150250 CHAVES";26;26
"150260 COLARES";8;8
"150270 CONCEICAO DO ARAGUAIA";71;71
"150275 CONCORDIA DO PARA";10;10
"150276 CUMARU DO NORTE";4;4
"150277 CURIONOPOLIS";29;29
"150280 CURRALINHO";16;16
"150285 CURUA";17;17
"150290 CURUCA";140;140
"150293 DOM ELISEU";28;28
"150295 ELDORADO DOS CARAJAS";64;64
"150300 FARO";18;18
"150304 FLORESTA DO ARAGUAIA";33;33
"150307 GARRAFAO DO NORTE";25;25
"150309 GOIANESIA DO PARA";41;41
"150310 GURUPA";12;12
"150320 IGARAPE-ACU";30;30
"150330 IGARAPE-MIRI";108;108
"150340 INHANGAPI";4;4
"150345 IPIXUNA DO PARA";115;115
"150350 IRITUIA";24;24
"150360 ITAITUBA";142;142
"150370 ITUPIRANGA";66;66
"150375 JACAREACANGA";44;44
"150380 JACUNDA";139;139
"150390 JURUTI";102;102
"150400 LIMOEIRO DO AJURU";63;63
"150405 MAE DO RIO";24;24
"150410 MAGALHAES BARATA";35;35
"150420 MARABA";756;756
"150430 MARACANA";19;19
"150440 MARAPANIM";65;65
"150442 MARITUBA";87;87
"150445 MEDICILANDIA";73;73
"150450 MELGACO";9;9
"150460 MOCAJUBA";64;64
"150470 MOJU";47;47
"150475 MOJUI DOS CAMPOS";8;8
"150480 MONTE ALEGRE";40;40
"150490 MUANA";6;6
"150495 NOVA ESPERANCA DO PIRIA";7;7
"150497 NOVA IPIXUNA";10;10
"150500 NOVA TIMBOTEUA";10;10
"150503 NOVO PROGRESSO";61;61
"150506 NOVO REPARTIMENTO";97;97
"150510 OBIDOS";37;37
"150520 OEIRAS DO PARA";75;75
"150530 ORIXIMINA";4;4
"150540 OUREM";18;18
"150543 OURILANDIA DO NORTE";49;49
"150548 PACAJA";51;51
"150549 PALESTINA DO PARA";4;4
"150550 PARAGOMINAS";356;356
"150553 PARAUAPEBAS";825;825
"150555 PAU D'ARCO";8;8
"150560 PEIXE-BOI";10;10
"150563 PICARRA";8;8
"150565 PLACAS";13;13
"150570 PONTA DE PEDRAS";70;70
"150580 PORTEL";3;3
"150590 PORTO DE MOZ";20;20
"150600 PRAINHA";37;37
"150610 PRIMAVERA";13;13
"150611 QUATIPURU";51;51
"150613 REDENCAO";104;104
"150616 RIO MARIA";60;60
"150618 RONDON DO PARA";15;15
"150619 RUROPOLIS";30;30
"150620 SALINOPOLIS";416;416
"150630 SALVATERRA";26;26
"150635 SANTA BARBARA DO PARA";34;34
"150640 SANTA CRUZ DO ARARI";17;17
"150650 SANTA IZABEL DO PARA";12;12
"150655 SANTA LUZIA DO PARA";39;39
"150658 SANTA MARIA DAS BARREIRAS";1;1
"150660 SANTA MARIA DO PARA";17;17
"150670 SANTANA DO ARAGUAIA";94;94
"150680 SANTAREM";1452;1452
"150690 SANTAREM NOVO";11;11
"150700 SANTO ANTONIO DO TAUA";7;7
"150710 SAO CAETANO DE ODIVELAS";4;4
"150715 SAO DOMINGOS DO ARAGUAIA";17;17
"150720 SAO DOMINGOS DO CAPIM";16;16
"150730 SAO FELIX DO XINGU";292;292
"150740 SAO FRANCISCO DO PARA";10;10
"150745 SAO GERALDO DO ARAGUAIA";37;37
"150746 SAO JOAO DA PONTA";3;3
"150747 SAO JOAO DE PIRABAS";131;131
"150750 SAO JOAO DO ARAGUAIA";13;13
"150760 SAO MIGUEL DO GUAMA";89;89
"150770 SAO SEBASTIAO DA BOA VISTA";57;57
"150775 SAPUCAIA";20;20
"150780 SENADOR JOSE PORFIRIO";11;11
"150790 SOURE";9;9
"150795 TAILANDIA";134;134
"150796 TERRA ALTA";3;3
"150797 TERRA SANTA";72;72
"150800 TOME-ACU";77;77
"150803 TRACUATEUA";148;148
"150805 TRAIRAO";50;50
"150808 TUCUMA";46;46
"150810 TUCURUI";128;128
"150812 ULIANOPOLIS";2;2
"150815 URUARA";4;4
"150820 VIGIA";61;61
"150830 VISEU";38;38
"150835 VITORIA DO XINGU";55;55
"150840 XINGUARA";402;402
"160005 SERRA DO NAVIO";3;3
"160010 AMAPA";25;25
"160015 PEDRA BRANCA DO AMAPARI";50;50
"160020 CALCOENE";13;13
"160021 CUTIAS";14;14
"160023 FERREIRA GOMES";14;14
"160025 ITAUBAL";3;3
"160027 LARANJAL DO JARI";250;250
"160030 MACAPA";2135;2135
"160040 MAZAGAO";36;36
"160050 OIAPOQUE";82;82
"160053 PORTO GRANDE";39;39
"160055 PRACUUBA";6;6
"160060 SANTANA";254;254
"160070 TARTARUGALZINHO";59;59
"160080 VITORIA DO JARI";24;24
"170025 ABREULANDIA";5;5
"170030 AGUIARNOPOLIS";15;15
"170035 ALIANCA DO TOCANTINS";8;8
"170040 ALMAS";4;4
"170070 ALVORADA";17;17
