2019
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisbr.def
Congenital Syphilis
"Município de residência";"Casos confirmados"
"110001 ALTA FLORESTA D'OESTE";1
"110002 ARIQUEMES";12
"110004 CACOAL";4
"110006 COLORADO DO OESTE";1
"110008 COSTA MARQUES";2
"110009 ESPIGAO D'OESTE";6
"110010 GUAJARA-MIRIM";6
"110011 JARU";5
"110012 JI-PARANA";8
"110013 MACHADINHO D'OESTE";4
"110014 NOVA BRASILANDIA D'OESTE";1
"110015 OURO PRETO DO OESTE";5
"110018 PIMENTA BUENO";4
"110020 PORTO VELHO";145
"110025 PRESIDENTE MEDICI";3
"110028 ROLIM DE MOURA";1
"110030 VILHENA";3
"110032 SAO MIGUEL DO GUAPORE";3
"110033 NOVA MAMORE";4
"110037 ALTO ALEGRE DOS PARECIS";1
"110040 ALTO PARAISO";1
"110045 BURITIS";2
"110080 CANDEIAS DO JAMARI";8
"110094 CUJUBIM";2
"110110 ITAPUA DO OESTE";2
"110149 SAO FRANCISCO DO GUAPORE";2
"110150 SERINGUEIRAS";4
"110160 THEOBROMA";1
"110175 VALE DO ANARI";1
"110180 VALE DO PARAISO";1
"120001 ACRELANDIA";5
"120005 ASSIS BRASIL";5
"120010 BRASILEIA";15
"120013 BUJARI";13
"120017 CAPIXABA";12
"120020 CRUZEIRO DO SUL";37
"120025 EPITACIOLANDIA";12
"120030 FEIJO";8
"120032 JORDAO";1
"120033 MANCIO LIMA";6
"120034 MANOEL URBANO";4
"120035 MARECHAL THAUMATURGO";3
"120038 PLACIDO DE CASTRO";16
"120039 PORTO WALTER";3
"120040 RIO BRANCO";190
"120042 RODRIGUES ALVES";3
"120043 SANTA ROSA DO PURUS";6
"120045 SENADOR GUIOMARD";20
"120050 SENA MADUREIRA";16
"120060 TARAUACA";32
"120070 XAPURI";6
"120080 PORTO ACRE";24
"130002 ALVARAES";5
"130006 AMATURA";1
"130008 ANAMA";5
"130010 ANORI";1
"130014 APUI";1
"130020 ATALAIA DO NORTE";2
"130030 AUTAZES";14
"130040 BARCELOS";2
"130050 BARREIRINHA";8
"130060 BENJAMIN CONSTANT";7
"130063 BERURI";1
"130068 BOA VISTA DO RAMOS";1
"130070 BOCA DO ACRE";12
"130080 BORBA";10
"130083 CAAPIRANGA";2
"130090 CANUTAMA";3
"130100 CARAUARI";14
"130110 CAREIRO";6
"130115 CAREIRO DA VARZEA";6
"130120 COARI";2
"130130 CODAJAS";3
"130140 EIRUNEPE";15
"130150 ENVIRA";10
"130160 FONTE BOA";3
"130165 GUAJARA";9
"130170 HUMAITA";12
"130185 IRANDUBA";23
"130190 ITACOATIARA";12
"130195 ITAMARATI";1
"130200 ITAPIRANGA";3
"130210 JAPURA";4
"130220 JURUA";1
"130230 JUTAI";5
"130240 LABREA";8
"130250 MANACAPURU";38
"130255 MANAQUIRI";1
"130260 MANAUS";1710
"130270 MANICORE";16
"130280 MARAA";2
"130290 MAUES";4
"130300 NHAMUNDA";1
"130310 NOVA OLINDA DO NORTE";23
"130320 NOVO AIRAO";4
"130330 NOVO ARIPUANA";1
"130340 PARINTINS";52
"130350 PAUINI";2
"130353 PRESIDENTE FIGUEIREDO";6
"130356 RIO PRETO DA EVA";6
"130360 SANTA ISABEL DO RIO NEGRO";5
"130380 SAO GABRIEL DA CACHOEIRA";2
"130390 SAO PAULO DE OLIVENCA";2
"130395 SAO SEBASTIAO DO UATUMA";1
"130400 SILVES";1
"130406 TABATINGA";11
"130410 TAPAUA";1
"130420 TEFE";11
"130426 UARINI";1
"130430 URUCARA";5
"130440 URUCURITUBA";1
"140002 AMAJARI";5
"140005 ALTO ALEGRE";6
"140010 BOA VISTA";353
"140015 BONFIM";6
"140017 CANTA";18
"140020 CARACARAI";26
"140023 CAROEBE";6
"140028 IRACEMA";1
"140030 MUCAJAI";23
"140040 NORMANDIA";4
"140045 PACARAIMA";33
"140047 RORAINOPOLIS";34
"140050 SAO JOAO DA BALIZA";5
"140060 SAO LUIZ";5
"140070 UIRAMUTA";4
"150010 ABAETETUBA";35
"150013 ABEL FIGUEIREDO";4
"150020 ACARA";24
"150030 AFUA";29
"150034 AGUA AZUL DO NORTE";1
"150040 ALENQUER";22
"150050 ALMEIRIM";5
"150060 ALTAMIRA";66
"150070 ANAJAS";8
"150080 ANANINDEUA";387
"150085 ANAPU";24
"150090 AUGUSTO CORREA";30
"150095 AURORA DO PARA";5
"150100 AVEIRO";3
"150110 BAGRE";14
"150120 BAIAO";7
"150125 BANNACH";1
"150130 BARCARENA";95
"150140 BELEM";937
"150145 BELTERRA";6
"150150 BENEVIDES";63
"150157 BOM JESUS DO TOCANTINS";5
"150160 BONITO";1
"150170 BRAGANCA";110
"150172 BRASIL NOVO";5
"150175 BREJO GRANDE DO ARAGUAIA";2
"150178 BREU BRANCO";8
"150180 BREVES";144
"150190 BUJARU";12
"150195 CACHOEIRA DO PIRIA";3
"150200 CACHOEIRA DO ARARI";4
"150210 CAMETA";54
"150215 CANAA DOS CARAJAS";25
"150220 CAPANEMA";19
"150230 CAPITAO POCO";7
"150240 CASTANHAL";68
"150250 CHAVES";7
"150260 COLARES";7
"150270 CONCEICAO DO ARAGUAIA";15
"150275 CONCORDIA DO PARA";13
"150276 CUMARU DO NORTE";6
"150277 CURIONOPOLIS";10
"150280 CURRALINHO";6
"150285 CURUA";4
"150290 CURUCA";23
"150293 DOM ELISEU";6
"150295 ELDORADO DOS CARAJAS";17
"150304 FLORESTA DO ARAGUAIA";4
"150307 GARRAFAO DO NORTE";2
"150309 GOIANESIA DO PARA";13
"150310 GURUPA";13
"150320 IGARAPE-ACU";9
"150330 IGARAPE-MIRI";10
"150340 INHANGAPI";5
"150345 IPIXUNA DO PARA";20
"150350 IRITUIA";9
"150360 ITAITUBA";99
"150370 ITUPIRANGA";19
"150375 JACAREACANGA";7
"150380 JACUNDA";22
"150390 JURUTI";9
"150400 LIMOEIRO DO AJURU";13
"150410 MAGALHAES BARATA";5
"150420 MARABA";353
"150430 MARACANA";2
"150440 MARAPANIM";9
"150442 MARITUBA";154
"150445 MEDICILANDIA";11
"150450 MELGACO";12
"150460 MOCAJUBA";8
"150470 MOJU";58
"150475 MOJUI DOS CAMPOS";7
"150480 MONTE ALEGRE";9
"150490 MUANA";33
"150497 NOVA IPIXUNA";6
"150500 NOVA TIMBOTEUA";3
"150503 NOVO PROGRESSO";16
"150506 NOVO REPARTIMENTO";24
"150510 OBIDOS";18
"150520 OEIRAS DO PARA";27
"150530 ORIXIMINA";32
"150540 OUREM";9
"150543 OURILANDIA DO NORTE";8
"150548 PACAJA";5
"150549 PALESTINA DO PARA";4
"150550 PARAGOMINAS";51
"150553 PARAUAPEBAS";221
"150555 PAU D'ARCO";3
"150560 PEIXE-BOI";1
"150563 PICARRA";6
"150570 PONTA DE PEDRAS";7
"150580 PORTEL";7
"150590 PORTO DE MOZ";1
"150600 PRAINHA";7
"150611 QUATIPURU";4
"150613 REDENCAO";62
"150616 RIO MARIA";4
"150618 RONDON DO PARA";5
"150619 RUROPOLIS";9
"150620 SALINOPOLIS";15
"150630 SALVATERRA";2
"150635 SANTA BARBARA DO PARA";26
"150650 SANTA IZABEL DO PARA";56
