2016
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
"110001 ALTA FLORESTA D'OESTE";-;72;79;155;123;94;106;53;110;90;81;76;16;10;17;12;10;7;15;26;28;18;24;9;29;26;16;26;29;20;35;30;15;12;11;12;4;12;18;8;12;14;10;16;16;18;22;31;34;52;45;42;10;-;1856
"110002 ARIQUEMES";-;49;63;58;53;52;49;67;73;123;76;82;101;67;82;94;68;52;59;41;39;31;32;30;17;31;30;28;28;21;11;14;32;10;10;10;11;10;8;3;5;9;1;10;7;7;12;19;21;19;16;25;15;-;1881
"110003 CABIXI";-;7;14;24;8;10;9;4;11;17;21;38;19;5;3;2;2;2;7;3;2;3;5;6;2;2;2;4;1;1;1;-;1;-;-;-;2;1;-;5;4;1;4;4;2;5;6;8;5;4;5;3;5;-;300
"110004 CACOAL";-;164;162;162;187;207;205;255;238;216;216;201;119;158;130;115;90;59;61;54;33;37;27;31;13;30;26;8;9;14;11;11;4;7;4;4;4;8;15;10;6;10;10;5;10;13;13;14;19;35;48;51;33;-;3572
"110005 CEREJEIRAS";-;25;75;67;67;69;54;67;104;87;74;49;37;28;20;19;12;7;9;17;7;5;2;1;5;-;1;-;3;-;4;1;1;4;1;-;1;1;-;1;-;2;4;1;-;2;3;1;2;9;4;5;11;-;969
"110006 COLORADO DO OESTE";-;9;3;3;8;7;12;6;7;26;13;16;15;5;10;4;6;3;5;6;4;-;-;-;1;1;2;-;-;-;-;3;-;-;1;2;-;-;-;-;-;-;1;1;1;1;-;1;2;2;2;3;3;-;195
"110007 CORUMBIARA";-;-;2;5;7;21;13;21;30;14;7;12;6;5;-;3;4;3;2;1;-;2;1;2;2;-;-;3;2;-;-;-;2;-;1;-;-;-;-;-;-;2;-;1;-;-;-;-;1;-;-;1;1;-;177
"110008 COSTA MARQUES";-;4;2;6;8;11;11;9;28;36;39;33;11;3;6;9;3;4;1;5;-;-;4;-;3;2;1;2;1;1;-;2;-;-;2;2;1;2;-;-;1;6;3;8;1;2;1;1;1;4;5;4;-;-;289
"110009 ESPIGAO D'OESTE";-;83;77;124;48;50;50;57;82;59;61;46;57;65;59;83;61;60;60;59;34;31;25;30;17;34;17;13;17;10;12;6;5;10;3;1;2;3;2;5;-;2;9;3;5;4;2;3;3;2;1;8;30;1;1591
"110010 GUAJARA-MIRIM";-;27;31;43;41;43;39;52;31;48;46;39;20;27;20;22;20;10;22;17;11;6;6;5;9;5;8;8;1;5;1;-;1;2;1;-;4;1;3;3;-;2;1;1;3;1;3;11;8;10;9;14;14;-;755
"110011 JARU";-;155;161;95;73;102;63;73;50;57;64;57;34;54;26;26;15;16;10;14;13;25;27;25;16;8;18;10;10;13;9;7;9;2;3;1;4;6;12;14;17;32;24;38;54;54;106;104;153;108;160;186;101;3;2517
"110012 JI-PARANA";-;141;150;155;141;145;204;222;195;206;138;79;47;51;46;47;45;24;30;26;30;9;11;16;10;13;16;12;10;10;9;15;5;15;10;12;6;4;12;4;7;4;6;3;2;3;5;28;27;48;44;55;56;-;2609
"110013 MACHADINHO D'OESTE";-;49;37;18;23;25;92;84;100;145;75;32;10;22;32;14;35;34;28;20;5;7;21;5;4;-;3;5;3;3;7;2;11;3;1;-;4;-;1;2;1;3;2;4;10;11;29;46;91;70;69;34;38;-;1370
"110014 NOVA BRASILANDIA D'OESTE";-;19;47;65;45;55;57;57;62;67;73;76;77;69;77;68;72;60;51;52;37;29;46;26;22;10;17;11;15;10;9;8;6;9;13;5;9;8;5;6;6;7;10;3;4;5;6;10;7;12;6;8;8;-;1542
"110015 OURO PRETO DO OESTE";-;8;9;13;17;13;6;16;11;21;19;17;11;15;15;5;4;2;4;4;6;7;2;2;6;2;1;-;-;4;4;4;2;-;-;-;-;-;7;1;2;-;4;2;3;4;5;2;4;4;4;7;4;-;303
"110018 PIMENTA BUENO";-;65;87;105;106;108;139;123;117;121;115;79;78;61;52;63;56;30;29;23;23;11;13;7;2;11;3;7;6;7;4;8;6;6;7;-;11;3;3;3;5;3;6;7;8;9;3;15;9;18;36;25;26;-;1868
"110020 PORTO VELHO";-;178;183;202;183;243;290;312;254;294;252;243;230;230;205;204;166;157;144;122;120;104;75;83;61;66;58;69;75;64;49;35;41;27;21;20;21;21;26;18;14;21;35;34;29;36;43;55;57;46;73;68;53;-;5710
"110025 PRESIDENTE MEDICI";-;11;12;36;34;27;47;41;44;74;49;24;30;27;23;52;22;13;11;13;17;5;7;4;-;6;2;3;4;12;4;1;6;2;1;3;3;2;2;2;2;1;-;2;1;9;2;2;2;14;6;5;3;-;725
