2015
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
"110001 ALTA FLORESTA D'OESTE";-;73;79;155;123;94;106;53;110;90;82;76;18;10;17;12;11;7;15;26;28;18;24;9;29;26;17;26;29;20;35;30;15;12;11;12;5;13;18;8;12;14;10;22;21;19;25;35;48;71;72;53;13;-;1957
"110002 ARIQUEMES";-;53;63;61;54;53;49;67;75;124;78;84;101;67;84;94;68;53;59;41;39;31;32;30;17;31;30;28;28;21;11;14;32;10;10;10;11;10;8;3;6;9;1;10;7;8;12;19;21;19;16;25;15;-;1902
"110003 CABIXI";-;7;14;25;8;10;9;4;13;18;22;39;19;12;14;10;9;11;20;13;9;12;12;9;5;5;2;4;1;1;1;-;1;-;-;-;2;1;-;5;4;1;4;4;2;6;7;10;8;6;9;9;7;-;424
"110004 CACOAL";-;166;163;162;187;207;205;256;239;216;216;201;121;161;131;116;91;64;67;54;34;38;27;32;13;30;26;8;11;15;11;11;4;7;4;4;4;9;15;10;6;10;10;5;11;14;15;15;20;36;55;58;35;-;3626
"110005 CEREJEIRAS";-;26;75;67;67;70;54;68;107;88;76;50;37;29;22;23;12;7;9;18;7;6;4;1;7;1;3;-;3;-;4;2;3;5;1;-;1;1;1;1;-;4;4;2;-;2;4;1;4;11;5;5;12;1;1011
"110006 COLORADO DO OESTE";-;9;3;3;8;8;13;6;7;26;13;16;16;5;10;4;6;4;5;7;4;-;2;-;1;1;2;-;-;-;-;3;-;1;1;2;1;-;-;-;-;-;1;1;1;1;-;1;3;2;2;4;3;-;206
"110007 CORUMBIARA";-;-;2;7;7;24;17;24;30;14;9;13;6;5;1;3;4;3;2;1;-;2;2;3;2;-;-;3;2;-;-;-;2;-;1;-;-;-;-;-;-;2;-;1;-;-;-;-;1;-;-;1;1;-;195
"110008 COSTA MARQUES";-;4;2;6;9;11;11;9;29;36;39;36;11;5;9;9;3;4;1;5;-;-;4;-;3;2;1;2;1;1;-;2;-;-;2;2;1;2;-;-;1;6;3;8;1;2;1;1;1;4;5;4;-;-;299
"110009 ESPIGAO D'OESTE";-;83;78;125;49;52;54;58;82;63;63;47;57;67;61;84;70;64;66;59;35;32;25;30;17;34;17;16;17;10;14;9;9;16;8;2;6;6;11;21;7;4;12;3;10;7;7;9;9;17;25;50;93;2;1872
"110010 GUAJARA-MIRIM";-;27;31;43;41;43;39;52;33;48;46;39;20;27;20;22;20;10;22;18;12;6;6;5;9;5;8;8;1;5;1;-;1;2;1;-;4;1;3;3;1;2;2;2;3;2;3;11;10;10;11;15;15;-;769
"110011 JARU";-;155;161;95;73;102;63;73;50;57;66;57;36;56;26;27;20;19;12;14;13;25;28;25;16;8;18;10;10;13;9;7;9;2;3;1;4;6;12;14;17;32;24;38;54;54;106;104;153;108;161;187;101;3;2537
"110012 JI-PARANA";-;143;151;155;143;145;204;222;195;209;140;79;48;52;46;47;47;24;30;26;30;9;11;16;11;13;16;13;10;10;9;15;5;15;10;12;7;5;12;5;9;5;6;3;2;4;9;30;32;48;44;55;56;-;2643
"110013 MACHADINHO D'OESTE";-;49;37;18;23;25;93;84;100;145;76;32;10;23;33;14;36;34;28;20;5;7;21;5;4;-;3;6;4;3;7;2;11;4;1;-;4;-;1;2;3;3;2;4;10;11;30;47;93;71;70;34;38;-;1386
"110014 NOVA BRASILANDIA D'OESTE";-;19;47;65;45;55;57;57;62;68;73;78;77;69;77;68;72;60;51;52;37;29;46;26;22;10;17;11;15;10;9;8;6;9;13;5;9;8;5;6;6;7;10;3;4;5;6;10;7;12;6;9;8;-;1546
"110015 OURO PRETO DO OESTE";-;8;10;14;17;16;7;17;12;22;23;19;15;18;18;9;5;3;4;5;8;7;3;3;7;3;3;-;2;5;4;5;2;-;-;-;-;-;7;1;2;-;4;2;4;4;5;2;4;4;5;8;5;-;351
"110018 PIMENTA BUENO";-;67;88;105;106;109;139;125;117;126;121;86;81;64;55;66;62;30;29;23;23;11;13;7;2;11;3;7;6;7;4;8;6;6;7;-;11;3;3;4;5;4;9;9;10;11;3;19;11;22;42;27;28;-;1941
"110020 PORTO VELHO";-;182;186;204;189;260;301;333;261;299;255;249;238;234;214;208;168;165;148;132;123;108;80;87;69;72;69;73;81;65;50;37;42;28;21;20;21;21;28;18;16;22;37;35;29;38;44;60;60;50;83;74;55;2;5944
"110025 PRESIDENTE MEDICI";-;11;13;36;34;27;47;41;44;74;49;27;30;27;25;52;23;13;11;13;18;5;7;4;-;6;2;3;4;12;4;1;6;2;1;3;3;2;2;2;2;1;-;3;3;11;3;2;2;14;6;5;3;-;739
"110026 RIO CRESPO";-;7;12;7;15;6;-;5;15;5;6;4;6;11;10;6;7;6;10;3;1;3;3;-;-;3;1;2;1;-;1;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;-;-;165
"110028 ROLIM DE MOURA";-;70;44;129;100;57;75;88;237;184;258;101;95;47;36;40;33;29;33;33;31;29;21;15;18;22;17;12;10;11;21;15;11;13;5;8;8;9;10;4;11;6;4;2;5;13;6;10;9;15;27;21;17;1;2126
"110029 SANTA LUZIA D'OESTE";-;23;22;20;19;12;7;10;33;35;25;19;7;1;2;1;2;4;1;6;6;4;-;4;2;1;-;3;-;-;-;1;1;-;-;1;-;1;1;-;6;-;1;1;2;6;3;16;13;4;13;17;9;1;366
"110030 VILHENA";-;162;182;161;176;135;227;179;190;197;263;180;167;208;154;172;146;94;140;121;106;85;75;68;69;76;43;54;36;33;36;39;35;41;29;21;26;19;13;36;22;19;69;28;55;41;47;120;106;111;151;84;47;4;5098
"110032 SAO MIGUEL DO GUAPORE";-;10;22;46;9;7;8;24;29;18;12;4;4;5;-;6;3;5;4;7;17;13;3;5;4;2;1;-;1;-;-;1;1;-;-;-;2;-;-;-;1;1;1;2;1;1;3;2;3;15;10;1;6;-;320
"110033 NOVA MAMORE";-;11;24;27;40;47;40;34;29;42;56;49;34;29;37;16;29;21;33;19;15;13;6;13;5;5;5;4;10;2;2;3;1;-;2;1;-;-;-;-;4;1;3;2;3;3;2;6;10;10;7;13;19;-;787
"110034 ALVORADA D'OESTE";-;52;40;37;22;24;28;19;19;12;10;9;14;11;8;3;6;4;6;3;1;2;1;2;1;-;-;1;1;1;2;-;1;-;2;1;-;-;-;-;-;-;-;-;2;1;4;7;31;31;28;31;27;-;505
"110037 ALTO ALEGRE DOS PARECIS";-;15;21;11;25;7;7;11;8;7;9;9;4;4;4;2;2;7;-;5;-;1;3;-;2;-;-;-;-;1;-;-;1;-;-;-;-;-;3;1;6;11;21;24;13;5;3;7;22;7;11;8;4;1;313
"110040 ALTO PARAISO";-;7;14;5;12;12;5;6;3;12;14;15;5;9;2;5;1;3;13;5;1;5;4;7;2;2;-;1;1;2;3;-;-;1;-;1;-;-;-;-;-;4;4;2;1;8;7;5;2;4;3;5;1;-;224
"110045 BURITIS";-;79;72;95;117;102;99;107;79;108;58;63;46;36;44;23;41;25;36;20;28;15;23;20;20;25;18;26;12;12;13;6;7;5;6;8;11;8;9;10;7;15;10;7;11;14;34;25;41;31;46;48;42;9;1872
"110050 NOVO HORIZONTE DO OESTE";-;1;4;1;4;7;6;20;18;21;17;14;4;2;2;1;1;-;1;2;-;1;2;1;1;-;-;-;1;1;1;-;-;-;-;-;2;-;-;1;-;1;-;-;4;4;3;-;-;1;-;-;2;-;152
"110060 CACAULANDIA";-;21;16;28;24;35;35;33;35;28;40;18;8;7;5;6;5;8;18;11;5;9;7;3;2;1;1;3;2;-;-;2;-;-;1;-;-;-;1;-;-;-;2;-;-;-;1;1;5;3;9;5;6;-;450
"110070 CAMPO NOVO DE RONDONIA";-;13;10;9;10;5;6;8;10;12;10;11;8;5;5;6;5;1;1;4;2;-;2;-;4;3;1;1;3;-;1;-;1;1;2;2;-;-;-;-;1;1;1;1;2;1;6;2;15;17;21;22;9;1;262
"110080 CANDEIAS DO JAMARI";-;18;7;13;12;7;9;13;19;32;33;21;5;5;6;17;4;4;10;5;3;5;-;-;13;4;1;3;3;-;2;2;3;1;-;1;-;1;-;-;1;-;-;-;-;5;6;9;8;2;6;3;8;-;330
"110090 CASTANHEIRAS";-;4;6;7;2;7;5;13;15;13;5;5;5;5;5;4;1;1;2;2;3;2;2;-;-;1;3;-;1;-;-;1;-;1;-;1;-;1;-;-;1;1;2;1;6;3;-;5;4;7;5;-;-;-;158
"110092 CHUPINGUAIA";-;17;14;21;12;10;17;27;22;39;37;15;18;22;22;20;24;23;13;14;13;16;10;5;11;6;5;8;11;6;5;1;3;3;-;4;6;-;1;3;3;4;1;2;2;1;7;5;-;3;1;-;2;1;536
"110094 CUJUBIM";-;10;8;13;6;16;17;22;31;35;27;27;19;16;11;13;9;4;8;3;13;6;1;4;2;4;3;2;3;1;4;2;2;4;-;1;-;1;1;3;1;1;3;1;-;2;-;7;14;7;11;14;14;-;427
"110100 GOVERNADOR JORGE TEIXEIRA";-;5;1;-;5;5;2;4;4;1;2;1;2;3;1;-;2;-;1;2;3;3;-;-;1;3;1;2;12;1;-;1;2;-;1;-;5;6;6;15;3;4;3;7;8;7;10;14;4;3;11;6;6;-;189
"110110 ITAPUA DO OESTE";-;12;15;15;25;18;24;26;26;33;22;19;19;11;9;7;2;-;5;7;5;14;10;5;11;4;13;8;7;8;5;2;2;3;3;1;1;2;2;2;-;-;2;1;-;-;-;23;12;11;4;2;-;-;458
"110120 MINISTRO ANDREAZZA";-;13;8;8;11;6;11;4;7;5;27;7;7;8;5;3;3;2;4;3;6;1;1;1;2;1;2;1;1;1;1;1;-;1;-;1;1;-;6;4;8;5;9;15;5;7;5;4;7;5;14;5;3;-;266
