2019
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
"110001 ALTA FLORESTA D'OESTE";-;42;42;54;47;27;35;31;85;84;72;57;7;1;13;10;6;7;15;26;27;18;24;9;28;26;16;26;29;20;35;30;15;12;11;12;4;11;18;8;11;13;10;16;16;18;22;30;33;51;43;42;7;-;1352
"110002 ARIQUEMES";-;46;55;50;46;46;48;65;71;119;72;76;95;63;79;90;67;51;55;33;34;30;31;26;15;28;30;25;28;19;10;13;30;9;8;8;11;7;8;3;5;8;1;8;6;5;10;17;20;19;15;24;12;-;1750
"110003 CABIXI";-;4;3;12;6;5;3;2;9;13;21;38;19;4;3;1;2;2;5;3;2;3;4;5;2;2;2;3;1;1;1;-;1;-;-;-;2;1;-;5;4;1;4;4;2;5;6;7;5;4;5;-;2;-;239
"110004 CACOAL";-;150;137;141;160;183;188;221;219;198;203;194;112;153;122;106;84;56;59;51;31;36;25;29;11;28;25;7;9;14;11;9;4;7;3;4;3;7;14;8;6;7;6;4;8;12;11;13;18;35;45;50;26;-;3263
"110005 CEREJEIRAS";-;9;14;24;21;22;12;10;11;24;34;21;23;12;13;12;8;4;6;15;6;4;2;1;5;-;-;-;3;-;3;1;-;4;1;-;-;1;-;1;-;1;2;1;-;1;-;-;2;3;-;2;2;-;341
"110006 COLORADO DO OESTE";-;3;2;-;4;1;6;4;7;26;10;8;13;5;8;2;5;3;3;6;2;-;-;-;1;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;2;1;-;129
"110007 CORUMBIARA";-;-;2;4;6;21;13;19;30;11;7;11;3;4;-;2;2;3;2;1;-;2;1;2;2;-;-;3;2;-;-;-;2;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;1;-;160
"110008 COSTA MARQUES";-;4;1;5;3;4;6;5;19;32;39;32;11;3;6;9;3;4;1;5;-;-;4;-;3;2;1;2;1;1;-;2;-;-;2;2;1;2;-;-;1;6;3;8;1;2;1;1;1;4;5;4;-;-;252
"110009 ESPIGAO D'OESTE";-;13;22;12;11;15;28;28;29;41;53;32;42;54;41;71;55;47;50;52;25;27;21;26;15;25;15;11;12;7;11;6;5;7;2;-;-;1;-;-;-;-;-;-;-;-;2;2;1;1;-;1;1;1;921
"110010 GUAJARA-MIRIM";-;19;24;33;23;21;19;32;10;20;7;17;6;5;2;2;5;2;6;3;2;3;3;2;2;1;4;4;1;1;-;-;1;1;1;-;2;1;3;1;-;-;1;1;1;-;1;4;1;4;5;8;11;-;326
"110011 JARU";-;152;146;85;66;70;39;55;35;41;52;53;27;32;16;19;14;11;10;13;12;25;27;24;13;7;18;6;8;10;9;6;9;2;3;1;4;5;12;14;17;32;24;38;50;53;103;102;149;103;153;184;97;3;2259
"110012 JI-PARANA";-;90;89;100;82;72;107;83;83;83;63;42;32;34;25;24;41;24;27;26;29;9;11;14;9;12;15;11;9;9;9;13;4;14;10;9;5;4;11;4;6;3;4;2;2;2;2;25;20;36;38;53;43;-;1574
"110013 MACHADINHO D'OESTE";-;12;7;4;10;20;74;63;91;124;66;27;7;20;29;13;35;32;24;20;5;6;14;5;4;-;3;5;3;3;6;2;11;1;1;-;2;-;1;1;1;-;2;2;4;-;1;1;8;2;2;3;2;-;779
"110014 NOVA BRASILANDIA D'OESTE";-;10;14;23;16;22;24;32;35;39;48;60;59;57;62;63;64;49;43;48;32;23;43;24;20;10;16;11;13;10;8;8;4;9;12;5;8;7;5;6;6;7;9;1;3;5;5;10;6;11;6;4;5;-;1120
"110015 OURO PRETO DO OESTE";-;3;3;4;11;3;2;4;7;2;5;8;5;4;10;5;-;2;2;2;6;5;-;2;5;-;1;-;-;-;1;2;1;-;-;-;-;-;5;-;2;-;2;1;2;2;2;1;2;3;2;4;1;-;134
"110018 PIMENTA BUENO";-;44;58;67;64;85;99;85;69;84;81;54;51;32;27;32;36;24;22;21;17;8;9;3;1;10;3;7;5;7;4;7;6;5;7;-;11;3;2;2;5;1;4;7;7;6;3;12;8;16;35;25;16;-;1297
"110020 PORTO VELHO";-;137;126;129;129;164;198;164;150;214;172;183;184;181;147;167;145;142;125;102;107;92;66;73;52;52;48;60;61;50;36;31;32;25;15;16;9;13;15;8;9;15;26;21;20;28;27;41;47;34;60;48;35;-;4231
"110025 PRESIDENTE MEDICI";-;11;10;32;33;23;38;31;36;64;39;16;22;22;11;24;12;6;6;9;17;5;5;4;-;5;2;3;4;12;4;1;5;2;-;2;2;1;-;2;2;1;-;2;1;9;-;2;2;14;6;5;3;-;568
"110026 RIO CRESPO";-;5;10;4;13;6;-;2;7;-;3;3;5;4;4;3;4;6;9;1;1;3;3;-;-;3;1;1;1;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;-;-;111
"110028 ROLIM DE MOURA";-;32;23;59;48;46;71;71;201;174;219;71;83;29;24;40;31;29;31;32;29;28;20;13;16;21;12;11;8;7;20;13;7;7;5;6;5;7;7;3;8;4;2;-;5;12;5;6;5;9;8;5;2;-;1630
"110029 SANTA LUZIA D'OESTE";-;15;11;15;9;9;4;7;32;33;22;19;6;1;1;1;1;3;1;5;5;4;-;4;2;1;-;3;-;-;-;1;1;-;-;1;-;1;1;-;6;-;1;1;2;6;3;16;12;3;12;15;8;-;304
