2018
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
"110001 ALTA FLORESTA D'OESTE";-;42;42;54;47;28;35;31;85;84;72;57;8;1;13;10;6;7;15;26;27;18;24;9;28;26;16;26;29;20;35;30;15;12;11;12;4;11;18;8;11;13;10;16;16;18;22;30;33;51;43;42;7;-;1354
"110002 ARIQUEMES";-;47;56;50;46;46;48;65;71;119;72;76;95;64;79;90;67;51;56;33;34;30;32;26;15;28;30;25;28;19;10;13;31;9;8;9;11;7;8;3;5;8;1;8;6;5;10;17;20;19;15;24;13;-;1758
"110003 CABIXI";-;4;3;12;6;7;3;3;9;13;21;38;19;4;3;1;2;2;5;3;2;3;4;5;2;2;2;3;1;1;1;-;1;-;-;-;2;1;-;5;4;1;4;4;2;5;6;8;5;4;5;-;2;-;243
"110004 CACOAL";-;150;139;141;160;183;188;221;219;198;203;195;112;153;122;109;84;57;60;52;32;36;27;30;13;29;25;8;9;14;11;11;4;7;4;4;4;8;15;9;6;8;9;4;8;13;13;14;18;35;45;50;27;-;3296
"110005 CEREJEIRAS";-;9;14;25;21;24;12;10;11;24;34;21;23;12;13;12;8;6;8;15;6;5;2;1;5;-;1;-;3;-;3;1;-;4;1;-;-;1;-;1;-;1;2;1;-;1;1;-;2;3;-;2;2;-;351
"110006 COLORADO DO OESTE";-;5;3;-;5;1;6;5;7;26;10;8;13;5;9;4;5;3;4;6;3;-;-;-;1;1;2;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;1;1;1;-;1;1;-;2;2;1;-;145
"110007 CORUMBIARA";-;-;2;4;6;21;13;19;30;11;7;11;3;4;-;2;2;3;2;1;-;2;1;2;2;-;-;3;2;-;-;-;2;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;1;-;160
"110008 COSTA MARQUES";-;4;1;5;3;4;6;5;19;32;39;32;11;3;6;9;3;4;1;5;-;-;4;-;3;2;1;2;1;1;-;2;-;-;2;2;1;2;-;-;1;6;3;8;1;2;1;1;1;4;5;4;-;-;252
"110009 ESPIGAO D'OESTE";-;13;22;13;13;15;28;28;29;41;53;33;43;54;41;71;56;47;51;53;25;28;21;27;16;25;15;12;13;10;12;6;5;8;2;-;-;1;-;3;-;2;8;2;4;3;2;2;1;1;-;1;2;1;962
"110010 GUAJARA-MIRIM";-;22;28;36;26;27;21;36;13;20;7;19;7;6;3;3;8;2;9;4;2;3;3;2;3;1;4;5;1;2;-;-;1;2;1;-;3;1;3;1;-;-;1;1;1;-;1;4;1;5;5;8;12;-;374
"110011 JARU";-;152;146;85;66;70;39;55;35;41;52;53;27;32;16;19;14;12;10;13;12;25;27;24;13;7;18;6;8;10;9;6;9;2;3;1;4;5;12;14;17;32;24;38;50;53;103;102;149;103;153;184;97;3;2260
"110012 JI-PARANA";-;92;92;101;83;73;110;84;84;83;64;42;32;35;26;24;42;24;28;26;29;9;11;15;10;12;15;11;10;9;9;13;4;15;10;11;5;4;11;4;7;4;5;2;2;2;2;25;20;36;39;53;43;-;1602
"110013 MACHADINHO D'OESTE";-;13;7;5;10;20;76;63;91;124;66;27;7;20;30;13;35;32;25;20;5;6;14;5;4;-;3;5;3;3;6;2;11;1;1;-;2;-;1;1;1;-;2;2;4;-;1;1;8;2;2;3;2;-;785
"110014 NOVA BRASILANDIA D'OESTE";-;10;14;23;16;22;24;32;35;39;48;60;59;57;62;63;64;49;45;48;32;24;43;24;20;10;17;11;13;10;8;8;4;9;12;5;8;7;5;6;6;7;9;1;3;5;5;10;6;11;6;4;5;-;1124
"110015 OURO PRETO DO OESTE";-;3;3;5;11;3;2;4;7;2;5;8;5;4;10;5;-;2;2;2;6;6;-;2;5;1;1;-;-;2;1;2;1;-;-;-;-;-;5;1;2;-;2;1;2;2;2;1;2;4;2;4;1;-;141
"110018 PIMENTA BUENO";-;44;59;67;64;86;99;86;69;84;81;54;51;32;27;32;36;24;22;21;18;8;9;3;1;10;3;7;5;7;4;8;6;5;7;-;11;3;2;2;5;1;4;7;7;6;3;12;8;16;35;25;16;-;1302
"110020 PORTO VELHO";-;139;132;135;129;174;202;171;154;221;175;186;188;185;152;167;147;144;128;104;108;95;67;75;52;52;49;60;62;50;39;33;34;25;16;16;9;14;16;10;10;17;28;23;20;29;31;44;48;34;61;50;35;-;4345
"110025 PRESIDENTE MEDICI";-;11;10;32;33;23;39;33;37;64;40;17;25;23;13;24;12;6;7;9;17;5;5;4;-;5;2;3;4;12;4;1;5;2;-;2;2;1;-;2;2;1;-;2;1;9;-;2;2;14;6;5;3;-;581
"110026 RIO CRESPO";-;5;10;4;13;6;-;2;7;-;3;3;5;4;5;4;4;6;9;1;1;3;3;-;-;3;1;1;1;-;1;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;-;-;114
"110028 ROLIM DE MOURA";-;32;23;60;48;47;71;71;201;174;219;71;83;29;24;40;31;29;31;32;30;28;21;13;16;22;12;11;8;7;20;14;7;7;5;6;5;7;7;3;8;5;3;-;5;12;6;6;6;9;8;5;3;-;1641
"110029 SANTA LUZIA D'OESTE";-;15;11;15;9;9;4;7;32;33;22;19;6;1;1;1;1;3;1;6;6;4;-;4;2;1;-;3;-;-;-;1;1;-;-;1;-;1;1;-;6;-;1;1;2;6;3;16;12;3;12;15;8;-;306
"110030 VILHENA";-;138;157;124;146;111;188;140;150;144;228;151;138;183;132;156;127;78;126;108;94;75;67;56;60;65;37;50;33;32;31;35;32;34;26;15;24;19;12;36;20;18;68;28;54;40;41;110;95;101;143;80;38;1;4395
"110032 SAO MIGUEL DO GUAPORE";-;1;17;40;7;1;5;19;27;16;11;4;3;4;-;6;2;3;4;7;17;13;3;5;4;2;1;-;1;-;-;-;1;-;-;-;-;-;-;-;1;1;1;2;-;-;2;2;2;13;10;1;1;-;260
"110033 NOVA MAMORE";-;7;20;25;39;45;33;29;27;34;46;39;26;16;18;11;16;18;26;8;10;3;3;6;4;4;4;2;8;2;2;3;1;-;2;-;-;-;-;-;4;1;3;2;3;3;2;5;10;9;7;12;16;-;614
"110034 ALVORADA D'OESTE";-;47;32;33;12;17;22;8;13;4;5;3;1;1;4;-;5;2;4;1;-;2;1;1;-;-;-;1;-;-;1;-;1;-;2;-;-;-;-;-;-;-;-;-;1;1;4;7;30;31;26;30;27;-;380
"110037 ALTO ALEGRE DOS PARECIS";-;14;17;10;25;5;7;7;4;4;9;9;3;4;3;2;2;7;-;5;-;1;3;-;2;-;-;-;-;1;-;-;1;-;-;-;-;-;3;1;5;10;21;24;12;4;2;6;19;7;11;8;4;-;282
"110040 ALTO PARAISO";-;7;13;4;8;12;4;6;2;7;5;10;3;8;1;4;-;2;12;5;1;4;4;7;2;2;-;1;1;2;3;-;-;1;-;1;-;-;-;-;-;4;4;2;1;8;7;5;2;4;3;4;-;-;186
"110045 BURITIS";-;56;59;72;99;78;75;70;58;74;33;43;29;20;22;13;29;18;21;13;16;11;16;14;18;24;13;23;10;11;9;4;7;4;3;3;8;5;9;3;3;9;8;6;4;6;18;15;12;19;37;32;31;6;1299
"110050 NOVO HORIZONTE DO OESTE";-;-;-;1;2;2;1;2;2;9;15;13;4;1;2;-;1;-;-;2;-;1;2;1;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;1;-;-;4;3;2;-;-;1;-;-;-;-;76
"110060 CACAULANDIA";-;13;12;19;20;32;32;30;33;23;28;14;8;7;4;5;3;6;17;11;5;8;7;2;2;1;1;3;2;-;-;2;-;-;1;-;-;-;1;-;-;-;2;-;-;-;1;1;2;-;6;4;5;-;373
"110070 CAMPO NOVO DE RONDONIA";-;10;7;6;7;4;5;7;8;10;9;11;4;3;3;3;4;1;-;3;2;-;-;-;3;3;-;1;3;-;1;-;1;1;1;2;-;-;-;-;1;1;-;1;2;1;4;1;6;15;20;16;6;-;197
"110080 CANDEIAS DO JAMARI";-;5;5;5;7;4;5;7;12;25;33;20;5;4;4;5;1;2;9;4;2;-;-;-;13;4;1;2;3;-;1;2;3;1;-;1;-;1;-;-;-;-;-;-;-;-;3;-;2;1;1;-;-;-;203
"110090 CASTANHEIRAS";-;4;5;7;1;2;4;12;14;10;-;5;2;3;1;1;-;1;1;2;2;2;1;-;-;1;3;-;1;-;-;1;-;-;-;1;-;1;-;-;1;1;2;1;6;3;-;5;4;7;5;-;-;-;123
"110092 CHUPINGUAIA";-;12;9;20;11;9;12;24;16;35;37;13;16;16;18;13;16;18;13;14;13;16;10;5;10;5;5;8;9;5;4;1;3;3;-;4;6;-;1;3;1;3;1;2;2;1;5;5;-;3;1;-;-;-;457
"110094 CUJUBIM";-;4;3;3;3;14;17;17;29;35;26;25;17;11;7;9;9;3;7;3;12;4;1;4;1;3;2;1;3;1;4;1;2;4;-;1;-;1;1;3;-;-;2;-;-;1;-;-;1;1;3;3;3;-;305
"110100 GOVERNADOR JORGE TEIXEIRA";-;5;1;-;4;1;2;1;-;-;-;-;-;3;1;-;2;-;1;2;3;1;-;-;1;3;1;2;12;1;-;1;2;-;1;-;5;6;6;15;3;4;3;7;8;7;10;14;4;2;10;6;5;-;166
"110110 ITAPUA DO OESTE";-;11;15;13;22;18;21;25;21;32;17;18;16;9;7;3;1;-;4;7;5;12;9;5;10;4;13;8;6;3;3;2;2;2;3;1;1;2;1;2;-;-;1;1;-;-;-;23;12;7;4;2;-;-;404
"110120 MINISTRO ANDREAZZA";-;11;8;7;7;3;5;3;5;5;24;4;6;8;4;3;3;2;3;2;4;1;1;-;2;1;1;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;5;2;11;3;2;-;152
"110130 MIRANTE DA SERRA";-;4;7;7;9;6;4;20;9;5;2;4;4;5;6;12;7;2;7;2;2;5;1;8;8;6;6;1;2;-;7;6;3;2;-;-;4;1;1;1;2;-;-;-;-;1;-;1;-;-;3;19;4;-;216
"110140 MONTE NEGRO";-;22;14;16;8;9;17;21;15;11;19;15;17;22;15;14;10;4;6;6;3;2;3;4;9;3;3;-;2;6;-;1;2;3;1;1;3;1;1;1;1;2;7;9;17;16;48;42;42;34;22;14;11;-;575
"110143 NOVA UNIAO";-;-;1;-;-;1;-;1;3;1;6;6;2;1;4;1;-;2;2;3;1;-;2;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;42
"110145 PARECIS";-;4;4;21;10;11;14;14;5;10;19;16;12;10;9;6;6;1;3;2;2;1;2;7;2;3;-;1;-;1;-;-;2;2;1;1;-;4;3;6;-;2;2;1;2;-;3;1;1;3;-;2;1;3;236
"110146 PIMENTEIRAS DO OESTE";-;-;2;8;4;4;14;11;16;5;4;9;3;1;2;-;1;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;91
"110147 PRIMAVERA DE RONDONIA";-;10;3;8;4;6;4;1;8;4;5;11;5;4;1;-;-;1;1;-;-;-;2;-;-;-;1;-;-;-;1;-;2;3;5;4;4;2;3;5;5;4;10;9;7;12;15;11;17;18;19;17;4;-;256
"110148 SAO FELIPE D'OESTE";-;5;11;6;8;7;7;20;11;12;38;46;8;4;3;6;5;5;4;5;4;5;1;5;7;7;10;8;5;7;3;2;-;1;4;5;3;3;3;-;2;-;3;-;2;3;5;5;3;4;4;2;2;-;329
"110149 SAO FRANCISCO DO GUAPORE";-;12;19;10;8;18;22;24;19;16;25;28;10;15;12;15;19;25;27;19;23;15;11;7;10;15;10;7;3;4;6;4;2;4;3;6;2;3;4;1;2;4;3;-;1;1;5;2;4;4;4;2;4;-;519
"110150 SERINGUEIRAS";-;3;13;36;37;30;27;46;18;34;30;25;26;24;24;12;7;17;16;13;5;6;13;10;7;5;4;2;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;-;2;5;8;4;-;517
"110155 TEIXEIROPOLIS";-;-;4;3;2;-;1;2;7;5;14;13;9;4;3;1;4;5;2;-;1;-;-;1;1;-;1;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;2;2;2;3;1;2;-;100
"110160 THEOBROMA";-;10;13;9;12;8;3;5;3;7;7;2;3;6;1;5;-;3;2;-;1;1;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;1;1;1;-;-;1;-;-;-;1;2;-;-;5;4;1;-;121
"110170 URUPA";-;4;8;5;5;3;4;6;7;3;4;5;3;2;3;2;-;-;4;2;2;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;4;7;8;2;-;99
"110175 VALE DO ANARI";-;5;8;11;11;12;7;25;43;18;5;7;5;5;4;12;8;7;5;4;3;6;3;1;3;2;5;1;2;5;3;-;1;1;-;5;-;-;-;-;-;-;-;-;2;2;-;2;-;-;2;3;3;-;257
"110180 VALE DO PARAISO";-;1;3;4;6;6;2;5;2;1;9;8;5;7;8;10;9;6;3;3;4;2;9;2;1;3;1;1;3;1;5;1;-;1;2;-;-;-;2;1;-;-;-;1;-;-;-;-;-;1;3;2;-;-;144
"120001 ACRELANDIA";-;29;29;28;29;30;18;11;10;9;11;7;12;4;4;5;3;6;1;3;-;2;3;1;1;1;-;-;1;3;3;1;1;-;1;-;-;-;-;3;2;4;3;3;4;2;3;-;5;2;5;15;11;-;329
"120005 ASSIS BRASIL";-;121;124;128;93;94;69;72;58;71;56;76;84;38;36;30;37;17;18;29;15;13;7;14;1;2;1;8;2;2;6;1;4;4;3;6;3;2;6;3;8;9;11;21;26;30;30;40;29;24;87;35;72;15;1791
"120010 BRASILEIA";-;501;417;364;321;167;175;146;107;133;133;92;47;56;52;57;40;38;25;31;23;28;21;20;15;11;11;14;17;22;9;12;10;10;13;14;10;10;16;9;15;15;20;39;45;61;50;58;81;139;182;279;260;39;4480
"120013 BUJARI";-;20;5;12;25;24;26;29;19;23;13;4;2;-;1;1;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;2;2;-;2;5;2;-;1;10;22;11;5;-;271
"120017 CAPIXABA";-;11;14;12;7;11;9;8;9;8;8;18;6;1;3;1;6;3;3;1;4;-;-;-;-;1;1;1;-;-;1;-;2;-;1;-;1;2;3;1;-;6;5;6;7;10;15;47;54;56;52;13;4;-;432
"120020 CRUZEIRO DO SUL";-;583;664;811;599;533;349;326;384;395;244;210;180;138;147;154;163;105;127;152;190;157;140;105;86;60;54;65;71;70;52;66;47;51;43;31;40;57;46;61;74;97;150;161;180;306;341;406;408;447;487;389;318;17;11537
"120025 EPITACIOLANDIA";-;48;43;34;29;16;7;3;8;5;7;7;10;6;4;6;8;5;5;4;2;-;3;2;2;-;4;1;1;3;-;4;1;5;-;1;4;3;2;1;3;1;1;-;3;3;7;8;9;11;11;4;6;1;362
"120030 FEIJO";-;90;99;90;83;64;91;68;72;59;36;27;10;11;3;15;32;17;33;23;19;14;16;20;19;13;8;10;6;11;17;10;12;6;14;21;25;68;94;83;100;98;113;128;162;202;210;216;211;124;135;43;14;-;3165
"120032 JORDAO";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"120033 MANCIO LIMA";-;79;87;47;31;51;34;38;31;44;32;29;20;23;18;19;18;20;14;14;18;17;12;6;7;7;10;7;12;6;8;12;19;17;9;11;8;36;48;21;18;22;43;62;50;52;79;107;131;113;47;48;39;-;1751
"120034 MANOEL URBANO";-;7;2;12;7;8;6;4;3;28;11;9;4;5;8;3;6;9;11;18;11;30;19;13;11;6;10;5;3;1;5;3;1;2;3;2;2;5;2;1;6;13;36;40;70;52;28;6;22;10;11;5;2;-;597
"120035 MARECHAL THAUMATURGO";-;55;69;99;112;76;64;76;75;42;27;33;18;10;16;18;16;17;23;34;19;7;4;2;2;1;1;-;1;2;1;1;2;3;1;1;4;7;4;1;2;3;7;8;12;18;41;51;70;88;62;69;53;18;1446
"120038 PLACIDO DE CASTRO";-;92;58;33;26;10;8;9;9;10;7;7;7;11;4;3;3;1;3;7;1;2;1;3;2;4;2;5;6;-;2;2;1;3;1;3;2;9;8;12;7;13;15;18;36;43;56;61;56;54;140;195;127;1;1199
"120039 PORTO WALTER";-;8;6;9;17;14;15;8;35;29;48;16;11;6;10;7;4;4;5;1;1;1;3;2;1;1;-;-;1;2;3;3;-;-;1;-;-;2;1;3;-;3;6;1;13;12;11;12;9;5;7;4;2;-;363
"120040 RIO BRANCO";-;764;822;1055;963;977;1070;1133;897;962;790;528;331;325;287;252;227;170;184;148;131;112;91;79;75;78;66;54;57;48;42;50;41;43;29;55;38;42;72;41;52;58;65;76;87;65;117;143;203;256;401;444;363;85;15544
"120042 RODRIGUES ALVES";-;60;79;65;83;67;57;77;88;59;38;65;35;30;24;28;15;19;25;33;31;36;20;23;14;3;7;12;11;9;17;17;19;12;7;3;9;9;5;11;12;14;9;20;24;44;50;73;79;74;65;62;39;7;1794
"120043 SANTA ROSA DO PURUS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;3
"120045 SENADOR GUIOMARD";-;117;51;31;30;20;18;10;10;4;6;3;3;3;2;4;1;-;5;3;2;3;2;-;-;1;2;2;-;1;-;1;-;-;-;2;2;2;1;2;1;2;2;1;2;1;3;6;8;21;114;71;6;1;583
"120050 SENA MADUREIRA";-;118;74;76;80;96;76;85;85;83;64;75;64;38;42;36;34;33;40;19;23;13;25;12;17;7;5;10;10;6;6;7;4;9;4;9;12;11;22;26;52;60;85;80;73;183;176;176;159;127;127;104;73;2;2933
"120060 TARAUACA";-;667;564;495;350;341;262;252;330;321;204;164;134;78;42;57;51;58;45;26;44;45;19;23;16;23;14;13;10;11;14;31;18;11;20;37;5;9;2;6;40;77;86;128;148;166;177;181;184;217;172;167;118;9;6682
"120070 XAPURI";-;133;83;138;120;139;140;143;111;94;96;65;41;64;34;31;21;23;20;22;10;12;7;8;9;7;5;5;5;17;7;9;5;10;5;1;2;3;2;1;1;5;5;12;8;8;34;43;107;287;237;121;79;24;2619
"120080 PORTO ACRE";-;15;11;28;14;20;4;6;7;14;32;54;22;8;-;-;1;2;2;2;1;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;4;1;8;3;9;12;6;24;28;38;38;13;14;7;-;451
"130002 ALVARAES";-;15;11;19;7;5;1;5;16;19;37;29;37;30;14;17;21;13;14;15;6;2;9;3;2;3;-;1;-;-;2;1;2;2;14;8;11;5;5;7;18;16;10;15;10;23;10;14;9;11;19;8;9;-;580
"130006 AMATURA";-;-;-;2;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130010 ANORI";-;-;1;-;-;-;1;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"130014 APUI";-;2;3;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"130020 ATALAIA DO NORTE";-;12;10;4;3;10;24;22;10;11;29;26;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1;2;4;12;14;14;18;7;10;10;6;35;18;12;9;3;3;-;344
"130030 AUTAZES";-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130040 BARCELOS";-;2;4;-;4;4;6;8;7;11;14;17;1;3;3;2;-;2;-;2;1;3;2;2;4;2;1;8;3;-;1;2;-;1;3;1;1;3;3;4;5;3;-;-;-;1;1;-;3;-;-;-;-;-;148
"130060 BENJAMIN CONSTANT";-;113;137;104;77;69;83;58;63;58;110;31;13;16;16;6;1;1;6;2;2;1;3;1;1;-;-;1;3;-;3;29;8;12;7;22;38;115;123;198;201;199;146;120;77;74;84;89;108;106;112;140;147;-;3134
"130063 BERURI";-;-;-;4;1;8;4;6;12;21;18;2;-;1;1;-;1;-;-;-;1;2;-;-;1;1;-;1;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;88
"130068 BOA VISTA DO RAMOS";-;1;-;-;-;-;2;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"130070 BOCA DO ACRE";-;25;52;48;29;37;22;13;8;9;14;11;8;15;3;1;1;3;4;1;5;3;2;6;3;4;3;5;2;-;-;-;3;8;13;17;22;16;14;38;41;52;43;59;57;46;35;44;40;18;13;22;29;2;969
"130080 BORBA";-;2;7;11;3;6;1;8;5;9;19;38;12;3;3;3;2;5;2;1;4;-;2;1;3;3;1;1;1;-;3;4;2;1;2;2;-;2;6;4;-;1;1;3;1;2;-;1;2;2;4;1;1;-;201
"130083 CAAPIRANGA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130090 CANUTAMA";-;-;-;1;7;7;22;41;43;20;11;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;153
"130100 CARAUARI";-;42;57;27;31;37;32;37;24;64;33;16;8;14;6;9;11;2;3;5;10;3;5;-;3;3;3;3;1;5;2;-;1;-;3;2;1;-;2;2;1;-;6;6;16;44;60;103;95;97;80;49;62;-;1126
"130110 CAREIRO";-;-;4;1;2;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"130115 CAREIRO DA VARZEA";-;-;-;-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130120 COARI";-;25;26;51;73;107;146;113;95;78;57;19;1;5;8;5;2;4;1;5;4;4;1;1;4;-;-;4;12;4;6;3;-;1;2;-;-;-;-;-;-;1;-;-;-;1;2;3;8;4;20;23;14;-;943
"130130 CODAJAS";-;7;1;8;29;60;17;8;43;121;107;57;6;2;5;1;-;-;4;4;-;1;1;-;1;-;1;1;4;2;-;5;2;-;-;-;2;-;1;-;-;-;-;-;-;-;1;1;7;1;-;4;1;-;516
"130140 EIRUNEPE";-;16;33;17;16;14;19;24;27;35;74;53;7;2;5;4;5;5;2;8;6;5;2;-;-;3;2;2;-;-;-;-;1;-;1;3;2;2;-;2;5;7;11;8;7;2;5;6;6;17;25;21;21;4;542
"130150 ENVIRA";-;27;29;33;29;45;33;53;49;42;44;34;8;7;8;8;13;14;17;4;12;3;2;2;3;1;2;7;4;1;1;-;4;-;1;1;-;-;-;-;-;-;-;1;-;1;1;-;-;-;1;1;3;4;553
"130160 FONTE BOA";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"130165 GUAJARA";-;66;49;60;35;31;41;37;36;41;48;36;30;16;15;15;10;15;21;26;27;26;18;30;10;5;6;11;10;13;10;2;10;11;8;8;5;8;4;9;22;31;37;42;36;34;52;77;40;43;57;39;35;-;1404
"130170 HUMAITA";-;45;51;59;45;65;52;33;40;59;36;24;34;34;30;21;36;25;29;15;13;12;11;10;5;14;12;10;4;6;2;4;2;2;2;3;9;2;5;8;4;6;7;11;8;14;17;15;9;15;18;22;6;-;1021
"130180 IPIXUNA";-;53;38;41;27;47;54;37;43;61;29;47;26;30;9;21;20;20;32;37;36;12;8;6;13;11;12;33;17;16;6;5;15;4;-;3;2;-;3;2;1;2;-;8;23;12;25;15;35;23;30;33;22;-;1105
"130185 IRANDUBA";-;4;8;4;6;13;11;12;11;16;25;37;31;26;19;17;17;22;20;23;20;12;9;5;7;7;3;8;9;9;4;4;3;1;1;-;-;1;-;2;2;2;2;-;1;1;-;1;1;-;1;-;2;-;440
"130190 ITACOATIARA";-;13;11;27;19;35;30;47;44;49;25;41;23;19;20;13;14;9;4;7;4;2;1;4;4;2;4;2;5;3;5;6;4;2;4;3;1;3;-;2;3;-;3;3;2;3;2;3;1;-;-;1;1;-;533
