2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"110001 ALTA FLORESTA D'OESTE";41;42;54;47;26;34;30;84;83;70;54;7;1;12;9;4;3;4;8;10;4;9;3;3;10;1;3;3;1;-;3;4;3;6;6;1;4;3;1;4;4;4;2;6;3;3;1;6;4;7;2;-;737
"110002 ARIQUEMES";36;34;28;21;22;17;16;20;16;20;17;18;13;5;13;10;3;6;1;1;1;3;3;-;3;6;2;1;-;-;2;20;2;7;5;6;5;1;-;-;1;-;2;3;2;2;-;1;3;3;1;-;402
"110003 CABIXI";3;2;10;6;4;2;2;8;9;16;32;15;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;110
"110004 CACOAL";35;31;28;36;45;58;32;52;49;68;45;22;30;25;16;11;17;17;7;7;6;2;7;4;9;4;2;-;3;1;-;1;1;-;1;1;4;1;5;4;3;2;1;2;1;1;3;-;2;4;-;-;706
"110005 CEREJEIRAS";5;8;10;7;6;3;3;9;16;17;8;16;5;3;5;4;1;1;9;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;142
"110006 COLORADO DO OESTE";-;-;-;-;1;-;2;7;24;5;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43
"110007 CORUMBIARA";-;1;2;4;17;11;18;29;7;6;5;2;3;-;2;2;1;1;-;-;1;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;115
"110008 COSTA MARQUES";-;-;3;-;-;1;3;16;31;35;32;10;3;5;9;3;4;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;160
"110009 ESPIGAO D'OESTE";11;17;9;9;12;22;10;21;26;48;21;11;10;4;10;2;2;3;3;1;1;1;4;1;4;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;268
"110010 GUAJARA-MIRIM";16;23;26;21;12;10;7;4;10;2;3;1;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;139
"110011 JARU";146;141;79;58;62;36;45;26;36;34;27;19;12;7;3;2;-;1;1;-;2;1;1;1;-;-;-;1;-;-;3;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;748
"110012 JI-PARANA";82;77;88;64;45;79;55;60;49;22;22;17;17;5;7;7;5;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;705
"110013 MACHADINHO D'OESTE";11;2;2;7;17;69;60;88;117;57;20;2;-;3;-;3;1;1;1;2;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;469
"110014 NOVA BRASILANDIA D'OESTE";6;8;15;8;10;9;14;9;14;15;10;2;2;3;2;1;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;134
"110015 OURO PRETO DO OESTE";-;2;2;6;2;1;3;5;2;3;6;4;3;3;2;-;2;-;1;3;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;1;-;2;-;-;-;-;-;-;-;-;-;-;61
"110018 PIMENTA BUENO";43;53;62;61;80;94;76;63;72;71;37;30;25;17;18;19;13;7;7;4;1;3;-;1;-;-;-;1;-;-;1;1;2;1;-;1;-;1;1;2;-;-;4;2;2;-;2;1;-;1;5;1;886
