2014
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
"110001 ALTA FLORESTA D'OESTE";-;73;79;156;123;95;108;53;110;90;82;76;18;11;17;12;11;7;15;26;29;18;24;9;30;26;17;27;32;22;35;30;16;13;13;12;5;13;18;9;14;14;10;22;21;19;25;36;52;76;73;53;13;-;1988
"110002 ARIQUEMES";-;59;63;64;58;57;55;68;81;130;82;85;101;69;85;96;70;55;60;43;39;31;33;30;17;32;30;29;28;21;11;14;33;10;10;10;13;10;10;3;6;11;1;10;7;8;13;19;21;19;16;27;15;-;1968
"110003 CABIXI";-;7;14;25;8;10;9;4;13;18;24;39;20;12;14;10;9;11;20;13;9;12;12;10;5;5;3;4;1;1;1;-;1;-;-;-;2;1;-;5;4;1;4;4;2;7;7;10;8;6;11;9;7;-;432
"110004 CACOAL";-;167;163;162;187;210;205;259;240;218;219;203;123;162;138;117;92;64;68;54;34;38;27;32;14;31;26;8;12;15;11;12;4;7;4;4;4;9;15;10;6;10;10;6;11;14;15;16;20;36;55;59;38;-;3664
"110005 CEREJEIRAS";-;26;75;67;68;70;55;69;107;88;76;50;37;29;22;23;12;7;9;18;8;6;5;1;7;1;4;-;3;-;4;2;3;5;3;-;2;1;1;1;1;4;4;2;-;2;5;1;4;11;5;5;12;1;1022
"110006 COLORADO DO OESTE";-;12;5;3;8;12;15;7;8;27;15;17;17;6;12;4;6;4;5;8;5;-;2;1;1;1;2;-;-;1;-;3;-;1;1;2;1;-;-;-;-;1;2;1;1;1;-;1;3;2;2;4;6;-;236
"110007 CORUMBIARA";-;-;3;7;10;24;17;24;30;14;9;13;6;5;1;3;4;3;2;1;-;2;2;3;2;-;-;3;2;1;1;-;2;1;1;-;-;1;1;-;-;2;1;2;-;-;-;-;1;-;-;1;1;-;206
"110008 COSTA MARQUES";-;10;14;14;19;20;30;21;35;41;44;37;16;8;10;18;4;6;1;5;-;-;4;-;3;2;1;2;1;1;-;2;-;-;2;2;1;2;-;-;1;6;3;8;1;2;1;1;1;4;5;4;3;-;416
"110009 ESPIGAO D'OESTE";-;83;78;125;49;52;54;58;82;63;63;49;58;67;61;84;70;64;66;60;35;32;25;30;17;36;18;16;17;10;14;9;10;16;8;2;6;6;12;21;8;4;13;3;10;7;9;11;10;17;26;50;93;3;1890
"110010 GUAJARA-MIRIM";-;27;31;44;41;43;39;53;33;48;46;39;20;30;20;22;20;10;22;19;13;10;12;7;9;5;8;8;1;5;1;-;1;3;1;-;5;1;3;3;1;3;3;2;3;2;3;11;10;10;11;15;15;-;792
"110011 JARU";-;155;163;96;75;102;63;73;50;57;71;59;39;59;29;28;22;20;14;22;17;27;30;25;16;9;18;11;10;13;11;7;9;2;3;1;5;6;12;14;17;32;24;38;54;54;106;104;153;108;161;187;101;3;2585
"110012 JI-PARANA";-;152;155;163;148;149;209;235;204;211;146;85;51;62;54;55;52;27;37;32;39;14;15;24;20;20;23;16;14;17;10;16;8;17;11;13;9;6;12;5;10;5;8;7;7;5;10;31;34;53;44;56;63;-;2869
"110013 MACHADINHO D'OESTE";-;50;37;18;23;33;103;93;107;149;82;35;15;24;34;15;36;36;32;21;6;9;24;9;5;-;3;7;5;3;7;2;11;4;2;-;5;-;1;3;3;3;2;4;10;11;30;47;93;71;71;34;39;-;1467
"110014 NOVA BRASILANDIA D'OESTE";-;19;47;65;46;55;58;58;62;69;73;78;77;70;80;69;74;62;52;54;39;32;46;26;24;10;17;11;15;10;9;8;6;9;13;5;9;8;5;6;6;7;10;3;4;5;6;10;7;12;6;9;8;-;1569
"110015 OURO PRETO DO OESTE";-;9;13;15;18;16;7;18;13;24;26;22;17;18;19;11;5;5;6;6;10;7;4;6;8;3;5;-;2;5;5;6;2;2;-;-;-;-;7;1;3;2;5;2;4;4;5;3;4;4;6;10;5;-;398
"110018 PIMENTA BUENO";-;67;88;105;106;109;139;125;117;126;121;87;81;64;55;69;63;30;29;24;24;11;13;7;2;11;3;9;7;8;6;10;7;9;7;2;12;4;5;4;7;4;10;10;11;12;3;20;12;23;43;27;28;-;1976
"110020 PORTO VELHO";-;184;189;205;190;263;303;335;262;306;262;256;253;244;230;216;178;171;156;145;131;111;85;92;72;82;76;77;83;69;51;41;44;30;22;21;27;22;33;22;22;25;44;41;37;53;66;75;65;65;85;74;58;2;6251
"110025 PRESIDENTE MEDICI";-;11;14;36;34;27;47;41;44;75;49;30;30;27;27;52;23;13;11;14;18;6;9;4;-;6;2;3;4;12;4;1;7;2;2;4;3;2;3;3;2;3;1;4;3;12;3;2;2;14;6;8;3;-;763
"110026 RIO CRESPO";-;7;12;7;15;6;-;5;16;5;6;4;6;11;10;6;7;6;10;3;1;3;3;-;-;3;1;2;1;-;1;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;-;1;167
"110028 ROLIM DE MOURA";-;73;49;130;101;58;77;91;241;190;258;110;97;53;36;41;33;29;36;33;31;31;23;15;19;22;17;12;10;11;21;15;11;13;5;10;8;9;10;4;11;6;4;2;5;13;7;10;9;15;30;33;24;2;2204
"110029 SANTA LUZIA D'OESTE";-;23;22;20;19;12;7;10;33;36;25;19;8;1;3;2;2;4;1;6;6;4;-;4;2;1;-;3;-;-;-;1;1;-;-;1;-;1;1;-;6;-;1;1;2;6;3;17;13;4;14;17;9;1;372
"110030 VILHENA";-;162;183;162;177;135;228;179;191;197;264;180;171;209;155;173;147;97;145;125;108;86;78;70;70;77;43;55;36;35;36;40;35;42;29;26;26;19;15;36;23;21;70;30;56;43;47;121;106;113;155;90;47;4;5168
"110032 SAO MIGUEL DO GUAPORE";-;10;22;46;9;7;8;24;29;18;12;4;4;5;-;6;3;5;4;7;17;13;3;5;4;2;1;-;1;-;-;1;1;-;-;-;2;-;-;-;1;1;1;2;1;1;3;2;3;15;10;1;6;-;320
"110033 NOVA MAMORE";-;11;24;27;40;47;40;34;29;42;56;50;35;30;37;16;29;21;33;19;15;13;6;13;5;5;5;4;10;2;2;3;1;-;2;1;-;-;-;-;4;1;3;2;3;3;2;6;10;10;7;13;19;-;790
"110034 ALVORADA D'OESTE";-;52;40;37;22;24;28;21;20;12;10;10;14;13;8;3;6;4;6;4;3;2;1;2;2;-;-;1;2;1;2;-;1;-;3;1;-;-;-;-;-;-;1;1;2;3;5;9;31;34;29;31;28;-;529
"110037 ALTO ALEGRE DOS PARECIS";-;15;21;11;25;12;8;11;9;8;9;9;4;4;4;2;2;7;-;5;-;1;3;-;2;-;-;-;-;1;-;-;1;-;-;-;-;-;3;1;6;11;21;24;13;5;3;7;22;7;11;9;9;2;328
"110040 ALTO PARAISO";-;10;16;5;13;13;7;6;4;13;15;16;5;9;2;5;1;3;13;5;2;5;4;7;3;2;-;1;1;2;3;-;-;1;-;1;-;-;-;1;-;4;5;3;1;8;7;5;2;5;3;5;2;-;244
"110045 BURITIS";-;83;77;100;121;102;100;108;82;111;66;70;50;41;47;25;43;28;41;27;30;19;24;26;24;29;20;28;12;13;15;6;8;5;8;8;11;8;10;10;10;16;10;9;16;15;37;28;41;36;50;51;45;10;2010
"110050 NOVO HORIZONTE DO OESTE";-;1;5;1;4;7;6;21;20;21;17;14;4;4;6;1;1;-;1;2;-;3;4;2;1;1;-;-;1;1;1;1;-;-;-;-;2;-;-;1;1;1;-;-;4;4;3;-;-;1;-;1;2;-;171
"110060 CACAULANDIA";-;21;16;28;24;35;35;33;35;28;40;18;8;7;5;6;5;9;19;13;5;11;7;3;2;1;1;3;2;-;-;2;-;-;1;-;-;-;1;-;-;-;3;-;-;-;1;1;6;3;9;5;6;-;458
"110070 CAMPO NOVO DE RONDONIA";-;13;10;9;10;10;7;8;11;12;10;11;8;5;5;7;5;1;1;4;2;-;2;-;4;3;1;1;3;-;1;1;1;1;3;3;1;-;-;2;3;4;3;6;25;36;77;24;38;24;28;25;10;1;480
"110080 CANDEIAS DO JAMARI";-;19;7;13;12;7;9;13;20;32;33;22;6;5;6;17;4;4;10;5;3;5;-;1;14;4;1;4;3;-;2;2;3;1;-;1;-;1;-;-;1;-;1;-;-;5;6;9;9;3;6;3;8;-;340
"110090 CASTANHEIRAS";-;4;6;7;2;7;5;13;15;13;5;5;5;5;5;4;1;1;2;2;3;2;2;-;-;1;3;-;1;-;-;1;-;1;-;1;-;1;-;-;1;1;2;1;6;3;-;5;4;7;5;-;-;-;158
"110092 CHUPINGUAIA";-;17;14;21;12;11;17;28;22;41;37;17;18;22;22;22;24;23;13;15;13;16;10;6;11;7;5;9;11;7;5;1;3;3;-;4;7;-;2;3;3;4;1;2;2;1;7;5;1;6;1;-;2;1;555
"110094 CUJUBIM";-;10;8;13;6;16;17;22;31;35;27;27;19;16;11;13;9;4;8;3;13;6;1;4;2;4;3;2;3;1;4;2;3;4;-;1;-;1;1;3;1;1;3;1;-;2;-;7;14;7;11;14;14;-;428
"110100 GOVERNADOR JORGE TEIXEIRA";-;5;1;-;5;5;2;5;5;1;2;1;2;3;1;-;2;-;1;2;3;3;-;-;1;3;1;2;12;1;-;1;2;-;1;-;5;6;6;15;3;4;3;7;8;7;10;14;4;3;11;6;6;-;191
"110110 ITAPUA DO OESTE";-;12;15;15;25;18;24;26;26;33;22;19;19;11;9;7;2;-;5;7;5;14;10;5;11;5;13;8;7;8;6;3;7;4;3;1;2;2;2;3;2;-;3;3;4;-;-;26;17;11;4;2;1;-;487
"110120 MINISTRO ANDREAZZA";-;13;8;8;11;6;11;4;7;5;27;7;7;8;7;3;3;2;4;3;6;1;1;1;2;1;2;1;1;1;1;1;-;1;-;1;1;-;6;4;8;5;9;15;5;7;5;4;7;5;14;5;3;-;268
"110130 MIRANTE DA SERRA";-;4;8;8;15;6;8;21;10;5;2;4;4;5;10;12;7;4;7;2;2;5;3;8;8;6;6;1;5;-;7;6;3;2;-;-;4;1;1;1;2;-;-;-;1;1;-;3;-;-;3;19;4;-;244
"110140 MONTE NEGRO";-;34;17;19;11;13;22;26;16;14;23;15;17;26;20;14;13;4;6;7;3;2;3;4;9;4;3;-;2;6;1;2;2;3;1;1;3;1;1;2;2;2;7;10;18;16;48;45;42;38;24;16;20;-;658
"110143 NOVA UNIAO";-;-;2;1;1;3;3;6;4;1;6;7;3;6;5;2;-;2;2;7;1;2;3;4;-;-;1;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;-;-;79
"110145 PARECIS";-;8;10;32;15;16;20;20;9;18;23;19;14;16;15;9;10;2;3;4;9;1;6;8;5;4;-;1;-;3;1;3;2;3;1;2;4;8;4;8;6;14;11;18;15;8;16;3;6;8;-;7;1;3;452
"110146 PIMENTEIRAS DO OESTE";-;-;3;11;8;4;15;14;21;9;10;13;13;2;2;1;1;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;2;1;-;-;2;-;139
"110147 PRIMAVERA DE RONDONIA";-;11;4;9;4;7;6;1;9;4;5;11;5;4;1;-;-;1;1;-;-;-;2;-;-;-;1;-;-;-;1;1;2;5;5;4;4;2;3;5;5;5;10;9;7;12;15;11;17;19;19;17;5;-;269
"110148 SAO FELIPE D'OESTE";-;9;12;12;12;12;17;30;19;20;42;50;12;7;9;13;8;10;8;7;5;5;4;7;7;7;13;9;6;8;6;3;1;1;4;5;4;3;5;-;2;1;3;-;3;3;5;6;4;5;6;4;6;-;460
"110149 SAO FRANCISCO DO GUAPORE";-;17;26;16;10;26;27;26;20;24;31;33;29;16;18;16;23;28;28;23;26;18;14;9;10;16;11;8;3;4;7;5;2;4;4;7;2;3;4;1;2;4;3;-;2;2;6;12;8;11;8;4;7;2;666
"110150 SERINGUEIRAS";-;4;19;51;46;32;35;63;30;49;38;30;32;24;24;13;8;17;16;13;5;6;13;10;7;5;4;2;1;1;-;1;-;-;1;-;-;-;1;-;1;-;-;-;1;2;1;2;-;2;7;9;6;-;632
"110155 TEIXEIROPOLIS";-;-;4;3;2;-;1;2;10;5;15;13;9;5;3;2;5;5;2;-;2;-;1;1;1;-;1;-;1;1;1;-;-;-;-;-;-;1;-;-;-;-;-;1;1;1;1;2;2;2;3;1;2;-;112
"110160 THEOBROMA";-;11;13;12;12;8;6;6;4;9;7;2;4;6;2;5;4;4;3;-;1;2;-;-;1;1;-;2;-;-;-;-;1;-;-;1;1;1;1;2;1;-;1;1;-;-;1;2;1;1;9;7;1;-;157
"110170 URUPA";-;11;18;9;15;13;10;9;12;5;6;8;4;2;3;4;-;-;5;2;3;-;-;1;1;-;1;3;-;-;-;1;1;1;-;-;1;1;-;-;-;-;-;-;-;5;6;10;13;7;12;17;9;15;244
