2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Total"
"261320 SAO JOAO";-;-;-;-;1;1;6;1;-;-;-;-;9
"261330 SAO JOAQUIM DO MONTE";-;-;-;-;1;-;-;5;23;24;11;-;64
"261340 SAO JOSE DA COROA GRANDE";-;-;-;-;-;-;1;10;24;9;4;1;49
"261350 SAO JOSE DO BELMONTE";-;-;-;-;-;-;-;-;2;1;-;-;3
"261360 SAO JOSE DO EGITO";1;1;1;1;3;3;-;1;1;-;-;-;12
"261370 SAO LOURENCO DA MATA";-;-;-;-;-;-;6;5;3;4;3;-;21
"261380 SAO VICENTE FERRER";-;-;-;-;-;1;1;13;8;8;22;10;63
"261390 SERRA TALHADA";-;1;-;1;-;-;12;12;4;10;16;8;64
"261400 SERRITA";-;-;-;-;1;-;1;4;2;-;-;-;8
"261410 SERTANIA";-;-;-;-;-;2;5;1;1;-;-;-;9
"261420 SIRINHAEM";-;-;-;-;-;-;-;2;-;1;1;1;5
"261430 MOREILANDIA";-;1;1;-;7;-;1;4;10;9;4;-;37
"261440 SOLIDAO";-;-;-;-;-;-;2;2;2;3;4;3;16
"261450 SURUBIM";-;1;1;1;1;-;6;18;19;19;42;26;134
"261460 TABIRA";-;-;-;-;-;-;1;1;-;-;-;-;2
"261470 TACAIMBO";-;-;-;-;-;-;1;-;2;1;-;-;4
"261480 TACARATU";-;1;-;-;1;-;1;5;3;1;-;-;12
"261485 TAMANDARE";-;-;-;-;-;-;-;-;1;-;1;-;2
"261510 TEREZINHA";-;-;-;-;1;1;-;-;-;2;5;-;9
"261520 TERRA NOVA";-;-;1;-;1;3;4;9;7;8;7;8;48
"261530 TIMBAUBA";-;-;-;-;-;1;2;12;8;25;17;-;65
"261540 TORITAMA";-;-;-;-;-;-;-;1;7;2;-;-;10
"261550 TRACUNHAEM";-;-;-;-;-;-;1;14;16;11;8;-;50
"261560 TRINDADE";1;4;2;1;3;3;5;3;7;18;1;-;48
"261570 TRIUNFO";1;-;1;1;-;2;3;7;6;4;1;-;26
"261580 TUPANATINGA";-;1;-;2;4;6;4;18;11;14;14;1;75
"261590 TUPARETAMA";-;-;-;-;-;-;-;3;3;3;8;-;17
"261610 VERDEJANTE";-;-;-;-;-;1;-;8;9;12;13;2;45
"261618 VERTENTE DO LERIO";-;-;-;-;-;-;-;-;-;6;3;-;9
"261620 VERTENTES";-;-;-;-;-;-;-;6;7;3;-;-;16
"261630 VICENCIA";-;-;-;-;-;1;2;4;1;1;-;-;9
"261640 VITORIA DE SANTO ANTAO";8;1;1;1;1;4;6;17;18;17;21;15;110
"261650 XEXEU";-;-;-;-;-;-;-;1;3;-;-;8;12
"270010 AGUA BRANCA";-;-;-;-;2;-;4;1;-;2;5;-;14
"270020 ANADIA";-;-;-;-;-;3;4;4;7;3;2;-;23
"270030 ARAPIRACA";15;9;7;6;5;14;28;42;47;69;47;5;294
"270040 ATALAIA";-;-;-;-;-;1;-;-;1;2;-;4;8
"270060 BARRA DE SAO MIGUEL";-;-;-;-;-;-;-;-;-;-;1;-;1
"270070 BATALHA";-;-;-;-;-;2;6;5;8;3;3;-;27
"270080 BELEM";-;-;-;-;-;-;-;4;-;-;-;-;4
"270100 BOCA DA MATA";-;-;-;-;-;-;-;1;-;1;3;-;5
"270110 BRANQUINHA";-;1;-;1;2;-;-;3;3;4;1;6;21
"270120 CACIMBINHAS";-;-;-;-;-;-;-;-;1;1;-;-;2
"270130 CAJUEIRO";-;-;-;-;-;-;-;-;-;1;1;-;2
"270140 CAMPO ALEGRE";-;1;-;-;1;-;2;1;2;3;2;-;12
"270150 CAMPO GRANDE";-;-;-;-;-;-;-;-;-;2;-;-;2
"270160 CANAPI";-;-;-;-;-;1;-;-;2;-;-;-;3
"270170 CAPELA";1;1;2;-;3;1;-;4;2;1;4;4;23
"270180 CARNEIROS";-;-;-;-;-;-;-;-;-;1;2;1;4
"270190 CHA PRETA";-;-;-;-;-;-;-;-;-;-;-;1;1
"270210 COLONIA LEOPOLDINA";-;-;-;-;1;-;6;18;3;13;3;-;44
"270220 COQUEIRO SECO";-;-;-;-;-;-;-;1;-;1;2;4;8
"270230 CORURIPE";-;-;-;-;-;1;-;-;-;9;6;30;46
"270235 CRAIBAS";-;-;-;-;-;-;-;2;-;1;-;-;3
"270240 DELMIRO GOUVEIA";-;-;-;-;3;4;1;3;2;-;1;3;17
"270250 DOIS RIACHOS";-;-;-;-;-;-;-;-;2;-;-;-;2
"270260 FEIRA GRANDE";-;1;-;-;2;-;4;4;6;4;3;-;24
"270280 FLEXEIRAS";-;-;-;-;-;-;-;-;5;-;-;-;5
"270290 GIRAU DO PONCIANO";-;-;-;-;-;-;1;1;-;-;-;-;2
"270300 IBATEGUARA";-;-;-;-;-;-;-;-;3;2;-;1;6
"270310 IGACI";-;-;-;-;-;-;-;1;3;2;-;-;6
"270320 IGREJA NOVA";-;-;-;-;-;-;-;-;3;5;2;-;10
"270330 INHAPI";-;-;-;-;-;-;-;-;1;2;-;-;3
"270340 JACARE DOS HOMENS";-;-;-;-;-;-;-;-;1;-;-;-;1
"270350 JACUIPE";-;-;-;-;-;-;-;1;3;-;-;-;4
"270360 JAPARATINGA";-;-;-;-;4;1;2;2;3;-;3;-;15
"270370 JARAMATAIA";-;-;-;-;-;-;-;1;-;4;1;2;8
"270375 JEQUIA DA PRAIA";-;-;-;-;-;-;1;-;2;1;1;-;5
"270380 JOAQUIM GOMES";-;-;-;-;-;1;-;2;6;11;10;-;30
"270400 JUNQUEIRO";-;-;-;-;-;-;1;1;5;1;3;2;13
"270420 LIMOEIRO DE ANADIA";-;-;-;-;-;-;1;-;1;10;8;-;20
"270430 MACEIO";34;35;34;49;64;39;85;172;95;24;11;9;651
"270450 MARAGOGI";-;1;7;6;2;16;15;17;35;43;20;-;162
"270460 MARAVILHA";-;-;-;-;-;-;-;3;5;-;-;-;8
"270470 MARECHAL DEODORO";-;-;1;-;-;2;2;5;1;5;5;-;21
"270490 MAR VERMELHO";-;-;-;-;-;-;-;-;-;-;1;2;3
"270500 MATA GRANDE";-;-;-;-;-;2;3;2;2;3;-;-;12
"270510 MATRIZ DE CAMARAGIBE";-;1;-;1;-;1;1;3;8;-;-;-;15
"270530 MINADOR DO NEGRAO";-;-;-;-;-;-;-;-;1;-;-;-;1
"270540 MONTEIROPOLIS";-;-;-;-;1;2;-;11;7;2;1;-;24
"270550 MURICI";-;-;-;-;-;-;-;1;-;-;-;-;1
"270570 OLHO D'AGUA DAS FLORES";-;-;-;-;-;2;3;15;17;8;2;3;50
"270630 PALMEIRA DOS INDIOS";-;-;2;-;2;6;5;17;23;29;19;3;106
"270642 PARICONHA";-;-;-;-;-;-;1;-;1;-;-;-;2
"270644 PARIPUEIRA";-;-;-;-;-;1;2;2;1;-;1;-;7
"270660 PAULO JACINTO";-;-;-;-;-;-;-;1;-;1;-;-;2
"270670 PENEDO";-;-;-;1;-;2;2;3;9;2;1;-;20
"270680 PIACABUCU";-;-;-;-;-;-;-;-;7;1;1;-;9
"270690 PILAR";-;-;-;1;-;-;11;13;7;3;4;-;39
"270710 PIRANHAS";-;-;-;-;-;-;1;-;-;3;-;-;4
"270720 POCO DAS TRINCHEIRAS";-;1;-;-;-;-;-;-;-;-;-;-;1
"270730 PORTO CALVO";-;-;-;-;-;1;-;-;-;-;-;-;1
"270760 QUEBRANGULO";-;-;-;-;-;-;-;2;1;1;1;3;8
"270770 RIO LARGO";-;-;-;-;-;-;-;3;10;-;-;-;13
"270790 SANTA LUZIA DO NORTE";-;-;-;-;-;-;-;2;2;1;1;-;6
"270800 SANTANA DO IPANEMA";3;-;-;3;4;7;4;11;8;24;59;23;146
"270810 SANTANA DO MUNDAU";-;-;1;-;1;5;1;1;22;17;16;15;79
"270830 SAO JOSE DA LAJE";-;-;-;-;-;-;-;1;35;27;19;-;82
"270840 SAO JOSE DA TAPERA";-;-;-;-;-;-;-;2;1;10;5;2;20
"270850 SAO LUIS DO QUITUNDE";-;-;-;-;2;-;-;-;-;-;-;-;2
"270860 SAO MIGUEL DOS CAMPOS";2;1;3;1;6;8;5;5;19;12;-;1;63
"270890 SATUBA";-;-;-;-;-;-;-;1;2;-;-;-;3
"270895 SENADOR RUI PALMEIRA";2;3;-;-;-;1;1;-;4;1;-;-;12
"270910 TAQUARANA";-;-;-;-;-;-;1;1;5;6;2;-;15
"270915 TEOTONIO VILELA";-;-;-;-;-;-;1;1;4;7;8;-;21
"270920 TRAIPU";-;-;-;-;-;-;-;-;-;1;1;-;2
"270930 UNIAO DOS PALMARES";5;7;6;7;5;15;31;35;38;29;16;-;194
"270940 VICOSA";-;-;-;2;1;-;-;-;-;3;7;-;13
"280030 ARACAJU";10;17;16;29;52;80;136;242;292;280;233;72;1459
"280040 ARAUA";-;-;-;-;-;-;3;1;2;-;-;-;6
"280050 AREIA BRANCA";-;1;1;1;-;-;1;5;5;9;2;-;25
"280060 BARRA DOS COQUEIROS";-;-;-;-;-;2;-;1;3;17;3;-;26
"280067 BOQUIM";-;-;-;-;-;-;-;2;2;2;5;-;11
"280070 BREJO GRANDE";-;-;-;1;-;-;-;3;-;1;-;-;5
"280120 CANINDE DE SAO FRANCISCO";-;-;-;-;-;2;4;4;-;-;-;-;10
"280130 CAPELA";-;-;1;-;-;-;-;-;-;-;2;-;3
"280140 CARIRA";-;1;1;-;-;-;1;5;3;4;5;-;20
"280160 CEDRO DE SAO JOAO";-;-;-;-;-;-;-;-;-;1;-;-;1
"280170 CRISTINAPOLIS";-;-;-;-;-;-;-;-;-;-;1;-;1
"280190 CUMBE";-;-;-;1;-;1;-;1;-;2;-;-;5
"280210 ESTANCIA";1;3;1;-;1;1;7;11;8;12;19;-;64
"280250 GENERAL MAYNARD";-;-;-;-;-;-;-;-;2;-;-;-;2
"280260 GRACHO CARDOSO";-;-;-;-;-;-;-;2;-;-;-;-;2
"280280 INDIAROBA";-;-;-;-;-;-;-;-;2;-;-;-;2
"280290 ITABAIANA";-;-;-;-;-;1;-;6;6;6;10;2;31
"280300 ITABAIANINHA";1;-;-;1;-;-;1;1;2;1;5;-;12
"280320 ITAPORANGA D'AJUDA";-;-;-;-;-;-;1;-;-;-;-;-;1
"280330 JAPARATUBA";-;-;-;-;-;-;-;-;1;-;-;-;1
"280340 JAPOATA";-;-;-;-;-;1;3;-;-;1;-;-;5
"280350 LAGARTO";2;-;-;1;2;2;-;1;3;6;4;1;22
"280360 LARANJEIRAS";-;-;-;-;-;-;-;-;1;-;-;-;1
"280380 MALHADA DOS BOIS";-;-;-;-;-;-;1;-;1;-;-;-;2
"280390 MALHADOR";-;-;-;-;-;-;-;-;-;1;-;-;1
"280400 MARUIM";-;-;-;-;-;1;-;2;-;-;-;-;3
"280410 MOITA BONITA";-;-;-;-;-;-;-;1;1;-;1;-;3
"280420 MONTE ALEGRE DE SERGIPE";-;-;-;-;-;-;1;5;-;6;5;1;18
"280440 NEOPOLIS";-;-;-;-;4;1;8;7;1;-;-;-;21
"280450 NOSSA SENHORA DA GLORIA";3;5;7;2;4;9;12;18;27;32;8;-;127
"280460 NOSSA SENHORA DAS DORES";1;-;-;-;1;-;2;6;-;-;-;-;10
"280470 NOSSA SENHORA DE LOURDES";-;-;-;1;-;-;-;4;1;1;4;1;12
"280480 NOSSA SENHORA DO SOCORRO";1;2;-;1;4;3;2;8;5;10;3;1;40
"280490 PACATUBA";-;-;-;-;-;-;2;-;3;-;3;-;8
"280520 PINHAO";-;-;-;-;-;1;-;1;-;-;-;-;2
"280530 PIRAMBU";-;-;-;-;-;-;-;-;1;-;-;-;1
"280540 POCO REDONDO";-;2;3;1;1;-;-;3;2;2;1;-;15
"280550 POCO VERDE";-;-;-;-;-;-;-;5;4;-;1;-;10
"280570 PROPRIA";9;5;12;19;5;7;21;26;33;43;42;14;236
"280600 RIBEIROPOLIS";-;-;-;-;-;-;-;5;3;1;-;-;9
"280610 ROSARIO DO CATETE";-;-;-;-;1;-;2;-;1;1;-;-;5
"280620 SALGADO";1;-;-;-;-;1;1;3;2;-;-;-;8
"280630 SANTA LUZIA DO ITANHY";-;-;-;-;-;-;-;-;-;3;-;-;3
"280640 SANTANA DO SAO FRANCISCO";-;-;-;-;1;-;2;7;3;2;2;-;17
"280660 SANTO AMARO DAS BROTAS";-;-;-;-;-;-;-;-;-;-;1;2;3
"280670 SAO CRISTOVAO";-;1;-;-;1;-;1;1;4;7;14;-;29
"280680 SAO DOMINGOS";-;-;-;-;-;-;-;-;-;1;1;-;2
"280710 SIMAO DIAS";2;3;-;-;2;2;3;2;5;4;2;-;25
"280720 SIRIRI";-;-;-;-;-;-;-;-;-;-;1;-;1
"280740 TOBIAS BARRETO";-;-;-;-;1;-;-;4;2;2;-;-;9
"280750 TOMAR DO GERU";-;-;-;-;-;-;-;-;4;-;-;-;4
"290020 ABARE";1;1;1;1;2;6;16;15;31;46;26;-;146
"290030 ACAJUTIBA";-;-;1;-;-;-;3;1;3;3;1;1;13
"290035 ADUSTINA";-;-;-;10;11;2;9;14;13;19;15;7;100
"290040 AGUA FRIA";-;-;-;-;2;-;6;2;8;14;22;15;69
"290050 ERICO CARDOSO";-;-;-;-;-;-;1;-;-;6;6;-;13
"290060 AIQUARA";-;-;-;-;-;-;-;1;3;2;-;-;6
"290070 ALAGOINHAS";2;5;8;10;14;13;18;36;68;57;19;4;254
"290080 ALCOBACA";1;-;-;1;4;9;27;46;33;62;17;-;200
"290090 ALMADINA";-;-;-;-;-;-;-;-;4;3;-;-;7
"290100 AMARGOSA";-;-;-;-;1;-;3;8;16;13;9;-;50
"290110 AMELIA RODRIGUES";-;-;-;-;2;-;4;23;85;78;60;1;253
"290115 AMERICA DOURADA";1;-;-;2;2;10;4;20;24;27;34;9;133
"290120 ANAGE";1;-;6;17;10;28;32;32;31;45;14;1;217
"290130 ANDARAI";1;-;-;1;-;1;2;7;6;16;3;-;37
"290135 ANDORINHA";-;-;-;-;-;2;4;15;10;20;11;-;62
"290140 ANGICAL";-;-;-;-;-;1;2;6;13;13;33;17;85
"290150 ANGUERA";-;2;1;-;1;2;6;5;-;-;-;-;17
"290160 ANTAS";-;-;-;-;-;2;2;1;5;3;4;-;17
"290170 ANTONIO CARDOSO";-;-;-;-;-;-;-;2;20;24;20;3;69
"290180 ANTONIO GONCALVES";-;-;-;-;1;1;2;3;6;1;9;2;25
"290190 APORA";-;-;-;-;-;1;-;1;8;7;4;-;21
"290200 ARACATU";2;2;-;-;3;16;19;21;23;37;73;25;221
"290205 ARACAS";-;-;-;-;-;-;-;-;1;-;-;-;1
"290210 ARACI";-;1;2;2;2;11;34;46;111;126;93;31;459
"290220 ARAMARI";-;-;-;-;2;-;1;4;7;-;-;-;14
"290225 ARATACA";-;-;-;-;-;-;-;-;-;1;1;-;2
"290230 ARATUIPE";-;-;-;-;-;-;-;-;3;6;2;-;11
"290240 AURELINO LEAL";-;-;-;-;-;-;-;5;1;5;-;-;11
"290250 BAIANOPOLIS";-;-;-;-;5;4;-;8;10;17;42;18;104
"290265 BANZAE";-;-;-;-;-;-;1;2;-;-;-;4;7
"290270 BARRA";-;2;-;-;4;9;22;85;78;31;44;8;283
"290280 BARRA DA ESTIVA";-;-;2;-;1;-;-;-;2;6;6;-;17
"290290 BARRA DO CHOCA";-;-;-;4;20;40;81;239;468;426;308;14;1600
"290300 BARRA DO MENDES";-;5;4;3;25;46;28;73;52;58;7;-;301
"290310 BARRA DO ROCHA";-;-;-;-;-;-;2;5;4;8;14;4;37
"290320 BARREIRAS";1;8;3;19;49;93;108;213;219;132;54;9;908
"290323 BARRO ALTO";-;-;1;1;4;10;1;12;10;13;7;1;60
"290327 BARROCAS";2;2;-;3;-;1;7;31;39;62;38;1;186
"290330 BARRO PRETO";-;-;-;-;-;-;3;6;18;11;26;10;74
"290340 BELMONTE";-;-;-;1;-;-;10;11;23;11;4;2;62
"290350 BELO CAMPO";-;-;-;4;8;12;13;14;53;85;60;48;297
"290360 BIRITINGA";-;-;-;-;-;-;2;9;28;14;-;-;53
"290370 BOA NOVA";1;1;7;2;-;3;2;6;1;1;1;-;25
"290380 BOA VISTA DO TUPIM";-;-;-;-;-;1;3;1;2;1;3;-;11
"290390 BOM JESUS DA LAPA";1;-;4;6;10;35;70;129;147;43;8;-;453
"290395 BOM JESUS DA SERRA";-;-;-;-;-;1;3;12;15;48;93;33;205
"290400 BONINAL";-;-;-;-;-;-;4;22;21;30;41;24;142
"290405 BONITO";15;19;68;110;160;161;114;83;108;85;112;16;1051
"290410 BOQUIRA";1;1;-;-;3;1;-;9;20;30;27;9;101
"290420 BOTUPORA";2;1;1;-;32;36;45;67;101;116;142;20;563
"290430 BREJOES";1;2;3;8;15;33;56;65;46;14;6;-;249
"290440 BREJOLANDIA";-;1;-;-;5;9;7;19;16;14;17;-;88
"290450 BROTAS DE MACAUBAS";-;-;-;-;-;-;-;1;3;24;7;4;39
"290460 BRUMADO";1;1;2;7;6;8;24;107;191;162;127;85;721
"290470 BUERAREMA";-;-;-;-;-;-;1;3;3;3;-;-;10
"290475 BURITIRAMA";-;-;1;1;1;5;11;26;36;71;63;16;231
"290480 CAATIBA";-;-;-;-;1;-;8;15;12;34;29;30;129
"290485 CABACEIRAS DO PARAGUACU";-;1;-;-;3;-;4;7;27;32;62;46;182
"290490 CACHOEIRA";-;-;-;-;1;-;3;7;6;16;26;1;60
"290500 CACULE";-;-;-;-;6;9;19;77;136;160;64;30;501
"290510 CAEM";-;-;-;-;-;-;2;4;6;9;7;1;29
"290515 CAETANOS";1;1;-;-;2;1;-;4;8;20;59;6;102
"290520 CAETITE";3;2;8;13;37;110;186;394;608;674;235;6;2276
"290530 CAFARNAUM";1;-;5;4;10;7;19;34;62;92;57;-;291
"290540 CAIRU";-;-;-;-;-;-;-;-;1;2;1;-;4
"290550 CALDEIRAO GRANDE";-;-;-;-;2;3;1;4;16;23;27;5;81
"290560 CAMACAN";1;-;-;1;2;4;5;17;15;11;7;2;65
"290570 CAMACARI";3;9;7;10;15;30;60;91;86;77;18;1;407
"290580 CAMAMU";-;-;-;-;-;-;-;-;2;5;14;-;21
"290590 CAMPO ALEGRE DE LOURDES";-;-;-;-;-;-;1;6;4;6;3;-;20
"290600 CAMPO FORMOSO";-;-;5;10;63;31;34;89;86;69;32;16;435
"290610 CANAPOLIS";1;-;2;3;9;11;31;27;19;24;23;3;153
"290620 CANARANA";-;2;3;3;12;15;11;47;80;73;41;8;295
"290630 CANAVIEIRAS";-;-;-;3;7;-;8;5;10;6;4;2;45
"290640 CANDEAL";-;-;-;-;1;-;1;1;8;5;8;7;31
"290650 CANDEIAS";-;-;-;-;-;-;1;5;13;12;25;7;63
"290660 CANDIBA";-;-;-;-;-;3;3;13;11;15;24;5;74
"290670 CANDIDO SALES";1;-;-;-;4;7;15;33;67;125;115;22;389
"290680 CANSANCAO";-;-;-;-;-;-;1;1;3;25;12;-;42
"290682 CANUDOS";-;-;-;-;-;-;-;2;4;-;-;-;6
"290685 CAPELA DO ALTO ALEGRE";-;1;-;-;-;-;1;11;5;3;2;-;23
"290687 CAPIM GROSSO";-;-;1;-;-;3;8;61;108;38;77;2;298
"290689 CARAIBAS";-;-;-;-;-;8;18;18;15;34;23;8;124
"290690 CARAVELAS";-;1;-;-;2;1;-;11;19;36;36;13;119
"290700 CARDEAL DA SILVA";-;-;-;-;-;-;-;-;-;-;4;2;6
"290710 CARINHANHA";1;2;2;6;13;21;61;106;145;128;152;92;729
"290720 CASA NOVA";-;2;3;-;2;8;6;15;19;28;1;-;84
"290730 CASTRO ALVES";-;-;-;1;-;1;1;6;6;2;2;-;19
"290740 CATOLANDIA";-;1;-;-;-;-;1;5;9;6;1;3;26
"290750 CATU";-;-;1;3;5;-;6;7;14;5;1;-;42
"290755 CATURAMA";1;-;-;-;1;1;5;15;27;22;20;5;97
"290760 CENTRAL";-;-;-;-;-;1;2;4;6;14;2;4;33
"290770 CHORROCHO";4;6;5;-;7;24;32;20;23;38;20;10;189
"290780 CICERO DANTAS";1;1;-;1;1;3;1;5;11;17;7;1;49
"290790 CIPO";-;-;-;-;-;-;-;-;4;3;-;1;8
"290800 COARACI";-;-;-;1;3;3;5;22;36;60;62;10;202
"290810 COCOS";-;1;3;2;14;36;42;88;131;109;95;2;523
"290820 CONCEICAO DA FEIRA";-;-;-;-;2;-;2;2;-;3;3;-;12
"290830 CONCEICAO DO ALMEIDA";1;-;-;-;1;2;5;14;24;60;137;15;259
"290840 CONCEICAO DO COITE";1;1;-;-;-;3;3;9;13;12;4;-;46
"290850 CONCEICAO DO JACUIPE";1;-;-;-;-;1;23;22;30;20;88;49;234
"290860 CONDE";-;-;1;-;2;-;3;5;12;23;59;7;112
"290870 CONDEUBA";1;3;2;15;21;56;56;104;127;106;35;-;526
"290880 CONTENDAS DO SINCORA";-;-;-;-;-;-;1;4;4;6;5;-;20
"290890 CORACAO DE MARIA";-;-;-;-;-;-;1;1;9;37;34;9;91
"290900 CORDEIROS";1;-;4;3;1;-;-;2;7;6;8;3;35
"290910 CORIBE";-;-;2;4;13;8;24;23;29;23;22;32;180
"290920 CORONEL JOAO SA";-;-;-;-;1;-;1;1;1;5;3;1;13
"290930 CORRENTINA";1;-;2;2;18;19;41;59;61;80;64;28;375
"290940 COTEGIPE";-;-;-;-;-;2;5;39;46;41;33;-;166
"290950 CRAVOLANDIA";-;-;-;-;-;-;-;-;2;13;11;-;26
"290960 CRISOPOLIS";1;1;-;-;1;1;-;6;6;10;6;-;32
"290970 CRISTOPOLIS";-;-;-;-;1;2;2;7;12;26;4;5;59
"290980 CRUZ DAS ALMAS";1;1;-;-;2;-;11;5;13;21;11;-;65
"290990 CURACA";-;-;-;-;1;2;2;4;14;14;5;4;46
"291000 DARIO MEIRA";-;-;-;-;-;1;-;-;-;5;5;1;12
"291005 DIAS D'AVILA";-;-;-;-;-;-;-;1;1;4;10;2;18
"291010 DOM BASILIO";1;-;-;-;-;-;1;5;1;15;28;23;74
"291020 DOM MACEDO COSTA";-;-;-;-;-;-;-;1;2;2;7;1;13
"291030 ELISIO MEDRADO";-;-;-;-;-;-;1;1;1;-;-;-;3
"291040 ENCRUZILHADA";20;29;29;59;51;65;67;80;84;82;30;2;598
"291050 ENTRE RIOS";-;-;1;1;-;2;1;4;16;13;7;13;58
"291060 ESPLANADA";-;-;2;-;1;2;4;7;7;18;15;5;61
"291070 EUCLIDES DA CUNHA";-;-;-;1;1;1;11;13;13;32;26;-;98
"291072 EUNAPOLIS";-;1;15;3;5;1;34;35;13;66;24;-;197
"291075 FATIMA";1;-;-;1;1;1;4;11;17;11;16;5;68
"291077 FEIRA DA MATA";-;-;1;4;8;5;7;16;20;12;10;2;85
"291080 FEIRA DE SANTANA";19;26;22;43;71;90;115;401;795;775;422;121;2900
"291085 FILADELFIA";-;-;-;-;-;-;1;1;11;13;5;1;32
"291090 FIRMINO ALVES";-;-;-;-;-;-;-;3;7;9;6;1;26
"291100 FLORESTA AZUL";-;-;-;-;-;-;4;-;1;-;-;-;5
"291110 FORMOSA DO RIO PRETO";-;-;2;3;-;-;3;2;17;46;24;-;97
"291120 GANDU";-;-;-;-;-;-;1;1;-;1;11;2;16
"291125 GAVIAO";-;-;-;-;-;-;-;-;-;3;-;1;4
"291130 GENTIO DO OURO";1;-;-;-;-;6;5;1;20;15;33;-;81
"291140 GLORIA";-;-;-;1;-;-;-;1;2;-;2;-;6
"291150 GONGOGI";-;-;-;-;-;-;5;-;2;5;4;-;16
"291160 GOVERNADOR MANGABEIRA";-;-;-;-;-;-;-;1;2;12;9;-;24
"291165 GUAJERU";-;-;-;1;-;-;-;-;1;2;11;15;30
"291170 GUANAMBI";3;2;3;2;15;16;28;54;114;254;184;33;708
"291180 GUARATINGA";-;-;-;-;-;3;1;6;8;5;1;-;24
"291185 HELIOPOLIS";-;-;-;-;-;-;-;-;-;2;5;1;8
"291190 IACU";-;1;-;3;1;1;2;4;24;9;-;-;45
"291200 IBIASSUCE";-;2;-;4;11;54;41;77;75;67;45;8;384
"291210 IBICARAI";-;-;-;-;1;-;4;1;-;6;12;6;30
"291220 IBICOARA";-;2;2;22;18;33;35;69;66;70;85;21;423
"291230 IBICUI";-;-;-;-;-;-;1;20;29;25;26;4;105
"291240 IBIPEBA";-;-;-;1;-;2;5;18;16;21;19;5;87
"291250 IBIPITANGA";1;-;2;5;4;2;5;9;41;57;61;44;231
"291260 IBIQUERA";-;-;-;-;-;-;-;-;-;-;2;-;2
"291270 IBIRAPITANGA";-;-;-;-;-;-;-;2;1;1;4;-;8
"291280 IBIRAPUA";-;-;-;-;-;2;2;-;1;-;-;-;5
"291290 IBIRATAIA";1;-;-;-;-;5;4;5;10;21;9;2;57
"291300 IBITIARA";6;2;5;10;39;52;47;69;52;68;47;-;397
"291310 IBITITA";-;-;-;-;-;-;1;1;7;22;13;8;52
"291320 IBOTIRAMA";-;-;-;-;-;3;8;40;121;80;20;-;272
"291330 ICHU";-;1;-;1;1;1;5;4;11;11;8;-;43
"291340 IGAPORA";1;2;3;4;9;16;25;27;28;40;24;17;196
"291345 IGRAPIUNA";-;-;-;-;-;-;-;-;2;6;3;2;13
"291350 IGUAI";-;-;-;1;-;1;1;9;8;11;12;-;43
"291360 ILHEUS";3;4;4;4;7;6;37;66;101;47;36;5;320
"291370 INHAMBUPE";-;-;-;-;-;-;-;-;-;-;8;-;8
"291380 IPECAETA";-;1;-;-;-;-;-;15;35;36;21;1;109
"291390 IPIAU";-;1;2;3;4;5;9;29;129;247;266;91;786
"291400 IPIRA";1;2;4;2;3;3;9;8;8;22;16;5;83
"291410 IPUPIARA";1;-;-;-;-;-;-;-;-;1;-;-;2
"291420 IRAJUBA";-;-;-;-;-;-;-;1;1;2;-;-;4
"291430 IRAMAIA";-;1;-;3;5;16;10;3;-;8;5;1;52
"291440 IRAQUARA";-;-;-;-;6;14;10;27;37;38;49;17;198
"291450 IRARA";-;-;-;-;-;-;1;8;24;27;13;1;74
"291460 IRECE";5;7;28;19;31;47;46;83;143;179;251;112;951
"291465 ITABELA";-;2;3;1;3;3;4;8;3;3;4;-;34
"291470 ITABERABA";6;8;12;7;14;22;59;53;68;200;112;-;561
"291480 ITABUNA";5;6;8;6;5;6;15;5;18;5;3;-;82
"291490 ITACARE";-;-;-;-;1;5;4;8;15;1;16;2;52
"291500 ITAETE";-;-;-;1;5;11;4;9;15;16;18;2;81
"291510 ITAGI";-;-;-;-;-;-;-;1;1;4;12;-;18
"291520 ITAGIBA";1;1;-;1;3;-;7;4;8;-;-;-;25
"291530 ITAGIMIRIM";-;-;-;-;-;-;1;5;8;4;4;-;22
"291535 ITAGUACU DA BAHIA";-;-;-;-;-;1;2;5;9;14;5;3;39
"291540 ITAJU DO COLONIA";-;-;-;-;-;-;-;-;1;-;-;3;4
"291550 ITAJUIPE";-;-;-;-;-;-;3;4;18;30;33;4;92
"291560 ITAMARAJU";-;-;-;-;1;-;2;1;11;26;3;1;45
"291570 ITAMARI";-;-;-;-;-;-;-;1;1;3;-;-;5
"291580 ITAMBE";1;-;-;1;4;2;2;21;35;32;21;14;133
"291590 ITANAGRA";-;-;-;-;-;-;-;-;-;-;4;1;5
"291600 ITANHEM";-;-;-;-;-;2;1;-;11;14;15;3;46
"291610 ITAPARICA";-;1;-;-;-;-;2;1;13;11;5;1;34
"291620 ITAPE";-;1;-;1;-;-;4;3;4;11;8;7;39
"291630 ITAPEBI";-;4;-;-;-;4;2;14;20;26;35;11;116
"291640 ITAPETINGA";2;2;-;3;10;7;56;98;138;137;46;-;499
