2021
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"110001 ALTA FLORESTA D'OESTE";42;42;54;47;26;35;30;84;84;70;55;7;1;12;10;5;7;15;25;25;18;23;7;18;13;5;6;12;10;4;8;7;9;7;10;4;10;15;8;8;9;6;13;11;13;14;25;30;40;29;38;7;1113
"110002 ARIQUEMES";44;44;45;37;35;38;56;67;113;68;72;93;63;69;85;65;47;52;30;22;27;27;20;12;21;25;20;25;17;8;12;30;9;8;8;11;7;8;2;5;8;1;8;6;5;10;11;14;13;10;22;12;1567
"110003 CABIXI";3;3;10;6;4;2;2;8;12;20;38;19;4;2;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;137
"110004 CACOAL";148;134;141;155;182;183;216;219;194;199;186;112;152;117;99;78;53;55;42;28;29;21;23;7;22;24;6;8;11;9;7;3;6;3;4;3;6;13;8;5;6;6;4;7;12;10;13;14;30;34;43;25;3115
"110005 CEREJEIRAS";6;8;12;7;6;3;3;9;16;19;8;16;5;3;5;4;2;5;9;4;3;1;-;5;-;-;-;2;-;2;1;-;1;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;3;-;1;1;173
"110006 COLORADO DO OESTE";-;-;-;-;1;1;2;7;24;6;3;2;2;1;-;-;-;-;1;-;-;-;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;56
"110007 CORUMBIARA";-;1;2;4;17;11;18;29;7;6;6;2;3;-;2;2;2;1;-;-;1;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;117
"110008 COSTA MARQUES";4;1;5;3;4;5;5;18;32;37;32;11;3;6;9;3;4;1;3;-;-;4;-;-;-;1;-;-;-;-;1;-;-;2;1;1;1;-;-;1;6;3;8;1;2;1;-;1;-;1;1;-;222
"110009 ESPIGAO D'OESTE";13;21;12;9;15;28;26;29;38;53;30;40;54;39;67;46;40;43;35;24;26;14;21;6;16;6;5;2;2;3;3;2;4;2;-;-;1;-;-;-;-;-;-;-;-;2;2;1;1;-;1;-;782
"110010 GUAJARA-MIRIM";18;24;33;23;17;18;32;9;19;7;16;6;4;2;2;4;2;4;2;1;-;1;1;-;1;4;1;1;-;-;-;-;-;-;-;-;1;2;1;-;-;1;1;1;-;-;3;-;4;5;8;10;289
"110011 JARU";151;144;83;60;67;37;52;34;41;45;41;25;32;16;14;13;8;6;11;10;12;16;17;12;5;13;5;7;9;8;5;8;2;3;1;4;5;12;12;16;32;24;38;50;52;103;102;146;98;152;179;91;2129
"110012 JI-PARANA";89;89;100;81;72;105;83;81;83;63;41;31;31;24;24;37;21;27;26;29;9;11;13;9;12;15;11;9;9;8;12;4;14;10;9;5;4;11;4;6;3;4;2;1;2;2;25;20;36;38;53;42;1550
"110013 MACHADINHO D'OESTE";12;6;3;10;20;73;63;91;124;65;26;7;18;27;12;35;31;24;20;4;6;13;5;2;-;1;3;2;1;2;2;9;-;-;-;1;-;1;-;-;-;1;2;3;-;1;1;7;-;2;1;-;737
"110014 NOVA BRASILANDIA D'OESTE";10;12;22;12;14;15;23;16;25;30;34;45;41;46;54;53;41;35;41;25;16;35;21;19;9;11;11;11;9;8;4;3;8;9;4;7;7;5;6;5;6;8;1;3;2;5;10;6;4;4;4;4;859
"110015 OURO PRETO DO OESTE";2;3;3;11;3;1;4;5;2;5;7;5;4;8;5;-;2;2;2;5;5;-;1;3;-;-;-;-;-;-;2;-;-;-;-;-;-;4;-;2;-;2;-;1;2;-;-;1;3;1;3;-;109
"110018 PIMENTA BUENO";43;58;66;64;84;99;85;68;84;80;53;47;30;25;29;33;22;22;19;13;7;7;2;1;6;2;7;5;7;3;6;5;4;6;-;11;3;2;2;5;1;2;7;7;6;3;11;6;16;33;25;16;1248
"110020 PORTO VELHO";121;119;112;112;147;166;146;130;194;165;169;175;171;136;148;133;138;119;91;99;88;62;66;46;45;47;47;50;42;28;25;26;22;13;13;6;13;11;8;7;11;17;14;15;20;23;31;38;24;37;32;23;3741
