2017
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
"110001 ALTA FLORESTA D'OESTE";-;43;45;54;48;30;35;31;85;84;72;57;8;1;14;10;6;7;15;26;28;18;24;9;29;26;16;26;29;20;35;30;15;12;11;12;4;12;18;8;12;14;10;16;16;18;22;31;33;51;44;42;7;-;1369
"110002 ARIQUEMES";-;49;60;52;50;51;48;67;71;119;73;78;98;66;79;91;67;51;58;39;37;31;32;30;16;31;30;26;28;21;11;13;32;10;10;10;11;9;8;3;5;8;1;9;6;5;10;17;20;19;15;24;14;-;1819
"110003 CABIXI";-;4;3;12;6;7;3;3;9;13;21;38;19;4;3;1;2;2;7;3;2;3;5;6;2;2;2;4;1;1;1;-;1;-;-;-;2;1;-;5;4;1;4;4;2;5;6;8;5;4;5;-;2;-;248
"110004 CACOAL";-;150;141;141;162;185;189;223;221;200;206;197;114;154;122;110;86;57;60;52;32;37;27;30;13;29;25;8;9;14;11;11;4;7;4;4;4;8;15;9;6;8;9;5;9;13;13;14;18;35;45;50;28;-;3324
"110005 CEREJEIRAS";-;10;38;47;32;42;24;36;61;39;52;45;35;26;17;19;11;6;9;16;7;5;2;1;5;-;1;-;3;-;4;1;-;4;1;-;-;1;-;1;-;1;3;1;-;1;2;1;2;3;-;2;3;-;620
"110006 COLORADO DO OESTE";-;6;3;-;5;1;6;5;7;26;12;12;15;5;9;4;6;3;4;6;4;-;-;-;1;1;2;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;1;1;1;1;-;1;2;2;2;2;1;-;160
"110007 CORUMBIARA";-;-;2;5;7;21;13;19;30;13;7;11;3;4;-;2;2;3;2;1;-;2;1;2;2;-;-;3;2;-;-;-;2;-;1;-;-;-;-;-;-;2;-;1;-;-;-;-;1;-;-;-;1;-;165
"110008 COSTA MARQUES";-;4;1;5;3;4;6;5;19;32;39;32;11;3;6;9;3;4;1;5;-;-;4;-;3;2;1;2;1;1;-;2;-;-;2;2;1;2;-;-;1;6;3;8;1;2;1;1;1;4;5;4;-;-;252
"110009 ESPIGAO D'OESTE";-;16;24;19;17;20;31;35;44;44;56;39;47;54;46;78;59;49;57;55;29;29;22;28;17;33;16;13;13;10;12;6;5;9;3;1;1;3;2;5;-;2;9;3;5;3;2;2;1;2;-;1;2;1;1080
"110010 GUAJARA-MIRIM";-;25;28;39;36;33;23;38;14;27;19;21;9;9;7;7;9;2;9;4;2;3;4;2;4;4;6;7;1;3;-;-;1;2;1;-;3;1;3;1;-;1;1;1;2;1;2;9;3;10;8;13;14;-;472
"110011 JARU";-;155;160;93;70;97;60;70;41;50;62;55;33;34;17;20;14;15;10;13;12;25;27;24;14;7;18;6;8;10;9;7;9;2;3;1;4;6;12;14;17;32;24;38;50;53;105;102;149;104;153;185;99;3;2401
"110012 JI-PARANA";-;104;95;107;91;86;115;89;85;86;70;43;32;35;27;24;42;24;29;26;29;9;11;15;10;12;15;11;10;9;9;14;5;15;10;11;6;4;12;4;7;4;6;3;2;2;4;27;21;38;40;54;44;-;1683
"110013 MACHADINHO D'OESTE";-;46;28;14;18;22;77;69;93;126;66;28;8;20;31;13;35;32;25;20;5;6;16;5;4;-;3;5;3;3;7;2;11;2;1;-;3;-;1;1;1;-;2;2;4;-;2;1;8;2;4;8;25;-;908
"110014 NOVA BRASILANDIA D'OESTE";-;10;17;29;19;25;27;32;38;46;53;63;62;59;66;65;66;54;48;51;33;25;44;25;22;10;17;11;15;10;8;8;6;9;12;5;8;8;5;6;6;7;9;1;3;5;5;10;6;11;6;4;5;-;1195
"110015 OURO PRETO DO OESTE";-;5;4;10;12;5;3;7;8;7;8;10;5;5;10;5;-;2;4;4;6;7;2;2;6;2;1;-;-;4;3;4;2;-;-;-;-;-;6;1;2;-;2;1;3;3;5;2;4;4;3;5;3;-;197
"110018 PIMENTA BUENO";-;49;65;67;68;87;102;90;70;88;83;54;54;34;28;32;36;24;22;21;18;8;10;3;1;11;3;7;5;7;4;8;6;5;7;-;11;3;2;3;5;1;4;7;7;6;3;12;8;17;35;25;16;-;1342
"110020 PORTO VELHO";-;159;157;178;165;203;237;205;169;230;187;194;192;192;156;170;152;144;130;106;110;96;69;75;55;54;49;62;64;50;41;33;35;25;19;18;11;16;19;10;12;18;30;24;21;33;35;46;49;35;66;54;42;-;4702
"110025 PRESIDENTE MEDICI";-;11;11;32;33;26;42;37;40;68;46;23;25;24;13;28;12;6;7;9;17;5;5;4;-;5;2;3;4;12;4;1;6;2;1;2;3;1;2;2;2;1;-;2;1;9;2;2;2;14;6;5;3;-;623
"110026 RIO CRESPO";-;5;10;4;13;6;-;2;9;-;3;3;5;4;5;4;4;6;9;1;1;3;3;-;-;3;1;1;1;-;1;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;-;-;116
"110028 ROLIM DE MOURA";-;34;23;60;48;47;71;74;205;174;223;73;85;31;27;40;31;29;31;32;31;29;21;13;18;22;14;12;10;11;21;15;11;13;5;8;7;8;9;4;11;5;3;1;5;12;6;9;7;14;14;13;10;-;1730
"110029 SANTA LUZIA D'OESTE";-;15;11;15;9;9;4;7;32;34;22;19;6;1;1;1;2;3;1;6;6;4;-;4;2;1;-;3;-;-;-;1;1;-;-;1;-;1;1;-;6;-;1;1;2;6;3;16;12;3;12;15;8;-;308
"110030 VILHENA";-;139;157;124;146;111;190;141;150;144;229;152;140;184;134;156;127;78;127;108;94;75;67;56;61;65;38;50;33;33;31;35;32;34;26;16;26;19;12;36;20;18;68;28;54;40;43;110;95;101;145;81;38;1;4418
"110032 SAO MIGUEL DO GUAPORE";-;1;18;41;8;2;5;19;27;16;11;4;3;4;-;6;2;3;4;7;17;13;3;5;4;2;1;-;1;-;-;-;1;-;-;-;-;-;-;-;1;1;1;2;-;-;2;2;2;13;10;1;1;-;264
"110033 NOVA MAMORE";-;7;20;25;39;45;33;29;27;34;47;39;26;16;18;11;16;18;26;8;10;3;3;6;4;4;4;2;8;2;2;3;1;-;2;-;-;-;-;-;4;1;3;2;3;3;2;6;10;9;7;13;16;-;617
"110034 ALVORADA D'OESTE";-;50;32;33;12;18;22;8;13;4;5;4;1;2;5;-;5;2;4;1;1;2;1;1;-;-;-;1;-;-;1;-;1;-;2;-;-;-;-;-;-;-;-;-;1;1;4;7;30;31;26;30;27;-;388
"110037 ALTO ALEGRE DOS PARECIS";-;14;19;10;25;7;7;8;6;6;9;9;4;4;3;2;2;7;-;5;-;1;3;-;2;-;-;-;-;1;-;-;1;-;-;-;-;-;3;1;5;10;21;24;13;5;2;6;19;7;11;8;4;-;294
"110040 ALTO PARAISO";-;7;14;5;11;12;4;6;2;10;14;13;4;8;1;5;1;2;13;5;1;5;4;7;2;2;-;1;1;2;3;-;-;1;-;1;-;-;-;-;-;4;4;2;1;8;7;5;2;4;3;4;-;-;211
