2012
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebr.def
"Município de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";-;80;49;20;10;5;-;12;18;8;9;28;13;252
"110002 ARIQUEMES";-;2;1;6;4;2;3;2;-;-;-;5;16;41
"110003 CABIXI";-;8;20;9;15;14;4;2;8;1;1;3;7;92
"110004 CACOAL";-;49;107;118;76;46;28;17;13;5;7;18;16;500
"110005 CEREJEIRAS";-;128;321;338;37;9;6;8;-;2;1;9;17;876
"110006 COLORADO DO OESTE";-;40;28;51;35;16;12;7;4;3;2;3;14;215
"110007 CORUMBIARA";-;10;24;37;26;-;3;2;1;-;-;1;10;114
"110008 COSTA MARQUES";-;14;37;49;20;4;3;1;1;-;2;58;58;247
"110009 ESPIGAO D'OESTE";-;49;256;234;46;17;8;5;10;20;36;64;38;783
"110010 GUAJARA-MIRIM";-;126;89;59;19;24;25;16;17;28;36;83;120;642
"110011 JARU";-;100;94;38;42;32;25;13;5;12;11;19;10;401
"110012 JI-PARANA";-;159;43;8;16;22;6;-;1;-;9;66;81;411
"110013 MACHADINHO D'OESTE";-;13;8;14;7;2;10;10;3;4;8;14;21;114
"110014 NOVA BRASILANDIA D'OESTE";-;21;31;26;10;5;2;1;1;-;-;2;-;99
"110015 OURO PRETO DO OESTE";-;9;11;19;9;10;4;2;4;-;2;1;1;72
"110018 PIMENTA BUENO";-;37;11;-;3;-;-;3;1;2;1;4;8;70
"110020 PORTO VELHO";-;407;201;131;57;21;17;12;10;12;12;58;75;1013
"110025 PRESIDENTE MEDICI";-;6;84;72;61;18;3;5;3;1;1;7;4;265
"110026 RIO CRESPO";-;-;-;3;-;-;1;-;-;-;1;-;-;5
"110028 ROLIM DE MOURA";-;155;90;55;16;12;5;5;18;1;14;28;74;473
"110029 SANTA LUZIA D'OESTE";-;7;3;-;-;-;-;-;-;-;1;-;1;12
"110030 VILHENA";-;346;413;346;227;219;222;125;76;25;75;78;105;2257
"110032 SAO MIGUEL DO GUAPORE";-;108;46;7;-;2;1;1;-;-;-;-;7;172
"110033 NOVA MAMORE";-;6;6;2;18;36;5;-;1;6;2;9;12;103
"110034 ALVORADA D'OESTE";-;248;154;86;29;7;3;13;2;3;4;11;48;608
