2013
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebr.def
"Município de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";-;76;47;17;7;4;-;2;1;-;3;20;9;186
"110002 ARIQUEMES";-;2;-;6;4;2;3;2;-;-;-;5;16;40
"110003 CABIXI";-;7;16;5;7;3;4;-;-;-;-;-;1;43
"110004 CACOAL";-;35;103;117;74;44;24;15;13;4;7;16;11;463
"110005 CEREJEIRAS";-;106;299;320;24;4;-;2;-;-;1;-;4;760
"110006 COLORADO DO OESTE";-;19;17;6;9;5;3;2;3;2;1;2;7;76
"110007 CORUMBIARA";-;8;11;20;13;-;-;-;-;-;-;1;7;60
"110008 COSTA MARQUES";-;11;27;26;4;2;2;1;1;-;2;58;57;191
"110009 ESPIGAO D'OESTE";-;48;255;231;44;15;8;3;3;14;30;54;21;726
"110010 GUAJARA-MIRIM";-;122;72;23;7;2;1;2;1;-;1;5;27;263
"110011 JARU";-;96;67;32;7;14;18;10;5;11;8;13;1;282
"110012 JI-PARANA";-;158;43;2;15;22;6;-;-;-;9;66;81;402
"110013 MACHADINHO D'OESTE";-;6;8;14;7;2;10;10;3;4;7;12;20;103
"110014 NOVA BRASILANDIA D'OESTE";-;19;28;25;10;2;-;-;-;-;-;1;-;85
"110015 OURO PRETO DO OESTE";-;9;9;14;9;10;4;2;4;-;1;1;-;63
"110018 PIMENTA BUENO";-;29;10;-;3;-;-;2;-;-;-;-;3;47
"110020 PORTO VELHO";-;376;190;108;46;16;14;7;6;7;3;11;29;813
"110025 PRESIDENTE MEDICI";-;3;82;72;60;18;3;5;3;1;1;7;4;259
"110026 RIO CRESPO";-;-;-;2;-;-;1;-;-;-;-;-;-;3
"110028 ROLIM DE MOURA";-;155;88;55;10;5;3;3;1;-;9;15;36;380
"110029 SANTA LUZIA D'OESTE";-;7;3;-;-;-;-;-;-;-;1;-;-;11
"110030 VILHENA";-;237;305;244;114;46;17;18;8;3;8;6;35;1041
"110032 SAO MIGUEL DO GUAPORE";-;77;36;6;-;1;1;1;-;-;-;-;4;126
"110033 NOVA MAMORE";-;5;6;2;18;36;5;-;1;4;1;9;3;90
"110034 ALVORADA D'OESTE";-;244;152;80;28;3;2;1;-;-;2;5;6;523
"110037 ALTO ALEGRE DOS PARECIS";-;25;79;29;19;8;1;-;1;-;-;6;1;169
"110040 ALTO PARAISO";-;-;5;6;5;7;6;5;4;-;-;11;6;55
"110045 BURITIS";-;9;9;15;14;9;12;11;3;3;4;12;8;109
"110050 NOVO HORIZONTE DO OESTE";-;33;21;11;12;13;-;2;1;1;2;-;3;99
"110060 CACAULANDIA";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"110070 CAMPO NOVO DE RONDONIA";-;7;16;13;10;13;3;-;-;-;-;-;4;66
"110080 CANDEIAS DO JAMARI";-;11;12;2;-;-;1;1;-;-;-;-;-;27
"110090 CASTANHEIRAS";-;1;3;1;-;-;-;-;-;-;-;-;-;5
"110092 CHUPINGUAIA";-;29;19;6;3;3;-;-;1;1;-;-;-;62
"110094 CUJUBIM";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;4;11;6;1;1;-;1;11;7;1;-;43
"110110 ITAPUA DO OESTE";-;4;8;3;-;-;6;1;3;-;-;-;3;28
"110120 MINISTRO ANDREAZZA";-;39;38;20;8;7;-;-;-;-;-;1;2;115
"110130 MIRANTE DA SERRA";-;26;60;62;10;26;2;2;-;-;-;3;12;203
"110140 MONTE NEGRO";-;1;4;2;-;1;1;4;-;-;-;-;1;14
"110143 NOVA UNIAO";-;3;19;9;-;-;-;-;-;-;-;2;8;41
"110145 PARECIS";-;7;20;15;4;2;-;-;-;-;-;1;1;50
