2015
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de residência";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;8
"110001 ALTA FLORESTA D'OESTE";-;76;95;168;140;108;102;26;36;13;20;29;13;13;20;13;12;7;16;27;29;18;26;11;31;30;18;27;30;20;35;29;15;12;11;12;6;14;18;10;12;14;10;22;21;19;29;35;49;73;74;66;58;-;1818
"110002 ARIQUEMES";-;55;62;56;48;58;51;69;77;124;83;79;101;73;88;91;69;54;57;36;39;32;31;31;15;32;31;30;30;22;10;14;32;11;10;10;11;10;8;5;7;10;3;10;8;6;15;19;21;20;17;23;22;-;1926
"110003 CABIXI";-;10;16;29;8;13;10;4;11;19;10;12;11;13;17;10;9;11;20;13;9;11;12;9;5;5;2;5;1;1;1;-;1;-;-;-;3;1;1;5;5;1;4;4;2;6;8;10;8;6;9;11;7;-;399
"110004 CACOAL";-;145;143;148;169;183;173;236;197;184;196;177;116;141;113;104;80;55;64;47;29;37;16;24;12;25;23;5;10;11;10;8;2;5;1;2;3;5;6;7;3;5;8;2;6;9;12;10;16;29;45;48;38;-;3143
"110005 CEREJEIRAS";-;23;71;66;62;70;57;65;99;85;72;50;36;30;20;23;12;6;9;20;9;6;5;1;8;2;3;-;3;-;6;4;4;5;1;-;1;1;1;1;-;3;4;2;-;2;4;1;3;9;6;6;17;1;995
"110006 COLORADO DO OESTE";-;13;4;4;12;8;16;7;7;27;16;16;17;5;11;4;7;4;6;9;7;1;2;1;1;2;2;-;-;-;1;3;-;2;-;2;1;-;1;1;-;-;1;1;1;1;-;1;3;3;2;5;3;-;241
"110007 CORUMBIARA";-;1;7;9;10;25;19;15;15;11;9;10;4;5;3;3;4;4;2;2;-;2;2;3;2;2;-;4;2;-;-;-;2;-;1;-;-;-;-;-;-;3;-;1;-;-;-;1;2;1;-;1;1;-;188
"110008 COSTA MARQUES";-;5;4;8;9;16;12;14;17;14;8;8;1;6;10;10;3;5;1;6;-;1;6;1;3;2;2;2;1;1;-;3;-;-;2;2;1;2;-;-;1;6;3;8;1;2;1;2;2;5;5;4;-;-;226
"110009 ESPIGAO D'OESTE";-;84;80;126;51;59;55;60;82;47;31;39;57;69;64;87;74;66;67;57;35;33;25;30;17;35;17;16;17;10;15;10;9;16;8;2;6;7;12;20;7;4;12;4;10;7;7;9;10;16;25;48;92;2;1848
"110010 GUAJARA-MIRIM";-;26;33;47;42;45;40;53;37;48;47;38;21;27;20;23;22;10;23;19;14;7;6;5;9;6;9;8;3;5;1;-;1;2;1;-;4;1;3;3;1;2;2;2;3;2;4;11;9;12;11;18;20;-;806
"110011 JARU";-;155;161;95;69;99;63;67;46;48;55;51;36;55;27;28;20;20;12;15;13;24;28;24;15;8;16;9;11;12;10;6;9;2;3;1;4;6;13;13;17;32;23;39;54;58;104;103;153;108;159;187;124;3;2513
"110012 JI-PARANA";-;145;150;155;142;145;196;211;168;198;136;77;51;51;50;47;48;23;33;27;32;10;11;16;13;15;18;12;11;10;9;15;4;15;12;12;7;5;11;5;10;6;7;4;5;4;8;30;30;50;42;62;82;-;2636
"110013 MACHADINHO D'OESTE";-;49;37;24;40;50;52;28;14;38;23;20;11;22;33;14;36;35;29;22;6;8;21;5;6;1;4;6;4;3;6;2;11;4;1;1;4;-;3;2;3;3;4;4;11;13;32;49;93;71;70;38;49;-;1115
"110014 NOVA BRASILANDIA D'OESTE";-;18;47;63;46;53;56;48;56;58;68;73;75;68;77;65;70;59;51;55;37;28;47;26;21;12;17;11;15;11;8;9;6;9;13;6;10;8;5;6;6;7;11;3;4;6;6;10;7;13;8;10;12;-;1514
"110015 OURO PRETO DO OESTE";-;10;12;18;17;20;9;18;11;21;23;16;15;21;18;9;5;3;3;5;8;8;4;3;8;4;3;1;2;5;4;5;2;1;-;-;-;-;5;1;1;-;3;2;4;2;4;2;5;3;7;7;5;-;363
"110018 PIMENTA BUENO";-;71;92;111;109;111;150;120;115;120;118;87;82;72;57;68;62;33;29;24;24;12;16;8;2;11;4;8;7;7;4;7;7;7;7;1;11;3;8;5;5;4;9;12;12;9;4;19;12;24;46;33;48;-;2027
"110020 PORTO VELHO";-;169;180;196;183;240;262;271;215;238;217;234;228;224;203;197;161;155;140;123;115;98;71;80;58;61;63;71;76;62;45;31;36;27;19;18;11;18;19;17;13;16;32;34;26;36;39;55;53;48;80;74;68;3;5409
"110025 PRESIDENTE MEDICI";-;19;28;55;40;67;72;43;41;66;49;29;32;26;27;53;23;14;11;13;18;5;7;4;-;6;2;3;4;12;4;1;6;2;1;3;3;3;2;2;2;1;-;3;3;11;3;3;2;14;6;6;3;-;853
"110026 RIO CRESPO";-;6;11;5;3;3;-;5;15;6;6;4;6;11;10;6;7;6;10;3;1;3;3;-;1;3;1;1;1;-;1;2;-;-;1;2;-;-;-;-;-;-;1;-;-;1;-;-;-;2;3;-;-;-;150
"110028 ROLIM DE MOURA";-;71;46;135;98;58;62;74;98;41;94;82;58;53;38;43;38;30;36;34;33;30;23;17;19;22;19;12;10;11;21;16;12;13;7;8;8;10;12;5;10;7;6;2;6;12;6;11;10;17;28;22;25;1;1660
"110029 SANTA LUZIA D'OESTE";-;27;23;20;20;14;8;11;8;9;13;10;7;1;2;2;2;4;-;6;6;3;-;4;2;1;-;3;-;-;1;1;2;-;-;1;-;1;4;1;7;-;1;1;3;7;3;16;14;4;16;19;18;1;327
"110030 VILHENA";-;163;185;167;185;139;215;169;173;175;251;176;162;206;148;172;144;94;136;115;96;86;76;67;67;70;41;52;36;33;32;37;36;41;30;21;27;20;13;35;22;19;68;28;54;41;45;122;109;114;159;104;112;4;5092
"110032 SAO MIGUEL DO GUAPORE";-;12;23;45;10;8;9;9;9;12;12;7;4;5;-;10;3;6;4;8;19;14;3;6;4;2;1;-;1;1;-;1;1;-;-;-;2;-;-;-;1;1;1;2;1;1;3;5;3;15;10;2;5;-;301
"110033 NOVA MAMORE";-;13;24;26;41;48;43;27;25;40;49;46;32;29;43;20;28;25;34;19;18;13;9;14;6;10;7;6;10;2;2;5;2;1;3;1;-;1;-;-;4;3;5;3;3;3;5;7;12;12;12;12;22;-;825
"110034 ALVORADA D'OESTE";-;55;42;39;22;25;29;18;15;13;10;8;15;12;7;4;6;4;6;4;2;2;1;2;1;-;1;3;1;1;4;-;1;-;2;2;1;-;2;-;-;-;-;-;4;2;4;8;33;33;30;33;51;-;558
"110037 ALTO ALEGRE DOS PARECIS";-;16;22;12;27;6;8;11;8;6;11;11;5;6;6;3;3;7;2;5;1;1;3;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;3;1;6;11;21;23;14;6;4;7;23;7;11;8;4;1;333
"110040 ALTO PARAISO";-;7;14;6;14;12;6;6;4;12;13;16;5;11;2;5;2;3;13;8;1;5;4;7;4;3;-;1;1;2;3;-;1;1;-;1;1;-;-;-;-;4;3;2;1;8;6;7;2;4;4;7;2;-;244
"110045 BURITIS";-;72;63;88;100;101;88;80;48;74;43;40;38;34;38;23;35;20;34;17;23;15;20;19;16;19;12;24;10;12;13;6;7;4;5;8;11;8;9;10;7;13;8;6;11;13;30;21;39;29;38;41;40;10;1593
"110050 NOVO HORIZONTE DO OESTE";-;2;5;2;5;9;7;21;19;19;7;4;3;2;3;1;2;3;3;3;-;1;2;1;1;-;-;-;1;2;1;-;-;-;-;-;2;-;-;1;-;3;-;1;3;4;3;-;-;1;-;-;2;-;149
