2014
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de residência";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;8
"110001 ALTA FLORESTA D'OESTE";-;76;95;169;140;109;103;26;36;13;20;29;13;13;20;13;12;7;16;27;30;18;26;11;32;30;18;28;33;22;35;29;16;13;13;12;6;14;18;11;14;14;10;22;21;19;29;36;53;78;75;66;58;-;1847
"110002 ARIQUEMES";-;61;62;59;52;61;57;70;83;130;87;80;101;75;89;92;71;56;57;39;39;32;32;31;15;34;31;30;30;22;10;14;33;11;10;10;12;10;10;5;7;12;3;10;8;7;15;19;22;20;17;25;23;-;1991
"110003 CABIXI";-;10;16;29;8;13;10;4;11;19;12;12;12;13;17;10;9;11;20;13;9;11;12;10;5;5;3;5;1;1;1;-;1;-;-;-;3;1;1;5;5;1;4;4;3;7;8;10;8;6;11;11;7;-;408
"110004 CACOAL";-;146;143;148;169;186;173;239;198;186;199;180;118;142;119;105;81;55;65;47;29;37;16;24;13;25;23;5;10;11;10;9;2;5;1;2;3;5;6;7;3;5;8;3;6;9;12;11;16;29;45;49;40;-;3178
"110005 CEREJEIRAS";-;23;71;66;63;70;58;66;99;85;72;50;36;30;20;23;12;6;9;20;10;6;6;1;8;2;4;-;3;-;6;4;4;5;3;1;2;1;1;1;1;3;4;2;-;2;5;1;3;9;6;6;17;1;1007
"110006 COLORADO DO OESTE";-;16;6;4;12;11;18;8;9;28;18;17;18;6;13;4;8;4;7;10;8;1;2;2;1;2;2;-;-;1;1;3;-;2;-;3;1;-;1;1;-;1;2;1;1;1;-;1;3;3;2;5;6;-;274
"110007 CORUMBIARA";-;1;8;9;13;25;19;15;15;11;9;10;4;5;3;3;4;4;2;2;-;2;2;3;2;2;-;4;2;1;1;-;2;1;1;-;-;1;1;-;-;3;1;2;-;-;-;1;2;1;-;1;1;-;199
"110008 COSTA MARQUES";-;11;17;16;19;25;31;26;23;19;13;9;7;9;11;19;4;7;1;6;-;1;6;1;3;2;2;2;1;1;-;3;-;-;2;2;1;2;-;-;1;6;3;8;1;2;1;2;2;5;5;4;3;-;345
"110009 ESPIGAO D'OESTE";-;84;80;127;51;59;55;60;82;47;31;41;58;69;64;87;74;66;67;58;35;33;25;30;17;37;18;16;17;10;15;10;10;16;8;2;6;7;13;20;8;4;13;4;10;7;9;11;11;16;26;48;92;3;1867
