2017
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de residência";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110001 ALTA FLORESTA D'OESTE";-;46;60;70;66;44;32;4;11;7;10;10;4;4;17;11;7;7;16;27;29;18;26;11;31;30;17;26;30;20;35;29;15;12;11;12;5;13;18;10;12;14;10;16;16;18;26;31;34;53;46;55;52;-;1234
"110002 ARIQUEMES";-;51;58;48;45;56;49;68;73;119;78;75;98;70;81;89;67;51;56;35;37;32;31;31;15;30;30;27;29;22;10;13;32;11;9;10;11;9;8;3;6;9;2;9;6;6;13;17;21;20;15;22;21;-;1834
"110003 CABIXI";-;5;5;16;6;8;3;3;7;13;9;11;11;4;3;1;2;2;7;3;2;2;5;6;2;2;2;5;1;1;1;-;1;-;-;-;3;1;-;5;5;1;4;4;2;5;6;8;5;4;5;2;4;-;213
"110004 CACOAL";-;131;123;129;146;163;158;206;183;170;187;174;110;136;105;98;76;49;57;45;27;36;16;23;12;25;22;5;8;10;9;8;2;5;1;2;3;5;6;6;3;5;7;2;6;8;10;10;14;27;37;42;32;-;2880
"110005 CEREJEIRAS";-;7;40;47;31;42;27;34;56;36;50;44;34;27;16;19;11;5;9;19;9;5;3;1;6;-;1;-;3;-;5;3;1;4;1;-;-;1;-;1;-;1;2;1;-;1;2;1;1;2;1;3;5;-;618
"110006 COLORADO DO OESTE";-;9;3;-;8;1;9;5;7;27;14;12;15;5;10;4;6;3;4;7;5;-;-;-;1;2;2;-;-;-;1;2;-;1;-;2;-;-;1;1;-;-;1;1;1;1;-;1;2;3;2;2;1;-;182
"110007 CORUMBIARA";-;1;4;6;8;21;15;10;14;10;5;9;2;4;1;2;2;4;2;1;-;2;1;2;2;2;-;4;2;-;-;-;2;-;1;-;-;-;-;-;-;2;-;1;-;-;-;1;2;-;-;-;1;-;146
"110008 COSTA MARQUES";-;5;2;5;3;5;6;10;7;9;8;4;1;4;6;9;3;4;1;6;-;-;4;1;3;2;2;2;1;1;-;3;-;-;2;2;1;2;-;-;1;6;3;8;1;2;1;1;1;4;5;4;-;-;161
"110009 ESPIGAO D'OESTE";-;17;26;19;19;26;31;35;42;28;23;31;46;56;49;81;63;50;58;53;29;30;22;28;17;34;16;13;13;10;13;7;5;9;3;1;1;3;2;5;-;2;9;4;5;3;2;2;1;1;-;-;2;1;1046
