2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de residência";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Total"
"421000 LUIZ ALVES";-;2;-;1;1;-;-;4
"421003 LUZERNA";-;-;-;-;1;-;1;2
"421010 MAFRA";-;-;-;-;2;-;2;4
"421050 MARAVILHA";1;1;1;10;6;8;6;33
"421060 MASSARANDUBA";-;-;-;2;-;5;2;9
"421085 MIRIM DOCE";-;-;-;-;-;1;-;1
"421100 MONDAI";-;-;-;1;1;1;3;6
"421110 MONTE CASTELO";-;-;-;-;-;-;1;1
"421120 MORRO DA FUMACA";-;-;-;1;-;-;-;1
"421130 NAVEGANTES";1;1;6;8;22;61;61;160
"421150 NOVA TRENTO";1;-;1;-;1;-;1;4
"421160 NOVA VENEZA";-;1;-;-;-;-;-;1
"421165 NOVO HORIZONTE";2;-;-;-;-;1;-;3
"421170 ORLEANS";-;1;-;-;-;-;-;1
"421175 OTACILIO COSTA";-;-;-;-;-;1;-;1
"421180 OURO";-;-;-;-;-;2;2;4
"421190 PALHOCA";8;11;11;17;30;30;17;124
"421200 PALMA SOLA";-;-;1;1;1;-;-;3
"421205 PALMEIRA";-;-;-;-;-;1;-;1
"421210 PALMITOS";-;-;-;2;-;4;5;11
"421220 PAPANDUVA";-;-;-;-;-;1;-;1
"421225 PASSO DE TORRES";-;-;-;-;2;-;1;3
"421230 PAULO LOPES";-;-;-;-;2;-;-;2
"421250 PENHA";10;11;22;37;31;11;2;124
"421265 PESCARIA BRAVA";-;-;-;-;-;1;-;1
"421270 PETROLANDIA";-;1;-;-;-;1;-;2
"421280 BALNEARIO PICARRAS";2;6;17;11;26;18;2;82
"421290 PINHALZINHO";-;-;-;-;-;-;1;1
"421300 PINHEIRO PRETO";-;-;-;-;-;-;2;2
"421310 PIRATUBA";-;-;1;-;-;1;1;3
"421315 PLANALTO ALEGRE";-;-;-;2;-;-;-;2
"421320 POMERODE";1;4;3;2;7;13;24;54
"421340 PONTE SERRADA";-;-;-;-;-;1;-;1
"421350 PORTO BELO";1;-;1;1;2;14;23;42
"421360 PORTO UNIAO";-;-;2;-;1;1;2;6
"421370 POUSO REDONDO";2;-;-;-;-;-;-;2
"421400 PRESIDENTE GETULIO";-;-;-;-;-;-;1;1
"421420 QUILOMBO";-;-;-;-;-;4;-;4
"421430 RANCHO QUEIMADO";-;-;-;1;-;-;-;1
"421460 RIO DO OESTE";-;-;1;-;-;-;-;1
"421470 RIO DOS CEDROS";-;2;-;-;-;2;2;6
"421480 RIO DO SUL";-;-;-;-;1;1;-;2
"421500 RIO NEGRINHO";-;-;-;-;1;2;-;3
"421510 RODEIO";-;-;-;2;2;-;2;6
"421520 ROMELANDIA";-;-;-;-;-;1;-;1
"421530 SALETE";-;-;-;-;2;-;1;3
"421535 SALTINHO";-;-;-;-;-;1;-;1
"421540 SALTO VELOSO";-;-;-;-;-;1;-;1
"421545 SANGAO";-;-;-;3;-;-;-;3
"421550 SANTA CECILIA";-;-;-;1;-;-;-;1
"421555 SANTA HELENA";-;2;-;-;1;1;1;5
"421568 SANTA TEREZINHA DO PROGRESSO";-;-;-;-;-;1;-;1
"421570 SANTO AMARO DA IMPERATRIZ";1;3;1;3;2;2;-;12
"421580 SAO BENTO DO SUL";1;3;-;2;3;1;-;10
"421600 SAO CARLOS";-;-;1;-;1;1;5;8
"421620 SAO FRANCISCO DO SUL";6;12;36;52;42;67;27;242
"421625 SAO JOAO DO OESTE";-;-;-;2;1;1;2;6
"421630 SAO JOAO BATISTA";1;2;5;5;8;26;29;76
"421635 SAO JOAO DO ITAPERIU";1;-;-;1;-;-;1;3
"421660 SAO JOSE";44;56;55;74;83;108;68;488
"421670 SAO JOSE DO CEDRO";-;-;-;-;-;4;3;7
"421690 SAO LOURENCO DO OESTE";-;2;-;1;-;-;-;3
"421700 SAO LUDGERO";-;-;-;-;-;1;2;3
"421720 SAO MIGUEL DO OESTE";1;1;2;4;1;-;3;12
"421725 SAO PEDRO DE ALCANTARA";-;-;3;-;2;-;-;5
"421730 SAUDADES";1;-;1;3;1;1;3;10
"421740 SCHROEDER";2;-;-;1;-;7;6;16
"421750 SEARA";-;-;-;1;-;3;1;5
"421760 SIDEROPOLIS";2;1;-;-;-;-;1;4
"421770 SOMBRIO";-;-;-;-;2;3;1;6
"421780 TAIO";-;-;-;-;1;-;-;1
"421800 TIJUCAS";11;30;48;42;82;88;38;339
"421820 TIMBO";3;1;-;3;4;5;-;16
"421850 TREZE TILIAS";-;-;-;-;-;2;-;2
"421860 TROMBUDO CENTRAL";-;-;-;-;1;-;1;2
"421870 TUBARAO";1;-;-;-;-;9;12;22
"421875 TUNAPOLIS";-;-;1;2;-;2;1;6
"421917 VARGEM BONITA";-;-;-;-;-;1;-;1
"421920 VIDAL RAMOS";-;1;-;-;-;-;1;2
"421930 VIDEIRA";-;1;4;1;-;1;-;7
"421950 XANXERE";-;1;2;1;1;5;6;16
"421970 XAXIM";-;1;-;-;-;1;4;6
"422000 BALNEARIO RINCAO";-;-;-;1;-;-;-;1
"430005 AGUA SANTA";-;-;-;-;-;1;-;1
"430020 AJURICABA";-;-;-;-;-;2;1;3
"430030 ALECRIM";-;-;1;-;1;10;7;19
"430040 ALEGRETE";-;-;-;-;2;2;2;6
"430045 ALEGRIA";-;1;-;-;1;2;1;5
"430047 ALMIRANTE TAMANDARE DO SUL";-;-;-;-;2;-;-;2
"430050 ALPESTRE";-;-;-;-;1;-;-;1
"430060 ALVORADA";5;5;6;7;27;51;24;125
"430070 ANTA GORDA";-;-;-;-;1;-;1;2
"430087 ARARICA";-;-;-;-;1;-;-;1
"430090 ARATIBA";-;-;-;-;-;1;-;1
"430120 ARROIO DO TIGRE";-;1;-;2;-;-;-;3
"430130 ARROIO GRANDE";-;-;-;-;1;1;-;2
"430160 BAGE";-;1;-;-;-;-;-;1
"430163 BALNEARIO PINHAL";-;-;-;-;-;2;-;2
"430165 BARAO";-;-;-;-;-;1;-;1
"430170 BARAO DE COTEGIPE";-;1;-;1;2;2;-;6
"430175 BARAO DO TRIUNFO";1;-;-;-;-;-;-;1
"430185 BARRA DO GUARITA";86;75;74;56;38;34;-;363
"430190 BARRA DO RIBEIRO";-;-;2;1;-;-;-;3
"430210 BENTO GONCALVES";-;-;-;3;6;7;4;20
"430215 BOA VISTA DAS MISSOES";-;1;-;-;-;-;-;1
"430220 BOA VISTA DO BURICA";-;-;-;1;1;1;3;6
"430222 BOA VISTA DO CADEADO";-;-;-;-;1;-;-;1
"430235 BOM PRINCIPIO";-;-;-;2;-;1;1;4
"430237 BOM PROGRESSO";-;-;-;-;1;-;-;1
"430258 BOZANO";-;1;-;-;1;1;-;3
"430260 BRAGA";-;-;1;-;6;1;2;10
"430280 CACAPAVA DO SUL";-;2;-;-;2;3;-;7
"430300 CACHOEIRA DO SUL";1;2;1;4;1;7;5;21
"430310 CACHOEIRINHA";-;1;-;5;7;19;15;47
"430355 CAMARGO";-;-;-;-;2;-;-;2
"430370 CAMPINA DAS MISSOES";-;-;-;-;-;-;1;1
"430390 CAMPO BOM";1;1;3;7;7;10;12;41
"430400 CAMPO NOVO";-;-;-;-;2;-;1;3
"430420 CANDELARIA";-;-;1;-;1;-;-;2
"430430 CANDIDO GODOI";-;-;-;-;-;2;3;5
"430435 CANDIOTA";-;-;-;-;1;1;2;4
"430440 CANELA";-;-;-;1;-;1;-;2
"430460 CANOAS";11;18;43;34;68;110;26;310
"430463 CAPAO DA CANOA";-;-;-;1;1;-;-;2
"430466 CAPAO DO LEAO";-;1;-;1;-;3;1;6
"430468 CAPELA DE SANTANA";-;-;1;1;-;2;1;5
"430470 CARAZINHO";1;1;-;1;2;1;1;7
"430471 CARAA";-;-;1;-;-;-;-;1
"430480 CARLOS BARBOSA";1;1;-;1;2;3;-;8
"430490 CASCA";-;-;-;-;1;-;-;1
"430495 CASEIROS";-;-;-;-;1;-;-;1
"430500 CATUIPE";1;-;-;-;3;2;-;6
"430510 CAXIAS DO SUL";2;2;-;2;5;7;4;22
"430513 CERRO BRANCO";-;1;-;-;-;-;-;1
"430517 CERRO GRANDE DO SUL";-;-;-;1;-;-;-;1
"430520 CERRO LARGO";4;10;25;28;32;6;-;105
"430530 CHAPADA";-;-;1;1;3;2;2;9
"430535 CHARQUEADAS";-;-;-;-;-;2;1;3
"430540 CHIAPETTA";-;-;-;-;-;1;-;1
"430558 COLINAS";-;-;-;-;-;1;-;1
"430560 COLORADO";-;1;-;-;-;-;1;2
"430570 CONDOR";-;-;-;-;1;2;5;8
"430587 CORONEL BARROS";-;-;-;2;-;4;1;7
"430590 CORONEL BICACO";-;1;-;-;-;-;-;1
"430597 COXILHA";-;-;-;1;-;-;-;1
"430600 CRISSIUMAL";-;-;-;12;23;45;74;154
"430607 CRISTAL DO SUL";-;-;-;-;-;2;-;2
"430610 CRUZ ALTA";3;1;3;3;1;8;15;34
"430620 CRUZEIRO DO SUL";-;-;-;-;-;-;2;2
"430632 DERRUBADAS";5;16;17;33;27;15;29;142
"430635 DEZESSEIS DE NOVEMBRO";2;-;-;-;-;-;-;2
"430640 DOIS IRMAOS";6;5;12;10;17;15;27;92
"430642 DOIS IRMAOS DAS MISSOES";-;-;-;-;2;-;-;2
"430660 DOM PEDRITO";-;-;1;1;-;3;1;6
"430673 DOUTOR MAURICIO CARDOSO";-;-;-;-;2;4;5;11
"430676 ELDORADO DO SUL";2;-;-;-;4;3;3;12
"430680 ENCANTADO";-;-;1;-;3;1;-;5
"430690 ENCRUZILHADA DO SUL";-;-;-;-;-;1;5;6
"430695 ENTRE RIOS DO SUL";-;-;-;-;-;1;-;1
"430700 ERECHIM";-;5;5;9;23;31;28;101
"430710 HERVAL";-;-;-;-;1;2;-;3
"430730 ERVAL SECO";-;-;1;1;-;-;-;2
"430745 ESPERANCA DO SUL";-;-;-;3;-;3;1;7
"430750 ESPUMOSO";1;1;-;-;-;-;-;2
"430755 ESTACAO";-;-;-;1;1;-;1;3
"430760 ESTANCIA VELHA";1;1;-;1;3;7;2;15
"430770 ESTEIO";-;-;1;2;5;11;14;33
"430780 ESTRELA";-;-;-;1;5;15;6;27
"430790 FARROUPILHA";1;-;1;1;4;8;2;17
"430807 FAZENDA VILANOVA";-;-;-;-;3;2;1;6
"430810 FELIZ";-;1;-;-;-;1;-;2
"430820 FLORES DA CUNHA";1;-;-;-;-;-;-;1
"430845 FORTALEZA DOS VALOS";2;-;-;-;-;-;-;2
"430850 FREDERICO WESTPHALEN";7;14;28;86;93;71;15;314
"430860 GARIBALDI";1;-;-;1;-;1;3;6
"430865 GARRUCHOS";-;-;-;1;-;-;-;1
"430870 GAURAMA";-;-;-;-;-;1;-;1
"430890 GETULIO VARGAS";-;-;-;-;2;2;2;6
"430900 GIRUA";-;1;-;-;-;4;-;5
"430905 GLORINHA";1;-;-;-;-;-;-;1
"430910 GRAMADO";2;2;5;3;4;11;11;38
"430920 GRAVATAI";5;3;8;6;11;37;37;107
"430925 GUABIJU";-;-;-;-;-;1;-;1
"430930 GUAIBA";2;1;2;4;2;9;11;31
"430940 GUAPORE";-;-;-;1;4;1;7;13
"430950 GUARANI DAS MISSOES";-;-;-;-;1;6;8;15
"430955 HARMONIA";-;-;-;-;-;-;1;1
"430960 HORIZONTINA";-;-;-;1;-;6;9;16
"430970 HUMAITA";-;-;-;1;-;3;-;4
"430995 IBIRAPUITA";-;-;-;-;-;1;-;1
"431000 IBIRUBA";-;-;1;-;2;1;3;7
"431010 IGREJINHA";-;1;-;1;5;3;6;16
"431020 IJUI";1;4;3;6;9;17;23;63
"431030 ILOPOLIS";-;-;-;-;-;1;-;1
"431040 INDEPENDENCIA";-;-;-;2;2;5;31;40
"431050 IRAI";5;10;21;21;30;45;27;159
"431053 ITAARA";-;-;-;-;-;2;2;4
"431080 IVOTI";-;1;1;2;4;12;6;26
"431085 JABOTICABA";-;1;-;-;-;-;-;1
"431090 JACUTINGA";-;1;1;-;-;-;-;2
"431100 JAGUARAO";-;-;-;-;1;-;1;2
"431115 JOIA";-;-;-;-;-;2;1;3
"431120 JULIO DE CASTILHOS";-;-;-;-;1;-;-;1
"431130 LAGOA VERMELHA";-;-;-;-;-;2;-;2
"431140 LAJEADO";-;1;3;7;20;55;30;116
"431150 LAVRAS DO SUL";-;-;1;-;-;1;-;2
"431160 LIBERATO SALZANO";-;-;-;1;-;-;-;1
"431162 LINDOLFO COLLOR";-;-;-;-;-;1;-;1
"431171 MACAMBARA";-;1;-;-;-;-;-;1
"431175 MANOEL VIANA";-;-;-;1;-;-;-;1
"431177 MAQUINE";-;-;-;-;1;1;-;2
"431180 MARAU";-;-;2;-;2;5;2;11
"431190 MARCELINO RAMOS";-;-;-;-;-;1;-;1
"431215 MATO LEITAO";-;-;1;1;1;-;1;4
"431230 MIRAGUAI";1;2;6;12;20;18;3;62
"431238 MONTE BELO DO SUL";-;-;-;1;2;-;-;3
"431240 MONTENEGRO";-;-;-;-;2;3;-;5
"431247 MORRO REUTER";-;-;-;-;1;-;-;1
"431260 MUCUM";-;-;-;-;1;-;-;1
"431265 NAO-ME-TOQUE";-;-;-;3;-;3;2;8
"431270 NONOAI";-;-;1;-;1;2;-;4
"431275 NOVA ALVORADA";1;-;-;-;-;-;4;5
"431280 NOVA ARACA";-;-;-;-;-;1;-;1
"431300 NOVA BRESCIA";-;1;-;-;-;-;-;1
"431301 NOVA CANDELARIA";-;-;-;1;1;-;-;2
"431306 NOVA HARTZ";-;-;-;-;1;2;2;5
"431320 NOVA PETROPOLIS";-;1;2;2;2;6;3;16
"431330 NOVA PRATA";-;-;-;-;1;-;-;1
"431337 NOVA SANTA RITA";2;1;-;3;8;10;6;30
"431340 NOVO HAMBURGO";35;51;66;104;163;216;88;723
"431342 NOVO MACHADO";-;-;-;1;-;-;-;1
"431349 NOVO BARREIRO";-;-;2;1;1;-;-;4
"431350 OSORIO";-;-;-;-;3;3;4;10
"431365 PALMARES DO SUL";-;-;-;-;-;1;2;3
"431370 PALMEIRA DAS MISSOES";-;-;1;5;2;5;6;19
"431380 PALMITINHO";1;-;3;2;3;3;4;16
"431390 PANAMBI";2;-;1;4;2;16;10;35
"431395 PANTANO GRANDE";-;-;1;-;-;-;-;1
"431402 PARAISO DO SUL";-;-;-;-;-;1;-;1
"431405 PAROBE";1;-;-;-;4;3;1;9
"431410 PASSO FUNDO";3;4;13;13;39;55;35;162
"431420 PEDRO OSORIO";1;-;-;-;-;-;-;1
"431440 PELOTAS";1;2;7;3;7;27;13;60
"431449 PINHEIRINHO DO VALE";13;6;32;24;56;39;37;207
"431450 PINHEIRO MACHADO";-;-;-;-;-;1;-;1
"431455 PIRAPO";-;-;-;-;2;-;-;2
"431460 PIRATINI";-;-;-;-;-;1;-;1
"431470 PLANALTO";1;-;-;-;1;-;-;2
"431475 POCO DAS ANTAS";-;-;-;-;-;1;-;1
"431480 PORTAO";-;-;1;1;1;2;-;5
"431490 PORTO ALEGRE";12;11;16;18;22;17;12;108
"431500 PORTO LUCENA";1;-;3;9;11;20;24;68
"431505 PORTO MAUA";-;-;-;1;2;9;3;15
"431510 PORTO XAVIER";-;-;-;-;1;3;1;5
"431513 POUSO NOVO";-;-;-;1;-;-;-;1
"431517 PROTASIO ALVES";-;-;-;-;-;1;-;1
"431530 QUARAI";1;-;-;-;-;-;-;1
"431540 REDENTORA";1;1;10;8;10;27;16;73
"431550 RESTINGA SECA";-;1;1;-;1;-;-;3
"431555 RIO DOS INDIOS";-;-;1;-;-;-;-;1
"431560 RIO GRANDE";-;2;-;2;-;17;8;29
"431570 RIO PARDO";-;-;-;-;-;1;-;1
"431580 ROCA SALES";-;-;-;-;1;4;-;5
"431590 RODEIO BONITO";-;-;1;-;-;1;1;3
"431595 ROLADOR";1;-;-;-;-;1;-;2
"431600 ROLANTE";-;1;1;-;-;4;-;6
"431610 RONDA ALTA";-;-;-;1;3;1;-;5
"431620 RONDINHA";1;-;-;-;-;-;-;1
"431630 ROQUE GONZALES";-;-;-;-;-;1;1;2
"431640 ROSARIO DO SUL";-;-;1;-;1;-;-;2
"431642 SAGRADA FAMILIA";-;-;-;-;-;-;1;1
"431643 SALDANHA MARINHO";-;-;-;1;1;2;-;4
"431645 SALTO DO JACUI";-;-;-;-;1;1;-;2
"431650 SALVADOR DO SUL";-;-;1;1;-;-;-;2
"431660 SANANDUVA";-;-;2;-;3;2;3;10
"431670 SANTA BARBARA DO SUL";-;-;1;-;-;4;2;7
"431675 SANTA CLARA DO SUL";-;-;-;-;1;-;-;1
"431680 SANTA CRUZ DO SUL";-;3;1;3;13;25;49;94
"431690 SANTA MARIA";27;11;22;29;20;6;-;115
"431695 SANTA MARIA DO HERVAL";-;-;-;-;1;1;1;3
"431710 SANT'ANA DO LIVRAMENTO";1;-;1;1;4;5;10;22
"431720 SANTA ROSA";4;3;26;54;82;223;166;558
"431725 SANTA TEREZA";-;-;-;-;-;1;1;2
"431740 SANTIAGO";-;-;-;1;2;3;3;9
"431750 SANTO ANGELO";-;2;-;-;-;5;1;8
"431760 SANTO ANTONIO DA PATRULHA";1;1;-;1;-;1;1;5
"431770 SANTO ANTONIO DAS MISSOES";-;2;7;14;9;9;8;49
"431775 SANTO ANTONIO DO PLANALTO";-;-;-;-;-;1;-;1
"431780 SANTO AUGUSTO";-;-;-;-;4;6;4;14
"431790 SANTO CRISTO";2;-;-;1;-;7;12;22
"431800 SAO BORJA";3;1;2;3;11;38;40;98
"431810 SAO FRANCISCO DE ASSIS";-;-;1;-;-;3;-;4
"431820 SAO FRANCISCO DE PAULA";-;1;-;-;-;-;-;1
"431830 SAO GABRIEL";-;-;-;-;2;2;1;5
"431844 SAO JORGE";-;-;-;-;2;-;1;3
"431845 SAO JOSE DAS MISSOES";-;1;-;-;-;-;-;1
"431850 SAO JOSE DO NORTE";-;-;-;-;-;1;-;1
"431870 SAO LEOPOLDO";7;14;30;87;115;115;26;394
"431880 SAO LOURENCO DO SUL";-;-;-;-;-;1;-;1
"431890 SAO LUIZ GONZAGA";-;-;-;4;1;7;1;13
"431910 SAO MARTINHO";-;-;-;-;-;4;1;5
"431915 SAO MIGUEL DAS MISSOES";-;-;-;-;2;-;1;3
"431920 SAO NICOLAU";-;-;1;-;1;2;1;5
"431930 SAO PAULO DAS MISSOES";-;-;-;-;1;3;3;7
"431936 SAO PEDRO DAS MISSOES";-;1;-;-;-;-;-;1
"431940 SAO PEDRO DO SUL";-;-;1;1;-;-;1;3
"431950 SAO SEBASTIAO DO CAI";-;-;-;1;-;2;-;3
"431960 SAO SEPE";-;-;-;-;3;2;-;5
"431970 SAO VALENTIM";-;-;-;1;-;-;-;1
"431973 SAO VALERIO DO SUL";1;-;-;-;-;-;-;1
"431980 SAO VICENTE DO SUL";-;-;1;-;-;-;-;1
"431990 SAPIRANGA";-;-;-;1;2;4;2;9
"432000 SAPUCAIA DO SUL";-;1;3;5;14;25;40;88
"432010 SARANDI";1;-;1;-;1;6;7;16
"432020 SEBERI";1;-;-;-;2;2;-;5
"432023 SEDE NOVA";-;-;-;-;-;-;3;3
"432030 SELBACH";1;-;-;-;-;-;1;2
"432032 SENADOR SALGADO FILHO";-;-;-;-;-;-;1;1
"432040 SERAFINA CORREA";-;-;-;1;3;-;-;4
"432055 SERTAO SANTANA";-;-;-;1;-;-;-;1
"432057 SETE DE SETEMBRO";-;-;-;-;-;-;1;1
"432067 SINIMBU";-;-;-;-;1;-;1;2
"432080 SOLEDADE";1;-;-;-;-;1;-;2
"432090 TAPEJARA";-;-;-;1;-;-;-;1
"432100 TAPERA";1;-;-;1;-;1;1;4
"432120 TAQUARA";-;1;1;4;5;13;12;36
"432132 TAQUARUCU DO SUL";-;-;-;3;-;1;3;7
"432135 TAVARES";-;-;1;-;-;-;-;1
"432140 TENENTE PORTELA";51;110;190;332;341;324;22;1370
"432145 TEUTONIA";-;-;1;-;-;8;2;11
"432146 TIO HUGO";-;1;1;-;-;1;-;3
"432147 TIRADENTES DO SUL";-;-;1;1;2;4;6;14
"432149 TOROPI";-;1;-;-;-;-;-;1
"432150 TORRES";1;1;-;3;2;-;5;12
"432160 TRAMANDAI";-;1;1;2;1;-;4;9
"432170 TRES COROAS";-;1;2;2;-;1;2;8
"432180 TRES DE MAIO";-;-;8;8;29;33;21;99
"432190 TRES PASSOS";6;5;25;75;78;63;55;307
"432200 TRIUNFO";-;1;-;-;-;1;3;5
"432210 TUCUNDUVA";-;-;-;-;-;4;1;5
"432220 TUPANCIRETA";-;-;-;-;-;2;-;2
"432225 TUPANDI";-;-;-;-;2;-;-;2
"432230 TUPARENDI";-;-;-;-;-;2;-;2
"432240 URUGUAIANA";2;-;1;2;1;4;-;10
"432250 VACARIA";-;1;1;-;-;1;-;3
"432252 VALE VERDE";-;-;-;-;-;1;-;1
"432254 VALE REAL";1;-;-;-;-;1;-;2
"432255 VANINI";-;-;-;-;-;-;1;1
"432260 VENANCIO AIRES";-;3;1;2;3;11;2;22
"432270 VERA CRUZ";-;-;-;2;-;3;5;10
"432280 VERANOPOLIS";-;-;-;-;1;-;-;1
"432300 VIAMAO";1;4;3;16;42;93;55;214
"432310 VICENTE DUTRA";-;-;-;-;1;4;1;6
"432340 VILA MARIA";-;-;-;-;3;1;1;5
"432350 VISTA ALEGRE";-;1;2;-;2;3;-;8
"432370 VISTA GAUCHA";9;8;22;7;36;19;1;102
"432377 WESTFALIA";-;-;1;-;-;3;-;4
"432380 XANGRI-LA";1;-;-;-;1;3;-;5
"500020 AGUA CLARA";6;1;2;-;-;1;-;10
"500025 ALCINOPOLIS";-;-;-;-;1;-;-;1
"500060 AMAMBAI";5;2;5;14;26;40;21;113
"500070 ANASTACIO";2;-;1;-;2;1;2;8
"500080 ANAURILANDIA";-;2;-;-;-;-;-;2
"500085 ANGELICA";-;-;1;2;3;4;5;15
"500090 ANTONIO JOAO";2;2;6;4;5;15;12;46
"500100 APARECIDA DO TABOADO";1;3;2;2;8;2;6;24
"500110 AQUIDAUANA";-;2;2;-;-;-;2;6
"500124 ARAL MOREIRA";34;71;107;66;35;15;-;328
"500150 BANDEIRANTES";-;1;1;-;-;-;-;2
"500190 BATAGUASSU";1;1;-;1;1;1;6;11
"500200 BATAYPORA";-;-;1;1;3;3;2;10
"500210 BELA VISTA";2;2;3;1;-;-;2;10
"500215 BODOQUENA";-;2;-;-;3;2;2;9
"500220 BONITO";1;-;3;3;3;7;5;22
"500230 BRASILANDIA";-;3;8;10;9;4;-;34
"500240 CAARAPO";2;3;8;10;7;13;16;59
"500260 CAMAPUA";-;-;-;-;5;4;-;9
"500270 CAMPO GRANDE";13;10;11;68;80;47;10;239
"500290 CASSILANDIA";1;-;1;4;3;9;2;20
"500295 CHAPADAO DO SUL";21;21;30;49;36;47;-;204
"500310 CORGUINHO";-;1;-;2;-;-;-;3
"500315 CORONEL SAPUCAIA";8;13;19;31;18;34;4;127
"500320 CORUMBA";9;12;24;31;32;30;24;162
"500325 COSTA RICA";28;29;41;79;73;17;1;268
"500330 COXIM";1;3;2;2;1;5;2;16
"500345 DEODAPOLIS";-;-;1;1;2;1;-;5
"500348 DOIS IRMAOS DO BURITI";2;2;-;1;5;1;-;11
"500350 DOURADINA";3;2;1;-;-;-;1;7
"500370 DOURADOS";5;11;13;15;12;15;7;78
"500375 ELDORADO";-;-;2;-;-;1;-;3
"500380 FATIMA DO SUL";-;-;2;1;-;-;-;3
"500390 FIGUEIRAO";2;-;1;-;4;2;9;18
"500400 GLORIA DE DOURADOS";-;-;-;-;-;-;1;1
"500410 GUIA LOPES DA LAGUNA";-;-;-;1;1;4;-;6
"500430 IGUATEMI";-;3;5;13;16;15;12;64
"500450 ITAPORA";2;1;1;2;5;12;3;26
"500460 ITAQUIRAI";-;3;1;1;5;10;7;27
"500470 IVINHEMA";-;1;5;-;3;4;10;23
"500480 JAPORA";-;1;-;2;2;1;1;7
"500490 JARAGUARI";-;-;2;-;-;-;-;2
"500500 JARDIM";1;1;2;3;3;4;6;20
"500510 JATEI";-;-;2;-;2;-;-;4
"500515 JUTI";-;-;-;-;-;5;7;12
"500520 LADARIO";8;2;1;1;5;9;4;30
"500525 LAGUNA CARAPA";1;3;4;7;7;17;12;51
"500540 MARACAJU";5;5;10;10;13;29;35;107
"500560 MIRANDA";1;1;-;-;8;7;1;18
"500568 MUNDO NOVO";4;2;8;9;8;18;7;56
"500570 NAVIRAI";4;6;7;5;6;14;11;53
"500580 NIOAQUE";1;1;2;1;-;-;1;6
"500600 NOVA ALVORADA DO SUL";1;2;-;-;1;-;-;4
"500620 NOVA ANDRADINA";1;4;3;1;4;1;-;14
"500625 NOVO HORIZONTE DO SUL";-;1;-;-;-;-;-;1
"500627 PARAISO DAS AGUAS";2;-;2;-;-;-;-;4
"500630 PARANAIBA";1;-;1;2;2;1;-;7
"500635 PARANHOS";31;43;81;81;65;11;1;313
"500660 PONTA PORA";2;16;16;29;39;42;8;152
"500710 RIBAS DO RIO PARDO";1;-;-;-;2;-;-;3
"500720 RIO BRILHANTE";1;-;2;5;4;3;3;18
"500730 RIO NEGRO";-;-;-;-;2;2;2;6
"500740 RIO VERDE DE MATO GROSSO";1;-;-;2;-;1;2;6
"500750 ROCHEDO";4;1;-;1;4;11;7;28
"500755 SANTA RITA DO PARDO";-;-;1;-;1;-;1;3
"500769 SAO GABRIEL DO OESTE";3;11;10;13;1;-;-;38
"500770 SETE QUEDAS";20;19;22;22;21;26;-;130
"500780 SELVIRIA";-;1;-;1;1;2;3;8
"500790 SIDROLANDIA";3;6;4;5;3;11;12;44
"500793 SONORA";-;-;-;-;-;-;2;2
"500795 TACURU";1;6;9;5;11;12;9;53
"500797 TAQUARUSSU";-;-;-;-;-;-;1;1
"500800 TERENOS";-;-;-;-;1;3;-;4
"500830 TRES LAGOAS";3;4;19;20;10;32;13;101
"500840 VICENTINA";-;-;-;-;-;1;3;4
"510020 AGUA BOA";-;2;-;5;3;1;-;11
"510025 ALTA FLORESTA";3;10;14;8;9;14;4;62
"510030 ALTO ARAGUAIA";-;1;2;3;8;3;4;21
"510040 ALTO GARCAS";-;2;2;-;-;-;-;4
"510050 ALTO PARAGUAI";-;-;-;1;-;-;-;1
"510060 ALTO TAQUARI";4;6;-;4;7;4;1;26
"510080 APIACAS";-;-;1;-;1;-;-;2
"510100 ARAGUAIANA";-;-;-;2;1;-;-;3
"510125 ARAPUTANGA";-;1;3;2;2;3;-;11
"510130 ARENAPOLIS";-;-;-;-;-;-;1;1
"510140 ARIPUANA";1;1;-;-;3;1;-;6
"510170 BARRA DO BUGRES";-;1;-;-;7;2;2;12
"510180 BARRA DO GARCAS";8;12;28;17;28;18;22;133
"510190 BRASNORTE";-;-;-;-;-;1;-;1
"510250 CACERES";1;3;3;6;2;-;1;16
"510260 CAMPINAPOLIS";1;-;1;-;-;2;-;4
"510263 CAMPO NOVO DO PARECIS";6;6;5;11;12;13;9;62
"510267 CAMPO VERDE";67;67;91;81;66;5;-;377
"510268 CAMPOS DE JULIO";-;2;9;4;4;4;-;23
"510269 CANABRAVA DO NORTE";-;-;1;-;-;1;1;3
"510270 CANARANA";1;2;12;10;14;10;-;49
"510279 CARLINDA";1;1;7;3;5;1;6;24
"510285 CASTANHEIRA";-;-;-;-;-;1;-;1
"510300 CHAPADA DOS GUIMARAES";10;8;22;7;12;14;4;77
"510305 CLAUDIA";1;-;2;3;1;-;-;7
"510310 COCALINHO";3;7;11;10;2;-;-;33
"510320 COLIDER";10;5;11;13;19;13;7;78
"510325 COLNIZA";7;8;5;4;5;4;5;38
"510330 COMODORO";2;8;7;5;3;1;-;26
"510335 CONFRESA";19;23;32;40;52;10;-;176
