2021
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de residência";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110001 ALTA FLORESTA D'OESTE";-;45;56;70;64;41;32;3;10;7;8;8;3;4;15;11;6;7;15;26;26;18;25;8;19;17;7;6;13;10;4;8;7;9;7;10;5;10;15;10;8;9;6;13;11;13;17;26;32;42;31;51;51;-;975
"110002 ARIQUEMES";-;45;43;40;29;41;38;57;69;113;73;69;93;66;71;83;65;47;50;27;22;28;26;21;11;21;25;21;25;18;7;12;30;9;7;8;11;7;8;2;6;8;2;8;6;6;12;11;15;14;10;18;18;-;1572
"110003 CABIXI";-;3;4;12;6;5;2;2;6;12;9;11;11;4;2;1;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;-;99
"110004 CACOAL";-;129;119;129;141;159;154;201;181;167;182;165;108;132;101;88;70;47;53;36;24;28;12;19;7;18;21;4;7;8;7;4;2;4;1;2;2;4;4;5;3;3;6;1;4;7;8;10;10;24;28;35;31;-;2715
"110005 CEREJEIRAS";-;4;10;12;7;7;7;3;8;14;17;8;14;6;3;5;4;2;5;11;5;3;2;-;6;-;-;-;2;-;2;3;-;1;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2;1;2;3;-;182
"110006 COLORADO DO OESTE";-;1;-;-;2;1;3;2;7;24;8;3;2;2;1;-;-;1;-;1;1;-;-;-;1;1;2;-;-;-;-;1;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;69
"110007 CORUMBIARA";-;1;1;3;4;16;12;7;10;4;4;3;1;3;-;2;2;2;1;-;-;1;1;1;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;82
"110008 COSTA MARQUES";-;5;2;5;3;5;5;9;6;9;4;4;1;4;6;9;3;4;1;4;-;-;4;1;-;-;2;-;-;-;-;1;-;-;2;1;1;1;-;-;1;6;3;8;1;2;1;-;1;-;1;1;-;-;127
"110009 ESPIGAO D'OESTE";-;13;23;12;11;21;28;26;27;23;20;21;39;56;42;70;50;41;44;34;24;27;14;20;6;17;6;5;2;3;4;4;2;4;2;-;-;1;-;-;-;-;-;1;-;1;2;2;1;1;-;-;1;-;751
"110010 GUAJARA-MIRIM";-;17;26;37;23;20;18;32;12;19;8;14;7;4;3;2;6;3;5;2;1;1;1;1;-;2;4;1;1;-;-;-;-;-;-;-;-;1;2;1;-;-;1;1;1;-;-;3;-;6;5;11;16;-;318
"110011 JARU";-;151;145;84;58;63;37;46;28;32;34;34;24;31;16;16;13;9;5;12;10;12;16;16;11;5;11;4;7;8;8;4;8;2;3;1;4;5;13;11;16;32;23;39;50;55;101;101;146;98;150;178;114;-;2100
"110012 JI-PARANA";-;90;89;100;79;72;101;74;56;70;60;41;34;31;27;23;39;21;28;27;30;10;11;13;10;12;15;11;10;9;8;12;3;14;12;9;5;4;10;4;6;4;5;2;3;2;3;25;19;39;36;58;68;-;1544
"110013 MACHADINHO D'OESTE";-;12;6;6;26;44;31;4;5;16;9;14;8;17;27;12;35;32;25;21;5;7;13;5;4;-;1;3;2;1;2;2;9;-;-;-;1;-;1;-;-;-;1;2;4;-;1;2;7;-;2;4;9;-;438
"110014 NOVA BRASILANDIA D'OESTE";-;9;12;21;13;13;12;15;10;16;25;30;44;41;46;51;51;41;35;44;25;16;36;21;18;11;11;11;11;9;7;4;3;8;9;5;7;7;5;6;5;6;9;1;3;3;5;10;6;5;5;5;8;-;830
"110015 OURO PRETO DO OESTE";-;3;4;7;11;7;4;3;4;-;4;5;5;7;8;5;-;2;2;2;5;6;1;1;3;-;-;1;-;-;-;2;-;-;-;-;-;-;3;-;1;-;1;-;1;-;-;-;1;2;2;2;-;-;115
"110018 PIMENTA BUENO";-;48;61;70;66;85;108;79;66;76;76;54;48;38;27;31;33;24;22;20;14;7;9;2;1;6;3;8;6;7;3;6;5;4;6;-;11;3;6;3;5;1;2;10;9;5;4;10;6;17;34;30;34;-;1309
"110020 PORTO VELHO";-;115;115;105;109;137;132;104;89;149;137;160;171;166;129;141;130;132;114;88;96;86;59;62;39;41;45;46;50;41;25;24;25;22;12;14;4;14;11;9;7;11;17;14;14;20;21;31;35;25;38;38;36;-;3455
"110025 PRESIDENTE MEDICI";-;18;24;50;38;62;61;31;32;55;38;17;22;18;13;20;11;4;6;7;16;3;4;4;-;5;2;3;2;5;4;1;4;2;-;2;2;1;-;-;2;1;-;1;1;5;-;2;2;11;6;5;3;-;626
"110026 RIO CRESPO";-;4;8;2;1;3;-;2;7;-;3;4;5;4;4;1;2;2;7;1;1;3;2;-;1;1;-;-;-;-;1;2;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;2;3;-;-;-;79
"110028 ROLIM DE MOURA";-;33;25;63;47;45;56;54;59;29;56;51;41;33;25;39;31;25;31;24;21;18;12;8;7;10;6;6;6;4;11;6;7;3;4;3;3;6;8;2;8;3;3;-;5;10;5;6;4;4;7;6;8;-;987
"110029 SANTA LUZIA D'OESTE";-;18;11;15;10;9;5;8;6;3;7;10;6;1;1;2;-;3;-;4;1;-;-;1;2;1;-;2;-;-;-;-;-;-;-;-;-;-;2;1;7;-;1;1;3;6;3;16;13;3;15;17;16;-;230
"110030 VILHENA";-;138;151;118;140;89;119;75;75;81;151;59;47;87;57;80;74;38;85;67;50;46;52;40;48;48;23;39;29;28;23;33;30;35;23;13;23;19;11;35;18;16;66;27;51;37;38;111;94;101;147;93;100;-;3278
"110032 SAO MIGUEL DO GUAPORE";-;3;16;33;8;1;1;3;2;1;-;1;-;2;-;5;2;4;4;1;2;-;1;4;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;2;3;2;13;9;1;-;-;132
"110033 NOVA MAMORE";-;5;16;16;33;33;23;10;16;15;25;12;6;6;6;3;2;4;6;1;8;2;2;3;2;5;2;2;6;-;-;1;2;-;1;-;-;1;-;-;4;2;5;2;1;3;5;4;9;7;10;7;15;-;349
"110034 ALVORADA D'OESTE";-;50;34;35;12;18;22;7;9;5;5;2;2;1;3;1;5;2;4;2;1;2;1;1;-;-;-;3;-;-;3;-;1;-;-;1;1;-;1;-;-;-;-;-;3;2;4;8;32;33;28;32;51;-;427
"110037 ALTO ALEGRE DOS PARECIS";-;1;4;2;4;3;1;2;1;3;9;7;3;4;2;2;2;7;2;2;-;1;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;5;10;21;23;12;4;-;2;14;4;-;-;1;-;163
"110040 ALTO PARAISO";-;4;12;5;5;9;2;5;2;4;2;9;2;8;1;4;-;2;12;5;1;4;4;7;2;2;-;1;1;2;3;-;-;1;-;1;-;-;-;-;-;4;2;1;1;8;6;4;2;4;3;6;1;-;164
"110045 BURITIS";-;38;39;57;72;68;60;30;22;33;17;11;11;12;15;8;11;8;2;4;6;6;12;5;9;9;2;3;3;1;6;2;1;1;1;-;2;1;6;-;1;7;3;1;2;3;8;10;8;9;18;9;12;-;685
"110050 NOVO HORIZONTE DO OESTE";-;-;1;1;2;6;2;3;1;5;5;2;3;1;2;-;2;2;1;1;-;1;2;1;1;-;-;-;-;2;1;-;-;-;-;-;-;-;-;1;-;2;-;1;3;3;2;-;-;1;-;-;-;-;61
"110060 CACAULANDIA";-;13;12;19;22;34;32;26;27;17;21;11;8;7;5;5;2;6;17;7;3;3;4;2;2;1;-;-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;2;-;-;-;1;1;2;-;6;4;9;-;335
"110070 CAMPO NOVO DE RONDONIA";-;15;11;14;21;4;15;9;3;3;4;8;5;4;3;-;6;2;1;6;1;-;1;-;6;5;-;1;2;-;2;1;-;-;1;-;-;-;-;-;1;1;-;-;2;2;3;1;8;15;22;15;5;-;229
"110080 CANDEIAS DO JAMARI";-;5;6;4;6;3;4;2;2;5;3;8;5;4;4;4;2;4;12;4;2;1;2;2;15;4;2;2;4;-;1;3;3;2;-;1;-;1;-;-;-;1;-;-;1;-;3;-;2;2;2;-;6;-;149
"110090 CASTANHEIRAS";-;4;5;4;-;1;5;6;2;5;-;1;2;3;1;1;-;1;1;2;2;2;1;-;-;-;3;-;1;-;-;-;-;-;-;-;-;1;-;-;1;1;1;1;6;3;-;5;4;7;5;-;1;-;89
"110092 CHUPINGUAIA";-;13;8;19;9;9;14;24;14;34;32;13;15;16;19;14;16;19;13;15;14;16;10;5;10;5;5;9;8;5;5;1;2;3;-;3;4;-;1;2;-;3;1;2;1;1;5;6;-;3;2;1;-;-;449
"110094 CUJUBIM";-;4;3;3;3;32;33;31;11;12;14;16;17;11;7;10;9;3;8;4;12;4;1;4;1;3;2;1;3;1;4;-;2;3;-;1;-;1;1;3;-;-;2;-;-;1;1;-;1;1;2;3;6;-;295
"110100 GOVERNADOR JORGE TEIXEIRA";-;6;2;1;3;1;1;-;-;2;1;-;-;-;-;-;2;-;-;2;2;-;-;-;-;3;3;2;12;2;-;1;1;-;1;-;5;7;6;15;3;4;4;7;8;7;10;14;5;3;11;7;9;-;173
"110110 ITAPUA DO OESTE";-;11;13;13;20;17;15;17;16;23;13;18;15;7;7;2;-;-;-;2;-;1;1;1;4;1;3;4;3;1;2;-;1;1;-;-;1;-;1;1;-;-;1;-;-;-;-;22;11;4;1;3;8;-;285
"110120 MINISTRO ANDREAZZA";-;13;10;6;8;3;7;3;5;1;7;3;6;8;6;3;4;2;4;2;3;1;2;-;2;1;1;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;4;2;10;3;2;-;137
"110130 MIRANTE DA SERRA";-;4;7;7;9;6;4;20;9;4;1;4;4;5;5;12;7;2;7;2;2;5;1;8;6;6;5;1;2;-;7;6;3;2;-;-;4;-;1;1;2;-;-;-;-;-;-;1;-;-;3;20;7;-;212
"110140 MONTE NEGRO";-;22;11;12;9;8;16;21;9;8;15;12;14;21;12;12;10;2;5;5;4;2;2;4;9;3;5;1;2;6;-;-;1;2;1;1;3;1;1;1;-;2;6;9;16;17;48;41;41;34;22;14;11;-;534
"110143 NOVA UNIAO";-;-;-;-;-;-;-;-;-;2;4;4;2;-;5;1;-;2;2;3;1;-;2;-;1;-;2;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;36
"110145 PARECIS";-;2;4;20;10;9;10;12;3;5;5;4;6;8;8;6;4;-;-;1;2;1;1;3;2;4;-;-;-;-;-;-;1;1;1;-;-;3;3;1;-;2;2;1;2;-;3;1;1;4;-;1;2;-;159
"110146 PIMENTEIRAS DO OESTE";-;2;2;2;4;3;10;7;8;2;-;1;2;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;48
"110147 PRIMAVERA DE RONDONIA";-;10;4;7;4;3;3;-;7;4;3;11;5;5;1;-;-;1;-;-;2;-;2;-;-;-;1;-;-;-;1;-;1;3;6;5;4;2;4;5;5;4;8;8;5;10;10;4;2;-;2;5;1;-;168
"110148 SAO FELIPE D'OESTE";-;4;11;5;7;6;7;8;2;4;1;3;1;2;2;5;3;3;2;2;-;5;-;5;6;7;9;7;4;6;3;2;-;1;-;4;3;1;3;-;2;1;2;-;2;3;6;5;3;5;4;1;2;-;180
"110149 SAO FRANCISCO DO GUAPORE";-;12;19;10;8;20;18;20;16;13;16;19;9;9;9;14;19;21;23;20;22;14;8;5;9;15;9;7;3;3;5;3;1;3;3;6;2;4;4;1;2;4;2;-;1;1;3;1;5;4;4;2;4;-;455
"110150 SERINGUEIRAS";-;3;11;36;38;32;29;48;18;29;28;22;26;24;24;13;7;18;16;13;5;6;14;8;7;5;4;2;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;-;2;4;7;4;-;511
"110155 TEIXEIROPOLIS";-;-;4;3;2;2;3;-;5;6;3;3;5;4;3;1;4;5;2;1;1;-;-;1;1;-;1;-;1;-;-;-;-;-;1;-;-;1;-;-;1;-;-;1;-;1;-;2;2;2;3;1;2;-;78
"110160 THEOBROMA";-;11;14;10;12;9;3;5;4;7;7;3;3;6;-;5;-;3;1;-;1;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2;-;-;1;-;-;-;1;3;-;-;6;7;1;-;129
"110170 URUPA";-;4;8;5;5;2;4;5;3;2;3;5;3;3;3;2;-;-;3;2;2;-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;4;7;8;3;-;93
"110175 VALE DO ANARI";-;4;8;10;9;8;1;2;-;1;2;1;5;6;6;9;8;4;1;1;2;4;2;1;3;2;5;1;2;5;3;-;1;1;-;5;-;-;-;-;-;-;-;-;-;1;-;2;-;-;2;5;8;-;141
"110180 VALE DO PARAISO";-;1;3;4;7;6;1;4;2;1;8;7;2;3;8;9;9;6;4;3;4;2;9;2;2;3;1;-;2;1;5;1;-;1;2;-;-;-;3;1;-;-;-;1;-;-;-;-;-;-;3;3;2;-;136
"120001 ACRELANDIA";-;17;30;23;27;29;14;10;7;6;9;7;9;3;6;9;-;6;-;5;-;1;3;2;1;1;-;-;-;-;-;-;-;1;1;-;-;-;-;2;-;-;1;2;1;-;2;-;-;-;1;15;2;-;253
"120005 ASSIS BRASIL";-;123;123;119;55;40;29;41;40;61;47;66;72;33;33;20;32;14;11;19;13;13;7;14;1;2;1;9;3;2;6;1;4;2;3;8;4;3;6;3;11;11;11;21;25;17;20;29;25;25;77;39;65;-;1459
"120010 BRASILEIA";-;376;279;230;165;55;44;49;25;34;53;27;22;24;8;17;21;11;14;8;6;11;8;7;5;5;3;5;4;4;2;3;5;3;7;4;2;5;5;1;4;1;8;6;7;13;9;11;23;32;70;153;141;-;2035
