2022
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de residência";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110001 ALTA FLORESTA D'OESTE";-;45;56;70;64;41;32;3;9;7;8;8;3;4;15;11;5;7;15;26;26;18;25;8;19;17;7;6;13;10;4;8;7;9;7;10;4;10;15;10;8;9;6;13;11;13;17;26;32;42;31;50;51;-;971
"110002 ARIQUEMES";-;43;42;37;28;40;38;57;69;112;70;69;91;64;71;83;65;46;49;26;19;26;26;21;11;21;25;19;24;16;6;10;28;8;7;8;11;7;8;2;6;8;2;8;6;4;11;9;8;12;8;17;15;-;1517
"110003 CABIXI";-;3;3;12;6;5;2;2;6;12;9;11;11;4;2;1;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;-;98
"110004 CACOAL";-;121;117;125;131;156;147;192;176;164;176;156;102;129;95;85;67;42;50;35;24;28;11;18;7;18;19;2;6;8;5;2;2;4;1;2;2;4;4;4;3;2;5;1;4;4;4;8;2;11;10;7;9;-;2507
"110005 CEREJEIRAS";-;3;10;10;7;7;7;3;8;14;16;8;14;6;3;5;4;2;5;11;5;3;2;-;6;-;-;-;2;-;2;3;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2;1;2;3;-;177
"110006 COLORADO DO OESTE";-;1;-;-;2;1;2;2;7;24;8;3;2;2;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;61
"110007 CORUMBIARA";-;1;1;3;4;16;12;7;10;4;4;2;1;3;-;2;2;1;1;-;-;1;1;1;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;80
"110008 COSTA MARQUES";-;-;1;3;-;1;2;8;4;8;2;4;-;3;6;9;3;4;1;4;-;-;3;1;-;-;1;-;-;-;-;-;-;-;2;1;1;1;-;-;1;6;3;8;1;2;1;-;-;-;1;-;-;-;96
"110009 ESPIGAO D'OESTE";-;12;20;9;11;19;28;26;27;20;20;20;37;55;41;70;49;41;44;33;24;27;14;20;6;17;6;5;2;3;4;4;1;2;-;-;-;1;-;-;-;-;-;1;-;1;2;2;1;1;-;-;1;-;727
"110010 GUAJARA-MIRIM";-;15;26;36;21;18;10;11;10;10;4;11;2;3;2;2;4;2;5;2;1;1;1;1;-;2;4;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;-;-;1;-;3;3;11;16;-;243
"110011 JARU";-;148;142;81;57;61;36;41;26;30;30;34;23;30;13;16;13;9;5;11;9;12;15;14;11;5;11;4;7;8;8;4;8;2;3;1;4;5;13;11;16;32;23;38;50;55;101;101;145;98;150;178;114;-;2062
"110012 JI-PARANA";-;90;88;100;78;72;101;73;55;67;57;39;32;28;26;22;33;19;23;18;22;9;9;12;10;12;15;10;10;9;8;9;3;10;11;8;5;3;9;4;3;2;3;1;2;2;3;24;19;38;35;56;66;-;1463
"110013 MACHADINHO D'OESTE";-;12;6;6;26;43;31;4;5;14;9;13;8;17;27;12;35;32;25;17;4;6;12;5;3;-;1;3;2;1;-;1;9;-;-;-;1;-;1;-;-;-;1;2;4;-;1;2;5;-;2;3;9;-;420
"110014 NOVA BRASILANDIA D'OESTE";-;9;11;20;13;12;11;12;9;12;25;29;44;41;41;51;49;39;32;44;23;15;36;20;16;11;10;11;11;9;7;4;3;8;9;5;7;7;5;6;5;6;8;1;3;3;4;7;6;5;4;5;7;-;791
"110015 OURO PRETO DO OESTE";-;2;4;6;10;7;4;2;4;-;3;5;5;7;8;4;-;2;2;2;5;5;1;1;3;-;-;1;-;-;-;2;-;-;-;-;-;-;3;-;1;-;1;-;1;-;-;-;1;1;2;2;-;-;107
"110018 PIMENTA BUENO";-;48;59;67;64;81;104;73;64;68;73;48;42;37;27;29;33;24;22;20;13;7;9;2;1;6;3;8;6;7;3;6;5;4;6;-;11;3;6;3;5;1;2;10;9;5;4;9;6;17;34;30;34;-;1258
"110020 PORTO VELHO";-;93;94;97;100;124;123;99;85;145;136;152;167;161;128;139;119;127;111;86;89;80;59;62;29;39;40;45;47;39;24;24;25;20;11;14;3;14;10;9;7;11;14;13;12;19;19;28;30;22;32;36;35;-;3247
"110025 PRESIDENTE MEDICI";-;18;24;50;37;62;61;31;31;54;35;15;22;15;12;19;10;4;6;5;16;3;4;4;-;4;2;3;2;5;4;1;4;2;-;2;2;1;-;-;1;1;-;1;1;4;-;1;1;3;1;1;-;-;585
"110026 RIO CRESPO";-;4;8;2;1;1;-;2;7;-;3;4;5;4;4;1;2;2;7;1;1;3;2;-;1;1;-;-;-;-;1;2;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;3;-;-;-;76
"110028 ROLIM DE MOURA";-;32;24;62;46;45;56;54;58;29;56;49;41;33;25;38;31;25;31;24;20;18;11;8;7;10;6;6;5;4;11;6;7;3;4;3;3;5;8;2;7;3;2;-;4;10;3;6;3;4;7;6;8;-;969
"110029 SANTA LUZIA D'OESTE";-;18;11;14;10;9;5;7;5;3;7;10;6;1;1;2;-;2;-;2;-;-;-;-;1;1;-;2;-;-;-;-;-;-;-;-;-;-;2;1;7;-;1;1;2;6;3;16;13;2;15;17;16;-;219
"110030 VILHENA";-;137;147;116;138;87;115;71;72;75;147;56;45;83;54;74;69;37;80;63;49;45;49;36;45;45;22;38;29;28;22;33;29;33;23;12;22;19;11;35;18;16;66;26;50;37;37;111;92;100;145;89;97;-;3175
"110032 SAO MIGUEL DO GUAPORE";-;2;16;33;8;1;1;2;-;1;-;1;-;2;-;5;2;4;4;1;2;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2;-;-;-;-;92
"110033 NOVA MAMORE";-;5;15;15;30;33;23;10;15;15;25;12;6;6;5;3;2;3;5;1;8;2;2;3;2;5;2;2;6;-;-;1;1;-;1;-;-;1;-;-;3;2;4;2;1;3;4;4;9;7;10;7;15;-;336
