2020
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de residência";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110001 ALTA FLORESTA D'OESTE";-;45;56;70;65;42;32;3;10;7;10;9;3;4;15;11;6;7;15;27;26;18;25;9;19;17;8;6;13;10;4;8;7;9;7;10;5;10;15;10;8;9;6;13;11;13;17;26;32;42;32;51;51;-;984
"110002 ARIQUEMES";-;47;51;45;40;51;49;66;73;119;77;73;95;67;80;87;67;51;53;29;33;30;30;26;14;26;30;26;26;20;9;13;30;10;7;8;11;7;8;3;6;9;2;8;6;6;12;11;17;16;11;20;18;-;1729
"110003 CABIXI";-;5;5;16;6;6;3;2;6;13;9;11;11;4;2;1;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;4;-;111
"110004 CACOAL";-;131;119;129;144;161;156;203;181;168;185;171;108;133;105;94;73;49;54;44;26;33;13;22;10;23;22;4;8;10;8;6;2;5;1;2;2;4;4;5;3;3;6;1;5;7;8;10;14;26;37;40;31;-;2809
"110005 CEREJEIRAS";-;6;18;24;22;23;16;9;10;19;33;20;21;13;12;12;8;3;6;17;8;4;3;1;6;-;-;-;3;-;3;3;-;3;1;-;-;1;-;1;-;1;-;-;-;1;-;-;-;2;1;2;4;-;340
"110006 COLORADO DO OESTE";-;3;2;-;4;1;8;3;7;27;12;9;14;5;9;2;5;3;3;6;3;-;-;-;1;2;2;-;-;-;1;1;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;1;-;-;1;-;139
"110007 CORUMBIARA";-;1;2;5;6;20;14;8;11;8;5;8;2;4;1;2;2;3;2;1;-;2;1;1;2;2;-;4;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;122
"110008 COSTA MARQUES";-;5;2;5;3;5;6;10;7;9;8;4;1;4;6;9;3;4;1;6;-;-;4;1;3;2;2;2;1;1;-;2;-;-;2;1;1;1;-;-;1;6;3;8;1;2;1;1;1;4;5;4;-;-;158
"110009 ESPIGAO D'OESTE";-;14;23;12;12;21;28;27;27;25;20;23;40;56;44;74;58;45;51;50;25;28;21;26;14;26;14;11;11;8;11;7;4;7;2;-;-;1;-;-;-;-;-;1;-;1;2;2;1;1;-;-;1;1;876
"110010 GUAJARA-MIRIM";-;18;26;37;24;24;19;32;12;19;8;15;7;4;3;3;7;3;7;3;1;4;3;2;2;2;4;3;2;1;-;-;1;-;1;-;2;1;3;1;-;-;1;1;1;-;-;4;1;6;5;11;17;-;351
"110011 JARU";-;152;146;85;63;66;39;49;30;32;41;46;26;31;16;20;14;12;8;13;12;24;27;22;11;7;16;5;8;9;9;5;9;2;3;1;4;5;13;13;17;32;23;39;50;56;101;101;149;100;151;183;120;3;2219
"110012 JI-PARANA";-;91;89;100;81;72;102;74;57;70;60;41;35;31;27;23;39;21;28;27;30;10;11;13;10;14;15;11;10;9;8;13;3;14;12;9;5;4;10;4;6;4;5;2;4;2;3;25;19;39;36;58;70;-;1556
"110013 MACHADINHO D'OESTE";-;12;8;7;26;44;32;5;5;16;10;14;8;19;29;13;35;33;25;21;6;7;14;5;6;-;3;5;3;3;5;2;11;1;1;-;2;-;1;1;1;-;2;2;5;-;1;2;8;2;2;5;11;-;479
"110014 NOVA BRASILANDIA D'OESTE";-;9;14;22;17;21;23;24;29;30;43;56;57;56;62;60;62;48;43;51;32;22;44;24;19;12;16;11;13;10;7;5;3;9;11;5;7;7;5;6;5;6;9;1;3;3;5;10;6;6;5;5;9;-;1068
"110015 OURO PRETO DO OESTE";-;4;4;8;11;7;5;3;4;-;4;5;5;7;8;5;-;2;2;2;6;6;1;1;5;-;1;1;-;-;1;2;1;-;-;-;-;-;3;-;1;-;1;-;1;-;-;1;1;2;2;2;1;-;126
"110018 PIMENTA BUENO";-;49;62;71;66;86;109;79;67;76;77;55;52;40;29;34;36;26;22;21;18;8;11;4;1;10;4;8;6;7;4;6;6;6;6;-;11;3;6;3;5;1;3;10;9;5;4;10;6;17;34;30;34;-;1353
"110020 PORTO VELHO";-;129;121;118;123;149;159;121;104;163;144;170;176;174;138;153;141;136;117;97;99;86;60;65;41;43;45;58;56;44;30;26;29;24;13;16;5;14;12;9;9;11;22;15;14;22;22;35;39;28;42;46;46;-;3759
"110025 PRESIDENTE MEDICI";-;18;24;51;38;62;61;32;32;55;38;18;23;21;13;23;12;6;6;9;17;5;5;4;-;5;2;3;2;5;4;1;5;2;-;2;2;1;-;-;2;1;-;1;1;5;-;2;2;11;6;5;3;-;646
"110026 RIO CRESPO";-;4;9;2;1;3;-;2;7;-;3;4;5;4;4;3;4;6;9;1;1;3;3;-;1;3;1;1;1;-;1;2;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;2;3;-;-;-;96
"110028 ROLIM DE MOURA";-;34;25;64;47;47;57;55;60;32;56;53;44;35;27;42;36;29;32;33;31;29;22;15;17;20;13;11;8;8;20;13;8;7;7;6;5;8;9;4;8;4;3;-;5;11;5;7;5;8;9;6;9;-;1149
"110029 SANTA LUZIA D'OESTE";-;18;12;15;10;11;5;8;7;6;11;10;6;1;1;2;1;3;-;5;5;3;-;4;2;1;-;3;-;-;-;1;1;-;-;1;-;1;3;1;7;-;1;1;3;6;3;16;13;3;15;17;17;-;260
"110030 VILHENA";-;142;157;129;155;115;180;129;136;125;216;148;136;184;129;154;125;77;122;104;87;76;67;57;59;61;36;48;32;31;30;34;33;35;26;15;25;20;11;35;20;18;68;28;53;39;41;112;95;102;151;99;104;1;4412
"110032 SAO MIGUEL DO GUAPORE";-;3;17;38;8;2;5;4;7;9;11;5;3;4;-;8;2;4;4;7;18;14;3;6;4;2;1;-;1;1;-;-;1;-;-;-;-;-;-;-;1;1;1;1;-;-;2;3;2;13;9;1;-;-;226
"110033 NOVA MAMORE";-;7;19;23;39;43;36;20;23;29;39;33;24;16;14;7;9;19;26;8;13;2;3;7;5;6;4;4;8;2;2;2;2;1;2;-;-;1;-;-;4;2;5;2;3;3;5;5;9;8;11;7;17;-;579
"110034 ALVORADA D'OESTE";-;50;34;35;12;18;22;7;9;5;5;2;2;1;3;1;5;2;4;2;1;2;1;1;-;-;-;3;-;-;3;-;1;-;2;1;1;-;1;-;-;-;-;-;3;2;4;8;32;33;28;32;51;-;429
"110037 ALTO ALEGRE DOS PARECIS";-;14;18;10;24;4;7;7;4;3;9;9;3;5;2;2;3;7;2;5;-;1;3;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;2;1;5;10;21;23;12;4;-;2;15;4;-;1;2;-;247
