2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de residência";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
"110001 ALTA FLORESTA D'OESTE";-;44;56;70;64;41;31;3;9;7;7;7;3;3;15;10;4;3;4;8;10;4;9;3;3;10;1;3;3;1;-;3;4;3;6;6;1;4;3;3;4;4;4;2;6;3;6;1;6;5;7;13;44;-;574
"110002 ARIQUEMES";-;37;33;23;14;27;18;17;23;16;23;17;18;13;5;12;10;3;6;-;1;2;3;3;-;3;6;2;1;-;-;2;20;2;6;5;6;5;1;-;1;1;1;2;3;2;2;-;1;3;3;1;5;-;408
"110003 CABIXI";-;3;3;12;6;5;2;2;6;9;7;5;7;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;73
"110004 CACOAL";-;20;20;20;25;24;31;18;17;23;51;28;20;15;14;12;5;13;15;4;5;5;-;3;4;9;2;1;-;2;1;-;1;1;-;1;1;2;-;2;3;1;2;-;2;-;1;3;-;2;4;1;5;-;439
"110005 CEREJEIRAS";-;3;10;10;7;7;5;3;8;14;15;8;14;6;3;5;4;1;1;9;1;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;2;-;145
"110006 COLORADO DO OESTE";-;-;-;-;2;1;2;2;7;24;5;3;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50
"110007 CORUMBIARA";-;1;1;3;4;16;12;7;10;4;4;2;1;3;-;2;2;1;1;-;-;1;1;1;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;80
"110008 COSTA MARQUES";-;-;1;3;-;1;1;7;4;8;2;4;-;3;5;9;3;4;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;61
"110009 ESPIGAO D'OESTE";-;11;19;9;11;17;22;10;19;11;15;9;11;12;5;10;4;3;3;2;1;2;-;3;1;4;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;219
"110010 GUAJARA-MIRIM";-;15;24;30;21;15;10;7;7;9;3;1;1;1;1;2;2;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;5;-;158
"110011 JARU";-;146;142;80;56;58;35;39;20;27;23;24;18;12;7;3;2;1;1;1;-;2;1;1;1;-;-;-;1;-;-;3;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;24;-;732
