2018
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de residência";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110001 ALTA FLORESTA D'OESTE";-;45;57;70;65;42;32;4;11;7;10;10;4;4;16;11;7;7;15;27;28;18;26;11;30;30;17;26;30;20;35;29;15;12;11;12;5;12;18;10;11;13;10;16;16;18;26;31;34;53;45;55;51;-;1218
"110002 ARIQUEMES";-;49;54;46;40;51;49;66;73;119;77;73;95;68;81;88;67;51;54;29;34;31;31;27;14;28;30;26;29;20;9;13;31;10;7;9;11;7;8;3;6;9;2;8;6;6;13;17;21;20;15;22;20;-;1773
"110003 CABIXI";-;5;5;16;6;8;3;3;7;13;9;11;11;4;3;1;2;2;5;3;2;2;4;5;2;2;2;4;1;1;1;-;1;-;-;-;3;1;-;5;5;1;4;4;2;5;6;8;5;4;5;2;4;-;208
"110004 CACOAL";-;131;121;129;144;161;157;204;181;168;185;173;108;135;105;97;74;49;57;45;27;35;16;23;12;25;22;5;8;10;9;8;2;5;1;2;3;5;6;6;3;5;7;1;5;8;10;10;14;27;37;42;32;-;2855
"110005 CEREJEIRAS";-;6;18;25;22;25;16;10;10;21;33;21;22;13;12;12;8;5;8;18;8;5;3;1;6;-;1;-;3;-;4;3;1;4;1;-;-;1;-;1;-;1;2;1;-;1;1;-;1;2;1;3;4;-;364
"110006 COLORADO DO OESTE";-;8;3;-;7;1;8;5;7;27;12;9;14;5;10;4;5;3;4;7;4;-;-;-;1;2;2;-;-;-;1;2;-;1;-;2;-;-;1;1;-;-;-;1;1;1;-;1;1;1;2;2;1;-;167
"110007 CORUMBIARA";-;1;2;5;6;20;14;8;11;8;5;8;2;4;1;2;2;4;2;1;-;2;1;2;2;2;-;4;2;-;-;-;2;-;1;-;-;-;-;-;-;1;-;1;-;-;-;1;2;-;-;-;1;-;130
"110008 COSTA MARQUES";-;5;2;5;3;5;6;10;7;9;8;4;1;4;6;9;3;4;1;6;-;-;4;1;3;2;2;2;1;1;-;2;-;-;2;2;1;2;-;-;1;6;3;8;1;2;1;1;1;4;5;4;-;-;160
"110009 ESPIGAO D'OESTE";-;14;24;13;15;21;28;28;27;25;20;24;42;56;44;74;60;48;52;51;25;29;21;27;16;26;15;12;13;10;13;7;5;8;2;-;-;1;-;3;-;2;8;3;4;3;2;2;1;1;-;-;2;1;928
"110010 GUAJARA-MIRIM";-;21;30;40;27;30;21;36;16;20;8;18;8;6;4;4;10;3;10;4;4;4;3;2;3;2;4;5;2;2;-;-;1;2;1;-;3;1;3;1;-;-;1;1;1;-;1;4;1;7;5;11;18;-;409
